https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume STX,Volume USDT
1663459200,2022-09-18 00:00:00,STX/USDT,0.3573,0.3573,0.3518,0.3536,56136.58182832,19947.908507915566
1663372800,2022-09-17 00:00:00,STX/USDT,0.3492,0.3582,0.3467,0.3563,249379.75692131,87628.389909642469
1663286400,2022-09-16 00:00:00,STX/USDT,0.3435,0.3553,0.3387,0.3495,561395.64564188,194135.695461488038
1663200000,2022-09-15 00:00:00,STX/USDT,0.3532,0.3542,0.3401,0.343,496383.63185948,172560.495248098626
1663113600,2022-09-14 00:00:00,STX/USDT,0.348,0.3569,0.3411,0.3524,538500.80600375,188839.930067004127
1663027200,2022-09-13 00:00:00,STX/USDT,0.3876,0.3882,0.3474,0.3497,715165.47583303,262646.634743737476
1662940800,2022-09-12 00:00:00,STX/USDT,0.391,0.4,0.3795,0.3879,586582.92230521,227488.975238601517
1662854400,2022-09-11 00:00:00,STX/USDT,0.384,0.413,0.3823,0.3912,715781.12889824,279170.164356729344
1662768000,2022-09-10 00:00:00,STX/USDT,0.3815,0.3981,0.3718,0.3838,836437.09413441,320923.565223215016
1662681600,2022-09-09 00:00:00,STX/USDT,0.3619,0.3879,0.36,0.3821,763269.20315614,286818.334612949463
1662595200,2022-09-08 00:00:00,STX/USDT,0.351,0.4364,0.3461,0.3621,1827087.68164303,684266.608838114735
1662508800,2022-09-07 00:00:00,STX/USDT,0.3409,0.3536,0.3305,0.3503,530347.2371643,180555.792004894872
1662422400,2022-09-06 00:00:00,STX/USDT,0.368,0.374,0.3386,0.3403,975896.63774795,350367.004823799398
1662336000,2022-09-05 00:00:00,STX/USDT,0.3674,0.373,0.3569,0.368,483330.92264208,175936.662722368435
1662249600,2022-09-04 00:00:00,STX/USDT,0.3614,0.3681,0.3567,0.3679,310898.51813903,112548.89759404236
1662163200,2022-09-03 00:00:00,STX/USDT,0.3624,0.3638,0.3567,0.3618,244744.02459198,88187.866611273033
1662076800,2022-09-02 00:00:00,STX/USDT,0.3628,0.3689,0.356,0.3625,448250.18444773,162209.974807530816
1661990400,2022-09-01 00:00:00,STX/USDT,0.3645,0.3676,0.3515,0.3627,812721.9435599,291346.819557134981
1661904000,2022-08-31 00:00:00,STX/USDT,0.3612,0.372,0.36,0.3643,535559.94974136,196231.351973405478
1661817600,2022-08-30 00:00:00,STX/USDT,0.3693,0.3768,0.3528,0.3604,654402.94799937,239627.54544357594
