https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TWT,Volume USDT
1663459200,2022-09-18 00:00:00,TWT/USDT,0.9999,1,0.9873,0.9915,985.6478,976.73131316
1663372800,2022-09-17 00:00:00,TWT/USDT,0.9743,1.0001,0.9662,0.9982,35026.4326,34465.43830196
1663286400,2022-09-16 00:00:00,TWT/USDT,0.9834,0.9959,0.95,0.9721,171966.4884,166897.99881922
1663200000,2022-09-15 00:00:00,TWT/USDT,1.0158,1.0262,0.9715,0.9842,66158.5711,65955.21330785
1663113600,2022-09-14 00:00:00,TWT/USDT,1.0221,1.047,0.9911,1.0177,87877.7071,88967.85048231
1663027200,2022-09-13 00:00:00,TWT/USDT,0.9993,1.1205,0.9993,1.0227,242955.2134,257625.94679454
1662940800,2022-09-12 00:00:00,TWT/USDT,1.0258,1.0258,0.9835,1.004,62292.1001,62425.93106758
1662854400,2022-09-11 00:00:00,TWT/USDT,1.0343,1.038,1.011,1.0261,31976.2835,32776.7468202
1662768000,2022-09-10 00:00:00,TWT/USDT,1.049,1.0564,1.0116,1.036,43337.8209,44597.79651152
1662681600,2022-09-09 00:00:00,TWT/USDT,0.9766,1.0557,0.9725,1.0488,118161.423,120775.05401633
1662595200,2022-09-08 00:00:00,TWT/USDT,0.9687,0.979,0.9601,0.9759,55646.277,53992.78617582
1662508800,2022-09-07 00:00:00,TWT/USDT,0.9374,0.9895,0.9313,0.9688,163650.0716,155598.17050921
1662422400,2022-09-06 00:00:00,TWT/USDT,0.9809,0.9917,0.9264,0.9374,226640.2295,220325.55012986
1662336000,2022-09-05 00:00:00,TWT/USDT,0.979,0.985,0.9501,0.9803,163046.5849,158117.62060871
1662249600,2022-09-04 00:00:00,TWT/USDT,0.9665,0.9798,0.9596,0.979,34297.6242,33268.27526379
1662163200,2022-09-03 00:00:00,TWT/USDT,0.9653,0.972,0.955,0.9664,51423.4262,49558.18489378
1662076800,2022-09-02 00:00:00,TWT/USDT,0.9579,0.9798,0.9486,0.9664,178861.1068,173778.08814608
1661990400,2022-09-01 00:00:00,TWT/USDT,0.9512,0.9622,0.9378,0.9573,85373.4255,81256.86205079
1661904000,2022-08-31 00:00:00,TWT/USDT,0.9664,0.9882,0.9509,0.9522,131492.8695,127406.8555598
1661817600,2022-08-30 00:00:00,TWT/USDT,0.9636,0.9991,0.94,0.9628,88078.6198,85686.69418903
1661731200,2022-08-29 00:00:00,TWT/USDT,0.9331,0.9691,0.9312,0.9678,104479.0895,99296.43320792
1661644800,2022-08-28 00:00:00,TWT/USDT,0.9586,1.0632,0.932,0.933,113117.7815,109062.64754995
1661558400,2022-08-27 00:00:00,TWT/USDT,0.957,1.008,0.933,0.9625,58198.6072,56063.83301178
1661472000,2022-08-26 00:00:00,TWT/USDT,1.0059,1.0302,0.9517,0.958,87730.7582,86476.25756676
1661385600,2022-08-25 00:00:00,TWT/USDT,1.0296,1.04,0.9924,1.0109,78827.7439,80225.90724119
1661299200,2022-08-24 00:00:00,TWT/USDT,1.0269,1.0454,1.0014,1.0306,69271.5764,71144.83912196
1661212800,2022-08-23 00:00:00,TWT/USDT,1.037,1.0454,1.0012,1.0243,80008.074,81790.96971731
1661126400,2022-08-22 00:00:00,TWT/USDT,1.0794,1.0879,1.0118,1.037,172328.8407,178808.90929262
1661040000,2022-08-21 00:00:00,TWT/USDT,1.0639,1.108,1.0639,1.0779,282461.8337,305717.28579398
1660953600,2022-08-20 00:00:00,TWT/USDT,1.0272,1.1318,1.0265,1.0629,204488.5951,218270.45545764
1660867200,2022-08-19 00:00:00,TWT/USDT,1.0059,1.1551,0.9224,1.026,492778.1672,511442.68969427
1660780800,2022-08-18 00:00:00,TWT/USDT,1.0901,1.12,1,1.0092,216557.5456,225175.63324606
1660694400,2022-08-17 00:00:00,TWT/USDT,1.1475,1.1537,1.0678,1.0883,135986.4563,149710.01955289
1660608000,2022-08-16 00:00:00,TWT/USDT,1.1414,1.152,1.1142,1.1476,82329.3441,93353.89141686
1660521600,2022-08-15 00:00:00,TWT/USDT,1.1229,1.1466,1.0836,1.1424,150061.4503,166929.88749275
1660435200,2022-08-14 00:00:00,TWT/USDT,1.1621,1.1695,1.1211,1.1251,123043.9239,140502.35844116
1660348800,2022-08-13 00:00:00,TWT/USDT,1.1555,1.1739,1.1342,1.1658,76567.5037,88528.19264165
1660262400,2022-08-12 00:00:00,TWT/USDT,1.1274,1.1593,1.1072,1.154,126434.7692,143397.40631285
1660176000,2022-08-11 00:00:00,TWT/USDT,1.159,1.1754,1.1188,1.1264,113094.2827,129675.10203267
1660089600,2022-08-10 00:00:00,TWT/USDT,1.1008,1.185,1.0676,1.1596,265014.53,300295.45359738
1660003200,2022-08-09 00:00:00,TWT/USDT,1.1639,1.1752,1.0711,1.1032,229951.8103,257643.66753872
1659916800,2022-08-08 00:00:00,TWT/USDT,1.1626,1.1877,1.1589,1.1628,120320.3385,141540.12374886
1659830400,2022-08-07 00:00:00,TWT/USDT,1.1662,1.1766,1.1436,1.1673,93680.6967,108536.65983782
1659744000,2022-08-06 00:00:00,TWT/USDT,1.1884,1.1907,1.146,1.1652,149829.8555,175254.4615411
1659657600,2022-08-05 00:00:00,TWT/USDT,1.1818,1.2144,1.1306,1.1888,248156.1844,290635.40305252
1659571200,2022-08-04 00:00:00,TWT/USDT,1.0334,1.228,1.0305,1.1809,478860.0839,549025.6351706
1659484800,2022-08-03 00:00:00,TWT/USDT,0.9705,1.11,0.9666,1.0319,263891.3521,275015.5565582
1659398400,2022-08-02 00:00:00,TWT/USDT,0.9363,0.9975,0.9184,0.9737,270912.4835,260439.78633052
1659312000,2022-08-01 00:00:00,TWT/USDT,0.9201,0.9484,0.9073,0.9406,120760.271,112094.80755208
1659225600,2022-07-31 00:00:00,TWT/USDT,0.9499,0.9665,0.9163,0.92,214973.2145,204656.93485259
1659139200,2022-07-30 00:00:00,TWT/USDT,0.9705,0.9888,0.946,0.95,273007.4773,264118.08720081
1659052800,2022-07-29 00:00:00,TWT/USDT,0.9766,1.0122,0.948,0.9723,210807.7385,205859.30649893
1658966400,2022-07-28 00:00:00,TWT/USDT,0.9738,1.09,0.9544,0.9781,284108.1965,280780.30153582
1658880000,2022-07-27 00:00:00,TWT/USDT,0.9504,0.998,0.929,0.9729,298038.0686,286616.77679775
1658793600,2022-07-26 00:00:00,TWT/USDT,0.9017,0.9628,0.8833,0.9503,292995.32,271498.81205203
1658707200,2022-07-25 00:00:00,TWT/USDT,0.8755,0.9623,0.86,0.9027,404909.1001,366766.43934917
1658620800,2022-07-24 00:00:00,TWT/USDT,0.87,0.9229,0.8597,0.8737,191547.6463,169060.21461736
1658534400,2022-07-23 00:00:00,TWT/USDT,0.8742,0.888,0.846,0.8691,193498.1754,167339.76891012
1658448000,2022-07-22 00:00:00,TWT/USDT,0.8321,0.9237,0.826,0.87,423778.2851,370289.98278883
1658361600,2022-07-21 00:00:00,TWT/USDT,0.8117,0.8352,0.7849,0.8321,96150.8875,78197.57458469
1658275200,2022-07-20 00:00:00,TWT/USDT,0.8356,0.8595,0.8029,0.8081,254606.99867241,213508.935829278919
1658188800,2022-07-19 00:00:00,TWT/USDT,0.8277,0.858,0.8135,0.8363,318743.23813345,267939.14311016878
1658102400,2022-07-18 00:00:00,TWT/USDT,0.8054,0.84,0.7982,0.8288,141652.18259595,116708.014889614987
1658016000,2022-07-17 00:00:00,TWT/USDT,0.8122,0.8221,0.7965,0.8039,129722.11310468,104662.670915593573
1657929600,2022-07-16 00:00:00,TWT/USDT,0.8028,0.8245,0.7845,0.8143,97227.97742579,79128.528295062822
