https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume GBP
1663545600,2022-09-19 00:00:00,BTC/GBP,16981,17004,16969,16969,0.01681827,285.38922363
1663542000,2022-09-18 23:00:00,BTC/GBP,17067,17088,16964,16977,9.46341451,160660.38813627
1663538400,2022-09-18 22:00:00,BTC/GBP,16989,17023,16958,17023,3.73212015,63531.88131345
1663534800,2022-09-18 21:00:00,BTC/GBP,17274,17274,17008,17059,19.27389701,328793.40909359
1663531200,2022-09-18 20:00:00,BTC/GBP,17268,17300,17245,17283,18.22065250,314907.5371575
1663527600,2022-09-18 19:00:00,BTC/GBP,17192,17285,17174,17278,1.55633536,26890.362350080002
1663524000,2022-09-18 18:00:00,BTC/GBP,17211,17255,17141,17196,5.00942982,86142.15518472
1663520400,2022-09-18 17:00:00,BTC/GBP,17293,17300,17179,17192,6.10134284,104894.28610528
1663516800,2022-09-18 16:00:00,BTC/GBP,17348,17383,17229,17290,4.31375546,74584.8319034
1663513200,2022-09-18 15:00:00,BTC/GBP,17319,17401,17319,17348,1.72817286,29980.342775279998
1663509600,2022-09-18 14:00:00,BTC/GBP,17469,17469,17282,17340,2.92709861,50755.8898974
1663506000,2022-09-18 13:00:00,BTC/GBP,17512,17519,17464,17490,57.85571527,1011896.4600722999
1663502400,2022-09-18 12:00:00,BTC/GBP,17448,17539,17402,17516,1.86205555,32615.7650138
1663498800,2022-09-18 11:00:00,BTC/GBP,17452,17467,17421,17458,1.71885876,30007.83623208
1663495200,2022-09-18 10:00:00,BTC/GBP,17377,17544,17329,17441,12.99135546,226582.23057786
1663491600,2022-09-18 09:00:00,BTC/GBP,17555,17578,17377,17377,7.77808918,135159.85568086
1663488000,2022-09-18 08:00:00,BTC/GBP,17548,17599,17548,17560,0.38098000,6690.0088
1663484400,2022-09-18 07:00:00,BTC/GBP,17559,17582,17559,17568,1.01669000,17861.20992
1663480800,2022-09-18 06:00:00,BTC/GBP,17561,17566,17554,17558,0.05056174,887.76303092
1663477200,2022-09-18 05:00:00,BTC/GBP,17534,17585,17534,17571,0.67108795,11791.686369449999
1663473600,2022-09-18 04:00:00,BTC/GBP,17541,17541,17530,17530,0.38335000,6720.1255
1663470000,2022-09-18 03:00:00,BTC/GBP,17542,17547,17486,17486,0.28482557,4980.45991702
1663466400,2022-09-18 02:00:00,BTC/GBP,17538,17545,17531,17545,0.01983145,347.94279025000003
1663462800,2022-09-18 01:00:00,BTC/GBP,17511,17552,17507,17507,0.37894391,6634.17103237
1663459200,2022-09-18 00:00:00,BTC/GBP,17585,17588,17487,17507,9.64956497,168934.93392979002
1663455600,2022-09-17 23:00:00,BTC/GBP,17627,17640,17599,17615,5.51225958,97098.4525017
1663452000,2022-09-17 22:00:00,BTC/GBP,17544,17637,17544,17637,23.75667180,418996.4205366
1663448400,2022-09-17 21:00:00,BTC/GBP,17587,17596,17468,17539,5.59404961,98114.03610979
1663444800,2022-09-17 20:00:00,BTC/GBP,17506,17592,17506,17584,0.80955535,14235.2212744
1663441200,2022-09-17 19:00:00,BTC/GBP,17582,17582,17500,17529,2.75445396,48282.82346484
1663437600,2022-09-17 18:00:00,BTC/GBP,17575,17609,17542,17567,3.15408686,55407.84386962
