https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume NGN,tradecount
1648782000000,2022-04-01 03:00:00,BTC/NGN,25941597.00000000,25941597.00000000,25941597.00000000,25941597.00000000,0.00000000,0.00000000,0
1648778400000,2022-04-01 02:00:00,BTC/NGN,26183790.00000000,26334684.00000000,25941597.00000000,25941597.00000000,0.19829000,5183014.25006000,22
1648774800000,2022-04-01 01:00:00,BTC/NGN,26519602.00000000,26533061.00000000,26292751.00000000,26292751.00000000,0.02589000,686202.79425000,9
1648771200000,2022-04-01 00:00:00,BTC/NGN,26597972.00000000,26598251.00000000,26597971.00000000,26598245.00000000,0.00918000,244171.36984000,6
1648767600000,2022-03-31 23:00:00,BTC/NGN,26808861.00000000,26916374.00000000,26465300.00000000,26465300.00000000,0.10932000,2913259.15127000,26
1648764000000,2022-03-31 22:00:00,BTC/NGN,26840742.00000000,26840742.00000000,26680300.00000000,26680300.00000000,0.00348000,93049.14043000,6
1648760400000,2022-03-31 21:00:00,BTC/NGN,26827864.00000000,26861079.00000000,26680301.00000000,26680961.00000000,0.03498000,935040.28438000,20
1648756800000,2022-03-31 20:00:00,BTC/NGN,26624841.00000000,26848733.00000000,26580629.00000000,26778953.00000000,0.01130000,302021.93410000,12
1648753200000,2022-03-31 19:00:00,BTC/NGN,26887986.00000000,26887986.00000000,26624837.00000000,26762597.00000000,0.02223000,594769.00731000,22
1648749600000,2022-03-31 18:00:00,BTC/NGN,26842903.00000000,26842903.00000000,26700629.00000000,26771606.00000000,0.00168000,44976.45488000,3
1648746000000,2022-03-31 17:00:00,BTC/NGN,26829757.00000000,26916287.00000000,26829757.00000000,26915467.00000000,0.07852000,2107975.43914000,21
1648742400000,2022-03-31 16:00:00,BTC/NGN,27087342.00000000,27139309.00000000,26500000.00000000,26672078.00000000,0.04414000,1185373.22664000,23
1648738800000,2022-03-31 15:00:00,BTC/NGN,27185488.00000000,27371304.00000000,27087342.00000000,27087342.00000000,0.04648000,1267799.45796000,38
1648735200000,2022-03-31 14:00:00,BTC/NGN,27457380.00000000,27457380.00000000,26500001.00000000,27185481.00000000,0.14587000,3985443.83937000,60
1648731600000,2022-03-31 13:00:00,BTC/NGN,27664648.00000000,27822854.00000000,27457381.00000000,27564138.00000000,0.09551000,2639374.48986000,33
1648728000000,2022-03-31 12:00:00,BTC/NGN,27489130.00000000,27750000.00000000,27489130.00000000,27664651.00000000,0.17767000,4907931.97138000,21
1648724400000,2022-03-31 11:00:00,BTC/NGN,27729109.00000000,27729109.00000000,27457383.00000000,27485696.00000000,0.06815000,1874845.47263000,28
1648720800000,2022-03-31 10:00:00,BTC/NGN,27719998.00000000,27749997.00000000,27617325.00000000,27618106.00000000,0.02379000,658459.77571000,17
1648717200000,2022-03-31 09:00:00,BTC/NGN,27667003.00000000,27749993.00000000,27536300.00000000,27690900.00000000,0.10141000,2811504.11522000,30
1648713600000,2022-03-31 08:00:00,BTC/NGN,27614753.00000000,27705999.00000000,27511052.00000000,27667000.00000000,0.01456000,402010.47514000,18
1648710000000,2022-03-31 07:00:00,BTC/NGN,27478335.00000000,27604763.00000000,27457390.00000000,27604763.00000000,0.03553000,979140.51739000,17
1648706400000,2022-03-31 06:00:00,BTC/NGN,27457381.00000000,27610695.00000000,27457380.00000000,27604419.00000000,0.01255000,345653.40229000,7
1648702800000,2022-03-31 05:00:00,BTC/NGN,27457380.00000000,27457380.00000000,27457380.00000000,27457380.00000000,0.00080000,21965.90400000,2
1648699200000,2022-03-31 04:00:00,BTC/NGN,27467570.00000000,27654025.00000000,27458772.00000000,27654025.00000000,0.01660000,457782.49946000,7
1648695600000,2022-03-31 03:00:00,BTC/NGN,27575540.00000000,27685379.00000000,27575500.00000000,27575500.00000000,0.00744000,205210.25027000,5
1648692000000,2022-03-31 02:00:00,BTC/NGN,27624389.00000000,27721903.00000000,27572271.00000000,27572274.00000000,0.00174000,48064.44380000,5
1648688400000,2022-03-31 01:00:00,BTC/NGN,27524728.00000000,27749999.00000000,27524728.00000000,27749997.00000000,0.00821000,226847.08144000,9
1648684800000,2022-03-31 00:00:00,BTC/NGN,27454973.00000000,27628100.00000000,27454973.00000000,27628100.00000000,0.00597000,164807.77949000,4
1648681200000,2022-03-30 23:00:00,BTC/NGN,27553081.00000000,27654399.00000000,27530500.00000000,27530500.00000000,0.03680000,1015945.08194000,19
1648677600000,2022-03-30 22:00:00,BTC/NGN,27450003.00000000,27561757.00000000,27400691.00000000,27553062.00000000,0.10005000,2743823.92333000,18
1648674000000,2022-03-30 21:00:00,BTC/NGN,27534467.00000000,27693014.00000000,27450002.00000000,27450002.00000000,0.03739000,1030681.03764000,23
1648670400000,2022-03-30 20:00:00,BTC/NGN,27516596.00000000,27642118.00000000,27485505.00000000,27628000.00000000,0.09317000,2573781.71740000,16
1648666800000,2022-03-30 19:00:00,BTC/NGN,27457379.00000000,27598784.00000000,27434205.00000000,27434205.00000000,0.14317000,3933541.54736000,57
1648663200000,2022-03-30 18:00:00,BTC/NGN,27900018.00000000,27900018.00000000,27598037.00000000,27598786.00000000,0.13518000,3736983.96166000,29
1648659600000,2022-03-30 17:00:00,BTC/NGN,27681293.00000000,27914027.00000000,27560941.00000000,27914027.00000000,0.22975000,6391581.76027000,52
1648656000000,2022-03-30 16:00:00,BTC/NGN,27489216.00000000,27869751.00000000,27489216.00000000,27797183.00000000,0.04470000,1239651.06819000,32
1648652400000,2022-03-30 15:00:00,BTC/NGN,27494298.00000000,27643436.00000000,27469210.00000000,27598579.00000000,0.05354000,1473588.96430000,23
1648648800000,2022-03-30 14:00:00,BTC/NGN,27400001.00000000,27693015.00000000,27350001.00000000,27693015.00000000,0.01919000,528175.82846000,20
1648645200000,2022-03-30 13:00:00,BTC/NGN,27599838.00000000,27643040.00000000,27457378.00000000,27643040.00000000,0.24695000,6780951.52796000,9
1648641600000,2022-03-30 12:00:00,BTC/NGN,27694750.00000000,27761177.00000000,27599833.00000000,27599838.00000000,0.00790000,218882.37428000,9
1648638000000,2022-03-30 11:00:00,BTC/NGN,27685062.00000000,27799967.00000000,27457401.00000000,27701807.00000000,0.23458000,6500771.35162000,35
1648634400000,2022-03-30 10:00:00,BTC/NGN,27662334.00000000,27741693.00000000,27457378.00000000,27600000.00000000,0.00497000,137400.36495000,9
1648630800000,2022-03-30 09:00:00,BTC/NGN,27666782.00000000,27799999.00000000,27642201.00000000,27662334.00000000,0.04832000,1336694.36535000,16
1648627200000,2022-03-30 08:00:00,BTC/NGN,27828417.00000000,27828417.00000000,27591877.00000000,27828399.00000000,0.01833000,508501.23559000,17
1648623600000,2022-03-30 07:00:00,BTC/NGN,27691140.00000000,27829119.00000000,27691140.00000000,27828517.00000000,0.01856000,515899.45578000,14
1648620000000,2022-03-30 06:00:00,BTC/NGN,27799514.00000000,27886547.00000000,27679521.00000000,27886547.00000000,0.01196000,332302.45119000,13
1648616400000,2022-03-30 05:00:00,BTC/NGN,27712057.00000000,27799975.00000000,27711945.00000000,27799924.00000000,0.00269000,74742.81935000,6
1648612800000,2022-03-30 04:00:00,BTC/NGN,27766557.00000000,27766557.00000000,27622355.00000000,27622355.00000000,0.00144000,39868.60376000,7
1648609200000,2022-03-30 03:00:00,BTC/NGN,27692993.00000000,27767151.00000000,27579310.00000000,27579310.00000000,0.00477000,132025.65318000,6
1648605600000,2022-03-30 02:00:00,BTC/NGN,27555459.00000000,27692874.00000000,27551935.00000000,27559106.00000000,0.01728000,476270.22409000,13
1648602000000,2022-03-30 01:00:00,BTC/NGN,27500001.00000000,27500001.00000000,27300100.00000000,27303620.00000000,0.01913000,522719.31041000,9
1648598400000,2022-03-30 00:00:00,BTC/NGN,27815248.00000000,27815248.00000000,27593599.00000000,27593600.00000000,0.01610000,445214.01738000,9
1648594800000,2022-03-29 23:00:00,BTC/NGN,27607068.00000000,27703700.00000000,27607068.00000000,27651384.00000000,0.00354000,97959.39544000,5
1648591200000,2022-03-29 22:00:00,BTC/NGN,27641212.00000000,27641212.00000000,27499999.00000000,27593760.00000000,0.10431000,2875123.24240000,16
1648587600000,2022-03-29 21:00:00,BTC/NGN,27808022.00000000,27810312.00000000,27536952.00000000,27551390.00000000,0.06334000,1755077.20976000,18
1648584000000,2022-03-29 20:00:00,BTC/NGN,27995808.00000000,27995808.00000000,27714983.00000000,27714983.00000000,0.02544000,709790.77801000,21
1648580400000,2022-03-29 19:00:00,BTC/NGN,27826403.00000000,28050000.00000000,27826403.00000000,27995966.00000000,0.00619000,173024.87574000,9
1648576800000,2022-03-29 18:00:00,BTC/NGN,27750873.00000000,27826403.00000000,27626260.00000000,27795562.00000000,0.00825000,228802.02048000,11
1648573200000,2022-03-29 17:00:00,BTC/NGN,27821756.00000000,27821757.00000000,27534775.00000000,27750873.00000000,0.14133000,3903973.28773000,32
1648569600000,2022-03-29 16:00:00,BTC/NGN,27693017.00000000,27826402.00000000,27522086.00000000,27806420.00000000,0.05322000,1474671.08571000,34
1648566000000,2022-03-29 15:00:00,BTC/NGN,27997623.00000000,28098700.00000000,27725100.00000000,27812590.00000000,0.02984000,831563.01126000,24
1648562400000,2022-03-29 14:00:00,BTC/NGN,27762890.00000000,28056705.00000000,27762890.00000000,27841616.00000000,0.01702000,474514.46436000,16
1648558800000,2022-03-29 13:00:00,BTC/NGN,27999809.00000000,28024371.00000000,27700098.00000000,27912977.00000000,0.01848000,515222.02159000,18
1648555200000,2022-03-29 12:00:00,BTC/NGN,27962442.00000000,28164220.00000000,27962442.00000000,27999801.00000000,0.02431000,681640.70050000,19
1648551600000,2022-03-29 11:00:00,BTC/NGN,27872114.00000000,28000000.00000000,27802800.00000000,28000000.00000000,0.10107000,2824251.37248000,25
1648548000000,2022-03-29 10:00:00,BTC/NGN,27826411.00000000,27968978.00000000,27802521.00000000,27871987.00000000,0.07281000,2027338.45853000,35
1648544400000,2022-03-29 09:00:00,BTC/NGN,27853449.00000000,28000097.00000000,27772619.00000000,27826138.00000000,0.01955000,544548.91692000,22
