https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ERSDL,Volume USDT
1663459200,2022-09-18 00:00:00,ERSDL/USDT,0.00631,0.0065,0.00621,0.00621,471695.2133,2990.129214136
1663372800,2022-09-17 00:00:00,ERSDL/USDT,0.00582,0.0082,0.00579,0.00631,11116169.6563,75779.930532655
1663286400,2022-09-16 00:00:00,ERSDL/USDT,0.00611,0.00616,0.00576,0.00579,697162.1513,4166.923691774
1663200000,2022-09-15 00:00:00,ERSDL/USDT,0.00626,0.00688,0.00603,0.00611,1991363.737,12752.35326526
1663113600,2022-09-14 00:00:00,ERSDL/USDT,0.00635,0.0065,0.0061,0.00621,1051577.21096228,6610.2509753014956
1663027200,2022-09-13 00:00:00,ERSDL/USDT,0.00682,0.00689,0.00618,0.00635,721927.613,4668.109175301
1662940800,2022-09-12 00:00:00,ERSDL/USDT,0.00682,0.00741,0.0065,0.00682,4796121.0117,33205.084756805
1662854400,2022-09-11 00:00:00,ERSDL/USDT,0.0068,0.00696,0.00659,0.00682,1164125.5807,7882.335155175
1662768000,2022-09-10 00:00:00,ERSDL/USDT,0.00654,0.00721,0.00654,0.0068,2597310.3117,17966.914029488
1662681600,2022-09-09 00:00:00,ERSDL/USDT,0.00652,0.00728,0.00611,0.00649,4823419.765,32199.977897694
1662595200,2022-09-08 00:00:00,ERSDL/USDT,0.0059,0.00899,0.00587,0.00653,29917643.5182,205470.349719245
1662508800,2022-09-07 00:00:00,ERSDL/USDT,0.00551,0.00624,0.00499,0.0059,6389086.6829,35683.149307038
1662422400,2022-09-06 00:00:00,ERSDL/USDT,0.00568,0.0062,0.00549,0.00555,3115855.6019,18023.072665332
1662336000,2022-09-05 00:00:00,ERSDL/USDT,0.00578,0.0059,0.00557,0.00568,1418356.5829,8126.266589869
1662249600,2022-09-04 00:00:00,ERSDL/USDT,0.00547,0.00585,0.00533,0.00585,1891463.6117,10515.247023249
1662163200,2022-09-03 00:00:00,ERSDL/USDT,0.00572,0.00582,0.00535,0.00552,2197206.7939,12336.914313461
1662076800,2022-09-02 00:00:00,ERSDL/USDT,0.00574,0.0066,0.00568,0.00571,10690853.1654,65468.609690008
1661990400,2022-09-01 00:00:00,ERSDL/USDT,0.0057,0.00582,0.00546,0.00574,1241946.3556,6961.905726089
1661904000,2022-08-31 00:00:00,ERSDL/USDT,0.00559,0.006,0.00541,0.00575,2388787.9991,13650.750292268
1661817600,2022-08-30 00:00:00,ERSDL/USDT,0.00563,0.00581,0.00524,0.00558,2045714.0813,11262.611871298
1661731200,2022-08-29 00:00:00,ERSDL/USDT,0.0056,0.00641,0.00511,0.00567,4524277.5891,26273.554088417
1661644800,2022-08-28 00:00:00,ERSDL/USDT,0.0059,0.0059,0.00524,0.00561,2712381.9569,15216.938782358
1661558400,2022-08-27 00:00:00,ERSDL/USDT,0.006,0.00619,0.0055,0.0059,2365598.9992,13968.559655385
1661472000,2022-08-26 00:00:00,ERSDL/USDT,0.0065,0.0066,0.006,0.006,974532.7105,6173.980899177
1661385600,2022-08-25 00:00:00,ERSDL/USDT,0.00712,0.00723,0.0065,0.0065,3274372.1672,22355.553608371
1661299200,2022-08-24 00:00:00,ERSDL/USDT,0.00683,0.00734,0.0067,0.00712,4211173.1363,29339.110901181
1661212800,2022-08-23 00:00:00,ERSDL/USDT,0.00658,0.00685,0.00655,0.00682,504433.4967,3396.17393931
1661126400,2022-08-22 00:00:00,ERSDL/USDT,0.0068,0.00694,0.00631,0.00667,1610795.1499,10777.152314232
1661040000,2022-08-21 00:00:00,ERSDL/USDT,0.00638,0.00696,0.00638,0.00679,2608464.5637,17422.740987613
1660953600,2022-08-20 00:00:00,ERSDL/USDT,0.00625,0.00671,0.00623,0.0063,1275531.8211,8254.016341279
1660867200,2022-08-19 00:00:00,ERSDL/USDT,0.00749,0.00756,0.00625,0.00625,3881623.24237603,25917.1372338287568
1660780800,2022-08-18 00:00:00,ERSDL/USDT,0.0076,0.00807,0.00745,0.00749,3827054.2925,29274.003384935
1660694400,2022-08-17 00:00:00,ERSDL/USDT,0.00763,0.00798,0.0075,0.00766,2904349.2805,22414.045560391
1660608000,2022-08-16 00:00:00,ERSDL/USDT,0.00732,0.00998,0.00731,0.00771,13012744.6506,105887.712094806
1660521600,2022-08-15 00:00:00,ERSDL/USDT,0.00775,0.00801,0.00731,0.0074,1264691.3427,9712.251977173
1660435200,2022-08-14 00:00:00,ERSDL/USDT,0.00796,0.00824,0.00759,0.00775,1998249.4296,15733.016945809
1660348800,2022-08-13 00:00:00,ERSDL/USDT,0.00809,0.00869,0.00773,0.00795,3581077.2006,29195.430643487
1660262400,2022-08-12 00:00:00,ERSDL/USDT,0.00768,0.0081,0.0076,0.00803,1878216.5986,14589.039457895
1660176000,2022-08-11 00:00:00,ERSDL/USDT,0.00756,0.00834,0.00749,0.00769,2850767.7581,22567.099891258
1660089600,2022-08-10 00:00:00,ERSDL/USDT,0.00749,0.00793,0.00719,0.00765,1814705.2083,13768.590213395
1660003200,2022-08-09 00:00:00,ERSDL/USDT,0.00802,0.00815,0.00747,0.00748,2872848.4377,22232.424382222
1659916800,2022-08-08 00:00:00,ERSDL/USDT,0.0078,0.00905,0.00767,0.0081,4495438.5962,36779.592564364
1659830400,2022-08-07 00:00:00,ERSDL/USDT,0.00778,0.00787,0.0074,0.0078,1273813.3335,9711.991039663
1659744000,2022-08-06 00:00:00,ERSDL/USDT,0.00778,0.00791,0.00743,0.00778,2050318.7527,15681.518769488
1659657600,2022-08-05 00:00:00,ERSDL/USDT,0.0076,0.00838,0.00754,0.00778,5533652.3761,43546.713048263
1659571200,2022-08-04 00:00:00,ERSDL/USDT,0.008,0.01101,0.0074,0.00759,32735824.65362087,299307.3440447525893
1659484800,2022-08-03 00:00:00,ERSDL/USDT,0.00743,0.00998,0.0073,0.008,28999747.47844461,248886.0242056342629
1659398400,2022-08-02 00:00:00,ERSDL/USDT,0.00767,0.00788,0.0072,0.00743,6585637.2271,49285.778781719
1659312000,2022-08-01 00:00:00,ERSDL/USDT,0.00721,0.0079,0.00672,0.00766,7917213.8774,58298.802423294
1659225600,2022-07-31 00:00:00,ERSDL/USDT,0.00731,0.00788,0.0072,0.00721,4350644.6237,32739.668675094
1659139200,2022-07-30 00:00:00,ERSDL/USDT,0.00725,0.0076,0.00695,0.00737,4448909.3621,32722.657264658
1659052800,2022-07-29 00:00:00,ERSDL/USDT,0.00712,0.00748,0.00684,0.0072,2506263.1935,17793.139213684
1658966400,2022-07-28 00:00:00,ERSDL/USDT,0.00706,0.0075,0.00661,0.00711,4481328.3771,31492.980779093
1658880000,2022-07-27 00:00:00,ERSDL/USDT,0.00626,0.0071,0.00614,0.00701,3548398.7321,23334.991224373
1658793600,2022-07-26 00:00:00,ERSDL/USDT,0.00658,0.0066,0.0061,0.00625,2582200.7369,16113.731202544
1658707200,2022-07-25 00:00:00,ERSDL/USDT,0.00711,0.00718,0.00651,0.00652,2532300.8247,17017.022717916
