https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SRM,Volume USDT
1663545600000.0,2022-09-19 00:00:00,SRM/USDT,0.748,0.749,0.741,0.741,8000.350877192983,5928.26
1663459200000.0,2022-09-18 00:00:00,SRM/USDT,0.806,0.809,0.74,0.748,165749.8101604278,123980.858
1663372800000.0,2022-09-17 00:00:00,SRM/USDT,0.778,0.806,0.777,0.806,57747.689826302725,46544.638
1663286400000.0,2022-09-16 00:00:00,SRM/USDT,0.791,0.799,0.756,0.778,90940.27506426735,70751.534
1663200000000.0,2022-09-15 00:00:00,SRM/USDT,0.831,0.831,0.777,0.791,147139.22503160554,116387.127
1663113600000.0,2022-09-14 00:00:00,SRM/USDT,0.807,0.836,0.802,0.831,112041.9506618532,93106.861
1663027200000.0,2022-09-13 00:00:00,SRM/USDT,0.869,0.886,0.792,0.807,244386.97893432464,197220.292
1662940800000.0,2022-09-12 00:00:00,SRM/USDT,0.858,0.914,0.839,0.869,198374.8768699655,172387.768
1662854400000.0,2022-09-11 00:00:00,SRM/USDT,0.867,0.876,0.842,0.858,74967.33216783217,64321.971
1662768000000.0,2022-09-10 00:00:00,SRM/USDT,0.861,0.88,0.849,0.867,99633.64475201844,86382.37
1662681600000.0,2022-09-09 00:00:00,SRM/USDT,0.827,0.88,0.827,0.861,191045.06271777002,164489.799
1662595200000.0,2022-09-08 00:00:00,SRM/USDT,0.792,0.84,0.783,0.827,226726.2877871826,187502.64
1662508800000.0,2022-09-07 00:00:00,SRM/USDT,0.745,0.8,0.728,0.792,201525.31186868684,159608.047
1662422400000.0,2022-09-06 00:00:00,SRM/USDT,0.807,0.824,0.744,0.745,166828.06577181208,124286.909
1662336000000.0,2022-09-05 00:00:00,SRM/USDT,0.819,0.825,0.779,0.807,95428.8302354399,77011.066
1662249600000.0,2022-09-04 00:00:00,SRM/USDT,0.779,0.827,0.779,0.819,75208.36141636143,61595.648
1662163200000.0,2022-09-03 00:00:00,SRM/USDT,0.78,0.786,0.771,0.779,52156.18741976893,40629.67
1662076800000.0,2022-09-02 00:00:00,SRM/USDT,0.8,0.807,0.773,0.78,121439.13461538461,94722.525
1661990400000.0,2022-09-01 00:00:00,SRM/USDT,0.779,0.802,0.766,0.8,249731.71999999997,199785.376
1661904000000.0,2022-08-31 00:00:00,SRM/USDT,0.778,0.808,0.777,0.779,238232.75353016687,185583.315
1661817600000.0,2022-08-30 00:00:00,SRM/USDT,0.799,0.81,0.76,0.778,169811.3856041131,132113.258
1661731200000.0,2022-08-29 00:00:00,SRM/USDT,0.754,0.802,0.747,0.799,215593.83479349184,172259.474
1661644800000.0,2022-08-28 00:00:00,SRM/USDT,0.775,0.788,0.75,0.754,363846.7944297082,274340.483
1661558400000.0,2022-08-27 00:00:00,SRM/USDT,0.771,0.778,0.753,0.775,348610.4141935484,270173.071
1661472000000.0,2022-08-26 00:00:00,SRM/USDT,0.852,0.855,0.761,0.771,760281.0674448768,586176.703
1661385600000.0,2022-08-25 00:00:00,SRM/USDT,0.838,0.863,0.837,0.852,422313.29342723003,359810.926
1661299200000.0,2022-08-24 00:00:00,SRM/USDT,0.858,0.867,0.83,0.838,603332.3102625299,505592.476
1661212800000.0,2022-08-23 00:00:00,SRM/USDT,0.825,0.862,0.801,0.858,543355.8484848485,466199.318
1661126400000.0,2022-08-22 00:00:00,SRM/USDT,0.844,0.844,0.795,0.825,564598.3818181818,465793.665
1661040000000.0,2022-08-21 00:00:00,SRM/USDT,0.832,0.855,0.819,0.844,398486.69668246445,336322.772
1660953600000.0,2022-08-20 00:00:00,SRM/USDT,0.835,0.871,0.805,0.832,286106.5108173077,238040.617
1660867200000.0,2022-08-19 00:00:00,SRM/USDT,0.965,0.965,0.827,0.835,651462.5676646706,543971.244
