https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CHR,Volume USDT
1663462800,2022-09-18 01:00:00,CHR/USDT,0.165848,0.166127,0.165848,0.166127,171.3794974,28.42517199674051
1663459200,2022-09-18 00:00:00,CHR/USDT,0.168563,0.168564,0.16546,0.16546,120545.13764081,20059.64156773173726
1663455600,2022-09-17 23:00:00,CHR/USDT,0.167415,0.168473,0.167415,0.168277,12042.27612063,2022.39886227878652
1663452000,2022-09-17 22:00:00,CHR/USDT,0.167239,0.167827,0.16646,0.16707,53109.75166557,8874.91858227153627
1663448400,2022-09-17 21:00:00,CHR/USDT,0.165528,0.168,0.165409,0.167294,20223.70011192,3371.7170711387314
1663444800,2022-09-17 20:00:00,CHR/USDT,0.166488,0.166701,0.16531,0.165472,31555.49710693,5235.56749648037856
1663441200,2022-09-17 19:00:00,CHR/USDT,0.166829,0.166871,0.165661,0.166494,65860.9357991,10948.2871854725146
1663437600,2022-09-17 18:00:00,CHR/USDT,0.166803,0.168079,0.166595,0.166875,239529.36054542,40060.80617445838661
1663434000,2022-09-17 17:00:00,CHR/USDT,0.167778,0.169199,0.166448,0.166599,14831.21583427,2482.43310915898469
1663430400,2022-09-17 16:00:00,CHR/USDT,0.167787,0.169927,0.16583,0.168029,100823.26007674,16904.70204093031206
1663426800,2022-09-17 15:00:00,CHR/USDT,0.161045,0.17,0.160695,0.167749,283209.80333465,46932.29219075270252
1663423200,2022-09-17 14:00:00,CHR/USDT,0.15943,0.161443,0.159389,0.160826,61632.49827163,9923.09183740145476
1663419600,2022-09-17 13:00:00,CHR/USDT,0.159475,0.159993,0.15922,0.159405,13050.19472526,2080.8397501813954
1663416000,2022-09-17 12:00:00,CHR/USDT,0.158488,0.159616,0.157924,0.159283,15642.94540903,2486.05593855818567
1663412400,2022-09-17 11:00:00,CHR/USDT,0.15811,0.158549,0.15811,0.158549,5610.75837702,887.14417832289353
1663408800,2022-09-17 10:00:00,CHR/USDT,0.158749,0.158937,0.157999,0.15811,13857.5664,2199.0611315469
1663405200,2022-09-17 09:00:00,CHR/USDT,0.158655,0.15872,0.158358,0.15872,6151.8034,976.0274750209
1663401600,2022-09-17 08:00:00,CHR/USDT,0.158351,0.158767,0.158241,0.158609,6198.51870433,981.92154986576098
1663398000,2022-09-17 07:00:00,CHR/USDT,0.15818,0.158438,0.157869,0.158351,37929.60735376,5994.29604057734743
1663394400,2022-09-17 06:00:00,CHR/USDT,0.158188,0.1583,0.157819,0.158181,2755.35546848,436.10643357737045
1663390800,2022-09-17 05:00:00,CHR/USDT,0.158721,0.158721,0.157466,0.157834,8536.4157,1347.3458207408
1663387200,2022-09-17 04:00:00,CHR/USDT,0.15917,0.159685,0.158982,0.159228,19690.07109313,3137.1828508067021
1663383600,2022-09-17 03:00:00,CHR/USDT,0.158514,0.158911,0.158391,0.158506,104.12551345,16.50420484168344
1663380000,2022-09-17 02:00:00,CHR/USDT,0.159006,0.159096,0.158414,0.158414,15351.1112,2434.5305009966
1663376400,2022-09-17 01:00:00,CHR/USDT,0.158495,0.159227,0.158314,0.158983,76787.1804468,12174.07453927375926
1663372800,2022-09-17 00:00:00,CHR/USDT,0.157034,0.159301,0.157034,0.158319,21007.24648772,3318.20994095281894
1663369200,2022-09-16 23:00:00,CHR/USDT,0.156785,0.157248,0.156743,0.157159,34317.9394,5386.778844103
1663365600,2022-09-16 22:00:00,CHR/USDT,0.156743,0.157413,0.156733,0.157142,4910.52670386,771.79526313401418
1663362000,2022-09-16 21:00:00,CHR/USDT,0.157328,0.157328,0.156563,0.156563,25860.10708589,4060.10015678885529
1663358400,2022-09-16 20:00:00,CHR/USDT,0.155942,0.157523,0.155942,0.157259,11690.67788522,1832.80198105428148
1663354800,2022-09-16 19:00:00,CHR/USDT,0.155393,0.156325,0.155393,0.156176,15890.20639554,2478.17254053131302
1663351200,2022-09-16 18:00:00,CHR/USDT,0.154681,0.155668,0.153713,0.155256,6211.22293108,963.56232789996144
1663347600,2022-09-16 17:00:00,CHR/USDT,0.154362,0.155201,0.15286,0.154937,103989.07684801,15975.21984671700207
1663344000,2022-09-16 16:00:00,CHR/USDT,0.155363,0.155363,0.152597,0.154234,25257.038788,3878.64440116339748
1663340400,2022-09-16 15:00:00,CHR/USDT,0.155349,0.156468,0.154901,0.155411,12706.98090156,1979.97325397577479
1663336800,2022-09-16 14:00:00,CHR/USDT,0.15317,0.156319,0.15317,0.155477,41379.57245237,6405.97015166451692
1663333200,2022-09-16 13:00:00,CHR/USDT,0.154768,0.154916,0.152141,0.152869,38264.79882173,5879.71452638507041
1663329600,2022-09-16 12:00:00,CHR/USDT,0.15631,0.156412,0.154349,0.154568,39134.4484109,6074.06134631659482
1663326000,2022-09-16 11:00:00,CHR/USDT,0.155246,0.156424,0.155013,0.156213,37862.06990566,5881.00203431927942
1663322400,2022-09-16 10:00:00,CHR/USDT,0.154635,0.1554,0.15427,0.155256,9309.56048905,1440.39645219176659
1663318800,2022-09-16 09:00:00,CHR/USDT,0.153298,0.154576,0.153298,0.15433,8440.28651828,1301.32828745825288
1663315200,2022-09-16 08:00:00,CHR/USDT,0.155187,0.155187,0.152507,0.152858,11966.7537236,1847.27472564361297
1663311600,2022-09-16 07:00:00,CHR/USDT,0.15514,0.15562,0.154945,0.155182,6323.89767933,982.0705014548346
1663308000,2022-09-16 06:00:00,CHR/USDT,0.155212,0.155428,0.154682,0.155138,11782.21473522,1826.32036452311882
1663304400,2022-09-16 05:00:00,CHR/USDT,0.154917,0.155772,0.154917,0.15522,6232.6181,966.2807704415
1663300800,2022-09-16 04:00:00,CHR/USDT,0.154681,0.155668,0.154514,0.15547,5791.82460799,895.49970983703429
1663297200,2022-09-16 03:00:00,CHR/USDT,0.153654,0.154861,0.153654,0.154861,12871.72607255,1983.76628989016285
1663293600,2022-09-16 02:00:00,CHR/USDT,0.155217,0.155326,0.152579,0.15385,31271.32154389,4828.5929439508024
1663290000,2022-09-16 01:00:00,CHR/USDT,0.155493,0.155764,0.154472,0.155022,21466.44241405,3333.62814704339884
1663286400,2022-09-16 00:00:00,CHR/USDT,0.155468,0.155824,0.152982,0.155824,35235.40116713,5442.26678936021961
1663282800,2022-09-15 23:00:00,CHR/USDT,0.155074,0.155668,0.153727,0.155031,178694.977547,27590.49065814649266
1663279200,2022-09-15 22:00:00,CHR/USDT,0.157007,0.157007,0.15385,0.155078,69361.26728628,10720.62203456953719
1663275600,2022-09-15 21:00:00,CHR/USDT,0.157775,0.157775,0.15632,0.1569,13722.4319182,2153.4052141744336
1663272000,2022-09-15 20:00:00,CHR/USDT,0.157889,0.158203,0.157289,0.158023,97.4933,15.3929217739
1663268400,2022-09-15 19:00:00,CHR/USDT,0.15702,0.158059,0.156565,0.157624,24457.9272,3836.9713893162
1663264800,2022-09-15 18:00:00,CHR/USDT,0.157466,0.157883,0.156815,0.156815,11473.6761,1807.9553746411
1663261200,2022-09-15 17:00:00,CHR/USDT,0.15792,0.158464,0.157508,0.157508,26391.2326,4168.3489413122
1663257600,2022-09-15 16:00:00,CHR/USDT,0.156525,0.157811,0.155836,0.157811,10576.58173603,1660.72521715194271
1663254000,2022-09-15 15:00:00,CHR/USDT,0.155628,0.157154,0.153971,0.156562,18729.56176919,2914.20557947585597
1663250400,2022-09-15 14:00:00,CHR/USDT,0.159616,0.15979,0.154997,0.1555,7815.71234846,1229.50091836802944
1663246800,2022-09-15 13:00:00,CHR/USDT,0.159617,0.159636,0.15789,0.159397,26437.1787521,4194.48629172967391
1663243200,2022-09-15 12:00:00,CHR/USDT,0.159651,0.160114,0.158119,0.159403,24872.54813305,3958.98148795363388
1663239600,2022-09-15 11:00:00,CHR/USDT,0.158342,0.159685,0.157598,0.159685,6866.9403408,1088.22141809411165
1663236000,2022-09-15 10:00:00,CHR/USDT,0.159587,0.16005,0.15792,0.158394,10192.88646747,1616.70191756599842
1663232400,2022-09-15 09:00:00,CHR/USDT,0.160105,0.160234,0.15919,0.159661,11840.42961489,1888.74091760796674
1663228800,2022-09-15 08:00:00,CHR/USDT,0.161317,0.161443,0.1588,0.159936,13924.18973377,2235.28509978128874
1663225200,2022-09-15 07:00:00,CHR/USDT,0.159965,0.162478,0.159756,0.161131,114711.46942084,18465.13640367657397
1663221600,2022-09-15 06:00:00,CHR/USDT,0.157454,0.161269,0.154718,0.159917,145445.27859614,22935.54677633793483
1663218000,2022-09-15 05:00:00,CHR/USDT,0.156289,0.157963,0.15547,0.157732,22353.60652318,3499.46164701966407
1663214400,2022-09-15 04:00:00,CHR/USDT,0.156442,0.156742,0.15496,0.156238,43525.17954057,6795.53564615188365
1663210800,2022-09-15 03:00:00,CHR/USDT,0.158209,0.158209,0.154246,0.156346,65141.56024721,10164.31306283615804
1663207200,2022-09-15 02:00:00,CHR/USDT,0.161279,0.161279,0.157203,0.158373,32327.43373344,5118.97527117321099
1663203600,2022-09-15 01:00:00,CHR/USDT,0.161338,0.161458,0.159685,0.161458,18297.07982566,2943.92881538539068
1663200000,2022-09-15 00:00:00,CHR/USDT,0.16279,0.163328,0.160739,0.161222,73331.30749396,11954.79467580454976
1663196400,2022-09-14 23:00:00,CHR/USDT,0.163205,0.163979,0.16279,0.162868,37102.18791928,6066.54853334883944
1663192800,2022-09-14 22:00:00,CHR/USDT,0.16273,0.163979,0.162151,0.163294,21079.53132353,3431.00795320225753
1663189200,2022-09-14 21:00:00,CHR/USDT,0.161211,0.162706,0.160434,0.162706,20441.80350278,3300.12473641721823
1663185600,2022-09-14 20:00:00,CHR/USDT,0.161535,0.161679,0.160547,0.161387,11403.5767367,1838.81827520439946
1663182000,2022-09-14 19:00:00,CHR/USDT,0.160179,0.161505,0.159698,0.161505,31346.54926771,5049.05665020979311
1663178400,2022-09-14 18:00:00,CHR/USDT,0.161499,0.161503,0.157814,0.160254,57432.46535246,9190.50332855670901
1663174800,2022-09-14 17:00:00,CHR/USDT,0.161658,0.162364,0.161154,0.161636,40072.1098189,6461.45349794798764
1663171200,2022-09-14 16:00:00,CHR/USDT,0.162477,0.162477,0.160918,0.161255,10151.0165,1639.6629672437
1663167600,2022-09-14 15:00:00,CHR/USDT,0.162963,0.163096,0.162383,0.162828,13364.20311643,2173.17573168516728
1663164000,2022-09-14 14:00:00,CHR/USDT,0.163097,0.16372,0.162034,0.163342,7296.29636961,1184.96857656546906
1663160400,2022-09-14 13:00:00,CHR/USDT,0.163952,0.1646,0.161443,0.163546,26912.65977931,4399.74400056119074
1663156800,2022-09-14 12:00:00,CHR/USDT,0.162506,0.165467,0.160593,0.164044,79013.08718779,12922.92273705513934
1663153200,2022-09-14 11:00:00,CHR/USDT,0.163681,0.163702,0.161535,0.162044,12563.1078694,2049.20501416579643
1663149600,2022-09-14 10:00:00,CHR/USDT,0.163046,0.163853,0.163046,0.163374,36210.46454527,5909.71364665815105
1663146000,2022-09-14 09:00:00,CHR/USDT,0.162868,0.163952,0.162217,0.16319,63359.55932976,10317.27693491654848
1663142400,2022-09-14 08:00:00,CHR/USDT,0.16182,0.164165,0.161176,0.163153,68509.95338442,11192.41562622262194
1663138800,2022-09-14 07:00:00,CHR/USDT,0.164175,0.164849,0.160434,0.162399,177934.23862063,29165.04985212508151
1663135200,2022-09-14 06:00:00,CHR/USDT,0.1655,0.1655,0.163,0.163999,13642.7975,2233.3392074501
1663131600,2022-09-14 05:00:00,CHR/USDT,0.166114,0.166114,0.16571,0.16571,95.8232,15.8886718816
1663128000,2022-09-14 04:00:00,CHR/USDT,0.165604,0.166195,0.16474,0.166184,8582.34597852,1421.55723560412746
1663124400,2022-09-14 03:00:00,CHR/USDT,0.165706,0.16628,0.165129,0.165835,17459.35951008,2895.27697718413412
1663120800,2022-09-14 02:00:00,CHR/USDT,0.165271,0.165875,0.164616,0.165653,13249.09833131,2191.37883548831522
1663117200,2022-09-14 01:00:00,CHR/USDT,0.164739,0.165471,0.164321,0.164519,571.7026,94.2399415256
1663113600,2022-09-14 00:00:00,CHR/USDT,0.162998,0.164795,0.162638,0.164616,2936.41928472,481.3628293765744
1663110000,2022-09-13 23:00:00,CHR/USDT,0.164734,0.164734,0.163018,0.164,30166.48914683,4945.73912751406343
1663106400,2022-09-13 22:00:00,CHR/USDT,0.165767,0.165767,0.163877,0.165165,129563.67268711,21392.13226400665089
1663102800,2022-09-13 21:00:00,CHR/USDT,0.166114,0.16669,0.164452,0.165783,35154.32393451,5837.18244100076397
