https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume RUB,tradecount
1663545600000,2022-09-19 00:00:00,BTC/RUB,1173368.00000000,1175000.00000000,1172333.00000000,1172599.00000000,0.32447000,380810.67164000,19
1663459200000,2022-09-18 00:00:00,BTC/RUB,1213234.00000000,1213853.00000000,1168938.00000000,1170820.00000000,12.12913000,14529058.78786000,2049
1663372800000,2022-09-17 00:00:00,BTC/RUB,1201310.00000000,1219638.00000000,1195216.00000000,1215000.00000000,14.98248000,18065362.70198000,2145
1663286400000,2022-09-16 00:00:00,BTC/RUB,1183275.00000000,1204703.00000000,1170000.00000000,1202000.00000000,18.17538000,21610030.78937000,3054
1663200000000,2022-09-15 00:00:00,BTC/RUB,1218129.00000000,1251100.00000000,1125090.00000000,1181798.00000000,35.53747000,42423443.25715000,4156
1663113600000,2022-09-14 00:00:00,BTC/RUB,1234595.00000000,1247847.00000000,1181000.00000000,1218129.00000000,32.01429000,39012883.67879000,4711
1663027200000,2022-09-13 00:00:00,BTC/RUB,1353834.00000000,1374000.00000000,1194852.00000000,1233160.00000000,71.04433000,92639968.57834000,8081
1662940800000,2022-09-12 00:00:00,BTC/RUB,1326826.00000000,1360848.00000000,1308735.00000000,1351206.00000000,22.18799000,29822104.59603000,3572
1662854400000,2022-09-11 00:00:00,BTC/RUB,1314928.00000000,1327184.00000000,1296706.00000000,1327184.00000000,16.17985000,21223822.11087000,2242
1662768000000,2022-09-10 00:00:00,BTC/RUB,1298844.00000000,1324000.00000000,1283000.00000000,1314928.00000000,29.64637000,38544714.96554000,3327
1662681600000,2022-09-09 00:00:00,BTC/RUB,1178666.00000000,1310458.00000000,1177431.00000000,1300782.00000000,39.27150000,49649480.41454000,5372
1662595200000,2022-09-08 00:00:00,BTC/RUB,1194397.00000000,1198564.00000000,1160592.00000000,1180000.00000000,21.10990000,24909731.85416000,2909
1662508800000,2022-09-07 00:00:00,BTC/RUB,1147450.00000000,1196965.00000000,1134688.00000000,1194383.00000000,35.69669000,41348677.46378000,3155
1662422400000,2022-09-06 00:00:00,BTC/RUB,1204346.00000000,1223000.00000000,1143422.00000000,1149474.00000000,43.04574000,51475294.70202000,4655
1662336000000,2022-09-05 00:00:00,BTC/RUB,1197823.00000000,1209183.00000000,1181903.00000000,1202205.00000000,43.80932000,52480725.75467000,4352
1662249600000,2022-09-04 00:00:00,BTC/RUB,1195000.00000000,1200314.00000000,1179125.00000000,1197823.00000000,11.77635000,14013575.86009000,2953
1662163200000,2022-09-03 00:00:00,BTC/RUB,1200296.00000000,1206431.00000000,1186002.00000000,1195000.00000000,13.07012000,15601705.05321000,2087
1662076800000,2022-09-02 00:00:00,BTC/RUB,1208500.00000000,1227286.00000000,1186182.00000000,1201752.00000000,32.15720000,38912120.05736000,3589
1661990400000,2022-09-01 00:00:00,BTC/RUB,1210100.00000000,1220000.00000000,1173228.00000000,1211071.00000000,28.09396000,33859932.65437000,2883
1661904000000,2022-08-31 00:00:00,BTC/RUB,1201005.00000000,1239464.00000000,1199389.00000000,1212255.00000000,28.78767000,35219346.44988000,2858
1661817600000,2022-08-30 00:00:00,BTC/RUB,1250681.00000000,1264728.00000000,1191853.00000000,1194918.00000000,31.68560000,39036423.65474000,3351
1661731200000,2022-08-29 00:00:00,BTC/RUB,1187394.00000000,1255251.00000000,1186780.00000000,1252075.00000000,34.05474000,41522912.14373000,3299
1661644800000,2022-08-28 00:00:00,BTC/RUB,1215037.00000000,1221702.00000000,1184410.00000000,1186032.00000000,22.77767000,27612882.44072000,2218
1661558400000,2022-08-27 00:00:00,BTC/RUB,1223224.00000000,1233706.00000000,1203776.00000000,1213932.00000000,12.70592000,15490884.71922000,1944
1661472000000,2022-08-26 00:00:00,BTC/RUB,1296727.00000000,1315690.00000000,1220000.00000000,1226579.00000000,32.07884000,41060829.10438000,3618
1661385600000,2022-08-25 00:00:00,BTC/RUB,1282359.00000000,1307813.00000000,1280442.00000000,1301463.00000000,24.85346000,32330807.32002000,2593
1661299200000,2022-08-24 00:00:00,BTC/RUB,1294854.00000000,1364174.00000000,1260000.00000000,1284573.00000000,59.30916000,76251978.79776000,4183
1661212800000,2022-08-23 00:00:00,BTC/RUB,1287524.00000000,1306471.00000000,1257348.00000000,1295263.00000000,29.54034000,38015550.84614000,3233
1661126400000,2022-08-22 00:00:00,BTC/RUB,1285001.00000000,1293499.00000000,1253473.00000000,1285646.00000000,24.43276000,31077515.72632000,2714
1661040000000,2022-08-21 00:00:00,BTC/RUB,1265588.00000000,1300000.00000000,1260455.00000000,1285001.00000000,11.41429000,14607411.36900000,1782
