https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GODS,Volume EUR
1663545600,2022-09-19 00:00:00,GODS/EUR,0.46,0.46,0.46,0.46,0.00,0.0
1663459200,2022-09-18 00:00:00,GODS/EUR,0.34,0.54,0.34,0.46,46094.12,21203.2952
1663372800,2022-09-17 00:00:00,GODS/EUR,0.31,0.31,0.31,0.31,725.77,224.9887
1663286400,2022-09-16 00:00:00,GODS/EUR,0.29,0.32,0.29,0.30,3190.98,957.294
1663200000,2022-09-15 00:00:00,GODS/EUR,0.31,0.31,0.31,0.31,7130.63,2210.4953
1663113600,2022-09-14 00:00:00,GODS/EUR,0.31,0.35,0.31,0.32,11393.78,3646.0096000000003
1663027200,2022-09-13 00:00:00,GODS/EUR,0.31,0.32,0.30,0.30,10591.83,3177.549
1662940800,2022-09-12 00:00:00,GODS/EUR,0.32,0.32,0.32,0.32,3463.38,1108.2816
1662854400,2022-09-11 00:00:00,GODS/EUR,0.32,0.33,0.32,0.32,13187.04,4219.852800000001
1662768000,2022-09-10 00:00:00,GODS/EUR,0.34,0.34,0.33,0.33,6148.99,2029.1667
1662681600,2022-09-09 00:00:00,GODS/EUR,0.34,0.34,0.33,0.33,18256.20,6024.546
1662595200,2022-09-08 00:00:00,GODS/EUR,0.32,0.33,0.32,0.33,635.73,209.79090000000002
1662508800,2022-09-07 00:00:00,GODS/EUR,0.33,0.33,0.33,0.33,258.65,85.3545
1662422400,2022-09-06 00:00:00,GODS/EUR,0.35,0.35,0.31,0.32,12248.54,3919.5328000000004
1662336000,2022-09-05 00:00:00,GODS/EUR,0.36,0.37,0.35,0.35,7193.98,2517.8929999999996
1662249600,2022-09-04 00:00:00,GODS/EUR,0.35,0.37,0.35,0.37,1033.06,382.2322
1662163200,2022-09-03 00:00:00,GODS/EUR,0.35,0.38,0.34,0.35,3340.40,1169.1399999999999
1662076800,2022-09-02 00:00:00,GODS/EUR,0.33,0.35,0.33,0.35,14114.52,4940.081999999999
1661990400,2022-09-01 00:00:00,GODS/EUR,0.32,0.32,0.31,0.32,1780.41,569.7312000000001
1661904000,2022-08-31 00:00:00,GODS/EUR,0.33,0.33,0.32,0.33,3286.91,1084.6803
1661817600,2022-08-30 00:00:00,GODS/EUR,0.33,0.34,0.32,0.32,1735.40,555.3280000000001
1661731200,2022-08-29 00:00:00,GODS/EUR,0.32,0.32,0.32,0.32,1849.71,591.9072
1661644800,2022-08-28 00:00:00,GODS/EUR,0.33,0.33,0.33,0.33,930.85,307.1805
1661558400,2022-08-27 00:00:00,GODS/EUR,0.33,0.33,0.33,0.33,169.56,55.954800000000006
1661472000,2022-08-26 00:00:00,GODS/EUR,0.35,0.36,0.33,0.33,5694.30,1879.1190000000001
1661385600,2022-08-25 00:00:00,GODS/EUR,0.37,0.37,0.36,0.36,4466.33,1607.8788
1661299200,2022-08-24 00:00:00,GODS/EUR,0.38,0.38,0.38,0.38,4179.64,1588.2632
1661212800,2022-08-23 00:00:00,GODS/EUR,0.39,0.39,0.39,0.39,7090.15,2765.1585
1661126400,2022-08-22 00:00:00,GODS/EUR,0.40,0.42,0.39,0.41,5192.91,2129.0930999999996
1661040000,2022-08-21 00:00:00,GODS/EUR,0.37,0.37,0.37,0.37,1716.13,634.9681
1660953600,2022-08-20 00:00:00,GODS/EUR,0.35,0.37,0.35,0.37,2285.49,845.6312999999999
1660867200,2022-08-19 00:00:00,GODS/EUR,0.36,0.36,0.33,0.35,8115.93,2840.5755
1660780800,2022-08-18 00:00:00,GODS/EUR,0.39,0.39,0.37,0.37,1556.42,575.8754
1660694400,2022-08-17 00:00:00,GODS/EUR,0.41,0.41,0.38,0.38,22976.58,8731.100400000001
1660608000,2022-08-16 00:00:00,GODS/EUR,0.40,0.40,0.40,0.40,1642.02,656.808
1660521600,2022-08-15 00:00:00,GODS/EUR,0.41,0.41,0.40,0.40,2813.11,1125.2440000000001
1660435200,2022-08-14 00:00:00,GODS/EUR,0.41,0.42,0.39,0.40,2074.44,829.7760000000001
1660348800,2022-08-13 00:00:00,GODS/EUR,0.41,0.41,0.41,0.41,0.00,0.0
1660262400,2022-08-12 00:00:00,GODS/EUR,0.39,0.42,0.39,0.41,1074.39,440.4999
1660176000,2022-08-11 00:00:00,GODS/EUR,0.41,0.42,0.39,0.39,14962.54,5835.390600000001
1660089600,2022-08-10 00:00:00,GODS/EUR,0.39,0.39,0.39,0.39,1019.76,397.70640000000003
1660003200,2022-08-09 00:00:00,GODS/EUR,0.42,0.42,0.38,0.38,8240.10,3131.2380000000003
1659916800,2022-08-08 00:00:00,GODS/EUR,0.41,0.42,0.41,0.41,4123.60,1690.6760000000002
1659830400,2022-08-07 00:00:00,GODS/EUR,0.40,0.44,0.40,0.43,17041.81,7327.978300000001
1659744000,2022-08-06 00:00:00,GODS/EUR,0.41,0.41,0.41,0.41,1995.32,818.0812
1659657600,2022-08-05 00:00:00,GODS/EUR,0.41,0.41,0.41,0.41,928.28,380.59479999999996
1659571200,2022-08-04 00:00:00,GODS/EUR,0.40,0.43,0.40,0.43,27746.62,11931.0466
1659484800,2022-08-03 00:00:00,GODS/EUR,0.40,0.43,0.40,0.40,2424.27,969.7080000000001
1659398400,2022-08-02 00:00:00,GODS/EUR,0.38,0.38,0.38,0.38,844.26,320.8188
1659312000,2022-08-01 00:00:00,GODS/EUR,0.41,0.41,0.40,0.40,1717.16,686.864
1659225600,2022-07-31 00:00:00,GODS/EUR,0.43,0.43,0.42,0.43,1022.61,439.7223
1659139200,2022-07-30 00:00:00,GODS/EUR,0.43,0.45,0.42,0.42,7486.33,3144.2585999999997
1659052800,2022-07-29 00:00:00,GODS/EUR,0.43,0.45,0.42,0.43,2030.66,873.1838
1658966400,2022-07-28 00:00:00,GODS/EUR,0.41,0.43,0.39,0.42,6635.81,2787.0402
1658880000,2022-07-27 00:00:00,GODS/EUR,0.40,0.40,0.35,0.40,23521.24,9408.496000000001
1658793600,2022-07-26 00:00:00,GODS/EUR,0.39,0.39,0.39,0.39,4096.38,1597.5882000000001
1658707200,2022-07-25 00:00:00,GODS/EUR,0.42,0.42,0.39,0.40,11035.23,4414.092
1658620800,2022-07-24 00:00:00,GODS/EUR,0.43,0.44,0.43,0.43,3653.08,1570.8244
1658534400,2022-07-23 00:00:00,GODS/EUR,0.43,0.43,0.41,0.43,8240.94,3543.6042
1658448000,2022-07-22 00:00:00,GODS/EUR,0.46,0.46,0.43,0.43,6858.75,2949.2625
1658361600,2022-07-21 00:00:00,GODS/EUR,0.43,0.43,0.43,0.43,1000.00,430.0
1658275200,2022-07-20 00:00:00,GODS/EUR,0.46,0.48,0.46,0.46,5908.90,2718.094
1658188800,2022-07-19 00:00:00,GODS/EUR,0.46,0.47,0.44,0.47,13165.61,6187.8367
1658102400,2022-07-18 00:00:00,GODS/EUR,0.45,0.47,0.44,0.46,6775.57,3116.7622
1658016000,2022-07-17 00:00:00,GODS/EUR,0.47,0.48,0.44,0.44,9908.20,4359.608
1657929600,2022-07-16 00:00:00,GODS/EUR,0.45,0.50,0.45,0.48,12769.28,6129.2544
1657843200,2022-07-15 00:00:00,GODS/EUR,0.46,0.46,0.45,0.45,5330.43,2398.6935000000003
1657756800,2022-07-14 00:00:00,GODS/EUR,0.46,0.46,0.44,0.44,5837.93,2568.6892000000003
1657670400,2022-07-13 00:00:00,GODS/EUR,0.45,0.45,0.45,0.45,693.58,312.11100000000005
1657584000,2022-07-12 00:00:00,GODS/EUR,0.44,0.44,0.44,0.44,1111.40,489.016
1657497600,2022-07-11 00:00:00,GODS/EUR,0.48,0.48,0.46,0.46,4634.40,2131.824
1657411200,2022-07-10 00:00:00,GODS/EUR,0.51,0.51,0.51,0.51,0.00,0.0
1657324800,2022-07-09 00:00:00,GODS/EUR,0.53,0.54,0.50,0.51,8121.44,4141.9344
1657238400,2022-07-08 00:00:00,GODS/EUR,0.45,0.59,0.45,0.52,36808.95,19140.654
1657152000,2022-07-07 00:00:00,GODS/EUR,0.44,0.46,0.43,0.46,6608.03,3039.6938
1657065600,2022-07-06 00:00:00,GODS/EUR,0.43,0.43,0.42,0.43,6298.68,2708.4324
1656979200,2022-07-05 00:00:00,GODS/EUR,0.43,0.43,0.42,0.42,2371.35,995.9669999999999
1656892800,2022-07-04 00:00:00,GODS/EUR,0.41,0.43,0.41,0.42,6484.02,2723.2884
1656806400,2022-07-03 00:00:00,GODS/EUR,0.41,0.47,0.40,0.42,6042.41,2537.8122
1656720000,2022-07-02 00:00:00,GODS/EUR,0.43,0.43,0.42,0.42,3328.84,1398.1128
1656633600,2022-07-01 00:00:00,GODS/EUR,0.44,0.47,0.43,0.43,2081.32,894.9676000000001
1656547200,2022-06-30 00:00:00,GODS/EUR,0.44,0.44,0.43,0.43,1224.97,526.7371
1656460800,2022-06-29 00:00:00,GODS/EUR,0.48,0.48,0.45,0.46,11393.89,5241.1894
1656374400,2022-06-28 00:00:00,GODS/EUR,0.52,0.52,0.47,0.47,18508.50,8698.994999999999
1656288000,2022-06-27 00:00:00,GODS/EUR,0.51,0.53,0.50,0.51,13351.98,6809.5098
1656201600,2022-06-26 00:00:00,GODS/EUR,0.57,0.57,0.51,0.52,16767.79,8719.250800000002
1656115200,2022-06-25 00:00:00,GODS/EUR,0.52,0.60,0.51,0.55,29823.25,16402.787500000002
1656028800,2022-06-24 00:00:00,GODS/EUR,0.51,0.52,0.50,0.52,14094.89,7329.3428
1655942400,2022-06-23 00:00:00,GODS/EUR,0.50,0.51,0.48,0.49,15571.78,7630.1722
1655856000,2022-06-22 00:00:00,GODS/EUR,0.51,0.52,0.48,0.50,12850.21,6425.105
1655769600,2022-06-21 00:00:00,GODS/EUR,0.48,0.58,0.47,0.53,27001.76,14310.9328
1655683200,2022-06-20 00:00:00,GODS/EUR,0.47,0.49,0.47,0.48,10416.87,5000.0976
1655596800,2022-06-19 00:00:00,GODS/EUR,0.46,0.51,0.46,0.51,6404.57,3266.3307
1655510400,2022-06-18 00:00:00,GODS/EUR,0.52,0.52,0.43,0.48,5356.57,2571.1535999999996
1655424000,2022-06-17 00:00:00,GODS/EUR,0.49,0.54,0.49,0.52,1752.37,911.2324
1655337600,2022-06-16 00:00:00,GODS/EUR,0.47,0.55,0.46,0.46,10219.16,4700.8136
1655251200,2022-06-15 00:00:00,GODS/EUR,0.43,0.45,0.38,0.45,7563.90,3403.755
1655164800,2022-06-14 00:00:00,GODS/EUR,0.41,0.47,0.41,0.45,7448.71,3351.9195
1655078400,2022-06-13 00:00:00,GODS/EUR,0.47,0.47,0.42,0.44,26288.88,11567.1072
1654992000,2022-06-12 00:00:00,GODS/EUR,0.56,0.56,0.51,0.52,8999.66,4679.8232
1654905600,2022-06-11 00:00:00,GODS/EUR,0.64,0.64,0.50,0.57,22402.58,12769.4706
1654819200,2022-06-10 00:00:00,GODS/EUR,0.68,0.68,0.62,0.62,8625.25,5347.655
1654732800,2022-06-09 00:00:00,GODS/EUR,0.68,0.68,0.65,0.65,21450.07,13942.5455
1654646400,2022-06-08 00:00:00,GODS/EUR,0.79,0.79,0.79,0.79,0.00,0.0
1654560000,2022-06-07 00:00:00,GODS/EUR,0.79,0.79,0.78,0.79,1770.93,1399.0347000000002
1654473600,2022-06-06 00:00:00,GODS/EUR,0.80,0.85,0.79,0.85,2985.93,2538.0404999999996
1654387200,2022-06-05 00:00:00,GODS/EUR,0.77,0.77,0.77,0.77,0.00,0.0
1654300800,2022-06-04 00:00:00,GODS/EUR,0.77,0.80,0.77,0.77,1463.21,1126.6717
1654214400,2022-06-03 00:00:00,GODS/EUR,0.76,0.80,0.69,0.77,21706.37,16713.9049
1654128000,2022-06-02 00:00:00,GODS/EUR,0.66,0.76,0.66,0.76,59.53,45.2428
1654041600,2022-06-01 00:00:00,GODS/EUR,0.71,0.73,0.63,0.63,2814.79,1773.3177
1653955200,2022-05-31 00:00:00,GODS/EUR,0.70,0.85,0.66,0.79,13166.56,10401.5824
1653868800,2022-05-30 00:00:00,GODS/EUR,0.63,0.71,0.60,0.70,2575.51,1802.857
1653782400,2022-05-29 00:00:00,GODS/EUR,0.57,0.60,0.55,0.60,368.66,221.196
1653696000,2022-05-28 00:00:00,GODS/EUR,0.60,0.63,0.60,0.60,3416.58,2049.948
1653609600,2022-05-27 00:00:00,GODS/EUR,0.60,0.62,0.56,0.57,11340.12,6463.8684
1653523200,2022-05-26 00:00:00,GODS/EUR,0.66,0.69,0.60,0.65,34157.00,22202.05
1653436800,2022-05-25 00:00:00,GODS/EUR,0.77,0.80,0.67,0.72,55537.85,39987.252
1653350400,2022-05-24 00:00:00,GODS/EUR,0.67,0.86,0.60,0.80,23501.83,18801.464000000004
1653264000,2022-05-23 00:00:00,GODS/EUR,0.85,0.85,0.61,0.67,22534.05,15097.8135
1653177600,2022-05-22 00:00:00,GODS/EUR,1.06,1.06,0.81,1.03,12925.59,13313.3577
1653091200,2022-05-21 00:00:00,GODS/EUR,0.80,1.29,0.68,1.12,96181.62,107723.41440000001
1653004800,2022-05-20 00:00:00,GODS/EUR,0.38,0.91,0.38,0.80,93818.15,75054.52
1652918400,2022-05-19 00:00:00,GODS/EUR,0.34,0.36,0.34,0.36,2782.50,1001.6999999999999
1652832000,2022-05-18 00:00:00,GODS/EUR,0.34,0.34,0.31,0.34,1622.36,551.6024
1652745600,2022-05-17 00:00:00,GODS/EUR,0.36,0.37,0.36,0.37,1589.30,588.0409999999999
1652659200,2022-05-16 00:00:00,GODS/EUR,0.37,0.38,0.33,0.33,2703.95,892.3035
1652572800,2022-05-15 00:00:00,GODS/EUR,0.35,0.37,0.35,0.37,974.46,360.5502
1652486400,2022-05-14 00:00:00,GODS/EUR,0.34,0.35,0.34,0.35,900.00,315.0
1652400000,2022-05-13 00:00:00,GODS/EUR,0.29,0.35,0.28,0.31,7487.79,2321.2149
1652313600,2022-05-12 00:00:00,GODS/EUR,0.35,0.35,0.26,0.28,6291.54,1761.6312000000003
1652227200,2022-05-11 00:00:00,GODS/EUR,0.48,0.54,0.33,0.35,16935.11,5927.2885
1652140800,2022-05-10 00:00:00,GODS/EUR,0.48,0.50,0.47,0.47,3416.31,1605.6656999999998
1652054400,2022-05-09 00:00:00,GODS/EUR,0.63,0.63,0.41,0.41,9443.66,3871.9005999999995
1651968000,2022-05-08 00:00:00,GODS/EUR,0.62,0.67,0.62,0.66,1565.11,1032.9726
1651881600,2022-05-07 00:00:00,GODS/EUR,0.68,0.68,0.65,0.65,4033.49,2621.7685
1651795200,2022-05-06 00:00:00,GODS/EUR,0.67,0.68,0.63,0.68,6744.63,4586.348400000001
1651708800,2022-05-05 00:00:00,GODS/EUR,0.77,0.78,0.66,0.69,4026.00,2777.9399999999996
1651622400,2022-05-04 00:00:00,GODS/EUR,0.72,0.79,0.72,0.78,431.76,336.7728
1651536000,2022-05-03 00:00:00,GODS/EUR,0.72,0.76,0.68,0.71,3166.90,2248.499
1651449600,2022-05-02 00:00:00,GODS/EUR,0.70,0.73,0.68,0.71,5753.49,4084.9779
1651363200,2022-05-01 00:00:00,GODS/EUR,0.68,0.69,0.67,0.68,8699.13,5915.4084
