https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VEMP,Volume USDT
1663459200,2022-09-18 00:00:00,VEMP/USDT,0.02483,0.02484,0.02454,0.02461,226791.6172,5583.843261174
1663372800,2022-09-17 00:00:00,VEMP/USDT,0.02433,0.02495,0.02363,0.0249,2649418.901,64742.285882377
1663286400,2022-09-16 00:00:00,VEMP/USDT,0.02542,0.02552,0.02367,0.02446,3061102.5705,75596.750616062
1663200000,2022-09-15 00:00:00,VEMP/USDT,0.0273,0.0283,0.0242,0.02544,3756887.746,98432.230588322
1663113600,2022-09-14 00:00:00,VEMP/USDT,0.02499,0.03003,0.02483,0.0273,4496672.4639,120050.367051866
1663027200,2022-09-13 00:00:00,VEMP/USDT,0.02502,0.02604,0.02402,0.02482,3020237.484,75390.775101444
1662940800,2022-09-12 00:00:00,VEMP/USDT,0.02542,0.02552,0.02443,0.02502,2731482.5083,68300.531446841
1662854400,2022-09-11 00:00:00,VEMP/USDT,0.02542,0.02617,0.02503,0.02542,3549754.5538,89990.369429843
1662768000,2022-09-10 00:00:00,VEMP/USDT,0.02635,0.0265,0.02495,0.02539,3375824.8421,86070.655671498
1662681600,2022-09-09 00:00:00,VEMP/USDT,0.02646,0.02869,0.02601,0.0264,2943799.0769,79220.908975856
1662595200,2022-09-08 00:00:00,VEMP/USDT,0.02554,0.02768,0.02482,0.02646,2890213.3865,75342.391829323
1662508800,2022-09-07 00:00:00,VEMP/USDT,0.0241,0.02592,0.02308,0.02554,2885166.3727,68944.25421228
1662422400,2022-09-06 00:00:00,VEMP/USDT,0.02623,0.03016,0.0231,0.02379,3763664.4153,99269.168905111
1662336000,2022-09-05 00:00:00,VEMP/USDT,0.02608,0.02701,0.02541,0.02622,2427245.2857,63082.41418791
1662249600,2022-09-04 00:00:00,VEMP/USDT,0.02676,0.02796,0.02565,0.02608,3738185.4868,98900.08714412
1662163200,2022-09-03 00:00:00,VEMP/USDT,0.02676,0.0277,0.02591,0.02676,2982878.6644,79826.398848678
1662076800,2022-09-02 00:00:00,VEMP/USDT,0.02874,0.02906,0.0267,0.02676,3095244.9265,85565.739612307
1661990400,2022-09-01 00:00:00,VEMP/USDT,0.02963,0.03124,0.0275,0.02871,2876711.5892,82696.35195973
1661904000,2022-08-31 00:00:00,VEMP/USDT,0.03001,0.03108,0.02877,0.02962,2186811.2611,65339.249713799
1661817600,2022-08-30 00:00:00,VEMP/USDT,0.0306,0.0325,0.02876,0.03001,4280636.8821,129788.041662218
1661731200,2022-08-29 00:00:00,VEMP/USDT,0.02755,0.03192,0.02653,0.0302,4151529.1585,117607.939284393
1661644800,2022-08-28 00:00:00,VEMP/USDT,0.02824,0.02917,0.02668,0.02723,5229399.2818,145787.78128803
1661558400,2022-08-27 00:00:00,VEMP/USDT,0.02915,0.02955,0.02762,0.02824,3961610.6355,113158.266698944
1661472000,2022-08-26 00:00:00,VEMP/USDT,0.03413,0.03574,0.02868,0.0292,3455940.5254,113579.561268027
1661385600,2022-08-25 00:00:00,VEMP/USDT,0.03598,0.03882,0.03341,0.03418,3900264.8067,138410.668977321
1661299200,2022-08-24 00:00:00,VEMP/USDT,0.03488,0.04387,0.0318,0.03601,9809968.4073,365816.77575253
1661212800,2022-08-23 00:00:00,VEMP/USDT,0.02509,0.048,0.02461,0.03488,14791629.5644,509022.43505322
1661126400,2022-08-22 00:00:00,VEMP/USDT,0.02511,0.02524,0.02323,0.02509,4472059.3193,109024.086505536
1661040000,2022-08-21 00:00:00,VEMP/USDT,0.02453,0.02683,0.02421,0.0251,3602813.2282,91175.176609031
1660953600,2022-08-20 00:00:00,VEMP/USDT,0.0241,0.02601,0.02406,0.02453,2200868.2875,54815.814254219
