https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNC,Volume USDT
1663459200,2022-09-18 00:00:00,BNC/USDT,0.1915,0.1915,0.1902,0.1904,33207.2853,6332.91062085
1663372800,2022-09-17 00:00:00,BNC/USDT,0.1852,0.1922,0.1843,0.1906,878706.2715,166074.13284559
1663286400,2022-09-16 00:00:00,BNC/USDT,0.1837,0.1853,0.18,0.1851,533071.5349,97920.01033842
1663200000,2022-09-15 00:00:00,BNC/USDT,0.1909,0.1911,0.1813,0.1839,584215.9357,109234.58374011
1663113600,2022-09-14 00:00:00,BNC/USDT,0.1974,0.201,0.1887,0.1909,810072.2324,155140.49455504
1663027200,2022-09-13 00:00:00,BNC/USDT,0.2053,0.2077,0.1957,0.1974,876389.1965,175199.87150584
1662940800,2022-09-12 00:00:00,BNC/USDT,0.2042,0.208,0.2038,0.2052,838155.708,172832.40610405
1662854400,2022-09-11 00:00:00,BNC/USDT,0.2041,0.2048,0.2019,0.2044,834972.878,169673.08357147
1662768000,2022-09-10 00:00:00,BNC/USDT,0.2041,0.2058,0.2019,0.2042,852555.1529,173579.40394139
1662681600,2022-09-09 00:00:00,BNC/USDT,0.205,0.2064,0.2035,0.2042,853266.7647,174912.40970097
1662595200,2022-09-08 00:00:00,BNC/USDT,0.2104,0.2113,0.2035,0.2049,843154.6924,174511.98218903
1662508800,2022-09-07 00:00:00,BNC/USDT,0.2184,0.225,0.2097,0.2107,441050.1997,93271.04532375
1662422400,2022-09-06 00:00:00,BNC/USDT,0.2104,0.2327,0.2021,0.2182,256759.1989,54344.03713872
1662336000,2022-09-05 00:00:00,BNC/USDT,0.1962,0.2168,0.194,0.21,792949.8135,161486.8464785
1662249600,2022-09-04 00:00:00,BNC/USDT,0.1982,0.2003,0.1956,0.1965,854124.5213,169062.61363861
1662163200,2022-09-03 00:00:00,BNC/USDT,0.1956,0.2008,0.1953,0.1986,799538.8645,159087.99105983
1662076800,2022-09-02 00:00:00,BNC/USDT,0.1908,0.1961,0.1898,0.1956,812417.6607,156164.40723755
1661990400,2022-09-01 00:00:00,BNC/USDT,0.2011,0.2011,0.1852,0.1907,837494.6526,163718.05681216
1661904000,2022-08-31 00:00:00,BNC/USDT,0.1866,0.2297,0.1862,0.2007,724513.8228,141662.10860528
