https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UAH,Volume BTC
1663549200000,2022-09-19 01:00:00,BTC/UAH,785503.53,785503.53,781289.56,781703.17,780500.8245371913,0.99846189
1663545600000,2022-09-19 00:00:00,BTC/UAH,784291.48,788062.3,783936.11,785485.05,1154055.953524257,1.46922714
1663542000000,2022-09-18 23:00:00,BTC/UAH,785478.8,789229.99,783914.01,784509.37,1205309.5816562239,1.53638647
1663538400000,2022-09-18 22:00:00,BTC/UAH,785303.27,786434.02,783501.0,785549.03,1096056.2629720648,1.39527416
1663534800000,2022-09-18 21:00:00,BTC/UAH,794724.78,795123.35,783501.0,785724.72,1307873.0068943086,1.66454354
1663531200000,2022-09-18 20:00:00,BTC/UAH,795176.47,796622.47,794047.09,795687.44,1133558.6380998176,1.42462804
1663527600000,2022-09-18 19:00:00,BTC/UAH,792325.48,795543.7,790430.72,795275.7,1251306.3024456778,1.57342454
1663524000000,2022-09-18 18:00:00,BTC/UAH,791920.9,795019.88,790001.01,791979.54,1185782.694089037,1.49723905
1663520400000,2022-09-18 17:00:00,BTC/UAH,795464.48,796690.61,791723.42,792003.64,1082180.1433133557,1.36638279
1663516800000,2022-09-18 16:00:00,BTC/UAH,799529.23,801824.51,792372.86,794973.0,1223148.0573617101,1.53860327
1663513200000,2022-09-18 15:00:00,BTC/UAH,798469.29,801704.67,797768.54,798953.82,1183973.0694012733,1.48190426
1663509600000,2022-09-18 14:00:00,BTC/UAH,805549.32,805549.32,797706.65,799200.94,1150924.8061607452,1.44009441
1663506000000,2022-09-18 13:00:00,BTC/UAH,805907.16,807231.35,804734.07,806219.94,1246174.161258,1.5457
1663502400000,2022-09-18 12:00:00,BTC/UAH,803938.0,807273.16,801200.0,805562.0,973320.6328916601,1.20825043
1663498800000,2022-09-18 11:00:00,BTC/UAH,803333.26,804550.42,801678.0,803965.53,1119666.7143204,1.39268
1663495200000,2022-09-18 10:00:00,BTC/UAH,800457.87,807171.94,797609.0,803284.87,1245746.016814984,1.55081474
1663491600000,2022-09-18 09:00:00,BTC/UAH,808497.31,809424.53,800600.25,800770.41,1213543.0207496376,1.51546936
1663488000000,2022-09-18 08:00:00,BTC/UAH,808345.13,809642.48,808143.0,808357.57,1183397.594760694,1.46395313
1663484400000,2022-09-18 07:00:00,BTC/UAH,809221.51,809583.48,807821.0,808448.7,1200392.504050338,1.48480974
1663480800000,2022-09-18 06:00:00,BTC/UAH,809179.43,811261.99,807727.0,808263.63,1271737.2797072432,1.57341891
1663477200000,2022-09-18 05:00:00,BTC/UAH,807047.65,810148.63,806238.0,809195.74,1255382.8157701902,1.55139573
1663473600000,2022-09-18 04:00:00,BTC/UAH,807167.01,807710.74,805042.97,807021.82,1387595.221879495,1.71940236
1663470000000,2022-09-18 03:00:00,BTC/UAH,808212.19,808212.19,805150.4,805734.86,1443312.854718,1.7913
1663466400000,2022-09-18 02:00:00,BTC/UAH,806067.22,808489.91,806047.19,807993.06,1220114.8166909437,1.51005606
1663462800000,2022-09-18 01:00:00,BTC/UAH,805654.72,808601.75,805097.71,806167.69,1310748.047171,1.6259
1663459200000,2022-09-18 00:00:00,BTC/UAH,812711.07,812711.07,804776.38,805005.0,1472188.4749709999,1.8287942
1663455600000,2022-09-17 23:00:00,BTC/UAH,811226.31,812723.37,810364.67,811344.12,1186231.0741978392,1.46205666
1663452000000,2022-09-17 22:00:00,BTC/UAH,808285.55,812121.96,808285.55,810955.91,1262522.8573565572,1.55683292
1663448400000,2022-09-17 21:00:00,BTC/UAH,810033.73,811234.99,805164.65,807946.33,1409517.7412469948,1.74456853
1663444800000,2022-09-17 20:00:00,BTC/UAH,807739.23,810743.2,806010.0,809440.29,1219412.0431295056,1.50648795
1663441200000,2022-09-17 19:00:00,BTC/UAH,809195.5,809646.89,805815.01,808026.89,1141697.0450341094,1.41294437
1663437600000,2022-09-17 18:00:00,BTC/UAH,809415.59,810764.03,807468.0,808845.88,1264894.3546406797,1.56382617
1663434000000,2022-09-17 17:00:00,BTC/UAH,811366.38,813790.86,807862.01,808447.6,1337547.00544022,1.65446345
1663430400000,2022-09-17 16:00:00,BTC/UAH,804361.28,813786.19,804157.0,811026.49,1453033.1292409536,1.79159762
1663426800000,2022-09-17 15:00:00,BTC/UAH,802664.0,804697.14,801664.97,804697.14,1121715.7379319996,1.39396014
1663423200000,2022-09-17 14:00:00,BTC/UAH,802000.01,804435.56,801659.0,802150.0,1216426.5119689999,1.51645766
1663419600000,2022-09-17 13:00:00,BTC/UAH,800490.91,801730.55,800255.0,801567.98,1168707.5808305044,1.45802678
1663416000000,2022-09-17 12:00:00,BTC/UAH,799085.21,801840.19,796509.01,800666.33,1176139.9183796986,1.46895139
1663412400000,2022-09-17 11:00:00,BTC/UAH,800960.53,801281.54,798515.0,799395.84,1270780.9489188862,1.58967671
1663408800000,2022-09-17 10:00:00,BTC/UAH,800228.01,802187.32,798760.0,801040.17,1319845.3390373413,1.64766436
1663405200000,2022-09-17 09:00:00,BTC/UAH,801210.48,802543.22,800738.0,801109.0,1253589.33454096,1.56481744
1663401600000,2022-09-17 08:00:00,BTC/UAH,800395.5,802285.13,800266.0,800880.09,1358432.0017932616,1.69617402
1663398000000,2022-09-17 07:00:00,BTC/UAH,799329.0,800808.91,798088.0,800425.38,1285555.0945089005,1.60608987
1663394400000,2022-09-17 06:00:00,BTC/UAH,800446.48,801347.03,797697.0,799563.1,1121534.4393210788,1.40268409
1663390800000,2022-09-17 05:00:00,BTC/UAH,803564.94,804260.8,799566.78,800241.18,1198437.8781695147,1.49759586
1663387200000,2022-09-17 04:00:00,BTC/UAH,800875.76,805071.58,800875.76,804032.57,1140896.7129168797,1.41896828
1663383600000,2022-09-17 03:00:00,BTC/UAH,801662.71,802883.42,800719.0,801498.73,1226089.2758478974,1.52974575
1663380000000,2022-09-17 02:00:00,BTC/UAH,805768.48,806026.58,798564.87,801381.63,1179008.4332602948,1.47121969
1663376400000,2022-09-17 01:00:00,BTC/UAH,802603.65,807217.93,802603.65,805855.25,1198793.7109019177,1.48760427
1663372800000,2022-09-17 00:00:00,BTC/UAH,795740.95,806669.02,795384.85,802814.77,1330091.5088551885,1.65678505
1663369200000,2022-09-16 23:00:00,BTC/UAH,793468.93,796081.24,792735.19,795279.15,1010281.2776442,1.270348
1663365600000,2022-09-16 22:00:00,BTC/UAH,793963.13,795484.84,792944.85,793577.52,1277589.5597179297,1.60991148
1663362000000,2022-09-16 21:00:00,BTC/UAH,793479.92,796350.41,792892.6,793748.49,1285597.2183237888,1.61965312
1663358400000,2022-09-16 20:00:00,BTC/UAH,788857.95,794145.67,788857.95,794145.67,1287546.9691331643,1.62129823
1663354800000,2022-09-16 19:00:00,BTC/UAH,787200.31,789940.58,786663.73,789334.15,1146049.3207739235,1.45191909
1663351200000,2022-09-16 18:00:00,BTC/UAH,782128.39,787604.51,781000.04,786515.14,1254892.6058532207,1.59550979
1663347600000,2022-09-16 17:00:00,BTC/UAH,785814.03,786013.89,780444.0,782682.4,1380214.531557712,1.76344138
1663344000000,2022-09-16 16:00:00,BTC/UAH,790740.22,790740.22,785203.99,785717.84,1287538.73504498,1.63867825
