https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP3S,Volume USDT
1663462800,2022-09-18 01:00:00,XRP3S/USDT,11.8119,11.9957,11.8119,11.9465,16.2757,193.24000177
1663459200,2022-09-18 00:00:00,XRP3S/USDT,11.4159,12.5734,11.3102,11.8656,1013.0523,12038.07026542
1663455600,2022-09-17 23:00:00,XRP3S/USDT,11.4469,11.9907,11.2644,11.28,566.9092,6585.0477656
1663452000,2022-09-17 22:00:00,XRP3S/USDT,11.5958,11.6907,11.422,11.463,98.312,1133.82472251
1663448400,2022-09-17 21:00:00,XRP3S/USDT,11.8061,12.4746,11.5366,11.6948,1057.8978,12488.4387089
1663444800,2022-09-17 20:00:00,XRP3S/USDT,11.9225,12.0458,11.7468,11.8104,156.1771,1853.562172
1663441200,2022-09-17 19:00:00,XRP3S/USDT,11.3025,12.1615,11.2484,11.774,1069.3273,12535.91409648
1663437600,2022-09-17 18:00:00,XRP3S/USDT,11.4509,11.8998,11.1,11.1,1339.1941,15333.88565733
1663434000,2022-09-17 17:00:00,XRP3S/USDT,11.8393,11.9948,11.4509,11.6975,579.4581,6817.11675292
1663430400,2022-09-17 16:00:00,XRP3S/USDT,12.0459,12.461,11.5,11.8547,1143.6829,13549.02552493
1663426800,2022-09-17 15:00:00,XRP3S/USDT,11.8005,12.3115,11.8005,12.1178,1322.1173,15974.53887503
1663423200,2022-09-17 14:00:00,XRP3S/USDT,12.256,12.256,11.4058,12,1289.2901,15087.09387834
1663419600,2022-09-17 13:00:00,XRP3S/USDT,14.1723,14.1723,12.1419,12.1713,4200.8259,58186.87437857
1663416000,2022-09-17 12:00:00,XRP3S/USDT,14.291,14.3904,14.1123,14.1123,179.927,2545.72339196
1663412400,2022-09-17 11:00:00,XRP3S/USDT,13.8868,14.3051,13.878,14.2186,52.6214,738.02499262
1663408800,2022-09-17 10:00:00,XRP3S/USDT,14.4738,14.4738,13.7938,13.8868,210.0391,2973.58670765
1663405200,2022-09-17 09:00:00,XRP3S/USDT,14.7312,14.7765,14.5773,14.5773,123.0521,1804.61472284
1663401600,2022-09-17 08:00:00,XRP3S/USDT,14.7107,14.7986,14.4633,14.7223,135.234,1980.3491898
1663398000,2022-09-17 07:00:00,XRP3S/USDT,14.8634,14.9202,14.6499,14.6832,88.4004,1307.53395828
1663394400,2022-09-17 06:00:00,XRP3S/USDT,14.7765,14.9223,14.7473,14.8048,2.1057,31.18244825
1663390800,2022-09-17 05:00:00,XRP3S/USDT,14.5951,14.7755,14.5747,14.7422,175.8598,2588.6520828
1663387200,2022-09-17 04:00:00,XRP3S/USDT,14.558,14.7763,14.4605,14.6013,712.4396,10449.4852917
1663383600,2022-09-17 03:00:00,XRP3S/USDT,14.5296,14.5296,14.5296,14.5296,20.5362,298.38277152
1663380000,2022-09-17 02:00:00,XRP3S/USDT,14.4891,14.6662,14.4443,14.6662,241.5823,3505.7418014
1663376400,2022-09-17 01:00:00,XRP3S/USDT,14.3109,14.4891,14.2407,14.4803,215.203,3096.28091234
1663372800,2022-09-17 00:00:00,XRP3S/USDT,13.918,14.6318,13.918,14.3312,385.1852,5467.57006138
1663369200,2022-09-16 23:00:00,XRP3S/USDT,14.0462,14.3881,13.53,13.8024,136.3,1896.44018914
1663365600,2022-09-16 22:00:00,XRP3S/USDT,15.8295,15.8295,13.7339,13.9151,358.5691,5219.12964742
1663362000,2022-09-16 21:00:00,XRP3S/USDT,15.7551,15.828,15.358,15.7341,78.5951,1233.39273782
1663358400,2022-09-16 20:00:00,XRP3S/USDT,16.1514,16.2484,15.0856,15.6733,278.8576,4377.50676248
1663354800,2022-09-16 19:00:00,XRP3S/USDT,16.7103,16.7565,16.1156,16.2095,188.2347,3084.1194727
1663351200,2022-09-16 18:00:00,XRP3S/USDT,17.078,17.2906,16.485,16.8176,58.1081,978.44497555
1663347600,2022-09-16 17:00:00,XRP3S/USDT,16.745,17.5199,16.745,17.1934,73.9223,1270.90735354
1663344000,2022-09-16 16:00:00,XRP3S/USDT,17.5283,18.1511,16.5185,16.7566,369.8771,6371.61298742
1663340400,2022-09-16 15:00:00,XRP3S/USDT,18.0726,18.1486,17.5726,17.5726,34.3286,611.12169579
1663336800,2022-09-16 14:00:00,XRP3S/USDT,18.7019,18.9374,17.8569,18.0114,310.8539,5696.91027221
1663333200,2022-09-16 13:00:00,XRP3S/USDT,18.342,18.7654,18.1633,18.7654,34.1688,634.07067175
1663329600,2022-09-16 12:00:00,XRP3S/USDT,18.1995,18.4149,18.1995,18.4149,7.9778,146.57182053
1663326000,2022-09-16 11:00:00,XRP3S/USDT,18.4966,18.4966,18.1154,18.1154,52.9903,971.55211483
1663322400,2022-09-16 10:00:00,XRP3S/USDT,18.7048,18.7946,18.3304,18.5066,35.7828,660.56408273
1663318800,2022-09-16 09:00:00,XRP3S/USDT,19.2812,19.3373,18.7285,18.7285,70.998,1351.30562502
1663315200,2022-09-16 08:00:00,XRP3S/USDT,18.9265,19.4481,18.9265,19.2632,46.9831,899.64772506
1663311600,2022-09-16 07:00:00,XRP3S/USDT,19.1497,19.1552,18.7717,18.8518,10.9579,207.62699276
1663308000,2022-09-16 06:00:00,XRP3S/USDT,19.0584,19.2178,18.9419,19.2017,35.0267,668.20401602
1663304400,2022-09-16 05:00:00,XRP3S/USDT,18.5151,19.049,18.5151,19.049,39.5203,743.6699253
1663300800,2022-09-16 04:00:00,XRP3S/USDT,18.731,18.731,18.3677,18.5076,47.3773,877.06071504
1663297200,2022-09-16 03:00:00,XRP3S/USDT,19.2075,19.2466,18.7572,18.7572,33.1679,627.48842105
1663293600,2022-09-16 02:00:00,XRP3S/USDT,19.1824,19.6425,19.0417,19.1752,66.2045,1284.2431175
1663290000,2022-09-16 01:00:00,XRP3S/USDT,18.6004,19.2537,18.6004,19.2537,38.4362,731.39599234
1663286400,2022-09-16 00:00:00,XRP3S/USDT,18.955,19.1422,18.6004,18.6693,266.253,5047.52037293
1663282800,2022-09-15 23:00:00,XRP3S/USDT,18.8624,19.2177,18.7835,18.9154,26.9225,509.93582441
1663279200,2022-09-15 22:00:00,XRP3S/USDT,18.6114,19.0967,18.6114,18.8889,50.0551,947.976947
1663275600,2022-09-15 21:00:00,XRP3S/USDT,18.4301,18.6086,18.4301,18.6086,6.9,127.73786272
1663272000,2022-09-15 20:00:00,XRP3S/USDT,18.3934,18.5854,18.3677,18.3677,10.2751,190.04473861
1663268400,2022-09-15 19:00:00,XRP3S/USDT,18.6525,18.7925,18.4191,18.4191,18.44,342.03521405
1663264800,2022-09-15 18:00:00,XRP3S/USDT,18.6636,18.7421,18.6636,18.7299,5.4315,101.72995793
1663261200,2022-09-15 17:00:00,XRP3S/USDT,18.8889,18.8889,18.5926,18.5926,8.2898,155.08615792
1663257600,2022-09-15 16:00:00,XRP3S/USDT,19.0596,19.0863,18.7285,18.9531,148.5052,2790.57325352
1663254000,2022-09-15 15:00:00,XRP3S/USDT,18.8736,19.1399,18.7679,18.9837,87.8379,1661.16243897
1663250400,2022-09-15 14:00:00,XRP3S/USDT,17.9442,18.9797,17.9203,18.8335,82.2412,1524.96522012
1663246800,2022-09-15 13:00:00,XRP3S/USDT,17.8465,18.1207,17.8131,17.9969,111.6067,2004.18006727
1663243200,2022-09-15 12:00:00,XRP3S/USDT,17.6801,17.8715,17.5446,17.7861,122.8721,2177.28448254
1663239600,2022-09-15 11:00:00,XRP3S/USDT,17.6335,17.6941,17.3668,17.6335,37.5958,658.86514723
1663236000,2022-09-15 10:00:00,XRP3S/USDT,17.3863,17.6183,17.3302,17.5828,25.7004,448.57483064
1663232400,2022-09-15 09:00:00,XRP3S/USDT,16.9571,17.4298,16.8821,17.4298,160.2771,2724.9259329
1663228800,2022-09-15 08:00:00,XRP3S/USDT,16.8676,17.1039,16.8676,17.1039,24.1694,411.9496424
1663225200,2022-09-15 07:00:00,XRP3S/USDT,17.1,17.1,16.5917,16.7886,17.9685,304.20310936
1663221600,2022-09-15 06:00:00,XRP3S/USDT,17.5302,17.8965,16.9456,17.0878,56.8196,984.81277268
1663218000,2022-09-15 05:00:00,XRP3S/USDT,17.3505,17.6392,16.9919,17.3505,93.1971,1608.88322465
1663214400,2022-09-15 04:00:00,XRP3S/USDT,17.5614,17.585,17.3785,17.3785,16.5541,289.06882326
1663210800,2022-09-15 03:00:00,XRP3S/USDT,17.7388,17.9425,17.5937,17.5937,54.2486,961.59444173
1663207200,2022-09-15 02:00:00,XRP3S/USDT,17.2027,17.8465,17.2027,17.4536,226.2991,3983.99162668
1663203600,2022-09-15 01:00:00,XRP3S/USDT,17.1216,17.1796,16.9621,16.9621,3.2981,56.29604229
1663200000,2022-09-15 00:00:00,XRP3S/USDT,16.833,17,16.833,16.9931,6.6076,111.52275056
1663196400,2022-09-14 23:00:00,XRP3S/USDT,16.7617,16.7942,16.7617,16.7942,12.4561,209.15474986
1663192800,2022-09-14 22:00:00,XRP3S/USDT,16.4514,16.6747,16.4514,16.6009,264.4462,4377.73755036
1663189200,2022-09-14 21:00:00,XRP3S/USDT,16.7886,16.7886,16.3523,16.4846,47.8293,799.7326531
1663185600,2022-09-14 20:00:00,XRP3S/USDT,17.0489,17.0489,16.5133,16.5133,47.5485,792.79969349
1663182000,2022-09-14 19:00:00,XRP3S/USDT,17.5246,17.5246,16.844,17.1216,62.968,1081.68421931
1663178400,2022-09-14 18:00:00,XRP3S/USDT,17.7777,18.1461,17.5246,17.5542,40.7026,726.5945293
1663174800,2022-09-14 17:00:00,XRP3S/USDT,17.8314,17.8697,17.3827,17.7217,13.5249,236.79699738
1663171200,2022-09-14 16:00:00,XRP3S/USDT,17.7777,17.9216,17.6451,17.6451,30.3616,543.01015389
1663167600,2022-09-14 15:00:00,XRP3S/USDT,17.3829,17.7755,17.3829,17.4656,23.7824,421.14464916
1663164000,2022-09-14 14:00:00,XRP3S/USDT,17.574,17.6335,17.3827,17.519,2.9377,51.47272009
1663160400,2022-09-14 13:00:00,XRP3S/USDT,17.5713,17.6012,17.3826,17.5258,3.0679,53.72720699
1663156800,2022-09-14 12:00:00,XRP3S/USDT,17.9613,18.0726,17.3826,17.6335,45.7394,817.64772268
1663153200,2022-09-14 11:00:00,XRP3S/USDT,17.623,17.9833,17.623,17.9001,3.7391,66.98823638
1663149600,2022-09-14 10:00:00,XRP3S/USDT,17.6335,17.7777,17.6335,17.7777,2.7126,48.20064492
1663146000,2022-09-14 09:00:00,XRP3S/USDT,17.5365,17.5976,17.3827,17.3827,8.3168,145.2624162
1663142400,2022-09-14 08:00:00,XRP3S/USDT,17.6868,17.7419,17.4536,17.4536,116.1291,2055.42112474
1663138800,2022-09-14 07:00:00,XRP3S/USDT,17.6191,18.0221,17.5619,17.7427,16.9437,300.64308699
1663135200,2022-09-14 06:00:00,XRP3S/USDT,17.4536,17.6335,17.3459,17.6335,24.4028,426.40865724
1663131600,2022-09-14 05:00:00,XRP3S/USDT,17.5673,17.5801,17.4994,17.5655,11.1303,195.14326663
1663128000,2022-09-14 04:00:00,XRP3S/USDT,17.8025,17.8267,17.5904,17.5904,73.9499,1306.42855289
1663124400,2022-09-14 03:00:00,XRP3S/USDT,17.8359,17.9717,17.7667,17.7667,14.3728,255.84830193
1663120800,2022-09-14 02:00:00,XRP3S/USDT,18.0872,18.0979,17.8609,17.8609,31.0087,556.84855308
1663117200,2022-09-14 01:00:00,XRP3S/USDT,17.9478,18.1995,17.936,18.1125,2.1706,39.07413103
1663113600,2022-09-14 00:00:00,XRP3S/USDT,18.276,18.4559,17.9611,17.9611,14.7263,267.7975264
1663110000,2022-09-13 23:00:00,XRP3S/USDT,18.1995,18.4771,18.1887,18.2141,19.9768,366.64212394
1663106400,2022-09-13 22:00:00,XRP3S/USDT,17.9969,18.4043,17.9969,18.1907,38.6192,704.63918191
1663102800,2022-09-13 21:00:00,XRP3S/USDT,17.738,18.4247,17.6528,17.9927,413.5714,7416.21692948
1663099200,2022-09-13 20:00:00,XRP3S/USDT,17.6211,17.7237,17.4536,17.6849,7.3129,129.06027581
1663095600,2022-09-13 19:00:00,XRP3S/USDT,17.9109,18.0221,17.5219,17.5618,242.6691,4278.49200141
1663092000,2022-09-13 18:00:00,XRP3S/USDT,17.3556,17.983,17.3556,17.983,667.6909,11721.58738865
1663088400,2022-09-13 17:00:00,XRP3S/USDT,17.4372,17.4372,17.199,17.3332,144.7129,2512.43550262
1663084800,2022-09-13 16:00:00,XRP3S/USDT,17.4612,17.6335,17.3826,17.3826,414.2128,7255.79079684
1663081200,2022-09-13 15:00:00,XRP3S/USDT,17.5332,17.5628,17.2458,17.4612,463.0184,8047.44457939
1663077600,2022-09-13 14:00:00,XRP3S/USDT,17.2153,17.5628,17.1212,17.338,657.4431,11430.28178201
1663074000,2022-09-13 13:00:00,XRP3S/USDT,16.8613,17.2,16.7555,17.0883,244.6356,4171.29270548
1663070400,2022-09-13 12:00:00,XRP3S/USDT,15.5201,17.1471,15.3724,16.8615,1042.5796,17153.39182869
1663066800,2022-09-13 11:00:00,XRP3S/USDT,15.5289,15.561,15.2138,15.2138,32.4261,499.65384647
1663063200,2022-09-13 10:00:00,XRP3S/USDT,15.773,15.8818,15.6424,15.6424,133.1025,2103.64395172
1663059600,2022-09-13 09:00:00,XRP3S/USDT,15.6733,15.7361,15.6733,15.7361,8.6377,135.79374857
1663056000,2022-09-13 08:00:00,XRP3S/USDT,15.2777,15.5595,15.2137,15.5595,15.9136,244.27871076
1663052400,2022-09-13 07:00:00,XRP3S/USDT,15.5022,15.5774,15.3381,15.3381,8.2515,127.58296674
1663048800,2022-09-13 06:00:00,XRP3S/USDT,15.4,15.6744,15.3381,15.6744,46.6747,721.47807271
1663045200,2022-09-13 05:00:00,XRP3S/USDT,15.5009,15.5884,15.4895,15.5884,7.4795,116.57117746
1663041600,2022-09-13 04:00:00,XRP3S/USDT,15.7001,15.8515,15.4403,15.6939,61.0389,951.54243051
1663038000,2022-09-13 03:00:00,XRP3S/USDT,15.7151,16.0454,15.6814,15.8824,37.3331,591.45378233
1663034400,2022-09-13 02:00:00,XRP3S/USDT,15.7388,15.7388,15.7388,15.7388,0.7588,11.94260144
1663030800,2022-09-13 01:00:00,XRP3S/USDT,15.3989,15.8278,15.3381,15.8278,91.6442,1427.39787322
1663027200,2022-09-13 00:00:00,XRP3S/USDT,15.0226,15.6,15.0219,15.3697,402.3601,6188.17206003
1663023600,2022-09-12 23:00:00,XRP3S/USDT,15.1923,15.1923,15.0226,15.0226,231.2754,3490.75560873
1663020000,2022-09-12 22:00:00,XRP3S/USDT,15.1883,15.4606,15.1002,15.3014,89.3969,1353.22369342
1663016400,2022-09-12 21:00:00,XRP3S/USDT,15.143,15.5164,15.143,15.5164,27.4777,425.31459088
1663012800,2022-09-12 20:00:00,XRP3S/USDT,15.3394,15.3418,15.1002,15.2,27.8617,423.84043698
1663009200,2022-09-12 19:00:00,XRP3S/USDT,15.5198,15.7354,15.3199,15.366,365.9917,5673.99357871
1663005600,2022-09-12 18:00:00,XRP3S/USDT,15.7953,15.7953,15.3381,15.3883,186.3173,2885.81624599
1663002000,2022-09-12 17:00:00,XRP3S/USDT,15.9431,16.1192,15.7054,15.7054,183.2086,2903.48664943
1662998400,2022-09-12 16:00:00,XRP3S/USDT,15.9791,16.3299,15.9316,15.9316,58.2854,945.27837358
1662994800,2022-09-12 15:00:00,XRP3S/USDT,15.6356,15.9841,15.6134,15.7967,182.5388,2869.37237184
1662991200,2022-09-12 14:00:00,XRP3S/USDT,15.5201,15.5342,15.5201,15.521,4.1652,64.69070868
1662987600,2022-09-12 13:00:00,XRP3S/USDT,15.3992,15.4799,15.2689,15.3669,1.9078,29.1532255
1662984000,2022-09-12 12:00:00,XRP3S/USDT,15.6733,15.7205,15.4357,15.4357,7.6467,118.60868363
1662980400,2022-09-12 11:00:00,XRP3S/USDT,15.4651,15.5099,15.3998,15.3998,6.1279,94.58111725
1662976800,2022-09-12 10:00:00,XRP3S/USDT,15.6733,15.7361,15.4756,15.4756,9.1765,144.11316605
1662973200,2022-09-12 09:00:00,XRP3S/USDT,15.2495,15.5201,15.1196,15.4692,100.5529,1541.60704641
1662969600,2022-09-12 08:00:00,XRP3S/USDT,15.8267,15.8267,15.206,15.2386,79.4664,1233.70153847
1662966000,2022-09-12 07:00:00,XRP3S/USDT,15.8667,15.9999,15.7243,15.8412,60.6452,969.35225981
1662962400,2022-09-12 06:00:00,XRP3S/USDT,15.9841,15.9923,15.7967,15.8093,368.7314,5835.98463693
1662958800,2022-09-12 05:00:00,XRP3S/USDT,16.0171,16.1563,15.7816,15.8763,110.4411,1763.73583651
1662955200,2022-09-12 04:00:00,XRP3S/USDT,16.3053,16.3212,16.081,16.081,22.4002,363.24566466
1662951600,2022-09-12 03:00:00,XRP3S/USDT,15.8958,16.4884,15.7967,16.269,54.7966,884.68314533
1662948000,2022-09-12 02:00:00,XRP3S/USDT,15.3156,16.0448,15.3156,16.0448,72.2628,1128.74482632
1662944400,2022-09-12 01:00:00,XRP3S/USDT,16.1419,16.2193,15.2217,15.2217,139.0382,2216.27396709
1662940800,2022-09-12 00:00:00,XRP3S/USDT,15.6906,16.09,15.4895,16.09,106.4105,1678.54447739
1662937200,2022-09-11 23:00:00,XRP3S/USDT,15.828,15.828,15.5458,15.5458,40.2941,630.1332257
1662933600,2022-09-11 22:00:00,XRP3S/USDT,15.9655,16.0395,15.6424,15.6424,48.6937,775.37402462
1662930000,2022-09-11 21:00:00,XRP3S/USDT,15.0398,16.3669,14.9303,16.0793,214.3507,3293.8931747
1662926400,2022-09-11 20:00:00,XRP3S/USDT,15.5447,15.6466,15.1002,15.1002,44.6368,688.81184704
1662922800,2022-09-11 19:00:00,XRP3S/USDT,15.5812,15.5812,15.5812,15.5812,0,0
1662919200,2022-09-11 18:00:00,XRP3S/USDT,15.5759,15.5936,15.4335,15.5812,7.2289,112.49558531
1662915600,2022-09-11 17:00:00,XRP3S/USDT,15.3726,15.9516,15.2181,15.4039,128.8549,2016.3930165
1662912000,2022-09-11 16:00:00,XRP3S/USDT,15.4218,15.4538,15.4218,15.4538,2.1816,33.69587888
1662908400,2022-09-11 15:00:00,XRP3S/USDT,15.4895,15.594,15.4093,15.594,17.4175,268.76194987
1662904800,2022-09-11 14:00:00,XRP3S/USDT,15.6234,15.6563,15.5006,15.6317,65.466,1022.79937342
1662901200,2022-09-11 13:00:00,XRP3S/USDT,15.7329,15.7456,15.621,15.7456,15.7941,246.93297843
1662897600,2022-09-11 12:00:00,XRP3S/USDT,15.6665,15.7456,15.5331,15.6784,3.48,54.31361931
1662894000,2022-09-11 11:00:00,XRP3S/USDT,15.6314,15.6314,15.4377,15.6194,28.3314,440.5840171
1662890400,2022-09-11 10:00:00,XRP3S/USDT,15.6733,15.7078,15.6441,15.6832,13.8514,216.98436284
1662886800,2022-09-11 09:00:00,XRP3S/USDT,15.4655,15.6313,15.4655,15.6313,5.4016,84.05829818
1662883200,2022-09-11 08:00:00,XRP3S/USDT,15.5302,15.6048,15.5301,15.6048,1.7379,27.00065344
1662879600,2022-09-11 07:00:00,XRP3S/USDT,15.6614,15.6614,15.4097,15.6293,89.0289,1380.9030889
1662876000,2022-09-11 06:00:00,XRP3S/USDT,15.5065,15.9841,15.4595,15.7507,334.4047,5323.66061961
1662872400,2022-09-11 05:00:00,XRP3S/USDT,15.6441,15.6441,15.6441,15.6441,0,0
1662868800,2022-09-11 04:00:00,XRP3S/USDT,15.4653,15.6441,15.3882,15.6441,3.0729,47.83477884
1662865200,2022-09-11 03:00:00,XRP3S/USDT,15.5729,15.6989,15.4157,15.5698,990.1058,15404.64939782
1662861600,2022-09-11 02:00:00,XRP3S/USDT,15.4026,15.542,15.2312,15.542,9.8688,151.97841953
1662858000,2022-09-11 01:00:00,XRP3S/USDT,15.1258,15.4026,15.1258,15.4026,7.2889,111.27214164
1662854400,2022-09-11 00:00:00,XRP3S/USDT,15.1869,15.2569,15.1826,15.2569,30.2978,460.21295089
1662850800,2022-09-10 23:00:00,XRP3S/USDT,15,15.2845,14.955,15.2845,222.1104,3367.15371798
1662847200,2022-09-10 22:00:00,XRP3S/USDT,15.1916,15.3511,15,15,121.8367,1861.86089002
1662843600,2022-09-10 21:00:00,XRP3S/USDT,15.3381,15.4026,15.07,15.4026,24.0199,365.80688685
1662840000,2022-09-10 20:00:00,XRP3S/USDT,15.4985,15.5568,15.4985,15.5568,10.0143,155.36835179
1662836400,2022-09-10 19:00:00,XRP3S/USDT,15.3511,15.3511,15.3511,15.3511,0.0651,0.99935661
1662832800,2022-09-10 18:00:00,XRP3S/USDT,15.5573,15.5573,15.3381,15.3381,10.1849,157.38742441
1662829200,2022-09-10 17:00:00,XRP3S/USDT,15.8279,15.855,15.5885,15.7126,8.1504,127.36851088
1662825600,2022-09-10 16:00:00,XRP3S/USDT,15.5201,15.8066,15.5201,15.6088,155.3974,2432.18843742
1662822000,2022-09-10 15:00:00,XRP3S/USDT,15.5322,15.5322,15.1411,15.3608,16.1049,246.07401516
1662818400,2022-09-10 14:00:00,XRP3S/USDT,15.6064,15.7384,15.5862,15.7384,35.3451,551.27859379
1662814800,2022-09-10 13:00:00,XRP3S/USDT,15.4675,15.7232,15.4675,15.6733,9.9141,154.12291678
1662811200,2022-09-10 12:00:00,XRP3S/USDT,15.6509,15.6745,15.4895,15.4895,24.0601,374.88701017
1662807600,2022-09-10 11:00:00,XRP3S/USDT,15.6424,15.696,15.5506,15.5766,61.9362,964.77560276
1662804000,2022-09-10 10:00:00,XRP3S/USDT,15.5766,15.9303,15.5766,15.7318,13.6504,216.05491154
1662800400,2022-09-10 09:00:00,XRP3S/USDT,15.669,15.7209,15.5767,15.657,23.6648,370.74072257
1662796800,2022-09-10 08:00:00,XRP3S/USDT,15.8251,15.8251,15.4895,15.6386,55.143,866.38503115
1662793200,2022-09-10 07:00:00,XRP3S/USDT,14.9223,16.0165,14.9223,15.9073,25.3469,394.28940293
1662789600,2022-09-10 06:00:00,XRP3S/USDT,15.3722,15.3723,14.7473,14.7473,21.5123,322.49028048
1662786000,2022-09-10 05:00:00,XRP3S/USDT,15.682,15.6958,15.3381,15.3381,20.1583,314.56536344
1662782400,2022-09-10 04:00:00,XRP3S/USDT,15.5184,15.7098,15.2984,15.6792,58.7539,910.27426677
1662778800,2022-09-10 03:00:00,XRP3S/USDT,15.1883,15.5201,15.1226,15.5201,63.7458,979.05032793
1662775200,2022-09-10 02:00:00,XRP3S/USDT,15.6697,15.6701,15.3035,15.3035,16.6105,255.46668995
1662771600,2022-09-10 01:00:00,XRP3S/USDT,15.2642,15.5201,15.1929,15.5201,431.9398,6606.2854355
1662768000,2022-09-10 00:00:00,XRP3S/USDT,15.3685,16.0294,15.262,15.3548,89.1759,1383.38192898
1662764400,2022-09-09 23:00:00,XRP3S/USDT,15.7969,15.828,14.8964,15.112,201.2724,3089.54294027
