https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume MNC
1658188800000,2022-07-19 00:00:00,MNC/BTC,1e-08,1e-08,1e-08,1e-08,0.0003280007866475,32800.07866475
1658102400000,2022-07-18 00:00:00,MNC/BTC,1e-08,1e-08,1e-08,1e-08,0.0001354688716097,13546.88716097
1657929600000,2022-07-16 00:00:00,MNC/BTC,1e-08,1e-08,1e-08,1e-08,1.51127741318e-05,1511.27741318
1657843200000,2022-07-15 00:00:00,MNC/BTC,1e-08,1e-08,1e-08,1e-08,0.00025731250961340003,25731.25096134
1652832000000,2022-05-18 00:00:00,MNC/BTC,1e-08,1e-08,1e-08,1e-08,2.5876948583e-06,258.76948583
1652659200000,2022-05-16 00:00:00,MNC/BTC,2e-08,2e-08,2e-08,2e-08,0.0013476299999998001,67381.49999999
1652572800000,2022-05-15 00:00:00,MNC/BTC,1e-08,2e-08,1e-08,2e-08,0.0027723604339128,138618.02169564
1652486400000,2022-05-14 00:00:00,MNC/BTC,1e-08,1e-08,1e-08,1e-08,0.0012942852219655,129428.52219655
1652400000000,2022-05-13 00:00:00,MNC/BTC,2e-08,2e-08,1e-08,1e-08,0.001175915,117591.5
1652313600000,2022-05-12 00:00:00,MNC/BTC,1e-08,1e-08,1e-08,1e-08,0.0031583292207171,315832.92207171
1652227200000,2022-05-11 00:00:00,MNC/BTC,1e-08,2e-08,1e-08,1e-08,0.00035380324016610003,35380.32401661
1652140800000,2022-05-10 00:00:00,MNC/BTC,1e-08,2e-08,1e-08,2e-08,2.66558375e-05,1332.791875
1651881600000,2022-05-07 00:00:00,MNC/BTC,2e-08,2e-08,2e-08,2e-08,0.00028854,14427
1651795200000,2022-05-06 00:00:00,MNC/BTC,1e-08,2e-08,1e-08,2e-08,0.0003270251529636,16351.25764818
1651708800000,2022-05-05 00:00:00,MNC/BTC,1e-08,2e-08,1e-08,2e-08,0.007141459880720601,357072.99403603
1651622400000,2022-05-04 00:00:00,MNC/BTC,1e-08,2e-08,1e-08,2e-08,0.004708877416,235443.8708
1651536000000,2022-05-03 00:00:00,MNC/BTC,1e-08,2e-08,1e-08,2e-08,0.0024375490050024,121877.45025012
1651449600000,2022-05-02 00:00:00,MNC/BTC,2e-08,2e-08,1e-08,2e-08,0.0012239312709008,61196.56354504
1651363200000,2022-05-01 00:00:00,MNC/BTC,2e-08,2e-08,1e-08,2e-08,0.0032085794300000005,160428.9715
1651276800000,2022-04-30 00:00:00,MNC/BTC,2e-08,2e-08,1e-08,1e-08,7.711544500000001e-05,7711.5445
1651190400000,2022-04-29 00:00:00,MNC/BTC,2e-08,2e-08,1e-08,1e-08,0.00217746037406,217746.037406
1651104000000,2022-04-28 00:00:00,MNC/BTC,2e-08,2e-08,1e-08,2e-08,0.0066441707361916,332208.53680958
1651017600000,2022-04-27 00:00:00,MNC/BTC,2e-08,2e-08,1e-08,2e-08,0.0008844284655302,44221.42327651
1650931200000,2022-04-26 00:00:00,MNC/BTC,1e-08,2e-08,1e-08,2e-08,0.0010040010930438001,50200.05465219
1650844800000,2022-04-25 00:00:00,MNC/BTC,2e-08,2e-08,1e-08,2e-08,0.0089947302416668,449736.51208334
1650585600000,2022-04-22 00:00:00,MNC/BTC,1e-08,1e-08,1e-08,1e-08,1.70617936e-05,1706.17936
