https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNT,Volume BTC
1663459200,2022-09-18 00:00:00,BNT/BTC,0.0000236,0.0000237,0.00002352,0.00002368,13.5216,0.000318349333
1663372800,2022-09-17 00:00:00,BNT/BTC,0.00002343,0.00002388,0.00002319,0.00002354,644.8453,0.01520785359
1663286400,2022-09-16 00:00:00,BNT/BTC,0.00002379,0.00002418,0.00002335,0.00002345,2981.0825,0.071206643405
1663200000,2022-09-15 00:00:00,BNT/BTC,0.00002421,0.00002478,0.00002182,0.00002368,34271.796,0.811747987505
1663113600,2022-09-14 00:00:00,BNT/BTC,0.00002301,0.00003114,0.00002275,0.00002423,25957.4706,0.674180406838
1663027200,2022-09-13 00:00:00,BNT/BTC,0.00002212,0.00002336,0.00002197,0.00002301,2226.4427,0.050603210683
1662940800,2022-09-12 00:00:00,BNT/BTC,0.0000233,0.00002359,0.00002216,0.00002218,7120.5423,0.15971939
1662854400,2022-09-11 00:00:00,BNT/BTC,0.00002349,0.00002411,0.00002318,0.00002339,7897.6105,0.184408836234
1662768000,2022-09-10 00:00:00,BNT/BTC,0.00002358,0.00002489,0.00002318,0.00002344,13727.0791,0.322930570094
1662681600,2022-09-09 00:00:00,BNT/BTC,0.00002443,0.00002526,0.00002327,0.00002329,3967.0235,0.096265986073
1662595200,2022-09-08 00:00:00,BNT/BTC,0.00002421,0.000029,0.0000241,0.00002454,10642.2463,0.274715184435
1662508800,2022-09-07 00:00:00,BNT/BTC,0.00002349,0.00002517,0.00002327,0.00002429,3963.3283,0.096051844753
1662422400,2022-09-06 00:00:00,BNT/BTC,0.00002386,0.00002425,0.00002351,0.00002374,6256.9246,0.14935330589
1662336000,2022-09-05 00:00:00,BNT/BTC,0.0000235,0.00002392,0.00002333,0.00002381,433.9658,0.010234696775
1662249600,2022-09-04 00:00:00,BNT/BTC,0.00002316,0.00002364,0.00002305,0.0000235,290.6034,0.006755208988
1662163200,2022-09-03 00:00:00,BNT/BTC,0.00002316,0.00002322,0.000021,0.00002313,6316.963,0.143799296571
1662076800,2022-09-02 00:00:00,BNT/BTC,0.00002334,0.00002351,0.00002281,0.00002323,1024.8116,0.02367326601
1661990400,2022-09-01 00:00:00,BNT/BTC,0.0000229,0.00002343,0.00002247,0.0000234,1179.0785,0.026957698116
1661904000,2022-08-31 00:00:00,BNT/BTC,0.00002279,0.00002338,0.00002256,0.0000229,2361.6006,0.054017567211
1661817600,2022-08-30 00:00:00,BNT/BTC,0.00002253,0.00002327,0.00002231,0.00002266,951.1953,0.021850385685
1661731200,2022-08-29 00:00:00,BNT/BTC,0.00002223,0.00002341,0.0000219,0.00002264,1292.5995,0.029456649495
1661644800,2022-08-28 00:00:00,BNT/BTC,0.00002282,0.00002282,0.00002226,0.0000223,711.8453,0.015997069124
1661558400,2022-08-27 00:00:00,BNT/BTC,0.0000222,0.0000234,0.00002185,0.0000229,939.8036,0.021365307199
1661472000,2022-08-26 00:00:00,BNT/BTC,0.0000229,0.00002304,0.00002196,0.00002218,666.5169,0.01480740143
1661385600,2022-08-25 00:00:00,BNT/BTC,0.00002272,0.00002299,0.00002265,0.00002288,146.6777,0.00334825872
1661299200,2022-08-24 00:00:00,BNT/BTC,0.00002283,0.00002313,0.00002247,0.00002267,10490.2393,0.236650220145
1661212800,2022-08-23 00:00:00,BNT/BTC,0.00002285,0.00002308,0.00002246,0.00002287,717.7501,0.016471703576
1661126400,2022-08-22 00:00:00,BNT/BTC,0.00002282,0.0000229,0.00002213,0.00002289,1025.2591,0.023269824569
1661040000,2022-08-21 00:00:00,BNT/BTC,0.00002239,0.00002301,0.00002228,0.00002283,2733.3795,0.062115820304
1660953600,2022-08-20 00:00:00,BNT/BTC,0.00002285,0.00002328,0.0000221,0.0000223,356.9232,0.008152931083
1660867200,2022-08-19 00:00:00,BNT/BTC,0.0000229,0.00002326,0.00002228,0.00002281,2375.266,0.053581169275
1660780800,2022-08-18 00:00:00,BNT/BTC,0.00002321,0.00002362,0.00002278,0.00002278,955.5032,0.022174592349
1660694400,2022-08-17 00:00:00,BNT/BTC,0.00002385,0.00002424,0.00002304,0.0000232,2041.3657,0.048026819779
1660608000,2022-08-16 00:00:00,BNT/BTC,0.00002408,0.00002433,0.00002359,0.0000239,3540.4551,0.085039303188
1660521600,2022-08-15 00:00:00,BNT/BTC,0.0000244,0.00002457,0.00002388,0.00002405,4379.0747,0.106160385654
1660435200,2022-08-14 00:00:00,BNT/BTC,0.0000252,0.00002524,0.00002408,0.00002443,2699.9634,0.066562248845
1660348800,2022-08-13 00:00:00,BNT/BTC,0.00002489,0.00002531,0.00002472,0.0000252,5147.0633,0.129111119009
