https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume BTC,tradecount
1663545600000,2022-09-19 00:00:00,EOS/BTC,0.00006550,0.00006590,0.00006550,0.00006570,30610.10000000,2.01174444,166
1663459200000,2022-09-18 00:00:00,EOS/BTC,0.00007320,0.00007320,0.00006360,0.00006560,2344738.80000000,159.37888036,12835
1663372800000,2022-09-17 00:00:00,EOS/BTC,0.00007190,0.00007440,0.00007150,0.00007320,979143.50000000,71.21393445,6344
1663286400000,2022-09-16 00:00:00,EOS/BTC,0.00007010,0.00007370,0.00007010,0.00007190,1656591.70000000,119.45344189,11409
1663200000000,2022-09-15 00:00:00,EOS/BTC,0.00007290,0.00007300,0.00006950,0.00007010,1751251.20000000,125.30997045,11518
1663113600000,2022-09-14 00:00:00,EOS/BTC,0.00007290,0.00007390,0.00007140,0.00007290,1965810.20000000,142.79758819,11760
1663027200000,2022-09-13 00:00:00,EOS/BTC,0.00007400,0.00007570,0.00007270,0.00007290,2239112.40000000,166.31502939,15289
1662940800000,2022-09-12 00:00:00,EOS/BTC,0.00007840,0.00007980,0.00007370,0.00007410,2241042.50000000,172.21850787,14456
1662854400000,2022-09-11 00:00:00,EOS/BTC,0.00008070,0.00008530,0.00007750,0.00007840,3428202.20000000,278.88798060,19632
1662768000000,2022-09-10 00:00:00,EOS/BTC,0.00007780,0.00008770,0.00007650,0.00008070,4076601.20000000,334.83159052,28250
1662681600000,2022-09-09 00:00:00,EOS/BTC,0.00008300,0.00008540,0.00007670,0.00007770,2418648.00000000,195.75438738,20851
1662595200000,2022-09-08 00:00:00,EOS/BTC,0.00008630,0.00008980,0.00008260,0.00008290,2639549.60000000,224.99156794,22431
1662508800000,2022-09-07 00:00:00,EOS/BTC,0.00007420,0.00008810,0.00007320,0.00008630,4353917.50000000,354.21425714,28025
1662422400000,2022-09-06 00:00:00,EOS/BTC,0.00007920,0.00007970,0.00007350,0.00007420,1919433.60000000,146.32917997,11667
1662336000000,2022-09-05 00:00:00,EOS/BTC,0.00007470,0.00008050,0.00007230,0.00007920,1884800.30000000,143.00588049,12227
1662249600000,2022-09-04 00:00:00,EOS/BTC,0.00007650,0.00007810,0.00007430,0.00007460,1042691.80000000,79.21507863,7307
1662163200000,2022-09-03 00:00:00,EOS/BTC,0.00007750,0.00008030,0.00007580,0.00007650,1923071.00000000,149.16186293,12852
1662076800000,2022-09-02 00:00:00,EOS/BTC,0.00007360,0.00007850,0.00007360,0.00007750,2774197.40000000,211.23400040,18379
1661990400000,2022-09-01 00:00:00,EOS/BTC,0.00006850,0.00007460,0.00006730,0.00007350,1663313.80000000,119.28314502,12394
1661904000000,2022-08-31 00:00:00,EOS/BTC,0.00007040,0.00007100,0.00006810,0.00006850,794716.80000000,55.11356458,6425
1661817600000,2022-08-30 00:00:00,EOS/BTC,0.00007360,0.00007400,0.00006880,0.00007030,999989.60000000,70.98919646,8718
1661731200000,2022-08-29 00:00:00,EOS/BTC,0.00007280,0.00007390,0.00007160,0.00007360,990055.00000000,72.10903404,7283
1661644800000,2022-08-28 00:00:00,EOS/BTC,0.00007680,0.00007840,0.00007170,0.00007300,1246366.50000000,94.00650842,10045
1661558400000,2022-08-27 00:00:00,EOS/BTC,0.00007650,0.00007810,0.00007350,0.00007680,1459157.70000000,110.18151498,12040
1661472000000,2022-08-26 00:00:00,EOS/BTC,0.00008030,0.00008260,0.00007450,0.00007660,2938247.30000000,232.92948748,23554
