https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FTM,Volume EUR
1663545600,2022-09-19 00:00:00,FTM/EUR,0.22489,0.22489,0.22489,0.22489,0.00000000,0.0
1663542000,2022-09-18 23:00:00,FTM/EUR,0.22489,0.22489,0.22489,0.22489,444.66183467,99.9999999989363
1663538400,2022-09-18 22:00:00,FTM/EUR,0.22650,0.22650,0.22381,0.22630,1205.94788074,272.906005411462
1663534800,2022-09-18 21:00:00,FTM/EUR,0.23200,0.26219,0.21665,0.22915,111826.89951433,25625.134023708717
1663531200,2022-09-18 20:00:00,FTM/EUR,0.23941,0.23941,0.23837,0.23837,1136.53888769,270.9167746586653
1663527600,2022-09-18 19:00:00,FTM/EUR,0.24022,0.24080,0.24022,0.24080,10102.85795366,2432.7681952413277
1663524000,2022-09-18 18:00:00,FTM/EUR,0.23896,0.23896,0.23896,0.23896,45.00000000,10.7532
1663520400,2022-09-18 17:00:00,FTM/EUR,0.24080,0.24193,0.23901,0.23921,2978.64056851,712.5206103932771
1663516800,2022-09-18 16:00:00,FTM/EUR,0.24171,0.24171,0.24171,0.24171,2838.00000000,685.97298
1663513200,2022-09-18 15:00:00,FTM/EUR,0.24644,0.24644,0.24644,0.24644,0.00000000,0.0
1663509600,2022-09-18 14:00:00,FTM/EUR,0.24734,0.24735,0.24644,0.24644,4824.18411331,1188.8719328841162
1663506000,2022-09-18 13:00:00,FTM/EUR,0.24683,0.24683,0.24683,0.24683,45.00000000,11.10735
1663502400,2022-09-18 12:00:00,FTM/EUR,0.24753,0.24753,0.24753,0.24753,3807.90655208,942.5711088363624
1663498800,2022-09-18 11:00:00,FTM/EUR,0.24842,0.24842,0.24842,0.24842,0.00000000,0.0
1663495200,2022-09-18 10:00:00,FTM/EUR,0.24829,0.24842,0.24829,0.24842,251.17774355,62.397575052691
1663491600,2022-09-18 09:00:00,FTM/EUR,0.24885,0.24885,0.24885,0.24885,414.28396433,103.09456452352049
1663488000,2022-09-18 08:00:00,FTM/EUR,0.25299,0.25299,0.25299,0.25299,0.00000000,0.0
1663484400,2022-09-18 07:00:00,FTM/EUR,0.25299,0.25299,0.25299,0.25299,0.00000000,0.0
