https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CUDOS,Volume BTC
1663459200,2022-09-18 00:00:00,CUDOS/BTC,0.0000003645,0.0000003645,0.0000003645,0.0000003645,616.0534,0.0002245514643
1663372800,2022-09-17 00:00:00,CUDOS/BTC,0.0000003689,0.0000003798,0.0000003583,0.0000003639,191587.7485,0.07037166431781
1663286400,2022-09-16 00:00:00,CUDOS/BTC,0.0000003546,0.0000003654,0.000000351,0.0000003645,150167.2357,0.05368041435266
1663200000,2022-09-15 00:00:00,CUDOS/BTC,0.0000003641,0.0000003717,0.000000355,0.0000003566,208384.8812,0.07554771748394
1663113600,2022-09-14 00:00:00,CUDOS/BTC,0.0000003582,0.0000003725,0.0000003546,0.0000003618,137352.6914,0.04947938978803
1663027200,2022-09-13 00:00:00,CUDOS/BTC,0.0000003425,0.0000003654,0.0000003345,0.0000003586,161415.9407,0.05599732475456
1662940800,2022-09-12 00:00:00,CUDOS/BTC,0.0000003557,0.0000003582,0.0000003411,0.0000003411,168573.2746,0.05840206901274
1662854400,2022-09-11 00:00:00,CUDOS/BTC,0.0000003588,0.0000003617,0.0000003566,0.0000003566,15307.1402,0.0055009161417
1662768000,2022-09-10 00:00:00,CUDOS/BTC,0.0000003654,0.000000369,0.0000003556,0.0000003572,23075.7011,0.00833839897975
1662681600,2022-09-09 00:00:00,CUDOS/BTC,0.0000003788,0.0000003788,0.0000003606,0.0000003654,37075.3149,0.01362696026982
1662595200,2022-09-08 00:00:00,CUDOS/BTC,0.0000003778,0.00000039,0.0000003764,0.0000003817,210321.7542,0.08004619910033
1662508800,2022-09-07 00:00:00,CUDOS/BTC,0.0000003874,0.0000003914,0.000000374,0.0000003786,186185.7641,0.0717235200177
1662422400,2022-09-06 00:00:00,CUDOS/BTC,0.000000387,0.0000004122,0.0000003762,0.0000003906,627478.6052,0.24452202921915
1662336000,2022-09-05 00:00:00,CUDOS/BTC,0.0000004014,0.0000004014,0.0000003872,0.0000003872,86128.0144,0.03402413728668
1662249600,2022-09-04 00:00:00,CUDOS/BTC,0.0000003913,0.0000004073,0.0000003913,0.0000004014,85823.5944,0.03406235703067
1662163200,2022-09-03 00:00:00,CUDOS/BTC,0.0000003997,0.0000004194,0.0000003917,0.0000003917,197562.0279,0.0789369247958
1662076800,2022-09-02 00:00:00,CUDOS/BTC,0.0000003941,0.0000003992,0.0000003834,0.0000003992,100563.8586,0.03943785253509
1661990400,2022-09-01 00:00:00,CUDOS/BTC,0.0000003818,0.0000003917,0.000000377,0.0000003915,107767.7449,0.04140581105053
1661904000,2022-08-31 00:00:00,CUDOS/BTC,0.0000003839,0.0000003855,0.0000003706,0.0000003834,210046.7805,0.07922367468913
1661817600,2022-08-30 00:00:00,CUDOS/BTC,0.000000389,0.0000004014,0.000000377,0.0000003839,204972.083,0.07964751710712
1661731200,2022-08-29 00:00:00,CUDOS/BTC,0.0000003903,0.0000004016,0.0000003789,0.0000003863,442375.1399,0.17170105163925
1661644800,2022-08-28 00:00:00,CUDOS/BTC,0.0000003834,0.0000003919,0.0000003725,0.0000003919,142530.5006,0.05467632631535
1661558400,2022-08-27 00:00:00,CUDOS/BTC,0.0000003922,0.0000004063,0.0000003546,0.0000003857,950924.0336,0.37032015634732
1661472000,2022-08-26 00:00:00,CUDOS/BTC,0.000000394,0.0000004047,0.0000003707,0.000000394,285195.5103,0.11092440567089
1661385600,2022-08-25 00:00:00,CUDOS/BTC,0.0000003736,0.0000003918,0.0000003726,0.000000387,61865.4534,0.02365211569829
1661299200,2022-08-24 00:00:00,CUDOS/BTC,0.0000003753,0.000000402,0.000000365,0.0000003726,659260.7479,0.25212221969955
1661212800,2022-08-23 00:00:00,CUDOS/BTC,0.0000003742,0.0000004019,0.0000003574,0.0000003765,1686340.6203,0.62569401501282
