https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume DOG
1650848400000,2022-04-25 01:00:00,DOG/BTC,3.2852,3.2852,3.1645,3.2729,0.0015797961009999999,0.00048269
1650844800000,2022-04-25 00:00:00,DOG/BTC,3.348,3.355,3.1465,3.2869,0.038393785865,0.01168085
1650841200000,2022-04-24 23:00:00,DOG/BTC,3.3221,3.3559,3.322,3.322,0.0029760137000000002,0.00089585
1650837600000,2022-04-24 22:00:00,DOG/BTC,3.3221,3.3567,3.322,3.356,0.00281135476,0.00083771
1650834000000,2022-04-24 21:00:00,DOG/BTC,3.3578,3.3578,3.322,3.3221,0.002789766696,0.00083976
1650830400000,2022-04-24 20:00:00,DOG/BTC,3.3604,3.3604,3.322,3.322,0.0029895674599999997,0.00089993
1650826800000,2022-04-24 19:00:00,DOG/BTC,3.322,3.3643,3.322,3.3221,0.002591404105,0.00078005
1650823200000,2022-04-24 18:00:00,DOG/BTC,3.3289,3.3951,3.322,3.322,0.00290834456,0.00087548
1650819600000,2022-04-24 17:00:00,DOG/BTC,3.327,3.3953,3.327,3.363,0.00299616396,0.00089092
1650816000000,2022-04-24 16:00:00,DOG/BTC,3.3802,3.4233,3.325,3.3269,0.002732416239,0.00082131
1650812400000,2022-04-24 15:00:00,DOG/BTC,3.3248,3.3803,3.324,3.3803,0.0034885034030000006,0.00103201
1650808800000,2022-04-24 14:00:00,DOG/BTC,3.322,3.3958,3.322,3.3756,0.0028565002319999996,0.00084622
1650805200000,2022-04-24 13:00:00,DOG/BTC,3.3897,3.4172,3.322,3.3736,0.004482536055999999,0.0013287099999999999
1650801600000,2022-04-24 12:00:00,DOG/BTC,3.3359,3.4041,3.3221,3.3221,0.002560276028,0.00077068
1650798000000,2022-04-24 11:00:00,DOG/BTC,3.411,3.4429,3.3222,3.3714,0.002514457548,0.00074582
1650794400000,2022-04-24 10:00:00,DOG/BTC,3.3285,3.4429,3.3279,3.3317,0.00298620271,0.0008963
1650790800000,2022-04-24 09:00:00,DOG/BTC,3.4033,3.4427,3.3221,3.403,0.0028462692,0.0008364
1650787200000,2022-04-24 08:00:00,DOG/BTC,3.3326,3.4073,3.3256,3.4058,0.00286989737,0.00084265
1650783600000,2022-04-24 07:00:00,DOG/BTC,3.4058,3.4427,3.3283,3.4058,0.00303916563,0.00089235
1650780000000,2022-04-24 06:00:00,DOG/BTC,3.4051,3.4428,3.3221,3.4068,0.002340948552,0.00068714
1650776400000,2022-04-24 05:00:00,DOG/BTC,3.4071,3.4428,3.3221,3.4051,0.002940508156,0.00086356
1650772800000,2022-04-24 04:00:00,DOG/BTC,3.4006,3.4427,3.3221,3.3221,0.0030443059979999997,0.00091638
1650769200000,2022-04-24 03:00:00,DOG/BTC,3.4112,3.4428,3.3306,3.4027,0.003039904126,0.00089338
1650765600000,2022-04-24 02:00:00,DOG/BTC,3.4188,3.4427,3.3268,3.3872,0.0023688383200000003,0.0006993500000000001
1650762000000,2022-04-24 01:00:00,DOG/BTC,3.4225,3.4429,3.3221,3.4427,0.0025237056619999997,0.00073306
1650758400000,2022-04-24 00:00:00,DOG/BTC,3.4427,3.4429,3.3299,3.33,0.0029093544000000004,0.00087368
1650754800000,2022-04-23 23:00:00,DOG/BTC,3.4429,3.443,3.3221,3.4197,0.00272618484,0.0007972
1650751200000,2022-04-23 22:00:00,DOG/BTC,3.4243,3.4429,3.3221,3.4188,0.0027691938120000003,0.00080999
1650747600000,2022-04-23 21:00:00,DOG/BTC,3.4427,3.4429,3.3295,3.4428,0.0030024314519999998,0.00087209
1650744000000,2022-04-23 20:00:00,DOG/BTC,3.4426,3.4429,3.3222,3.4301,0.002790832263,0.00081363
1650740400000,2022-04-23 19:00:00,DOG/BTC,3.4317,3.4429,3.3292,3.3302,0.002783947294,0.00083597
1650736800000,2022-04-23 18:00:00,DOG/BTC,3.4295,3.4429,3.322,3.4429,0.002648588541,0.0007692900000000001
1650733200000,2022-04-23 17:00:00,DOG/BTC,3.4308,3.4429,3.3243,3.4427,0.003248910417,0.00094371
1650729600000,2022-04-23 16:00:00,DOG/BTC,3.4311,3.4429,3.3462,3.4308,0.0025682625720000003,0.00074859
1650726000000,2022-04-23 15:00:00,DOG/BTC,3.4305,3.4429,3.3222,3.4307,0.002681675269,0.00078167
1650722400000,2022-04-23 14:00:00,DOG/BTC,3.4427,3.4428,3.3221,3.4427,0.0024837359149999997,0.00072145
1650718800000,2022-04-23 13:00:00,DOG/BTC,3.4328,3.4429,3.3221,3.4299,0.003128617584,0.00091216
1650715200000,2022-04-23 12:00:00,DOG/BTC,3.4428,3.4429,3.3223,3.4427,0.0027657618989999997,0.00080337
1650711600000,2022-04-23 11:00:00,DOG/BTC,3.4429,3.443,3.3221,3.3222,0.00279662796,0.0008418
1650708000000,2022-04-23 10:00:00,DOG/BTC,3.4416,3.443,3.3194,3.3195,0.002854803195,0.00086001
1650704400000,2022-04-23 09:00:00,DOG/BTC,3.4356,3.443,3.3505,3.4429,0.0028085801039999998,0.00081576
1650700800000,2022-04-23 08:00:00,DOG/BTC,3.4296,3.4429,3.311,3.4429,0.002624729244,0.00076236
1650697200000,2022-04-23 07:00:00,DOG/BTC,3.4426,3.4428,3.3038,3.4308,0.003051044748,0.00088931
1650693600000,2022-04-23 06:00:00,DOG/BTC,3.4426,3.4427,3.3037,3.3037,0.002884956025,0.00087325
1650690000000,2022-04-23 05:00:00,DOG/BTC,3.4221,3.4427,3.3113,3.4198,0.003046084256,0.00089072
1650686400000,2022-04-23 04:00:00,DOG/BTC,3.4429,3.4429,3.323,3.4429,0.002847725877,0.00082713
1650682800000,2022-04-23 03:00:00,DOG/BTC,3.4422,3.443,3.3247,3.4427,0.002867872381,0.00083303
1650679200000,2022-04-23 02:00:00,DOG/BTC,3.443,3.443,3.3307,3.3631,0.00332509697,0.0009887
1650675600000,2022-04-23 01:00:00,DOG/BTC,3.4383,3.443,3.3308,3.443,0.00314452633,0.00091331
1650672000000,2022-04-23 00:00:00,DOG/BTC,3.443,3.443,3.3982,3.399,0.00329036796,0.00096804
1650668400000,2022-04-22 23:00:00,DOG/BTC,3.443,3.443,3.3975,3.443,0.00290819881,0.0008446700000000001
1650664800000,2022-04-22 22:00:00,DOG/BTC,3.443,3.443,3.3973,3.443,0.0028153411,0.0008177
1650661200000,2022-04-22 21:00:00,DOG/BTC,3.443,3.443,3.3964,3.443,0.0032938148099999997,0.00095667
1650657600000,2022-04-22 20:00:00,DOG/BTC,3.4429,3.443,3.3963,3.443,0.0021673685,0.0006295
1650654000000,2022-04-22 19:00:00,DOG/BTC,3.443,3.443,3.3957,3.3962,0.002561855546,0.00075433
1650650400000,2022-04-22 18:00:00,DOG/BTC,3.443,3.443,3.3895,3.443,0.00193679079,0.00056253
1650646800000,2022-04-22 17:00:00,DOG/BTC,3.3722,3.443,3.3722,3.443,0.00192398283,0.00055881
1650643200000,2022-04-22 16:00:00,DOG/BTC,3.4429,3.443,3.3472,3.443,0.0030853411600000004,0.00089612
1650639600000,2022-04-22 15:00:00,DOG/BTC,3.4427,3.443,3.3468,3.3471,0.0025655521500000003,0.0007665
1650636000000,2022-04-22 14:00:00,DOG/BTC,3.4052,3.4429,3.3306,3.4329,0.003216146694,0.00093686
1650632400000,2022-04-22 13:00:00,DOG/BTC,3.4427,3.4429,3.3245,3.3305,0.002907426585,0.00087297
1650628800000,2022-04-22 12:00:00,DOG/BTC,3.4427,3.4427,3.304,3.4117,0.0028095349500000004,0.0008235
1650625200000,2022-04-22 11:00:00,DOG/BTC,3.4075,3.443,3.2999,3.4027,0.0029317663199999997,0.0008616
1650621600000,2022-04-22 10:00:00,DOG/BTC,3.4005,3.4429,3.304,3.4047,0.002764718541,0.00081203
1650618000000,2022-04-22 09:00:00,DOG/BTC,3.4154,3.4429,3.2906,3.3177,0.0026117597940000003,0.00078722
1650614400000,2022-04-22 08:00:00,DOG/BTC,3.4067,3.443,3.2865,3.4429,0.002696513709,0.00078321
1650610800000,2022-04-22 07:00:00,DOG/BTC,3.3877,3.4426,3.2864,3.2864,0.0026981015359999997,0.00082099
1650607200000,2022-04-22 06:00:00,DOG/BTC,3.3927,3.3927,3.2985,3.3094,0.00297051744,0.0008976
1650603600000,2022-04-22 05:00:00,DOG/BTC,3.3386,3.4378,3.3033,3.4336,0.002906267712,0.00084642
1650600000000,2022-04-22 04:00:00,DOG/BTC,3.4047,3.442,3.3385,3.3386,0.002735014506,0.00081921
1650596400000,2022-04-22 03:00:00,DOG/BTC,3.3433,3.439,3.3432,3.4301,0.0029010756770000003,0.00084577
1650592800000,2022-04-22 02:00:00,DOG/BTC,3.3417,3.4299,3.3417,3.4001,0.0028291892089999998,0.00083209
1650589200000,2022-04-22 01:00:00,DOG/BTC,3.3967,3.4368,3.323,3.4368,0.00312508224,0.0009093
1650585600000,2022-04-22 00:00:00,DOG/BTC,3.3935,3.4429,3.3093,3.3229,0.002848024361,0.00085709
1650582000000,2022-04-21 23:00:00,DOG/BTC,3.38,3.4348,3.3006,3.4348,0.0033101854559999997,0.0009637199999999999
1650578400000,2022-04-21 22:00:00,DOG/BTC,3.3013,3.4328,3.2985,3.3097,0.003041548106,0.00091898
1650574800000,2022-04-21 21:00:00,DOG/BTC,3.3684,3.4244,3.2808,3.3833,0.002675648972,0.00079084
1650571200000,2022-04-21 20:00:00,DOG/BTC,3.3678,3.3705,3.2895,3.308,0.00274008256,0.00082832
1650567600000,2022-04-21 19:00:00,DOG/BTC,3.3738,3.4102,3.2825,3.4102,0.0029766953760000004,0.00087288
1650564000000,2022-04-21 18:00:00,DOG/BTC,3.3697,3.4135,3.2944,3.3739,0.002733263868,0.00081012
1650560400000,2022-04-21 17:00:00,DOG/BTC,3.3613,3.3893,3.2947,3.3697,0.002718269596,0.00080668
1650556800000,2022-04-21 16:00:00,DOG/BTC,3.2792,3.4055,3.2792,3.2967,0.00238186575,0.0007225
1650553200000,2022-04-21 15:00:00,DOG/BTC,3.3369,3.3935,3.2341,3.3644,0.0026468407679999997,0.00078672
1650549600000,2022-04-21 14:00:00,DOG/BTC,3.3251,3.3849,3.24,3.2563,0.00234714104,0.0007208
1650546000000,2022-04-21 13:00:00,DOG/BTC,3.3001,3.3434,3.2373,3.3252,0.00199279236,0.0005993
1650542400000,2022-04-21 12:00:00,DOG/BTC,3.3164,3.3495,3.3,3.3483,0.00215228724,0.0006428
1650538800000,2022-04-21 11:00:00,DOG/BTC,3.3535,3.3535,3.316,3.316,0.00274571432,0.00082802
1650535200000,2022-04-21 10:00:00,DOG/BTC,3.3668,3.3668,3.3151,3.3537,0.002973323346,0.00088658
1650531600000,2022-04-21 09:00:00,DOG/BTC,3.3334,3.3718,3.3012,3.315,0.01353696825,0.00408355
1650528000000,2022-04-21 08:00:00,DOG/BTC,3.3355,3.3726,3.3322,3.3333,0.0023792095409999998,0.00071377
1650524400000,2022-04-21 07:00:00,DOG/BTC,3.3327,3.3784,3.3327,3.3758,0.003071539146,0.00090987
1650520800000,2022-04-21 06:00:00,DOG/BTC,3.3321,3.3915,3.3321,3.3326,0.0026478840039999996,0.0007945399999999999
1650517200000,2022-04-21 05:00:00,DOG/BTC,3.4021,3.4499,3.3321,3.3821,0.005132438213,0.00151753
1650513600000,2022-04-21 04:00:00,DOG/BTC,3.3997,3.4063,3.3501,3.3523,0.0028293412,0.000844
1650510000000,2022-04-21 03:00:00,DOG/BTC,3.4099,3.4123,3.3546,3.3998,0.00304979059,0.00089705
1650506400000,2022-04-21 02:00:00,DOG/BTC,3.4493,3.4499,3.3501,3.41,0.0030413449,0.00089189
1650502800000,2022-04-21 01:00:00,DOG/BTC,3.4496,3.45,3.3501,3.3503,0.0029119802509999996,0.00086917
1650499200000,2022-04-21 00:00:00,DOG/BTC,3.4286,3.4499,3.3501,3.3501,0.0030893282159999997,0.00092216
1650495600000,2022-04-20 23:00:00,DOG/BTC,3.4,3.4499,3.3501,3.4286,0.0028393265179999998,0.00082813
1650492000000,2022-04-20 22:00:00,DOG/BTC,3.4499,3.45,3.35,3.4,0.002881466,0.00084749
1650488400000,2022-04-20 21:00:00,DOG/BTC,3.3329,3.4499,3.3329,3.4473,0.003028970145,0.00087865
1650484800000,2022-04-20 20:00:00,DOG/BTC,3.3989,3.3989,3.3324,3.3975,0.002543402475,0.00074861
1650481200000,2022-04-20 19:00:00,DOG/BTC,3.4188,3.4188,3.3321,3.399,0.03358354758,0.00988042
1650477600000,2022-04-20 18:00:00,DOG/BTC,3.4019,3.4789,3.35,3.4241,0.003980618973,0.00116253
1650474000000,2022-04-20 17:00:00,DOG/BTC,3.4622,3.4996,3.4003,3.4018,0.002825092846,0.00083047
1650470400000,2022-04-20 16:00:00,DOG/BTC,3.4,3.4999,3.3503,3.4004,0.0030689290079999997,0.00090252
1650466800000,2022-04-20 15:00:00,DOG/BTC,3.4247,3.4958,3.3501,3.4539,0.002939407056,0.00085104
1650463200000,2022-04-20 14:00:00,DOG/BTC,3.4326,3.4326,3.3657,3.3693,0.002614442028,0.00077596
1650459600000,2022-04-20 13:00:00,DOG/BTC,3.4211,3.4589,3.3656,3.3656,0.03928008588,0.01167105
1650456000000,2022-04-20 12:00:00,DOG/BTC,3.4906,3.4914,3.42,3.4209,0.005315326002,0.00155378
1650452400000,2022-04-20 11:00:00,DOG/BTC,3.5133,3.5133,3.4501,3.4506,0.00315057033,0.00091305
1650448800000,2022-04-20 10:00:00,DOG/BTC,3.5086,3.5133,3.4501,3.5133,0.003465729918,0.00098646
1650445200000,2022-04-20 09:00:00,DOG/BTC,3.5131,3.5132,3.4501,3.4502,0.0033511792600000004,0.0009713
1650441600000,2022-04-20 08:00:00,DOG/BTC,3.5,3.5132,3.4501,3.4503,0.003145017456,0.00091152
1650438000000,2022-04-20 07:00:00,DOG/BTC,3.5132,3.5132,3.45,3.5,0.0034533100000000002,0.00098666
1650434400000,2022-04-20 06:00:00,DOG/BTC,3.5131,3.5132,3.4501,3.5125,0.00340916225,0.00097058
1650430800000,2022-04-20 05:00:00,DOG/BTC,3.5132,3.5132,3.45,3.4502,0.0035167198560000002,0.00101928
1650427200000,2022-04-20 04:00:00,DOG/BTC,3.4684,3.5132,3.4001,3.45,0.0026828235,0.00077763
1650423600000,2022-04-20 03:00:00,DOG/BTC,3.4448,3.4997,3.37,3.4997,0.002871118883,0.00082039
1650420000000,2022-04-20 02:00:00,DOG/BTC,3.4253,3.45,3.3701,3.45,0.0025541730000000003,0.00074034
1650416400000,2022-04-20 01:00:00,DOG/BTC,3.4372,3.4372,3.3705,3.4254,0.002023794828,0.00059082
1650412800000,2022-04-20 00:00:00,DOG/BTC,3.4615,3.4647,3.3701,3.4373,0.0047525828450000005,0.00138265
1650409200000,2022-04-19 23:00:00,DOG/BTC,3.4002,3.4964,3.4002,3.4014,0.002743433184,0.00080656
1650405600000,2022-04-19 22:00:00,DOG/BTC,3.4025,3.4999,3.4001,3.4999,0.003522894343,0.00100657
1650402000000,2022-04-19 21:00:00,DOG/BTC,3.4571,3.4996,3.4016,3.4024,0.00337245888,0.0009912
1650398400000,2022-04-19 20:00:00,DOG/BTC,3.4004,3.4982,3.4004,3.4015,0.0037732839499999998,0.0011093
1650394800000,2022-04-19 19:00:00,DOG/BTC,3.4016,3.4989,3.4001,3.4002,0.0033195812579999997,0.00097629
1650391200000,2022-04-19 18:00:00,DOG/BTC,3.4648,3.4988,3.4007,3.4625,0.0028882443749999997,0.00083415
1650387600000,2022-04-19 17:00:00,DOG/BTC,3.4006,3.4985,3.4001,3.4657,0.002866549784,0.00082712
1650384000000,2022-04-19 16:00:00,DOG/BTC,3.4362,3.4986,3.3701,3.4572,0.0030121892159999998,0.00087128
1650380400000,2022-04-19 15:00:00,DOG/BTC,3.4385,3.4385,3.3761,3.4363,0.002792131202,0.0008125399999999999
1650376800000,2022-04-19 14:00:00,DOG/BTC,3.4008,3.4482,3.37,3.4386,0.003862029204,0.00112314
1650373200000,2022-04-19 13:00:00,DOG/BTC,3.4667,3.4667,3.4001,3.4007,0.002913583732,0.00085676
1650366000000,2022-04-19 11:00:00,DOG/BTC,3.4004,3.4682,3.4003,3.4008,0.001459895424,0.00042928
1650362400000,2022-04-19 10:00:00,DOG/BTC,3.4544,3.4999,3.4,3.4003,0.002705244677,0.00079559
1650358800000,2022-04-19 09:00:00,DOG/BTC,3.4593,3.4603,3.4001,3.4014,0.002975816832,0.00087488
1650355200000,2022-04-19 08:00:00,DOG/BTC,3.4029,3.486,3.4,3.4832,0.0026468488480000003,0.00075989
1650351600000,2022-04-19 07:00:00,DOG/BTC,3.4002,3.4996,3.4002,3.4028,0.002766578484,0.00081303
1650348000000,2022-04-19 06:00:00,DOG/BTC,3.4562,3.459,3.4035,3.459,0.00301925733,0.00087287
1650344400000,2022-04-19 05:00:00,DOG/BTC,3.4026,3.4972,3.4026,3.4687,0.0028077739020000003,0.00080946
1650340800000,2022-04-19 04:00:00,DOG/BTC,3.4591,3.4974,3.401,3.4025,0.0029603111,0.00087004
