https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KYL,Volume USDT
1663459200,2022-09-18 00:00:00,KYL/USDT,0.01998,0.02012,0.01995,0.02003,435705.2666,8726.1274329
1663372800,2022-09-17 00:00:00,KYL/USDT,0.01879,0.0203,0.01863,0.01998,9563749.0983,186909.184836567
1663286400,2022-09-16 00:00:00,KYL/USDT,0.01893,0.01907,0.0183,0.01889,10255224.5071,191432.035412827
1663200000,2022-09-15 00:00:00,KYL/USDT,0.0198,0.02036,0.01874,0.01893,10313600.0019,202888.811540361
1663113600,2022-09-14 00:00:00,KYL/USDT,0.02061,0.02083,0.01951,0.0198,9820613.7409,197152.608922951
1663027200,2022-09-13 00:00:00,KYL/USDT,0.02103,0.0223,0.01967,0.02061,10101339.531,211189.246212987
1662940800,2022-09-12 00:00:00,KYL/USDT,0.02168,0.02197,0.02043,0.02114,9497364.7887,201048.137321749
1662854400,2022-09-11 00:00:00,KYL/USDT,0.02073,0.02176,0.01973,0.02168,9600263.1852,198287.457113544
1662768000,2022-09-10 00:00:00,KYL/USDT,0.02066,0.02079,0.01965,0.02073,9644717.403,196979.402981153
1662681600,2022-09-09 00:00:00,KYL/USDT,0.01871,0.0215,0.01843,0.02066,10872057.1386,220984.604457215
1662595200,2022-09-08 00:00:00,KYL/USDT,0.01868,0.0205,0.0185,0.01871,9551964.3928,182652.208148109
1662508800,2022-09-07 00:00:00,KYL/USDT,0.01801,0.01924,0.01761,0.01868,10488607.1686,191198.854117329
1662422400,2022-09-06 00:00:00,KYL/USDT,0.01834,0.01882,0.0175,0.01801,10221726.059,186502.022757129
1662336000,2022-09-05 00:00:00,KYL/USDT,0.01795,0.01924,0.01783,0.01834,10404090.0818,191074.100605621
1662249600,2022-09-04 00:00:00,KYL/USDT,0.0182,0.01838,0.01758,0.01795,9128960.7541,164382.372443283
1662163200,2022-09-03 00:00:00,KYL/USDT,0.0193,0.01945,0.01721,0.0182,10881300.2235,203911.929130239
1662076800,2022-09-02 00:00:00,KYL/USDT,0.0191,0.02149,0.0187,0.0193,10130290.0508,194687.003417881
1661990400,2022-09-01 00:00:00,KYL/USDT,0.02014,0.02031,0.018,0.0191,10541500.6113,204497.964742043
1661904000,2022-08-31 00:00:00,KYL/USDT,0.02026,0.0205,0.02005,0.02014,9736280.3064,197005.664255479
1661817600,2022-08-30 00:00:00,KYL/USDT,0.02,0.02089,0.01941,0.02026,9030794.7602,182146.75504437
