https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PLD,Volume USDT
1663459200,2022-09-18 00:00:00,PLD/USDT,0.053,0.0533,0.0525,0.0532,56829.5283,3007.03730314
1663372800,2022-09-17 00:00:00,PLD/USDT,0.0512,0.0533,0.0503,0.0531,2353573.9361,120856.08998155
1663286400,2022-09-16 00:00:00,PLD/USDT,0.0527,0.0534,0.0498,0.0514,2639794.7026,134994.94023776
1663200000,2022-09-15 00:00:00,PLD/USDT,0.0516,0.055,0.0498,0.0528,3778712.4865,196739.91520787
1663113600,2022-09-14 00:00:00,PLD/USDT,0.0518,0.055,0.0507,0.0516,2335602.5611,121375.55826499
1663027200,2022-09-13 00:00:00,PLD/USDT,0.0551,0.0562,0.0504,0.0516,2166597.8726,115683.42489446
1662940800,2022-09-12 00:00:00,PLD/USDT,0.0555,0.0569,0.0531,0.0552,3236809.7628,176645.34462335
1662854400,2022-09-11 00:00:00,PLD/USDT,0.0559,0.0584,0.0543,0.0556,3800461.8925,212678.59694757
1662768000,2022-09-10 00:00:00,PLD/USDT,0.0556,0.076,0.0541,0.0562,8008989.71343396,490989.24695947653
1662681600,2022-09-09 00:00:00,PLD/USDT,0.0535,0.0579,0.0527,0.0559,4349133.468,235949.21479124
1662595200,2022-09-08 00:00:00,PLD/USDT,0.0563,0.058,0.0524,0.0537,5579776.5176,306400.13430554
1662508800,2022-09-07 00:00:00,PLD/USDT,0.0555,0.058,0.0508,0.0565,6873293.5373,369476.47187773
1662422400,2022-09-06 00:00:00,PLD/USDT,0.0574,0.0578,0.0539,0.0555,2351418.8216,131630.09946058
1662336000,2022-09-05 00:00:00,PLD/USDT,0.0572,0.0597,0.056,0.0574,3433487.3991,196427.50550239
1662249600,2022-09-04 00:00:00,PLD/USDT,0.0618,0.0659,0.0563,0.0575,5169846.6757,305047.87832861
1662163200,2022-09-03 00:00:00,PLD/USDT,0.0563,0.066,0.056,0.0618,3930689.54170467,227967.897284060474
1662076800,2022-09-02 00:00:00,PLD/USDT,0.0573,0.0579,0.0559,0.0561,8747005.5497,496158.52265959
1661990400,2022-09-01 00:00:00,PLD/USDT,0.0592,0.0594,0.0561,0.0573,6328621.7317,363943.26127648
1661904000,2022-08-31 00:00:00,PLD/USDT,0.0603,0.0621,0.0581,0.0593,2269027.07929137,134728.6559658378
1661817600,2022-08-30 00:00:00,PLD/USDT,0.0649,0.065,0.0587,0.0601,5127919.22230133,316913.337119494616
1661731200,2022-08-29 00:00:00,PLD/USDT,0.0637,0.0658,0.0611,0.0646,4252055.74586425,266332.394197955488
1661644800,2022-08-28 00:00:00,PLD/USDT,0.0619,0.0665,0.0612,0.0639,4774762.28451074,304785.650401147906
1661558400,2022-08-27 00:00:00,PLD/USDT,0.0617,0.0626,0.0593,0.062,4919589.30329046,299689.609294940123
1661472000,2022-08-26 00:00:00,PLD/USDT,0.0612,0.073,0.06,0.0618,4936329.49026085,323325.280501629226
1661385600,2022-08-25 00:00:00,PLD/USDT,0.0691,0.0713,0.0581,0.0614,5531110.87737244,360320.106110099333
1661299200,2022-08-24 00:00:00,PLD/USDT,0.0698,0.0719,0.0682,0.0691,2322390.11307739,160774.381150924212
