https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume RBT
1663545600000,2022-09-19 00:00:00,RBT/BTC,0.99998,0.99998,0.99998,0.99998,0.00017594648100000002,0.00017595000000000002
1663459200000,2022-09-18 00:00:00,RBT/BTC,0.99998,1.0001,0.99998,0.99998,0.0021837863234,0.00218383
1663372800000,2022-09-17 00:00:00,RBT/BTC,0.99999,1.0001,0.99998,0.99998,0.1011892961736,0.10119132
1663286400000,2022-09-16 00:00:00,RBT/BTC,0.99999,1.0001,0.99999,0.99999,0.0091976780223,0.00919777
1663200000000,2022-09-15 00:00:00,RBT/BTC,0.99999,1.0001,0.99999,0.99999,0.0258151318461,0.02581539
1663113600000,2022-09-14 00:00:00,RBT/BTC,0.99999,1.0001,0.99999,0.99999,0.016011539883,0.0160117
1663027200000,2022-09-13 00:00:00,RBT/BTC,0.99999,1.0001,0.99711,0.99999,0.1676406835764,0.16764236
1662940800000,2022-09-12 00:00:00,RBT/BTC,1.0,1.0,0.99999,0.99999,0.000514294857,0.0005143
1662854400000,2022-09-11 00:00:00,RBT/BTC,1.0,1.0,0.99701,1.0,0.00032448,0.00032448
1662768000000,2022-09-10 00:00:00,RBT/BTC,1.0,1.0,1.0,1.0,0.00013754000000000001,0.00013754000000000001
1662681600000,2022-09-09 00:00:00,RBT/BTC,0.99701,1.0,0.99701,1.0,0.00406874,0.00406874
1662595200000,2022-09-08 00:00:00,RBT/BTC,1.0001,1.0001,1.0001,1.0001,0.000346564653,0.00034653
1662508800000,2022-09-07 00:00:00,RBT/BTC,1.0001,1.0001,0.997,1.0001,0.272922519523,0.27289523
1662422400000,2022-09-06 00:00:00,RBT/BTC,1.0001,1.0001,0.99701,1.0001,0.006553775312,0.00655312
1662336000000,2022-09-05 00:00:00,RBT/BTC,0.99702,1.0001,0.99702,1.0001,0.017315621389,0.01731389
1662163200000,2022-09-03 00:00:00,RBT/BTC,1.0001,1.0001,1.0001,1.0001,0.0023441043870000003,0.00234387
1662076800000,2022-09-02 00:00:00,RBT/BTC,1.0001,1.0001,1.0001,1.0001,0.000133123311,0.00013311
1661990400000,2022-09-01 00:00:00,RBT/BTC,1.0001,1.0001,1.0001,1.0001,0.000297669764,0.00029764
1661904000000,2022-08-31 00:00:00,RBT/BTC,1.0001,1.0001,1.0001,1.0001,0.010319111807999999,0.010318079999999999
1661817600000,2022-08-30 00:00:00,RBT/BTC,0.99702,1.0001,0.99701,1.0001,0.003149894958,0.00314958
1661731200000,2022-08-29 00:00:00,RBT/BTC,1.0001,1.0001,1.0001,1.0001,6.795679499999999e-05,6.795e-05
1661644800000,2022-08-28 00:00:00,RBT/BTC,1.0001,1.0001,1.0001,1.0001,0.00010922092100000001,0.00010921
1661558400000,2022-08-27 00:00:00,RBT/BTC,1.0001,1.0001,1.0001,1.0001,0.000164956494,0.00016494
1661472000000,2022-08-26 00:00:00,RBT/BTC,1.0001,1.0001,1.0001,1.0001,0.0026971296860000002,0.00269686
1661385600000,2022-08-25 00:00:00,RBT/BTC,0.99702,1.0001,0.99702,1.0001,0.000249944992,0.00024992
1661299200000,2022-08-24 00:00:00,RBT/BTC,1.0001,1.0001,0.99702,1.0001,0.011101940083,0.01110083
1661212800000,2022-08-23 00:00:00,RBT/BTC,1.0001,1.0001,1.0001,1.0001,0.00014640463899999998,0.00014638999999999999
1661126400000,2022-08-22 00:00:00,RBT/BTC,0.99999,1.0001,0.99999,1.0001,0.990187858885,0.99008885
1661040000000,2022-08-21 00:00:00,RBT/BTC,0.99999,0.99999,0.998,0.99999,0.0002831071689,0.00028311
1660953600000,2022-08-20 00:00:00,RBT/BTC,0.997,1.0,0.995,0.99999,0.1200095398926,0.12001074
1660867200000,2022-08-19 00:00:00,RBT/BTC,1.0001,1.0001,0.997,1.0001,0.042961835754000005,0.04295754
1660694400000,2022-08-17 00:00:00,RBT/BTC,0.99994,1.002,0.99701,1.0001,0.018348094626,0.01834626
1660608000000,2022-08-16 00:00:00,RBT/BTC,0.99994,0.99994,0.99994,0.99994,0.00021035737780000002,0.00021037
1660521600000,2022-08-15 00:00:00,RBT/BTC,0.997,0.99994,0.997,0.99994,0.0011889886564,0.00118906
1660435200000,2022-08-14 00:00:00,RBT/BTC,0.99994,0.99994,0.99994,0.99994,0.00036608803340000003,0.00036611
1660348800000,2022-08-13 00:00:00,RBT/BTC,0.997,0.99994,0.98,0.99994,1.4123405044850001,1.41242525
1660262400000,2022-08-12 00:00:00,RBT/BTC,0.99994,0.99994,0.99994,0.99994,0.00016006039580000002,0.00016007
1660176000000,2022-08-11 00:00:00,RBT/BTC,0.99994,0.99994,0.997,0.99994,0.005607623522400001,0.00560796
1660089600000,2022-08-10 00:00:00,RBT/BTC,0.99994,0.99994,0.997,0.99994,0.0038976361278000005,0.0038978700000000003
1660003200000,2022-08-09 00:00:00,RBT/BTC,0.997,0.99994,0.997,0.99994,0.0013488990612000001,0.00134898
1659916800000,2022-08-08 00:00:00,RBT/BTC,0.99994,0.99994,0.99994,0.99994,7.733535960000001e-05,7.734e-05
1659830400000,2022-08-07 00:00:00,RBT/BTC,0.99994,0.99994,0.99994,0.99994,6.45061294e-05,6.451e-05
1659657600000,2022-08-05 00:00:00,RBT/BTC,0.9985,0.99994,0.997,0.997,0.0179802968,0.0180344
1659571200000,2022-08-04 00:00:00,RBT/BTC,0.9985,0.9985,0.997,0.9985,0.05666814009500001,0.05675327
1659484800000,2022-08-03 00:00:00,RBT/BTC,0.9985,0.9985,0.997,0.9985,0.058394965965,0.05848269
1659398400000,2022-08-02 00:00:00,RBT/BTC,0.9985,0.9985,0.997,0.9985,0.058766947155000006,0.05885523
1659312000000,2022-08-01 00:00:00,RBT/BTC,0.9985,0.9985,0.997,0.9985,0.061794848480000004,0.06188768
1659225600000,2022-07-31 00:00:00,RBT/BTC,0.999,0.999,0.997,0.9985,0.059462921625000005,0.05955225
1659139200000,2022-07-30 00:00:00,RBT/BTC,0.999,0.999,0.997,0.999,0.05944331718,0.05950282
1659052800000,2022-07-29 00:00:00,RBT/BTC,0.9985,0.999,0.997,0.997,0.05974026991,0.05992003
1658966400000,2022-07-28 00:00:00,RBT/BTC,0.999,0.999,0.99,0.9985,1.8984501069100002,1.9013020600000001
1658880000000,2022-07-27 00:00:00,RBT/BTC,0.9982,0.999,0.99751,0.99751,0.9324396994977,0.93476727
1658793600000,2022-07-26 00:00:00,RBT/BTC,0.99849,0.9985,0.99818,0.9982,0.11950895597200001,0.11972446
1658707200000,2022-07-25 00:00:00,RBT/BTC,0.9985,0.9985,0.99818,0.9985,0.095786055075,0.09592995
1658620800000,2022-07-24 00:00:00,RBT/BTC,0.999,0.999,0.99819,0.9985,0.059197720025000004,0.05928665
1658534400000,2022-07-23 00:00:00,RBT/BTC,0.999,0.999,0.99819,0.99819,0.10140600231720001,0.10158988000000001
1658448000000,2022-07-22 00:00:00,RBT/BTC,0.99839,0.999,0.99838,0.99838,0.22479542050839998,0.22516018
1658361600000,2022-07-21 00:00:00,RBT/BTC,0.99829,1.0021,0.99829,1.0001,0.06851666098100001,0.06850981
1658275200000,2022-07-20 00:00:00,RBT/BTC,0.99831,1.0021,0.99829,0.99829,0.6776454513808999,0.67880621
1658188800000,2022-07-19 00:00:00,RBT/BTC,0.99818,1.0023,0.99818,0.99831,0.4322841131121,0.43301591
1658102400000,2022-07-18 00:00:00,RBT/BTC,0.9971,1.003,0.99531,1.0023,3.5564723558519997,3.54831124
1658016000000,2022-07-17 00:00:00,RBT/BTC,0.997,0.9971,0.995,0.9971,4.86561338237,4.8797647
1657929600000,2022-07-16 00:00:00,RBT/BTC,0.9971,0.9971,0.997,0.9971,0.074282913016,0.07449896
1657843200000,2022-07-15 00:00:00,RBT/BTC,0.9975,0.9975,0.997,0.9971,0.057964683517,0.05813327
1657756800000,2022-07-14 00:00:00,RBT/BTC,0.998,0.998,0.997,0.997,0.05986669948,0.06004684
1657670400000,2022-07-13 00:00:00,RBT/BTC,0.999,0.999,0.997,0.998,0.07514965947999999,0.07530026
1657584000000,2022-07-12 00:00:00,RBT/BTC,0.999,0.999,0.995,0.999,0.27442793736,0.27470264
1657497600000,2022-07-11 00:00:00,RBT/BTC,0.999,0.999,0.995,0.997,0.055454276579999996,0.05562114
1657411200000,2022-07-10 00:00:00,RBT/BTC,0.999,0.999,0.995,0.999,0.0548479971,0.0549029
1657324800000,2022-07-09 00:00:00,RBT/BTC,1.0,1.0,1.0,1.0,0.00013393999999999998,0.00013393999999999998
1657238400000,2022-07-08 00:00:00,RBT/BTC,0.99999,1.0001,0.99999,1.0,0.00220069,0.00220069
1657152000000,2022-07-07 00:00:00,RBT/BTC,1.0005,1.0005,0.995,1.0,0.24137613,0.24137613
1657065600000,2022-07-06 00:00:00,RBT/BTC,1.0005,1.0005,0.99562,1.0005,0.00114727335,0.0011467
1656979200000,2022-07-05 00:00:00,RBT/BTC,1.0006,1.0007,1.0005,1.0005,0.0007433815049999999,0.00074301
1656892800000,2022-07-04 00:00:00,RBT/BTC,1.0001,1.0006,1.0001,1.0006,0.000175335138,0.00017523000000000001
1656806400000,2022-07-03 00:00:00,RBT/BTC,1.0001,1.0001,1.0001,1.0001,6.0176017e-05,6.017e-05
1656720000000,2022-07-02 00:00:00,RBT/BTC,1.0001,1.0001,0.99559,1.0001,0.00043484348,0.0004348
1656633600000,2022-07-01 00:00:00,RBT/BTC,1.0001,1.0001,1.0001,1.0001,0.001089178907,0.00108907
1656547200000,2022-06-30 00:00:00,RBT/BTC,0.99993,1.0001,0.995,1.0001,0.08322592176,0.0832176
1656460800000,2022-06-29 00:00:00,RBT/BTC,0.9967,0.9999,0.99,0.99987,0.046435612585500004,0.04644165
1656374400000,2022-06-28 00:00:00,RBT/BTC,0.99558,0.99991,0.995,0.99991,0.15429732199109997,0.15431120999999998
1656288000000,2022-06-27 00:00:00,RBT/BTC,0.99558,0.99994,0.995,0.99991,0.1407185141938,0.14073118
1656201600000,2022-06-26 00:00:00,RBT/BTC,0.99991,1.0,0.995,0.99994,0.012616432968600001,0.01261719
1656115200000,2022-06-25 00:00:00,RBT/BTC,0.99559,0.99991,0.995,0.99991,0.0091322380246,0.00913306
1656028800000,2022-06-24 00:00:00,RBT/BTC,0.99991,0.99991,0.99991,0.99991,0.0001393474576,0.00013936
1655942400000,2022-06-23 00:00:00,RBT/BTC,0.99655,1.0,0.995,0.99993,0.2725369510779,0.27255603
1655856000000,2022-06-22 00:00:00,RBT/BTC,0.9982,1.0029,0.99654,1.0,0.32993011,0.32993011
1655769600000,2022-06-21 00:00:00,RBT/BTC,0.99818,1.0031,0.99817,0.9982,0.5243496187300001,0.52529515
1655683200000,2022-06-20 00:00:00,RBT/BTC,0.99818,1.003,0.9955,1.0029,2.360584229157,2.3537583300000002
1655596800000,2022-06-19 00:00:00,RBT/BTC,0.99826,1.0033,0.9955,1.0007,2.405882429643,2.40419949
1655510400000,2022-06-18 00:00:00,RBT/BTC,0.99663,1.0038,0.9966,1.0032,1.8716243235360002,1.86565423
1655424000000,2022-06-17 00:00:00,RBT/BTC,0.99673,1.0038,0.99661,1.0007,0.314628535915,0.31440845
1655337600000,2022-06-16 00:00:00,RBT/BTC,1.0005,1.0038,0.995,1.0007,0.5778954838679999,0.57749124
1655251200000,2022-06-15 00:00:00,RBT/BTC,0.99993,1.0039,0.99512,1.0006,0.5408047883,0.5404805
1655164800000,2022-06-14 00:00:00,RBT/BTC,1.0033,1.005,0.99993,0.99993,1.8232573030541999,1.82338494
1655078400000,2022-06-13 00:00:00,RBT/BTC,0.99685,1.004,0.98142,0.99999,6.024957469822801,6.02501772
1654992000000,2022-06-12 00:00:00,RBT/BTC,1.0006,1.0006,1.0006,1.0006,0.10897149369,0.10890615000000001
1654905600000,2022-06-11 00:00:00,RBT/BTC,1.0006,1.0006,1.0006,1.0006,0.280546506968,0.28037828
1654819200000,2022-06-10 00:00:00,RBT/BTC,0.99994,1.0006,0.99994,1.0006,0.10635002175,0.10628625
1654732800000,2022-06-09 00:00:00,RBT/BTC,0.99562,1.0,0.995,0.99994,0.6514245221834,0.65146361
1654646400000,2022-06-08 00:00:00,RBT/BTC,1.0,1.0,1.0,1.0,0.00036006,0.00036006
1654560000000,2022-06-07 00:00:00,RBT/BTC,1.0005,1.0006,0.99561,1.0,0.02591379,0.02591379
1654473600000,2022-06-06 00:00:00,RBT/BTC,0.99561,1.0005,0.99561,1.0005,0.055540186214999995,0.05551243
1654214400000,2022-06-03 00:00:00,RBT/BTC,1.0001,1.0006,1.0001,1.0006,0.003409954746,0.00340791
1654128000000,2022-06-02 00:00:00,RBT/BTC,1.0001,1.0001,1.0001,1.0001,9.3839383e-05,9.383e-05
1654041600000,2022-06-01 00:00:00,RBT/BTC,1.0001,1.0001,0.9956,1.0001,0.104095528512,0.10408512
1653955200000,2022-05-31 00:00:00,RBT/BTC,1.0001,1.0001,1.0001,1.0001,0.000470927088,0.00047088
1653868800000,2022-05-30 00:00:00,RBT/BTC,1.0,1.0001,1.0,1.0001,0.101762315214,0.10175214
1653782400000,2022-05-29 00:00:00,RBT/BTC,0.99701,1.0,0.99701,1.0,0.00429708,0.00429708
1653696000000,2022-05-28 00:00:00,RBT/BTC,0.99923,0.99923,0.99701,0.99923,0.0049171608685,0.0049209499999999995
1653609600000,2022-05-27 00:00:00,RBT/BTC,1.0001,1.0001,0.997,1.0001,0.084144443603,0.08413603
1653523200000,2022-05-26 00:00:00,RBT/BTC,0.99999,1.0001,0.99999,1.0001,0.21250914879000002,0.2124879
1653436800000,2022-05-25 00:00:00,RBT/BTC,0.9999,1.0007,0.995,0.99999,0.5183011769364,0.51830636
1653350400000,2022-05-24 00:00:00,RBT/BTC,1.001,1.008,0.99838,0.9999,4.829436798021,4.82991979
1653264000000,2022-05-23 00:00:00,RBT/BTC,1.0021,1.0021,0.99838,1.001,0.048169060939999994,0.04812094
1653177600000,2022-05-22 00:00:00,RBT/BTC,0.99836,1.0022,0.99835,0.99838,0.0860804134542,0.08622009
1653091200000,2022-05-21 00:00:00,RBT/BTC,1.0025,1.0025,0.99833,0.99933,0.054107813459700005,0.05414409
1653004800000,2022-05-20 00:00:00,RBT/BTC,1.0025,1.0025,0.99833,0.99928,0.051280341551199995,0.05131729
1652918400000,2022-05-19 00:00:00,RBT/BTC,0.9983,1.0027,0.99829,0.99833,0.12684164012059998,0.12705381999999998
1652832000000,2022-05-18 00:00:00,RBT/BTC,0.99824,1.0028,0.99824,0.9983,0.166226942983,0.16651001
1652745600000,2022-05-17 00:00:00,RBT/BTC,0.99818,1.0032,0.99818,0.99824,0.2883562681808,0.28886467
1652659200000,2022-05-16 00:00:00,RBT/BTC,0.99818,1.0032,0.99818,0.99818,0.0579841863638,0.05808991
1652572800000,2022-05-15 00:00:00,RBT/BTC,0.99818,1.0032,0.99818,0.99818,0.0741591043376,0.07429432
1652486400000,2022-05-14 00:00:00,RBT/BTC,1.0007,1.0032,0.99818,0.99818,0.7921480518502,0.79359239
1652400000000,2022-05-13 00:00:00,RBT/BTC,1.0007,1.0007,0.99995,0.99995,0.096593410088,0.09659824
1652313600000,2022-05-12 00:00:00,RBT/BTC,1.0032,1.005,0.99995,1.0007,2.001420964665,2.00002095
1652227200000,2022-05-11 00:00:00,RBT/BTC,0.99995,1.0034,0.99995,1.0007,0.616126236675,0.61569525
1652140800000,2022-05-10 00:00:00,RBT/BTC,1.0007,1.0033,0.99995,0.99995,0.3033892197805,0.30340438999999997
1652054400000,2022-05-09 00:00:00,RBT/BTC,1.0017,1.0033,0.99995,1.0007,0.9208801251719999,0.92023596
1651968000000,2022-05-08 00:00:00,RBT/BTC,0.99995,1.0017,0.99995,0.99995,0.108276205919,0.10828162
1651881600000,2022-05-07 00:00:00,RBT/BTC,1.001,1.0016,0.99995,0.99995,0.19219338984999998,0.19220299999999998
1651795200000,2022-05-06 00:00:00,RBT/BTC,1.0015,1.005,0.99519,1.0,0.19003912,0.19003912
1651708800000,2022-05-05 00:00:00,RBT/BTC,0.99524,1.0045,0.99517,1.0016,0.11761921011200001,0.11743132
1651622400000,2022-05-04 00:00:00,RBT/BTC,1.0024,1.0025,0.99518,1.0025,0.059545913549999996,0.05939742
1651536000000,2022-05-03 00:00:00,RBT/BTC,1.0,1.0025,0.99517,0.99532,0.134134200268,0.1347649
1651449600000,2022-05-02 00:00:00,RBT/BTC,1.0,1.003,0.99518,1.0,0.53626505,0.53626505
1651363200000,2022-05-01 00:00:00,RBT/BTC,1.0,1.0,1.0,1.0,0.0011000799999999998,0.0011000799999999998
1651276800000,2022-04-30 00:00:00,RBT/BTC,1.0,1.0,1.0,1.0,7.043e-05,7.043e-05
1651190400000,2022-04-29 00:00:00,RBT/BTC,0.99551,1.0047,0.9955,1.0,0.04721692,0.04721692
1651104000000,2022-04-28 00:00:00,RBT/BTC,0.99993,1.0047,0.9955,0.9955,1.31084724276,1.31677272
1651017600000,2022-04-27 00:00:00,RBT/BTC,0.99993,0.99993,0.99993,0.99993,0.0006863419527000001,0.00068639
1650931200000,2022-04-26 00:00:00,RBT/BTC,0.99993,0.99993,0.99993,0.99993,0.00022552421219999998,0.00022553999999999999
1650844800000,2022-04-25 00:00:00,RBT/BTC,1.0033,1.0033,0.996,0.99993,1.3300805978402999,1.33017371
1650758400000,2022-04-24 00:00:00,RBT/BTC,0.99701,1.005,0.99701,1.0,0.30462237,0.30462237
1650672000000,2022-04-23 00:00:00,RBT/BTC,1.0001,1.0001,1.0001,1.0001,0.092373176394,0.09236394
1650585600000,2022-04-22 00:00:00,RBT/BTC,0.99682,1.003,0.99681,1.0001,0.13994612321299998,0.13993213
1650499200000,2022-04-21 00:00:00,RBT/BTC,0.99999,1.0032,0.99681,0.99682,0.46046948572900004,0.46193845
1650412800000,2022-04-20 00:00:00,RBT/BTC,0.99627,1.0041,0.99613,0.99999,0.22936052637180002,0.22936282
1650326400000,2022-04-19 00:00:00,RBT/BTC,0.997,1.002,0.99531,1.002,0.64772539506,0.64643253
1650240000000,2022-04-18 00:00:00,RBT/BTC,1.0006,1.0039,0.99531,0.99699,0.4623226375257,0.46371843
1650153600000,2022-04-17 00:00:00,RBT/BTC,1.0005,1.0006,1.0005,1.0006,0.318076241306,0.31788551
1650067200000,2022-04-16 00:00:00,RBT/BTC,1.0003,1.0005,1.0003,1.0005,0.18855423,0.18846
1649894400000,2022-04-14 00:00:00,RBT/BTC,1.0032,1.0033,0.99503,1.0009,0.13751353089199997,0.13738988
1649808000000,2022-04-13 00:00:00,RBT/BTC,1.002,1.0037,0.99571,1.0033,0.36761702600400004,0.36640788
1649721600000,2022-04-12 00:00:00,RBT/BTC,1.002,1.0037,0.99503,0.99572,1.0577563033312,1.06230296
1649635200000,2022-04-11 00:00:00,RBT/BTC,1.0023,1.0023,0.9954,0.9954,0.23290420960799998,0.23398052
1649548800000,2022-04-10 00:00:00,RBT/BTC,1.0031,1.0031,0.9954,0.99995,0.25763943738399997,0.25765232
1649462400000,2022-04-09 00:00:00,RBT/BTC,1.0015,1.0039,0.9954,1.0032,0.057210429408,0.05702794
1649376000000,2022-04-08 00:00:00,RBT/BTC,1.0039,1.0039,0.99531,1.0015,0.086779884865,0.08664991
1649289600000,2022-04-07 00:00:00,RBT/BTC,1.0001,1.0039,0.99503,0.99531,0.23698403757630002,0.23810073
1649203200000,2022-04-06 00:00:00,RBT/BTC,0.998,1.0001,0.99501,1.0001,2.768462608579,2.76818579
1649116800000,2022-04-05 00:00:00,RBT/BTC,0.998,0.998,0.99502,0.998,2.3172529165799998,2.32189671
1649030400000,2022-04-04 00:00:00,RBT/BTC,0.999,0.999,0.99502,0.998,0.25842096232,0.25893884
1648944000000,2022-04-03 00:00:00,RBT/BTC,0.99554,0.999,0.99552,0.999,0.05942178873,0.05948127
1648857600000,2022-04-02 00:00:00,RBT/BTC,0.999,0.999,0.99554,0.997,0.15831976155,0.15879615
1648771200000,2022-04-01 00:00:00,RBT/BTC,1.0048,1.0048,0.99562,0.999,0.29101118751000005,0.29130249
1648684800000,2022-03-31 00:00:00,RBT/BTC,1.0046,1.005,0.99552,1.0,0.19946403000000001,0.19946403000000001
1648598400000,2022-03-30 00:00:00,RBT/BTC,1.0046,1.0046,0.99999,0.99999,0.021404625951600004,0.02140484
1648512000000,2022-03-29 00:00:00,RBT/BTC,1.0047,1.0047,1.0,1.0,0.00386981,0.00386981
1648425600000,2022-03-28 00:00:00,RBT/BTC,1.0036,1.0047,0.99999,0.99999,0.0280798291989,0.02808011
1648339200000,2022-03-27 00:00:00,RBT/BTC,0.99999,1.0047,0.99999,0.99999,0.0009137008629,0.00091371
1648252800000,2022-03-26 00:00:00,RBT/BTC,1.0,1.0017,0.99502,0.99999,0.3575971339929,0.35760071
1648166400000,2022-03-25 00:00:00,RBT/BTC,0.99999,1.0,0.99999,1.0,1.70980135,1.70980135
1648080000000,2022-03-24 00:00:00,RBT/BTC,0.99999,1.0,0.99501,1.0,0.29826447,0.29826447
1647993600000,2022-03-23 00:00:00,RBT/BTC,0.99539,0.99999,0.995,0.99999,0.7920366895539,0.79204461
1647907200000,2022-03-22 00:00:00,RBT/BTC,0.99601,1.0,0.99497,0.99539,3.7074661845364,3.72463676
1647820800000,2022-03-21 00:00:00,RBT/BTC,0.99513,1.0,0.99512,1.0,0.014248479999999999,0.014248479999999999
1647734400000,2022-03-20 00:00:00,RBT/BTC,1.0,1.0,0.995,1.0,0.35599698,0.35599698
1647648000000,2022-03-19 00:00:00,RBT/BTC,1.0,1.0,1.0,1.0,0.00044538,0.00044538
1647561600000,2022-03-18 00:00:00,RBT/BTC,0.99524,1.0,0.99513,1.0,0.00503761,0.00503761
1647475200000,2022-03-17 00:00:00,RBT/BTC,0.99994,1.0048,0.99513,1.0,0.14175299,0.14175299
1647388800000,2022-03-16 00:00:00,RBT/BTC,0.99995,1.0051,0.99001,0.99994,1.3028482844123999,1.30292646
1647302400000,2022-03-15 00:00:00,RBT/BTC,1.0049,1.0049,0.99995,0.99995,0.0003664916745,0.00036651
1647216000000,2022-03-14 00:00:00,RBT/BTC,0.99999,1.0041,0.99999,0.99999,0.0117324926739,0.011732610000000001
1647129600000,2022-03-13 00:00:00,RBT/BTC,1.0,1.005,0.99999,0.99999,0.4340177197794,0.43402206
1647043200000,2022-03-12 00:00:00,RBT/BTC,1.0001,1.0001,0.99512,1.0,0.00036605,0.00036605
1646956800000,2022-03-11 00:00:00,RBT/BTC,1.0001,1.0001,1.0001,1.0001,0.10137383637,0.1013637
1646870400000,2022-03-10 00:00:00,RBT/BTC,0.9999,1.0001,0.99512,1.0001,0.08814288340700001,0.08813407000000001
