https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TRIAS,Volume USDT
1663462800,2022-09-18 01:00:00,TRIAS/USDT,1.04178,1.04178,1.04076,1.04121,43.5545,45.364351519
1663459200,2022-09-18 00:00:00,TRIAS/USDT,1.04483,1.04805,1.04086,1.04594,2823.7889,2953.00958847
1663455600,2022-09-17 23:00:00,TRIAS/USDT,1.04041,1.04675,1.0381,1.04483,9118.403,9491.993782825
1663452000,2022-09-17 22:00:00,TRIAS/USDT,1.0565,1.06006,1.03808,1.04302,20066.4244,21007.445617503
1663448400,2022-09-17 21:00:00,TRIAS/USDT,1.06789,1.07872,1.05276,1.0565,23623.527,25185.337200572
1663444800,2022-09-17 20:00:00,TRIAS/USDT,1.03319,1.098,1.02681,1.0681,36591.1678,38857.788249177
1663441200,2022-09-17 19:00:00,TRIAS/USDT,1.03683,1.04449,1.0268,1.0344,16541.3396,17125.830938755
1663437600,2022-09-17 18:00:00,TRIAS/USDT,1.048,1.05444,1.03683,1.03683,31987.196,33349.553416018
1663434000,2022-09-17 17:00:00,TRIAS/USDT,1.06651,1.06661,1.04195,1.04898,22610.7654,23763.186843629
1663430400,2022-09-17 16:00:00,TRIAS/USDT,1.064,1.0723,1.05456,1.07069,23764.5797,25363.656749176
1663426800,2022-09-17 15:00:00,TRIAS/USDT,1.05448,1.0733,1.0504,1.06448,25542.6402,27234.471186475
1663423200,2022-09-17 14:00:00,TRIAS/USDT,1.03797,1.0595,1.03797,1.05491,69058.706,72529.504939794
1663419600,2022-09-17 13:00:00,TRIAS/USDT,1.02997,1.04209,1.02782,1.04049,6834.1753,7087.807712294
1663416000,2022-09-17 12:00:00,TRIAS/USDT,1.02785,1.03,1.02049,1.02997,9154.3899,9397.727290165
1663412400,2022-09-17 11:00:00,TRIAS/USDT,1.03,1.03199,1.02725,1.02785,1633.1033,1682.796448271
1663408800,2022-09-17 10:00:00,TRIAS/USDT,1.02668,1.03415,1.02635,1.03,11033.5019,11370.276384451
1663405200,2022-09-17 09:00:00,TRIAS/USDT,1.0168,1.02832,1.01428,1.02832,5514.708,5629.714625218
1663401600,2022-09-17 08:00:00,TRIAS/USDT,1.02114,1.02362,1.0119,1.01813,11391.9139,11580.236740116
1663398000,2022-09-17 07:00:00,TRIAS/USDT,1.02072,1.0245,1.01594,1.01979,6380.779,6509.617096893
1663394400,2022-09-17 06:00:00,TRIAS/USDT,1.02509,1.02859,1.02061,1.02065,4204.31,4315.395810023
1663390800,2022-09-17 05:00:00,TRIAS/USDT,1.02056,1.0249,1.01979,1.02057,4372.9533,4464.695477926
1663387200,2022-09-17 04:00:00,TRIAS/USDT,1.02207,1.02608,1.0175,1.025,5204.264,5316.616656675
1663383600,2022-09-17 03:00:00,TRIAS/USDT,1.02021,1.02249,1.01711,1.02207,1988.0156,2030.246645455
1663380000,2022-09-17 02:00:00,TRIAS/USDT,1.03332,1.0334,1.01613,1.02031,5759.4587,5906.724261477
1663376400,2022-09-17 01:00:00,TRIAS/USDT,1.02449,1.0332,1.02449,1.0332,4125.9093,4248.830082634
1663372800,2022-09-17 00:00:00,TRIAS/USDT,1.0227,1.0456,1.01553,1.02409,22200.8353,22832.076202624
1663369200,2022-09-16 23:00:00,TRIAS/USDT,1.01532,1.02249,1.00758,1.02249,11787.6228,11940.006991172
1663365600,2022-09-16 22:00:00,TRIAS/USDT,1.02861,1.02861,1.01001,1.0131,15810.0782,16070.286406096
1663362000,2022-09-16 21:00:00,TRIAS/USDT,1.02816,1.0327,1.01921,1.02563,4138.8775,4238.678804566
1663358400,2022-09-16 20:00:00,TRIAS/USDT,1.03766,1.03766,1.0181,1.02386,8851.5704,9102.49505278
1663354800,2022-09-16 19:00:00,TRIAS/USDT,1.01171,1.04,1.00723,1.04,17801.6023,18273.81914341
1663351200,2022-09-16 18:00:00,TRIAS/USDT,1.00724,1.021,1.00101,1.00701,34933.3633,35301.227848939
1663347600,2022-09-16 17:00:00,TRIAS/USDT,1.02259,1.0248,1.0053,1.01162,23731.5646,24037.124872331
1663344000,2022-09-16 16:00:00,TRIAS/USDT,1.0227,1.02399,1.01501,1.02389,9107.3846,9286.417786533
1663340400,2022-09-16 15:00:00,TRIAS/USDT,1.03033,1.03395,1.01593,1.0201,17487.094,17881.478297725
1663336800,2022-09-16 14:00:00,TRIAS/USDT,1.03,1.03724,1.02816,1.02869,10989.0712,11322.283786159
1663333200,2022-09-16 13:00:00,TRIAS/USDT,1.03,1.03723,1.03,1.03,3776.0902,3895.797088874
1663329600,2022-09-16 12:00:00,TRIAS/USDT,1.04348,1.0485,1.029,1.03,22132.2049,22935.73005469
1663326000,2022-09-16 11:00:00,TRIAS/USDT,1.0337,1.0431,1.03356,1.0431,6892.4769,7161.80177056
1663322400,2022-09-16 10:00:00,TRIAS/USDT,1.03464,1.03819,1.0291,1.03819,6700.2232,6916.485458806
1663318800,2022-09-16 09:00:00,TRIAS/USDT,1.03822,1.03979,1.02927,1.03533,12997.513,13421.535271806
1663315200,2022-09-16 08:00:00,TRIAS/USDT,1.03827,1.04178,1.03101,1.036,9889.1853,10249.594062275
1663311600,2022-09-16 07:00:00,TRIAS/USDT,1.04459,1.05,1.03696,1.04289,6901.8208,7213.146202826
1663308000,2022-09-16 06:00:00,TRIAS/USDT,1.04149,1.0499,1.04149,1.04395,2768.8567,2897.810838774
1663304400,2022-09-16 05:00:00,TRIAS/USDT,1.04358,1.05,1.04178,1.0422,2281.0335,2388.036867948
1663300800,2022-09-16 04:00:00,TRIAS/USDT,1.04059,1.05,1.04058,1.0476,9552.6016,9976.998179719
1663297200,2022-09-16 03:00:00,TRIAS/USDT,1.03704,1.04108,1.03401,1.0406,2783.5497,2888.337954179
1663293600,2022-09-16 02:00:00,TRIAS/USDT,1.03723,1.04178,1.03723,1.04046,1430.6875,1484.337699086
1663290000,2022-09-16 01:00:00,TRIAS/USDT,1.04666,1.05086,1.031,1.03724,15549.3583,16115.809591969
1663286400,2022-09-16 00:00:00,TRIAS/USDT,1.03999,1.05045,1.03659,1.05045,4672.4102,4875.752143773
1663282800,2022-09-15 23:00:00,TRIAS/USDT,1.0361,1.04058,1.03178,1.03541,12289.1342,12740.223445184
1663279200,2022-09-15 22:00:00,TRIAS/USDT,1.04178,1.0501,1.03605,1.03967,6093.444,6351.296912033
1663275600,2022-09-15 21:00:00,TRIAS/USDT,1.04,1.04619,1.0367,1.0367,5470.5288,5690.258068587
1663272000,2022-09-15 20:00:00,TRIAS/USDT,1.03932,1.04,1.0364,1.04,2397.769,2491.158975281
1663268400,2022-09-15 19:00:00,TRIAS/USDT,1.04222,1.0471,1.03604,1.03932,12807.933,13327.346237314
1663264800,2022-09-15 18:00:00,TRIAS/USDT,1.04431,1.05,1.04101,1.0454,5313.8446,5555.162106848
1663261200,2022-09-15 17:00:00,TRIAS/USDT,1.04085,1.05,1.04085,1.049,11620.684,12166.283248213
1663257600,2022-09-15 16:00:00,TRIAS/USDT,1.03201,1.05,1.03201,1.04081,22517.5286,23502.338101087
1663254000,2022-09-15 15:00:00,TRIAS/USDT,1.0348,1.03968,1.03,1.03583,16470.7803,17017.086192758
1663250400,2022-09-15 14:00:00,TRIAS/USDT,1.05987,1.06089,1.0305,1.03591,29002.0455,30277.868939333
1663246800,2022-09-15 13:00:00,TRIAS/USDT,1.06263,1.0686,1.049,1.05964,16552.882,17466.559061789
1663243200,2022-09-15 12:00:00,TRIAS/USDT,1.06999,1.07027,1.04983,1.06329,27973.369,29556.716364849
1663239600,2022-09-15 11:00:00,TRIAS/USDT,1.06102,1.09797,1.05202,1.07042,27245.2829,29288.024535069
1663236000,2022-09-15 10:00:00,TRIAS/USDT,1.05227,1.06448,1.0511,1.06173,11375.2342,12050.267205916
1663232400,2022-09-15 09:00:00,TRIAS/USDT,1.05462,1.0571,1.05117,1.05435,2093.5447,2207.315116468
1663228800,2022-09-15 08:00:00,TRIAS/USDT,1.06203,1.06203,1.05118,1.05497,2720.5451,2868.799706933
1663225200,2022-09-15 07:00:00,TRIAS/USDT,1.05323,1.06481,1.05086,1.06402,4842.738,5130.295861232
1663221600,2022-09-15 06:00:00,TRIAS/USDT,1.05988,1.0632,1.05001,1.05135,16329.9152,17215.159459582
1663218000,2022-09-15 05:00:00,TRIAS/USDT,1.0611,1.06768,1.055,1.05848,20889.5678,22167.190418245
1663214400,2022-09-15 04:00:00,TRIAS/USDT,1.05819,1.0611,1.05519,1.06052,1497.8845,1585.177973951
1663210800,2022-09-15 03:00:00,TRIAS/USDT,1.0605,1.06295,1.055,1.05536,2992.4242,3167.987254575
1663207200,2022-09-15 02:00:00,TRIAS/USDT,1.06966,1.07254,1.0605,1.0605,3912.1998,4154.48014779
1663203600,2022-09-15 01:00:00,TRIAS/USDT,1.0742,1.0742,1.06809,1.06966,3095.7926,3320.776163629
1663200000,2022-09-15 00:00:00,TRIAS/USDT,1.06996,1.07899,1.06996,1.0742,5962.7285,6417.01246201
1663196400,2022-09-14 23:00:00,TRIAS/USDT,1.06747,1.07028,1.0652,1.07,5559.9228,5936.95610799
1663192800,2022-09-14 22:00:00,TRIAS/USDT,1.06458,1.06895,1.059,1.06747,6740.6251,7173.501797705
1663189200,2022-09-14 21:00:00,TRIAS/USDT,1.05499,1.06458,1.04634,1.06458,7483.7441,7905.00515797
1663185600,2022-09-14 20:00:00,TRIAS/USDT,1.04902,1.055,1.04206,1.055,18117.0178,19023.371437296
1663182000,2022-09-14 19:00:00,TRIAS/USDT,1.05211,1.055,1.04178,1.05,18075.4199,18980.109861742
1663178400,2022-09-14 18:00:00,TRIAS/USDT,1.04576,1.055,1.025,1.0521,47820.7001,49760.858129593
1663174800,2022-09-14 17:00:00,TRIAS/USDT,1.04282,1.05193,1.04196,1.04632,9378.568,9820.659077261
1663171200,2022-09-14 16:00:00,TRIAS/USDT,1.05,1.05001,1.04001,1.04282,5582.0537,5836.920302195
1663167600,2022-09-14 15:00:00,TRIAS/USDT,1.05531,1.05669,1.04881,1.05,9124.9458,9591.315787237
1663164000,2022-09-14 14:00:00,TRIAS/USDT,1.05109,1.05849,1.04002,1.05304,3704.417,3885.996148332
1663160400,2022-09-14 13:00:00,TRIAS/USDT,1.05346,1.0594,1.04633,1.05619,17366.3144,18276.808048338
