https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume IMX,Volume USDT
1663462800,2022-09-18 01:00:00,IMX/USDT,0.8021,0.8027,0.8001,0.8027,3537.46864669,2834.012696104718
1663459200,2022-09-18 00:00:00,IMX/USDT,0.8107,0.8109,0.8007,0.8023,22804.33303331,18322.302699276323
1663455600,2022-09-17 23:00:00,IMX/USDT,0.8075,0.8129,0.8075,0.8103,7805.06983022,6323.854639179354
1663452000,2022-09-17 22:00:00,IMX/USDT,0.8069,0.8083,0.8054,0.8077,3187.73829104,2573.439609831496
1663448400,2022-09-17 21:00:00,IMX/USDT,0.8066,0.8068,0.8042,0.8054,2436.97039665,1965.244623064852
1663444800,2022-09-17 20:00:00,IMX/USDT,0.804,0.8066,0.8028,0.8066,1227.96340417,987.392597243958
1663441200,2022-09-17 19:00:00,IMX/USDT,0.8049,0.8049,0.8006,0.8033,3324.50823473,2666.015950502763
1663437600,2022-09-17 18:00:00,IMX/USDT,0.8053,0.8082,0.804,0.8042,3215.15459734,2589.610871721117
1663434000,2022-09-17 17:00:00,IMX/USDT,0.8088,0.8105,0.804,0.8051,1193.75651583,962.468596674293
1663430400,2022-09-17 16:00:00,IMX/USDT,0.8048,0.81,0.8041,0.8094,11530.35433543,9303.261293518249
1663426800,2022-09-17 15:00:00,IMX/USDT,0.8054,0.8066,0.7999,0.8053,50528.12059595,40689.382943233476
1663423200,2022-09-17 14:00:00,IMX/USDT,0.8018,0.807,0.8018,0.8049,17076.68507513,13745.737295124389
1663419600,2022-09-17 13:00:00,IMX/USDT,0.7983,0.8025,0.7969,0.8012,2164.76427153,1731.217376645087
1663416000,2022-09-17 12:00:00,IMX/USDT,0.7957,0.7983,0.7942,0.798,5835.07818762,4646.724917963653
1663412400,2022-09-17 11:00:00,IMX/USDT,0.7977,0.798,0.795,0.7955,5250.54758243,4179.038238869095
1663408800,2022-09-17 10:00:00,IMX/USDT,0.8006,0.8024,0.7933,0.7973,4524.90154194,3605.225420071004
1663405200,2022-09-17 09:00:00,IMX/USDT,0.8008,0.8034,0.7995,0.8013,3386.3011428,2717.409856783045
1663401600,2022-09-17 08:00:00,IMX/USDT,0.8005,0.8021,0.7994,0.8008,9522.53233322,7631.606685751314
1663398000,2022-09-17 07:00:00,IMX/USDT,0.7972,0.8,0.7947,0.8,9189.55917585,7316.751435173925
1663394400,2022-09-17 06:00:00,IMX/USDT,0.7962,0.7972,0.7948,0.7972,6067.86738662,4828.046939910794
1663390800,2022-09-17 05:00:00,IMX/USDT,0.8015,0.8015,0.7933,0.7954,10252.23058817,8164.288095728202
1663387200,2022-09-17 04:00:00,IMX/USDT,0.8006,0.8052,0.7997,0.802,2362.47778603,1894.713996507678
1663383600,2022-09-17 03:00:00,IMX/USDT,0.8001,0.8006,0.7991,0.7992,80.36674003,64.288413643891
1663380000,2022-09-17 02:00:00,IMX/USDT,0.7972,0.8018,0.7971,0.7997,3873.13178088,3095.981118506396
1663376400,2022-09-17 01:00:00,IMX/USDT,0.7998,0.803,0.7949,0.7971,23938.62204575,19105.378925981912
1663372800,2022-09-17 00:00:00,IMX/USDT,0.7958,0.8089,0.7946,0.8001,21670.78357041,17380.34213440298
1663369200,2022-09-16 23:00:00,IMX/USDT,0.7932,0.7957,0.7894,0.7953,8287.60533764,6573.313489202015
1663365600,2022-09-16 22:00:00,IMX/USDT,0.7926,0.7958,0.7925,0.7939,3772.67320934,2997.767394165026
1663362000,2022-09-16 21:00:00,IMX/USDT,0.795,0.7983,0.7922,0.7922,2298.30222434,1830.403818508394
1663358400,2022-09-16 20:00:00,IMX/USDT,0.7899,0.7967,0.7899,0.7952,2036.74623277,1616.050719283671
1663354800,2022-09-16 19:00:00,IMX/USDT,0.7861,0.7924,0.7861,0.7901,9687.90176515,7652.510429095394
1663351200,2022-09-16 18:00:00,IMX/USDT,0.7839,0.7903,0.7797,0.7858,9524.58790125,7475.165218593158
1663347600,2022-09-16 17:00:00,IMX/USDT,0.7819,0.7882,0.7705,0.7843,22451.79077068,17504.173550855625
1663344000,2022-09-16 16:00:00,IMX/USDT,0.7909,0.7913,0.7732,0.7823,24345.86627243,19001.110636934807
1663340400,2022-09-16 15:00:00,IMX/USDT,0.7899,0.7965,0.7874,0.7912,18332.18387995,14493.266823626784
1663336800,2022-09-16 14:00:00,IMX/USDT,0.7884,0.8053,0.7878,0.7894,40962.28623151,32677.350538990793
1663333200,2022-09-16 13:00:00,IMX/USDT,0.801,0.8029,0.7852,0.7893,30504.08342107,24223.901101416673
1663329600,2022-09-16 12:00:00,IMX/USDT,0.8099,0.81,0.7972,0.8,12727.78103248,10190.727288303036
1663326000,2022-09-16 11:00:00,IMX/USDT,0.8067,0.8097,0.8048,0.8085,6560.17146198,5300.329640930271
1663322400,2022-09-16 10:00:00,IMX/USDT,0.8001,0.8081,0.7996,0.8075,11319.16933553,9087.784027477034
1663318800,2022-09-16 09:00:00,IMX/USDT,0.7902,0.8033,0.7902,0.8016,14099.56577418,11269.095744598101
