https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CLV,Volume USDT
1663372800,2022-09-17 00:00:00,CLV/USDT,0.0867,0.0871,0.0865,0.0867,18837.16732537,1637.437721819579
1663286400,2022-09-16 00:00:00,CLV/USDT,0.0863,0.0873,0.0846,0.0862,429179.34952758,37045.701771702151
1663200000,2022-09-15 00:00:00,CLV/USDT,0.0892,0.0896,0.0859,0.0862,903790.03887784,79105.670207052689
1663113600,2022-09-14 00:00:00,CLV/USDT,0.0899,0.0917,0.0873,0.0894,620677.28110966,55510.026996658432
1663027200,2022-09-13 00:00:00,CLV/USDT,0.097,0.0975,0.0895,0.0903,366455.28578241,34049.844734259574
1662940800,2022-09-12 00:00:00,CLV/USDT,0.0953,0.1009,0.0937,0.097,532029.8644822,51763.877373993933
1662854400,2022-09-11 00:00:00,CLV/USDT,0.0975,0.0998,0.0939,0.0958,390298.41535519,37829.526315703256
1662768000,2022-09-10 00:00:00,CLV/USDT,0.0964,0.0997,0.0949,0.0973,900577.57967108,86929.350282653568
1662681600,2022-09-09 00:00:00,CLV/USDT,0.093,0.0972,0.0926,0.0962,486740.42101546,46398.645743816884
1662595200,2022-09-08 00:00:00,CLV/USDT,0.0934,0.0945,0.0905,0.093,391178.78282949,36274.229461390731
1662508800,2022-09-07 00:00:00,CLV/USDT,0.0904,0.098,0.0881,0.0933,968656.53347305,89412.102107730066
1662422400,2022-09-06 00:00:00,CLV/USDT,0.0986,0.1016,0.0902,0.0902,734497.25816651,70100.539781961104
1662336000,2022-09-05 00:00:00,CLV/USDT,0.1036,0.1152,0.0951,0.0981,1633109.98866324,169259.873409967455
1662249600,2022-09-04 00:00:00,CLV/USDT,0.0948,0.1276,0.0934,0.103,4850738.0837738,523687.573234969813
1662163200,2022-09-03 00:00:00,CLV/USDT,0.0892,0.1092,0.0889,0.0955,2415615.64844562,240010.154541058448
1662076800,2022-09-02 00:00:00,CLV/USDT,0.089,0.0909,0.0878,0.0891,97732.2428791,8701.040648770421
1661990400,2022-09-01 00:00:00,CLV/USDT,0.0902,0.0907,0.0864,0.0892,260072.77392876,22939.024303461999
1661904000,2022-08-31 00:00:00,CLV/USDT,0.0883,0.0926,0.0878,0.0898,678313.42325635,61226.760628508649
1661817600,2022-08-30 00:00:00,CLV/USDT,0.0908,0.0923,0.0867,0.0882,327850.20182377,29157.75492308033
1661731200,2022-08-29 00:00:00,CLV/USDT,0.0867,0.0908,0.0855,0.0904,346886.35703358,30505.858594021883
1661644800,2022-08-28 00:00:00,CLV/USDT,0.0892,0.09,0.0861,0.0861,220981.13476135,19582.040108650124
1661558400,2022-08-27 00:00:00,CLV/USDT,0.0901,0.0911,0.0875,0.0888,237694.22024361,21128.38298301344
1661472000,2022-08-26 00:00:00,CLV/USDT,0.0979,0.098,0.09,0.0904,211653.78944986,20043.129360810388
1661385600,2022-08-25 00:00:00,CLV/USDT,0.0958,0.0995,0.0956,0.0975,183541.18411084,17901.238915682245
1661299200,2022-08-24 00:00:00,CLV/USDT,0.0964,0.0987,0.0941,0.0963,257993.19123809,25026.239979342226
1661212800,2022-08-23 00:00:00,CLV/USDT,0.0952,0.0981,0.0924,0.0965,219039.06119167,21020.644232345311
1661126400,2022-08-22 00:00:00,CLV/USDT,0.0984,0.0989,0.0921,0.0948,342134.76298808,32507.11839748751
1661040000,2022-08-21 00:00:00,CLV/USDT,0.0958,0.1004,0.0945,0.0985,358260.68457025,34915.386831063933
1660953600,2022-08-20 00:00:00,CLV/USDT,0.0968,0.1003,0.0939,0.0953,537722.86827905,52301.402715516732
1660867200,2022-08-19 00:00:00,CLV/USDT,0.1068,0.1074,0.0952,0.096,648953.61330873,65311.265761060325
1660780800,2022-08-18 00:00:00,CLV/USDT,0.1083,0.1175,0.105,0.1065,498797.65458943,55462.951494942933
1660694400,2022-08-17 00:00:00,CLV/USDT,0.1152,0.1185,0.1078,0.1086,505881.63747836,57469.054947626375
1660608000,2022-08-16 00:00:00,CLV/USDT,0.1153,0.119,0.1135,0.1146,367492.7370842,42500.487273503118
1660521600,2022-08-15 00:00:00,CLV/USDT,0.121,0.1253,0.1129,0.1149,618544.10784729,73143.198961929301
1660435200,2022-08-14 00:00:00,CLV/USDT,0.1201,0.1246,0.1169,0.121,781941.47508778,93453.77054939216
1660348800,2022-08-13 00:00:00,CLV/USDT,0.1219,0.1252,0.1198,0.1201,488946.70586714,59594.740312745656
1660262400,2022-08-12 00:00:00,CLV/USDT,0.1219,0.1269,0.1175,0.1217,638133.38794177,77302.733016799484
1660176000,2022-08-11 00:00:00,CLV/USDT,0.1184,0.1296,0.118,0.122,970159.73700019,119430.254563568208
1660089600,2022-08-10 00:00:00,CLV/USDT,0.1135,0.1198,0.1108,0.1187,293763.6488632,34190.058684729771
1660003200,2022-08-09 00:00:00,CLV/USDT,0.1179,0.1208,0.1107,0.1135,429454.67517728,49508.156700017884
1659916800,2022-08-08 00:00:00,CLV/USDT,0.1167,0.1262,0.1167,0.1178,540949.15968602,64602.594209042733
