https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume INDI,Volume USDT
1663372800,2022-09-17 00:00:00,INDI/USDT,0.1334,0.1334,0.1317,0.1332,1296.6101,171.50535791
1663286400,2022-09-16 00:00:00,INDI/USDT,0.1328,0.1338,0.1322,0.1325,4819.1478,638.83811271
1663200000,2022-09-15 00:00:00,INDI/USDT,0.1332,0.1343,0.1328,0.1343,3417.3676,457.86594529
1663113600,2022-09-14 00:00:00,INDI/USDT,0.1333,0.1343,0.1331,0.1341,382.8845,51.26039419
1663027200,2022-09-13 00:00:00,INDI/USDT,0.1334,0.1345,0.1333,0.1333,1797.5669,239.74005564
1662940800,2022-09-12 00:00:00,INDI/USDT,0.1352,0.1364,0.1333,0.1335,41213.17084785,5559.36825326319
1662854400,2022-09-11 00:00:00,INDI/USDT,0.1357,0.1357,0.1342,0.1342,397.3531,53.34096675
1662768000,2022-09-10 00:00:00,INDI/USDT,0.1361,0.1361,0.125,0.1357,13530.709,1784.6327927
1662681600,2022-09-09 00:00:00,INDI/USDT,0.1394,0.1395,0.1362,0.1364,10425.2804,1441.84289033
1662595200,2022-09-08 00:00:00,INDI/USDT,0.1379,0.1399,0.1372,0.1394,3557.4833,494.81583893
1662508800,2022-09-07 00:00:00,INDI/USDT,0.1398,0.1398,0.1376,0.1376,1033.8894,143.13661637
1662422400,2022-09-06 00:00:00,INDI/USDT,0.1398,0.1404,0.139,0.1404,7442.5396,1040.9651166
1662336000,2022-09-05 00:00:00,INDI/USDT,0.1397,0.1407,0.1397,0.1407,267.6923,37.44774863
1662249600,2022-09-04 00:00:00,INDI/USDT,0.1385,0.1402,0.137,0.137,25629.4956,3546.11846253
1662163200,2022-09-03 00:00:00,INDI/USDT,0.1378,0.1401,0.1378,0.1385,1773.8674,245.9215998
1662076800,2022-09-02 00:00:00,INDI/USDT,0.138,0.1394,0.1367,0.138,13753.0227,1892.16016349
1661990400,2022-09-01 00:00:00,INDI/USDT,0.1375,0.1386,0.1362,0.138,7078.0847,972.69826533
1661904000,2022-08-31 00:00:00,INDI/USDT,0.1355,0.1378,0.1355,0.1364,391.2645,53.75298006
1661817600,2022-08-30 00:00:00,INDI/USDT,0.1354,0.1374,0.1344,0.1355,7199.63,973.86821086
1661731200,2022-08-29 00:00:00,INDI/USDT,0.1355,0.1378,0.1353,0.1354,12420.8797,1693.68088015
1661644800,2022-08-28 00:00:00,INDI/USDT,0.1354,0.137,0.1349,0.1356,2862.1891,389.4484633
1661558400,2022-08-27 00:00:00,INDI/USDT,0.1353,0.1369,0.1351,0.1354,10348.58227509,1408.724970242204
1661472000,2022-08-26 00:00:00,INDI/USDT,0.1357,0.1367,0.1345,0.1354,26786.7338,3649.89093662
1661385600,2022-08-25 00:00:00,INDI/USDT,0.1357,0.1357,0.1341,0.1345,11884.2826,1605.83164791
1661299200,2022-08-24 00:00:00,INDI/USDT,0.1347,0.1357,0.1324,0.1356,971.0209,130.54271004
1661212800,2022-08-23 00:00:00,INDI/USDT,0.1357,0.1357,0.1334,0.1343,10622.1082,1429.9097749
1661126400,2022-08-22 00:00:00,INDI/USDT,0.1366,0.1382,0.1348,0.1348,43046.2258,5865.93797798
1661040000,2022-08-21 00:00:00,INDI/USDT,0.1397,0.17,0.1365,0.1366,382698.9697,53750.88358814
1660953600,2022-08-20 00:00:00,INDI/USDT,0.147,0.147,0.1391,0.1391,23086.0672,3250.6344905
1660867200,2022-08-19 00:00:00,INDI/USDT,0.1443,0.148,0.1443,0.147,63093.1916,9265.64634488
1660780800,2022-08-18 00:00:00,INDI/USDT,0.1447,0.1461,0.1443,0.1443,2259.6382,329.66258856
1660694400,2022-08-17 00:00:00,INDI/USDT,0.1445,0.1465,0.1444,0.1451,6621.94870466,966.689244112904
1660608000,2022-08-16 00:00:00,INDI/USDT,0.1451,0.1471,0.1445,0.1459,10210.4226,1495.49556866
