https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HEART,Volume USDT
1663459200,2022-09-18 00:00:00,HEART/USDT,0.00533,0.00534,0.00532,0.00532,735699.0861,3920.158819124
1663372800,2022-09-17 00:00:00,HEART/USDT,0.00528,0.00547,0.0052,0.00532,22578067.8631,119517.012761618
1663286400,2022-09-16 00:00:00,HEART/USDT,0.0054,0.00542,0.0052,0.00529,20048567.6073,106722.111378416
1663200000,2022-09-15 00:00:00,HEART/USDT,0.00562,0.0057,0.00531,0.0054,21897332.0733,121572.880519278
1663113600,2022-09-14 00:00:00,HEART/USDT,0.00572,0.00572,0.00555,0.00562,20169844.5658,113310.81477255
1663027200,2022-09-13 00:00:00,HEART/USDT,0.00611,0.00619,0.00565,0.0057,23743437.6648,140652.310087461
1662940800,2022-09-12 00:00:00,HEART/USDT,0.00621,0.00623,0.00606,0.00611,21479540.7489,131984.583756185
1662854400,2022-09-11 00:00:00,HEART/USDT,0.00601,0.00649,0.00601,0.00623,21147973.9677,130490.724470598
1662768000,2022-09-10 00:00:00,HEART/USDT,0.00601,0.00607,0.00596,0.00601,18903426.2893,113638.664268776
1662681600,2022-09-09 00:00:00,HEART/USDT,0.00576,0.00609,0.00565,0.00603,23004474.8382,134217.096103517
1662595200,2022-09-08 00:00:00,HEART/USDT,0.00581,0.00581,0.00559,0.00576,19943804.2992,113944.962727469
1662508800,2022-09-07 00:00:00,HEART/USDT,0.00549,0.00594,0.00543,0.00582,24613572.8652,136973.687161452
1662422400,2022-09-06 00:00:00,HEART/USDT,0.00551,0.00575,0.00545,0.0055,21839404.9165,121988.79497248
1662336000,2022-09-05 00:00:00,HEART/USDT,0.00568,0.00589,0.00549,0.00551,20207860.1663,113818.601285088
1662249600,2022-09-04 00:00:00,HEART/USDT,0.00552,0.00573,0.00549,0.00569,18942352.5443,106072.181332685
1662163200,2022-09-03 00:00:00,HEART/USDT,0.00565,0.00575,0.00545,0.00552,21622684.6678,120339.687596143
1662076800,2022-09-02 00:00:00,HEART/USDT,0.0056,0.00573,0.00557,0.00565,19755633.8297,111442.273714366
1661990400,2022-09-01 00:00:00,HEART/USDT,0.00586,0.00587,0.00556,0.00561,20775924.9576,119482.400104785
1661904000,2022-08-31 00:00:00,HEART/USDT,0.00552,0.00618,0.00549,0.00585,25977239.7164,150617.045209414
1661817600,2022-08-30 00:00:00,HEART/USDT,0.00565,0.00569,0.00549,0.00552,18572972.9768,103689.581873235
1661731200,2022-08-29 00:00:00,HEART/USDT,0.00555,0.00567,0.00547,0.00565,19342100.6106,107790.925809184
1661644800,2022-08-28 00:00:00,HEART/USDT,0.0055,0.00558,0.00546,0.00556,19838848.5839,109827.235663906
1661558400,2022-08-27 00:00:00,HEART/USDT,0.00558,0.00575,0.00543,0.0055,18810624.4473,104782.990955267
1661472000,2022-08-26 00:00:00,HEART/USDT,0.00576,0.0058,0.00556,0.0056,21385851.219,121869.614396916
1661385600,2022-08-25 00:00:00,HEART/USDT,0.00572,0.00584,0.0057,0.00576,18444030.7983,106283.207419548
1661299200,2022-08-24 00:00:00,HEART/USDT,0.00586,0.00586,0.00562,0.00572,25119102.5744,144420.669590703
1661212800,2022-08-23 00:00:00,HEART/USDT,0.00583,0.00602,0.00566,0.00586,33205287.7869,192791.718348715
1661126400,2022-08-22 00:00:00,HEART/USDT,0.00592,0.00593,0.00571,0.00583,25294268.992,147419.35971393
1661040000,2022-08-21 00:00:00,HEART/USDT,0.00597,0.00603,0.00588,0.00592,30931597.4017,183339.812150754
1660953600,2022-08-20 00:00:00,HEART/USDT,0.00635,0.00665,0.00585,0.00599,42311249.0171,259482.566499938
1660867200,2022-08-19 00:00:00,HEART/USDT,0.00582,0.00704,0.00549,0.00635,56441689.0241,341063.523304283
1660780800,2022-08-18 00:00:00,HEART/USDT,0.00584,0.00595,0.00573,0.00582,35238500.4068,205716.927293539
1660694400,2022-08-17 00:00:00,HEART/USDT,0.00601,0.00606,0.0058,0.00584,36479763.1674,217720.160595815
1660608000,2022-08-16 00:00:00,HEART/USDT,0.0065,0.00673,0.00599,0.00602,37537384.2989,231190.837382292
1660521600,2022-08-15 00:00:00,HEART/USDT,0.00614,0.00702,0.00591,0.00649,51181876.1097,315971.095536758
1660435200,2022-08-14 00:00:00,HEART/USDT,0.00625,0.00782,0.00588,0.00614,72193354.015,477846.776837886
1660348800,2022-08-13 00:00:00,HEART/USDT,0.006,0.0064,0.0059,0.00625,37532119.6336,231319.069180611
