https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume IQN
1663549200000,2022-09-19 01:00:00,IQN/USDT,0.33317093,0.33551921,0.32765681,0.33354679,174.77851796,524.0
1663545600000,2022-09-19 00:00:00,IQN/USDT,0.33382044,0.33632246,0.32744337,0.32744337,337.2666711,1030.0
1663542000000,2022-09-18 23:00:00,IQN/USDT,0.33364216,0.33605323,0.32747004,0.32757707,274.50958466000003,838.0
1663538400000,2022-09-18 22:00:00,IQN/USDT,0.36283103,0.36559314,0.32795123,0.33323279,320.6527922729295,962.24861987
1663534800000,2022-09-18 21:00:00,IQN/USDT,0.35575832,0.36521037,0.35318565,0.35724006,361.16970066000005,1011.0
1663531200000,2022-09-18 20:00:00,IQN/USDT,0.3538265,0.36516577,0.3538265,0.36516577,295.05394216,808.0
1663527600000,2022-09-18 19:00:00,IQN/USDT,0.35674371,0.36323203,0.35300437,0.35373192,377.43195863999995,1067.0
1663524000000,2022-09-18 18:00:00,IQN/USDT,0.35974518,0.36512249,0.35414165,0.3544578,400.8917718,1131.0
1663520400000,2022-09-18 17:00:00,IQN/USDT,0.35726626,0.36504768,0.35308296,0.35397335,355.3892434,1004.0
1663516800000,2022-09-18 16:00:00,IQN/USDT,0.36546697,0.36546697,0.35397511,0.3570449,354.5455857,993.0
1663513200000,2022-09-18 15:00:00,IQN/USDT,0.36052756,0.36456521,0.35355268,0.36038642,384.89269656,1068.0
1663509600000,2022-09-18 14:00:00,IQN/USDT,0.3547845,0.36450698,0.35308959,0.35340361,345.27532697,977.0
1663506000000,2022-09-18 13:00:00,IQN/USDT,0.35333945,0.3655326,0.35312212,0.35578026,453.26405124,1274.0
1663502400000,2022-09-18 12:00:00,IQN/USDT,0.35339418,0.36438639,0.35326587,0.3637514,354.2938636,974.0
1663498800000,2022-09-18 11:00:00,IQN/USDT,0.35478828,0.36540391,0.35399905,0.36540391,393.17460716,1076.0
1663495200000,2022-09-18 10:00:00,IQN/USDT,0.36015602,0.36449579,0.35301027,0.36027529,517.35531644,1436.0
1663491600000,2022-09-18 09:00:00,IQN/USDT,0.35588018,0.36466481,0.35435157,0.36285644,382.8135442,1055.0
1663488000000,2022-09-18 08:00:00,IQN/USDT,0.35528257,0.36493707,0.35316495,0.36354025,394.8047115,1086.0
1663484400000,2022-09-18 07:00:00,IQN/USDT,0.35017424,0.37518684,0.35017424,0.36221092,443.2125189327157,1223.63102397
1663480800000,2022-09-18 06:00:00,IQN/USDT,0.35584586,0.36532458,0.34968509,0.34968509,400.73911314,1146.0
1663477200000,2022-09-18 05:00:00,IQN/USDT,0.35861675,0.36463852,0.35318462,0.36066084,256.79051807999997,712.0
1663473600000,2022-09-18 04:00:00,IQN/USDT,0.36267419,0.36565652,0.35457743,0.36327392,380.34779424,1047.0
1663470000000,2022-09-18 03:00:00,IQN/USDT,0.36369447,0.36495478,0.35322878,0.36105065,439.39864105,1217.0
1663466400000,2022-09-18 02:00:00,IQN/USDT,0.36217417,0.36411377,0.35397998,0.36295251,336.81992928,928.0
1663462800000,2022-09-18 01:00:00,IQN/USDT,0.36309097,0.36540033,0.35433798,0.36183996,477.26690724,1319.0
1663459200000,2022-09-18 00:00:00,IQN/USDT,0.36448517,0.36461054,0.35716821,0.35782516,261.92801712,732.0
1663455600000,2022-09-17 23:00:00,IQN/USDT,0.3641647,0.3651144,0.35306359,0.36499529,356.96539362,978.0
1663452000000,2022-09-17 22:00:00,IQN/USDT,0.36244052,0.36493158,0.35297199,0.35982044,299.01078564,831.0
1663448400000,2022-09-17 21:00:00,IQN/USDT,0.35303292,0.3743099,0.35303292,0.36005172,342.0876421075368,950.1069516
1663444800000,2022-09-17 20:00:00,IQN/USDT,0.35874791,0.36564907,0.35309278,0.36203721,408.37797288,1128.0
1663441200000,2022-09-17 19:00:00,IQN/USDT,0.36509742,0.36509742,0.3504824,0.36493096,349.73012579216004,958.346
1663437600000,2022-09-17 18:00:00,IQN/USDT,0.35741978,0.37518698,0.35324036,0.35771442,407.9112999729896,1140.32668846
1663434000000,2022-09-17 17:00:00,IQN/USDT,0.35793986,0.36525188,0.35395146,0.36525188,401.41181611999997,1099.0
1663430400000,2022-09-17 16:00:00,IQN/USDT,0.35758767,0.36543681,0.35445104,0.36354452,366.81642067999996,1009.0
1663426800000,2022-09-17 15:00:00,IQN/USDT,0.3532973,0.36437256,0.3532973,0.36167906,318.2775728,880.0
1663423200000,2022-09-17 14:00:00,IQN/USDT,0.35539163,0.36530468,0.35337929,0.35865053,376.5830565,1050.0
1663419600000,2022-09-17 13:00:00,IQN/USDT,0.34693309,0.37518146,0.34621693,0.36305649,407.9201009657961,1123.57198453
1663416000000,2022-09-17 12:00:00,IQN/USDT,0.34655388,0.34718174,0.34512934,0.34638568,354.35255063999995,1023.0
1663412400000,2022-09-17 11:00:00,IQN/USDT,0.35269723,0.35269723,0.34344319,0.34693805,377.1029371893576,1086.94603313
1663408800000,2022-09-17 10:00:00,IQN/USDT,0.35669118,0.35669118,0.32329307,0.34874803,361.198450790144,1035.70033296
1663405200000,2022-09-17 09:00:00,IQN/USDT,0.36317111,0.36317111,0.31793081,0.33904124,302.6612696910654,892.69750692
1663401600000,2022-09-17 08:00:00,IQN/USDT,0.36488474,0.36941472,0.36243075,0.36903311,319.21364015,865.0
1663398000000,2022-09-17 07:00:00,IQN/USDT,0.36275568,0.36937505,0.36275568,0.36809503,372.14407532999996,1011.0
1663394400000,2022-09-17 06:00:00,IQN/USDT,0.3634176,0.36927729,0.3628964,0.36905159,334.36074054,906.0
1663390800000,2022-09-17 05:00:00,IQN/USDT,0.36838916,0.36931769,0.36342307,0.36931769,262.95419527999996,712.0
1663387200000,2022-09-17 04:00:00,IQN/USDT,0.36324525,0.36944731,0.358124,0.36737173,402.826187867532,1096.5084
1663383600000,2022-09-17 03:00:00,IQN/USDT,0.36742871,0.36945209,0.36239428,0.36913543,334.06756415,905.0
1663380000000,2022-09-17 02:00:00,IQN/USDT,0.37008656,0.37176529,0.30000012,0.36306643,498.176361006123,1372.13556485
1663376400000,2022-09-17 01:00:00,IQN/USDT,0.37144532,0.37512619,0.36816906,0.36972992,405.4499018081278,1096.61101219
1663372800000,2022-09-17 00:00:00,IQN/USDT,0.37181706,0.3718622,0.36852654,0.36852654,318.77545710000004,865.0
1663369200000,2022-09-16 23:00:00,IQN/USDT,0.37028299,0.37163047,0.36849044,0.37069707,413.32723305,1115.0
1663365600000,2022-09-16 22:00:00,IQN/USDT,0.37189918,0.37199693,0.36807409,0.36861759,331.755831,900.0
1663362000000,2022-09-16 21:00:00,IQN/USDT,0.37149704,0.37182842,0.36812915,0.3706968,266.901696,720.0
1663358400000,2022-09-16 20:00:00,IQN/USDT,0.36958719,0.37178305,0.36815842,0.36950866,396.85230084,1074.0
1663354800000,2022-09-16 19:00:00,IQN/USDT,0.36852052,0.37196247,0.36852052,0.36871497,433.97751968999995,1177.0
1663351200000,2022-09-16 18:00:00,IQN/USDT,0.37181554,0.37183024,0.36839445,0.36857268,387.001314,1050.0
1663347600000,2022-09-16 17:00:00,IQN/USDT,0.36952071,0.37201157,0.3674059,0.37164293,382.93273609183296,1030.3781
1663344000000,2022-09-16 16:00:00,IQN/USDT,0.37062209,0.37499999,0.36835374,0.36878742,466.28978703944136,1264.38636936
1663340400000,2022-09-16 15:00:00,IQN/USDT,0.36872321,0.37174206,0.36501187,0.36866194,382.8477837547055,1038.47927387
1663336800000,2022-09-16 14:00:00,IQN/USDT,0.3682829,0.37154406,0.36808072,0.37094226,486.35355602701554,1311.13008269
1663333200000,2022-09-16 13:00:00,IQN/USDT,0.36815481,0.37171321,0.3659901,0.36891998,350.8759459911245,951.0895723
1663329600000,2022-09-16 12:00:00,IQN/USDT,0.369802,0.3716789,0.3652566,0.3716789,372.2869666804,1001.636
1663326000000,2022-09-16 11:00:00,IQN/USDT,0.37052531,0.37176308,0.36820862,0.37142043,411.16241601,1107.0
1663322400000,2022-09-16 10:00:00,IQN/USDT,0.37149364,0.3746391,0.36832447,0.36934317,407.6477501607,1103.71
1663318800000,2022-09-16 09:00:00,IQN/USDT,0.36958375,0.37188468,0.36832499,0.36886251,406.85534852999996,1103.0
1663315200000,2022-09-16 08:00:00,IQN/USDT,0.3710286,0.37182789,0.36862385,0.37182789,412.35713001,1109.0
1663311600000,2022-09-16 07:00:00,IQN/USDT,0.3697677,0.37101811,0.36823312,0.36919817,458.95762909039996,1243.12
1663308000000,2022-09-16 06:00:00,IQN/USDT,0.37464757,0.3853599,0.36501187,0.36989333,315.8498902901388,853.89452762
1663304400000,2022-09-16 05:00:00,IQN/USDT,0.36765901,0.3763,0.36501187,0.36501187,454.59044530046896,1245.41277329
1663300800000,2022-09-16 04:00:00,IQN/USDT,0.3692759,0.37042559,0.36772883,0.37012327,347.9508689551785,940.09455
1663297200000,2022-09-16 03:00:00,IQN/USDT,0.36827216,0.37089484,0.36766706,0.36778675,406.40435875,1105.0
