https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COTI,Volume USDT
1663462800,2022-09-18 01:00:00,COTI/USDT,0.094365,0.094409,0.094365,0.094409,44.6985,4.2182063209
1663459200,2022-09-18 00:00:00,COTI/USDT,0.095126,0.095126,0.094279,0.094346,38050.8131,3600.0436332966
1663455600,2022-09-17 23:00:00,COTI/USDT,0.094921,0.095498,0.094829,0.095135,24301.4398,2311.7435073571
1663452000,2022-09-17 22:00:00,COTI/USDT,0.094778,0.094919,0.09441,0.094919,35538.3672,3361.3142281438
1663448400,2022-09-17 21:00:00,COTI/USDT,0.0952,0.0953,0.09468,0.094876,9421.7834,894.8520657993
1663444800,2022-09-17 20:00:00,COTI/USDT,0.094754,0.095196,0.094621,0.0951,65217.8704,6194.8764607083
1663441200,2022-09-17 19:00:00,COTI/USDT,0.095298,0.095298,0.094454,0.094885,128197.165,12164.2708107672
1663437600,2022-09-17 18:00:00,COTI/USDT,0.095248,0.095598,0.095187,0.095187,109267.8986,10419.3654281581
1663434000,2022-09-17 17:00:00,COTI/USDT,0.095734,0.095815,0.094864,0.095149,252031.755,24022.8772071082
1663430400,2022-09-17 16:00:00,COTI/USDT,0.094935,0.095701,0.094794,0.095701,91883.5125,8752.3959470592
1663426800,2022-09-17 15:00:00,COTI/USDT,0.094843,0.095101,0.094578,0.094578,129042.5937,12246.30979053
1663423200,2022-09-17 14:00:00,COTI/USDT,0.0944,0.094911,0.0944,0.094791,180404.1826,17089.9761675932
1663419600,2022-09-17 13:00:00,COTI/USDT,0.09401,0.09468,0.093769,0.094332,78831.8343,7423.9472721039
1663416000,2022-09-17 12:00:00,COTI/USDT,0.094679,0.095219,0.094015,0.0941,124815.3078,11814.8785004488
1663412400,2022-09-17 11:00:00,COTI/USDT,0.094091,0.09468,0.093998,0.09468,160288.6538,15106.5378918979
1663408800,2022-09-17 10:00:00,COTI/USDT,0.094141,0.094532,0.093935,0.094174,36591.2156,3449.2092661885
1663405200,2022-09-17 09:00:00,COTI/USDT,0.093972,0.094181,0.093532,0.09418,53696.3294,5036.9830013648
1663401600,2022-09-17 08:00:00,COTI/USDT,0.094353,0.094639,0.093754,0.093917,70365.1615,6626.8080852431
1663398000,2022-09-17 07:00:00,COTI/USDT,0.094127,0.094393,0.094056,0.094345,42588.9657,4009.4414465327
1663394400,2022-09-17 06:00:00,COTI/USDT,0.09419,0.094588,0.093915,0.094069,38863.6466,3662.6606560795
1663390800,2022-09-17 05:00:00,COTI/USDT,0.095099,0.095099,0.093932,0.094099,89644.0314,8452.5170155807
1663387200,2022-09-17 04:00:00,COTI/USDT,0.095331,0.096298,0.094997,0.094997,245589.981,23480.4123488751
1663383600,2022-09-17 03:00:00,COTI/USDT,0.095658,0.095914,0.095363,0.095391,20336.8317,1946.9395979175
1663380000,2022-09-17 02:00:00,COTI/USDT,0.095277,0.095979,0.094673,0.095906,221573.4453,21076.8765052944
