https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FTT,Volume BTC
1663459200,2022-09-18 00:00:00,FTT/BTC,0.0012249,0.0012253,0.00122,0.0012209,0.8394,0.00102522497
1663372800,2022-09-17 00:00:00,FTT/BTC,0.0012167,0.001227,0.0012152,0.0012255,112.6864,0.13789578606
1663286400,2022-09-16 00:00:00,FTT/BTC,0.0012227,0.0012304,0.0012163,0.0012167,49.6459,0.06054901247
1663200000,2022-09-15 00:00:00,FTT/BTC,0.0012615,0.0012636,0.0012185,0.0012217,264.2073,0.32494304223
1663113600,2022-09-14 00:00:00,FTT/BTC,0.0012816,0.0012872,0.0012566,0.0012623,225.0013,0.2854043642
1663027200,2022-09-13 00:00:00,FTT/BTC,0.0012704,0.0013048,0.0012497,0.0012841,1178.2781,1.50397326131
1662940800,2022-09-12 00:00:00,FTT/BTC,0.0012763,0.0012775,0.0012483,0.0012693,507.0097,0.64335649909
1662854400,2022-09-11 00:00:00,FTT/BTC,0.0012798,0.0012837,0.0012706,0.001276,174.5324,0.2225616936
1662768000,2022-09-10 00:00:00,FTT/BTC,0.0012765,0.0012837,0.0012684,0.0012784,79.9863,0.10218639958
1662681600,2022-09-09 00:00:00,FTT/BTC,0.0013475,0.0013515,0.0012715,0.0012755,1908.7378,2.53125821492
1662595200,2022-09-08 00:00:00,FTT/BTC,0.0013467,0.0013532,0.0013437,0.0013475,598.5214,0.80775215285
1662508800,2022-09-07 00:00:00,FTT/BTC,0.0013646,0.0013783,0.0013383,0.0013491,568.9999,0.77642734621
1662422400,2022-09-06 00:00:00,FTT/BTC,0.001346,0.0013661,0.0013428,0.0013645,653.9787,0.88364749973
1662336000,2022-09-05 00:00:00,FTT/BTC,0.0013246,0.0013459,0.0013135,0.0013459,155.8715,0.20585842109
1662249600,2022-09-04 00:00:00,FTT/BTC,0.0013202,0.0013293,0.0013184,0.0013206,131.6917,0.1738900025
1662163200,2022-09-03 00:00:00,FTT/BTC,0.0013202,0.0013266,0.0013136,0.0013217,129.5184,0.17038598876
1662076800,2022-09-02 00:00:00,FTT/BTC,0.001337,0.0013395,0.0013135,0.0013165,38.21,0.05060255645
1661990400,2022-09-01 00:00:00,FTT/BTC,0.0013328,0.0013416,0.0013249,0.0013375,175.2967,0.2339613007
1661904000,2022-08-31 00:00:00,FTT/BTC,0.0013475,0.0013628,0.0013226,0.0013291,673.2838,0.90645909977
1661817600,2022-08-30 00:00:00,FTT/BTC,0.0013492,0.0013533,0.0013284,0.0013427,435.4369,0.58551959302
1661731200,2022-08-29 00:00:00,FTT/BTC,0.0012943,0.0013492,0.0012933,0.0013492,510.1029,0.68216663019
1661644800,2022-08-28 00:00:00,FTT/BTC,0.0012885,0.0013029,0.0012795,0.0013029,606.2737,0.78264575184
1661558400,2022-08-27 00:00:00,FTT/BTC,0.0012813,0.0012909,0.001277,0.0012909,137.0383,0.17562820253
1661472000,2022-08-26 00:00:00,FTT/BTC,0.0012933,0.0012974,0.0012757,0.0012845,245.9216,0.31647748599
1661385600,2022-08-25 00:00:00,FTT/BTC,0.0012902,0.0012988,0.0012859,0.0012927,321.628,0.41486288885
1661299200,2022-08-24 00:00:00,FTT/BTC,0.0012915,0.0012922,0.0012819,0.0012882,18.2377,0.0234573626
1661212800,2022-08-23 00:00:00,FTT/BTC,0.0012965,0.0012992,0.0012834,0.0012906,120.9778,0.1563221485
1661126400,2022-08-22 00:00:00,FTT/BTC,0.0012889,0.0012966,0.0012621,0.0012962,110.3225,0.1412810106
1661040000,2022-08-21 00:00:00,FTT/BTC,0.0012647,0.0012901,0.0012627,0.0012881,172.6872,0.22125312443
1660953600,2022-08-20 00:00:00,FTT/BTC,0.0012668,0.0012772,0.00126,0.001265,66.6459,0.08469628011
1660867200,2022-08-19 00:00:00,FTT/BTC,0.0012874,0.0012893,0.0012542,0.0012685,1366.9249,1.73891041163
1660780800,2022-08-18 00:00:00,FTT/BTC,0.0012896,0.001298,0.0012845,0.0012868,58.0535,0.07497945107
1660694400,2022-08-17 00:00:00,FTT/BTC,0.0012851,0.0012987,0.0012832,0.0012908,162.0792,0.20909039814
1660608000,2022-08-16 00:00:00,FTT/BTC,0.0012786,0.0012912,0.0012749,0.0012842,61.3671,0.07866693933
1660521600,2022-08-15 00:00:00,FTT/BTC,0.0012668,0.0012866,0.0012603,0.001281,242.5563,0.30718428114
1660435200,2022-08-14 00:00:00,FTT/BTC,0.001285,0.0012874,0.0012669,0.001267,150.4673,0.19152780502
1660348800,2022-08-13 00:00:00,FTT/BTC,0.0012794,0.0012891,0.0012753,0.0012808,264.841,0.3389953026
1660262400,2022-08-12 00:00:00,FTT/BTC,0.0012752,0.0012813,0.0012693,0.0012798,370.5153,0.47290627467
1660176000,2022-08-11 00:00:00,FTT/BTC,0.0013109,0.0013161,0.0012677,0.0012759,2045.3514,2.64743891584
1660089600,2022-08-10 00:00:00,FTT/BTC,0.0012907,0.0013123,0.0012773,0.0013082,254.7548,0.32918103776
1660003200,2022-08-09 00:00:00,FTT/BTC,0.0013237,0.0013265,0.0012849,0.001291,1152.8358,1.50413669785
1659916800,2022-08-08 00:00:00,FTT/BTC,0.001325,0.0013291,0.0013017,0.0013239,171.4693,0.22638227375
1659830400,2022-08-07 00:00:00,FTT/BTC,0.001327,0.0013298,0.0013145,0.0013251,223.4882,0.29684003113
1659744000,2022-08-06 00:00:00,FTT/BTC,0.001321,0.0013328,0.0013193,0.0013229,91.2117,0.12106043521
1659657600,2022-08-05 00:00:00,FTT/BTC,0.0012898,0.0013193,0.0012843,0.0013184,96.2394,0.12459183561
1659571200,2022-08-04 00:00:00,FTT/BTC,0.0012752,0.0012905,0.001268,0.0012893,444.2254,0.56911803654
1659484800,2022-08-03 00:00:00,FTT/BTC,0.0012805,0.0012805,0.0012651,0.0012761,89.2394,0.11336809438
