https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ARNM,Volume USDT
1663459200,2022-09-18 00:00:00,ARNM/USDT,0.05477,0.05477,0.0545,0.05464,107162.8314,5858.241702972
1663372800,2022-09-17 00:00:00,ARNM/USDT,0.05325,0.06699,0.05318,0.05477,2783322.5142,157983.919695444
1663286400,2022-09-16 00:00:00,ARNM/USDT,0.05357,0.05543,0.05159,0.05325,2107422.2536,111804.385624047
1663200000,2022-09-15 00:00:00,ARNM/USDT,0.06236,0.06244,0.05251,0.05357,1749735.1745,99520.060199851
1663113600,2022-09-14 00:00:00,ARNM/USDT,0.0613,0.06527,0.05912,0.06234,1243768.4731,76385.213066329
1663027200,2022-09-13 00:00:00,ARNM/USDT,0.06255,0.0636,0.05956,0.06129,1807869.2922,111215.338077244
1662940800,2022-09-12 00:00:00,ARNM/USDT,0.06744,0.06909,0.06179,0.06255,1832458.8355,119904.413473652
1662854400,2022-09-11 00:00:00,ARNM/USDT,0.0675,0.07263,0.06572,0.06731,2289269.8124,155232.337434009
1662768000,2022-09-10 00:00:00,ARNM/USDT,0.073,0.0788,0.06502,0.0675,2047748.6803,147046.478253041
1662681600,2022-09-09 00:00:00,ARNM/USDT,0.06554,0.07999,0.0655,0.073,2267503.0454,158654.456487355
1662595200,2022-09-08 00:00:00,ARNM/USDT,0.0613,0.06794,0.06116,0.06554,2066610.6152,131905.357674496
1662508800,2022-09-07 00:00:00,ARNM/USDT,0.06474,0.06509,0.06,0.0613,2040760.4885,127239.922248924
1662422400,2022-09-06 00:00:00,ARNM/USDT,0.07335,0.07456,0.06383,0.06474,1618600.1142,112204.285538103
1662336000,2022-09-05 00:00:00,ARNM/USDT,0.07788,0.07888,0.07043,0.07335,1796831.8496,134856.092309775
1662249600,2022-09-04 00:00:00,ARNM/USDT,0.08423,0.08445,0.07621,0.07784,2030470.659,165571.103825672
1662163200,2022-09-03 00:00:00,ARNM/USDT,0.08833,0.091,0.08309,0.08423,1930524.6562,166821.958230087
1662076800,2022-09-02 00:00:00,ARNM/USDT,0.08496,0.091,0.08326,0.08833,2188161.5506,188497.850493713
1661990400,2022-09-01 00:00:00,ARNM/USDT,0.08681,0.08716,0.08225,0.08498,2053455.9309,174809.132301009
1661904000,2022-08-31 00:00:00,ARNM/USDT,0.08346,0.08788,0.08025,0.08681,1934834.7743,163117.745392838
1661817600,2022-08-30 00:00:00,ARNM/USDT,0.08259,0.0852,0.07789,0.08343,1752273.8188,143955.748554987
1661731200,2022-08-29 00:00:00,ARNM/USDT,0.08326,0.08787,0.08091,0.08261,1967343.1995,164759.502820665
1661644800,2022-08-28 00:00:00,ARNM/USDT,0.08246,0.091,0.08058,0.08339,1718782.7715,146008.097543028
1661558400,2022-08-27 00:00:00,ARNM/USDT,0.08099,0.08346,0.08,0.08246,2259433.3006,184798.172317519
1661472000,2022-08-26 00:00:00,ARNM/USDT,0.09679,0.09738,0.07776,0.08099,2447939.4839,221180.258883987
1661385600,2022-08-25 00:00:00,ARNM/USDT,0.09391,0.10389,0.09332,0.09589,2127047.0093,207801.405354901
1661299200,2022-08-24 00:00:00,ARNM/USDT,0.09618,0.10022,0.09251,0.09343,2351847.8611,226198.315538937
1661212800,2022-08-23 00:00:00,ARNM/USDT,0.09369,0.09994,0.09203,0.09618,1841221.3032,173981.099509305
1661126400,2022-08-22 00:00:00,ARNM/USDT,0.10447,0.10463,0.09201,0.09354,2240986.136,212589.519424701
1661040000,2022-08-21 00:00:00,ARNM/USDT,0.09402,0.109,0.092,0.10447,3457467.5565,344885.254019807
1660953600,2022-08-20 00:00:00,ARNM/USDT,0.09547,0.115,0.09102,0.09402,3398272.1801,340284.196011286
1660867200,2022-08-19 00:00:00,ARNM/USDT,0.10449,0.10449,0.08899,0.09547,2398141.8357,231034.834612085
1660780800,2022-08-18 00:00:00,ARNM/USDT,0.10254,0.1135,0.095,0.10449,2245941.4895,229144.234135068
1660694400,2022-08-17 00:00:00,ARNM/USDT,0.10006,0.136,0.09801,0.10254,4517854.2615,516806.128979975
1660608000,2022-08-16 00:00:00,ARNM/USDT,0.10846,0.10907,0.09649,0.10005,1872764.063,191217.10825196
1660521600,2022-08-15 00:00:00,ARNM/USDT,0.11123,0.11462,0.10404,0.10846,687184.1218,75325.658254604
1660435200,2022-08-14 00:00:00,ARNM/USDT,0.11598,0.16,0.10074,0.11123,1609644.5346,199877.905574379
1660348800,2022-08-13 00:00:00,ARNM/USDT,0.12771,0.12798,0.115,0.11598,1204298.8785,142502.623822077
