https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAND,Volume USDT
1663462800,2022-09-18 01:00:00,BAND/USDT,1.2926,1.2934,1.2885,1.2926,1017.37238469,1311.008589277697
1663459200,2022-09-18 00:00:00,BAND/USDT,1.2968,1.302,1.2924,1.2926,96.92601835,125.705152217249
1663455600,2022-09-17 23:00:00,BAND/USDT,1.2971,1.2971,1.2867,1.2969,842.38132579,1084.78977223382
1663452000,2022-09-17 22:00:00,BAND/USDT,1.2932,1.3086,1.2932,1.2981,1581.79960937,2052.659346226109
1663448400,2022-09-17 21:00:00,BAND/USDT,1.2862,1.3086,1.2862,1.2916,4902.83566953,6350.156336624841
1663444800,2022-09-17 20:00:00,BAND/USDT,1.2831,1.2892,1.2822,1.2844,775.00555538,997.847119878364
1663441200,2022-09-17 19:00:00,BAND/USDT,1.28,1.2872,1.2755,1.2871,3443.3537,4407.12867873
1663437600,2022-09-17 18:00:00,BAND/USDT,1.2851,1.288,1.2801,1.2802,2024.2727394,2597.523524515008
1663434000,2022-09-17 17:00:00,BAND/USDT,1.2742,1.2891,1.2742,1.2818,2077.56771817,2667.38319350859
1663430400,2022-09-17 16:00:00,BAND/USDT,1.2678,1.2742,1.2678,1.2742,24.04881531,30.611032911224
1663426800,2022-09-17 15:00:00,BAND/USDT,1.2646,1.2678,1.2625,1.2678,137.3757,173.62993235
1663423200,2022-09-17 14:00:00,BAND/USDT,1.2603,1.2662,1.2571,1.2632,2186.09205748,2761.163481950784
1663419600,2022-09-17 13:00:00,BAND/USDT,1.2551,1.2646,1.255,1.2583,127.44470878,160.866035473188
1663416000,2022-09-17 12:00:00,BAND/USDT,1.2482,1.2551,1.2482,1.2551,369.1931,462.29706874
1663412400,2022-09-17 11:00:00,BAND/USDT,1.2486,1.2515,1.2456,1.2474,444.2691,553.78231064
1663408800,2022-09-17 10:00:00,BAND/USDT,1.2587,1.2587,1.2432,1.2432,1888.7631,2355.65292282
1663405200,2022-09-17 09:00:00,BAND/USDT,1.2551,1.2586,1.2522,1.2545,58.11815024,72.957116676224
1663401600,2022-09-17 08:00:00,BAND/USDT,1.2496,1.2584,1.2492,1.2517,1321.42957018,1661.113536239783
1663398000,2022-09-17 07:00:00,BAND/USDT,1.2442,1.2516,1.2442,1.2516,8.6018,10.70631211
