https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL3S,Volume USDT
1663462800,2022-09-18 01:00:00,SOL3S/USDT,0.3973,0.3987,0.3967,0.3967,3535.921,1404.08139763
1663459200,2022-09-18 00:00:00,SOL3S/USDT,0.396,0.4048,0.3948,0.3992,42387.2754,16873.07508643
1663455600,2022-09-17 23:00:00,SOL3S/USDT,0.4036,0.4036,0.391,0.3961,21275.6259,8426.93474851
1663452000,2022-09-17 22:00:00,SOL3S/USDT,0.416,0.416,0.4027,0.4057,9268.7038,3786.82204156
1663448400,2022-09-17 21:00:00,SOL3S/USDT,0.4123,0.4178,0.4123,0.4178,18316.6321,7610.6579829
1663444800,2022-09-17 20:00:00,SOL3S/USDT,0.4167,0.4181,0.4123,0.4123,5201.6181,2167.46931874
1663441200,2022-09-17 19:00:00,SOL3S/USDT,0.4173,0.422,0.415,0.415,11473.0757,4795.7728841
1663437600,2022-09-17 18:00:00,SOL3S/USDT,0.4171,0.4205,0.4144,0.4205,19677.4469,8208.13606914
1663434000,2022-09-17 17:00:00,SOL3S/USDT,0.4129,0.4202,0.4057,0.4172,22247.6248,9233.60199109
1663430400,2022-09-17 16:00:00,SOL3S/USDT,0.4137,0.4184,0.4008,0.4153,64843.2874,26656.41455246
1663426800,2022-09-17 15:00:00,SOL3S/USDT,0.419,0.425,0.4133,0.4138,21165.3697,8859.0812585
1663423200,2022-09-17 14:00:00,SOL3S/USDT,0.4351,0.4351,0.4191,0.4216,28441.0633,12116.34902097
1663419600,2022-09-17 13:00:00,SOL3S/USDT,0.4381,0.4389,0.4337,0.4384,8430.2796,3673.28997161
1663416000,2022-09-17 12:00:00,SOL3S/USDT,0.4438,0.4472,0.436,0.4385,13524.318,5956.42210099
1663412400,2022-09-17 11:00:00,SOL3S/USDT,0.4373,0.4438,0.4373,0.4438,9386.606,4131.4309565
1663408800,2022-09-17 10:00:00,SOL3S/USDT,0.4316,0.4397,0.4316,0.4362,11932.5077,5185.37717725
1663405200,2022-09-17 09:00:00,SOL3S/USDT,0.4334,0.4354,0.4316,0.4316,7258.356,3149.45481712
1663401600,2022-09-17 08:00:00,SOL3S/USDT,0.4366,0.4366,0.4334,0.4334,1737.0459,755.79779237
1663398000,2022-09-17 07:00:00,SOL3S/USDT,0.4438,0.4444,0.4368,0.4371,12203.5722,5362.97335656
1663394400,2022-09-17 06:00:00,SOL3S/USDT,0.443,0.4465,0.4412,0.4438,2937.4196,1306.30274879
1663390800,2022-09-17 05:00:00,SOL3S/USDT,0.4345,0.4447,0.4345,0.4412,21193.847,9341.58626045
1663387200,2022-09-17 04:00:00,SOL3S/USDT,0.4398,0.4398,0.4252,0.4323,42525.6,18313.61203606
1663383600,2022-09-17 03:00:00,SOL3S/USDT,0.4399,0.4429,0.4394,0.4398,1539.3791,677.36035583
1663380000,2022-09-17 02:00:00,SOL3S/USDT,0.4333,0.4427,0.4326,0.4408,8191.2503,3591.10012331
1663376400,2022-09-17 01:00:00,SOL3S/USDT,0.4416,0.4436,0.4325,0.4333,53459.107,23442.68422112
1663372800,2022-09-17 00:00:00,SOL3S/USDT,0.4598,0.4598,0.4316,0.4394,44153.9896,19501.75715977
1663369200,2022-09-16 23:00:00,SOL3S/USDT,0.4659,0.4674,0.4598,0.4598,3596.0819,1669.47907516
1663365600,2022-09-16 22:00:00,SOL3S/USDT,0.4595,0.4659,0.4582,0.4659,13464.2588,6222.95674788
1663362000,2022-09-16 21:00:00,SOL3S/USDT,0.4573,0.4606,0.456,0.4606,16422.7854,7549.75882039
1663358400,2022-09-16 20:00:00,SOL3S/USDT,0.4628,0.4637,0.456,0.4599,10874.5939,4997.06399948
