https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COOHA,Volume USDT
1663459200,2022-09-18 00:00:00,COOHA/USDT,0.4733,0.4745,0.4724,0.4733,809.4532,383.63275142
1663372800,2022-09-17 00:00:00,COOHA/USDT,0.484,0.4914,0.47,0.4737,36341.5317,17302.24336618
1663286400,2022-09-16 00:00:00,COOHA/USDT,0.4727,0.5004,0.4647,0.4855,58298.5434,28293.60402849
1663200000,2022-09-15 00:00:00,COOHA/USDT,0.4773,0.4773,0.4634,0.4725,24901.1938,11801.84382087
1663113600,2022-09-14 00:00:00,COOHA/USDT,0.5186,0.5197,0.4659,0.4761,57633.5123,28324.09979059
1663027200,2022-09-13 00:00:00,COOHA/USDT,0.4713,0.598,0.4605,0.5175,274103.4621,142094.88682601
1662940800,2022-09-12 00:00:00,COOHA/USDT,0.4731,0.4896,0.46,0.4713,58979.5606,27463.7993831
1662854400,2022-09-11 00:00:00,COOHA/USDT,0.4722,0.529,0.4657,0.4754,58843.4422,28264.48970464
1662768000,2022-09-10 00:00:00,COOHA/USDT,0.4809,0.976,0.455,0.4754,397807.8907,231236.82994917
1662681600,2022-09-09 00:00:00,COOHA/USDT,0.5353,0.5411,0.45,0.4809,83780.5495,40746.51605899
1662595200,2022-09-08 00:00:00,COOHA/USDT,0.5594,0.566,0.5188,0.5364,40294.1183,21879.90839633
1662508800,2022-09-07 00:00:00,COOHA/USDT,0.5533,0.695,0.5216,0.5594,107486.7937,62671.9259882
1662422400,2022-09-06 00:00:00,COOHA/USDT,0.5949,0.612,0.5316,0.5533,36895.8905,21238.00058241
1662336000,2022-09-05 00:00:00,COOHA/USDT,0.5765,0.6123,0.5697,0.5948,29357.0971,17269.27351932
1662249600,2022-09-04 00:00:00,COOHA/USDT,0.5748,0.6007,0.5682,0.5826,2131.5487,1240.97535579
1662163200,2022-09-03 00:00:00,COOHA/USDT,0.5899,0.6007,0.5657,0.5776,8342.6831,4857.52591029
1662076800,2022-09-02 00:00:00,COOHA/USDT,0.6238,0.6251,0.5817,0.59,29672.7999,17809.74060911
1661990400,2022-09-01 00:00:00,COOHA/USDT,0.6299,0.6318,0.6,0.6221,79413.9689,48883.487423
1661904000,2022-08-31 00:00:00,COOHA/USDT,0.6506,0.6506,0.6,0.6297,85304.6496,53810.09735587
1661817600,2022-08-30 00:00:00,COOHA/USDT,0.6852,0.6887,0.6401,0.6466,63052.7721,42673.2783869
1661731200,2022-08-29 00:00:00,COOHA/USDT,0.729,0.7309,0.6834,0.6851,83567.0703,60176.8566132
1661644800,2022-08-28 00:00:00,COOHA/USDT,0.7383,0.7442,0.7213,0.729,109273.7352,80200.27533805
1661558400,2022-08-27 00:00:00,COOHA/USDT,0.7103,0.8001,0.6946,0.7382,158551.804,117703.83961133
1661472000,2022-08-26 00:00:00,COOHA/USDT,0.6838,1,0.6822,0.703,251052.1808,188597.76767814
1661385600,2022-08-25 00:00:00,COOHA/USDT,0.7111,0.7247,0.6379,0.6838,80523.039,55500.45951449
1661299200,2022-08-24 00:00:00,COOHA/USDT,0.6985,0.7346,0.6952,0.7145,80010.9861,56721.12267582
1661212800,2022-08-23 00:00:00,COOHA/USDT,0.6972,0.7007,0.6888,0.698,154794.0157,107886.38992997
1661126400,2022-08-22 00:00:00,COOHA/USDT,0.6936,0.7028,0.6825,0.6971,199503.9874,138936.90692272
1661040000,2022-08-21 00:00:00,COOHA/USDT,0.7306,0.731,0.6826,0.6937,187248.1602,134563.24689777
1660953600,2022-08-20 00:00:00,COOHA/USDT,0.7806,0.7834,0.7197,0.7306,198480.6414,148424.31944265
1660867200,2022-08-19 00:00:00,COOHA/USDT,0.732,1.1076,0.7023,0.7788,286230.4821,218042.33727703
1660780800,2022-08-18 00:00:00,COOHA/USDT,0.7033,1.1893,0.6924,0.7323,221055.204,165161.99956196
1660694400,2022-08-17 00:00:00,COOHA/USDT,0.7165,0.7201,0.6953,0.7028,162572.8737,115840.14570003
1660608000,2022-08-16 00:00:00,COOHA/USDT,0.721,0.7219,0.7134,0.7165,48882.3422,35205.19970451
1660521600,2022-08-15 00:00:00,COOHA/USDT,0.7281,0.7281,0.7168,0.7199,146741.7252,106194.76380734
1660435200,2022-08-14 00:00:00,COOHA/USDT,0.7419,0.7567,0.7235,0.7271,85851.9947,63354.98654313
1660348800,2022-08-13 00:00:00,COOHA/USDT,0.7337,0.7528,0.7286,0.7419,144922.8363,106753.35214548
1660262400,2022-08-12 00:00:00,COOHA/USDT,0.7289,0.7443,0.7233,0.7337,154944.5379,113115.81494231
1660176000,2022-08-11 00:00:00,COOHA/USDT,0.7347,0.7378,0.7246,0.7289,156498.276,114515.1046099
1660089600,2022-08-10 00:00:00,COOHA/USDT,0.7266,0.7666,0.7246,0.7336,151310.5437,111023.00923599
1660003200,2022-08-09 00:00:00,COOHA/USDT,0.7321,0.7386,0.7232,0.7272,164817.1843,120453.49489455
1659916800,2022-08-08 00:00:00,COOHA/USDT,0.7249,0.7365,0.7147,0.7318,143693.9252,104490.67357021
1659830400,2022-08-07 00:00:00,COOHA/USDT,0.7439,0.7453,0.7037,0.7257,77891.1739,57492.57073933
1659744000,2022-08-06 00:00:00,COOHA/USDT,0.7358,0.8119,0.7251,0.7438,135959.0086,100436.13230834
1659657600,2022-08-05 00:00:00,COOHA/USDT,0.7318,0.8075,0.7065,0.7365,217988.525,160221.1337373
1659571200,2022-08-04 00:00:00,COOHA/USDT,0.7198,0.7593,0.7096,0.7313,162301.9813,118092.86678884
1659484800,2022-08-03 00:00:00,COOHA/USDT,0.7306,0.7699,0.6987,0.7229,106101.1192,76666.68105231
1659398400,2022-08-02 00:00:00,COOHA/USDT,0.7353,0.7414,0.7188,0.7343,82414.7979,60150.49014534
1659312000,2022-08-01 00:00:00,COOHA/USDT,0.7207,0.7886,0.7072,0.7331,57085.9396,41338.63534295
1659225600,2022-07-31 00:00:00,COOHA/USDT,0.6757,0.7811,0.673,0.7224,105928.3256,72403.65530614
1659139200,2022-07-30 00:00:00,COOHA/USDT,0.6747,0.6828,0.6656,0.6757,128733.7399,86577.15593926
