https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LYM,Volume USDT
1663459200,2022-09-18 00:00:00,LYM/USDT,0.0035,0.003601,0.0035,0.003588,2137226.2523,7610.133077983
1663372800,2022-09-17 00:00:00,LYM/USDT,0.003328,0.003581,0.003299,0.003493,53679131.4311,182535.5879153437
1663286400,2022-09-16 00:00:00,LYM/USDT,0.003402,0.003418,0.003314,0.003326,43572055.3963,147242.3814000121
1663200000,2022-09-15 00:00:00,LYM/USDT,0.0034,0.003466,0.003394,0.003409,55080685.464,188063.705479173
1663113600,2022-09-14 00:00:00,LYM/USDT,0.003436,0.003617,0.003398,0.0034,74937756.356,258236.282812184
1663027200,2022-09-13 00:00:00,LYM/USDT,0.003567,0.003633,0.003308,0.003448,69737393.3683,240248.5448916129
1662940800,2022-09-12 00:00:00,LYM/USDT,0.003749,0.004088,0.003536,0.003567,68917625.3289,259168.0232437025
1662854400,2022-09-11 00:00:00,LYM/USDT,0.003459,0.003949,0.003423,0.003762,64336897.9649,228908.1974838659
1662768000,2022-09-10 00:00:00,LYM/USDT,0.0033,0.003767,0.003271,0.003467,67578615.9583,230668.5460530382
1662681600,2022-09-09 00:00:00,LYM/USDT,0.003152,0.003586,0.003146,0.003311,61705796.1573,207280.4124380017
1662595200,2022-09-08 00:00:00,LYM/USDT,0.00366,0.003737,0.003115,0.003165,68632364.2025,231136.7959435507
1662508800,2022-09-07 00:00:00,LYM/USDT,0.003788,0.003848,0.00335,0.00363,63048887.9488,222141.6331865305
1662422400,2022-09-06 00:00:00,LYM/USDT,0.003933,0.004267,0.003749,0.003789,58235409.6164,233664.2825946828
1662336000,2022-09-05 00:00:00,LYM/USDT,0.004156,0.004161,0.003815,0.003924,68687110.2694,271639.4418835899
1662249600,2022-09-04 00:00:00,LYM/USDT,0.003924,0.0052,0.003868,0.004157,74305130.574,305444.3538339647
1662163200,2022-09-03 00:00:00,LYM/USDT,0.004032,0.004087,0.003782,0.003937,62977326.6577,246386.5386218933
1662076800,2022-09-02 00:00:00,LYM/USDT,0.004117,0.004515,0.003976,0.004045,79753687.3546,331276.4086245929
1661990400,2022-09-01 00:00:00,LYM/USDT,0.004263,0.004444,0.0041,0.004126,70945775.0983,296811.2559999999
1661904000,2022-08-31 00:00:00,LYM/USDT,0.00427,0.005111,0.004223,0.004274,74499460.9452,334309.4050954172
1661817600,2022-08-30 00:00:00,LYM/USDT,0.004237,0.004624,0.004103,0.004285,71515177.551,307582.0662016717
1661731200,2022-08-29 00:00:00,LYM/USDT,0.004225,0.004443,0.0042,0.00425,69439354.8399,299538.1738980572
