https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KP3R,Volume USDT
1663459200,2022-09-18 00:00:00,KP3R/USDT,103.194,103.194,102.346,102.346,11.7092,1200.3865345
1663372800,2022-09-17 00:00:00,KP3R/USDT,100.929,104.589,100.195,104.438,93.0598,9459.1697163
1663286400,2022-09-16 00:00:00,KP3R/USDT,101.956,103.653,98.51,100.211,140.6453,14212.6569482
1663200000,2022-09-15 00:00:00,KP3R/USDT,104.704,108.486,101.684,101.956,76.4121,7942.7047008
1663113600,2022-09-14 00:00:00,KP3R/USDT,104.725,106.214,102.858,105.45,111.9914,11699.8199337
1663027200,2022-09-13 00:00:00,KP3R/USDT,114.182,114.182,104.524,105.664,223.4609,24232.165804
1662940800,2022-09-12 00:00:00,KP3R/USDT,114.33,117.2,112.017,114.82,128.3516,14741.9357055
1662854400,2022-09-11 00:00:00,KP3R/USDT,116.71,118.559,113.5,114.823,142.0353,16510.9903152
1662768000,2022-09-10 00:00:00,KP3R/USDT,116.104,117.676,113.429,115.976,71.3036,8234.7917254
1662681600,2022-09-09 00:00:00,KP3R/USDT,113.69,119.159,112.294,116.809,233.872,27064.2972523
1662595200,2022-09-08 00:00:00,KP3R/USDT,108.479,126.7,105.644,114.007,690.6769,81256.1133511
1662508800,2022-09-07 00:00:00,KP3R/USDT,107.579,110.645,101.683,109.001,170.2166,17834.6896381
1662422400,2022-09-06 00:00:00,KP3R/USDT,114.519,117.25,107.018,107.018,117.1024,13226.3873787
1662336000,2022-09-05 00:00:00,KP3R/USDT,117.783,117.891,112.502,114.517,96.2463,11009.9972506
1662249600,2022-09-04 00:00:00,KP3R/USDT,114,117.839,113.134,117.839,38.4949,4460.7012021
1662163200,2022-09-03 00:00:00,KP3R/USDT,116.029,116.211,112.999,114.272,23.979,2735.0897694
1662076800,2022-09-02 00:00:00,KP3R/USDT,116.13,119.479,114.228,115.936,44.6232,5199.4360451
1661990400,2022-09-01 00:00:00,KP3R/USDT,114.519,117.7,112.918,116.574,65.9925,7656.1744031
1661904000,2022-08-31 00:00:00,KP3R/USDT,117.539,120.283,113.537,114.162,46.5187,5414.0766027
1661817600,2022-08-30 00:00:00,KP3R/USDT,119.903,123.719,114.228,117.439,82.1551,9750.3638908
1661731200,2022-08-29 00:00:00,KP3R/USDT,113.629,121.036,112.309,120.216,44.4081,5192.6124037
1661644800,2022-08-28 00:00:00,KP3R/USDT,114.215,118.903,112.51,112.51,52.6411,6083.792557
1661558400,2022-08-27 00:00:00,KP3R/USDT,116.784,118.247,112.808,115.273,112.2543,12809.1012519
1661472000,2022-08-26 00:00:00,KP3R/USDT,128.109,128.109,116.801,117.353,102.096,12570.9546367
1661385600,2022-08-25 00:00:00,KP3R/USDT,128.864,135.43,128.026,129.144,303.7971,39952.8179714
1661299200,2022-08-24 00:00:00,KP3R/USDT,126.806,131.218,124.106,128.483,190.0346,24072.8912645
1661212800,2022-08-23 00:00:00,KP3R/USDT,125.184,128.693,122.18,127.986,99.2447,12493.249149
1661126400,2022-08-22 00:00:00,KP3R/USDT,130.1,130.1,120.847,124.861,99.1064,12287.7562832
1661040000,2022-08-21 00:00:00,KP3R/USDT,123.311,133.156,121.428,131.407,201.8456,25973.6369107
1660953600,2022-08-20 00:00:00,KP3R/USDT,121.112,129.9,119.369,122.95,248.9844,31068.438845
1660867200,2022-08-19 00:00:00,KP3R/USDT,135.558,135.558,120.295,121.558,349.6645,44012.2945241
1660780800,2022-08-18 00:00:00,KP3R/USDT,139.047,153.069,135.57,136.5,172.4489,24300.4289248
1660694400,2022-08-17 00:00:00,KP3R/USDT,147.323,153.069,137.264,139.448,165.118,24164.4170024
1660608000,2022-08-16 00:00:00,KP3R/USDT,150.038,152.2,145.876,147.151,121.2156,18018.246264
1660521600,2022-08-15 00:00:00,KP3R/USDT,152,156.361,135.548,151.19,838.5919,126190.2140709
1660435200,2022-08-14 00:00:00,KP3R/USDT,153.9,160.999,150.739,152.794,1282.1262,199486.6750486
1660348800,2022-08-13 00:00:00,KP3R/USDT,157.063,159.468,152.419,154.557,95.6037,14894.1371159
1660262400,2022-08-12 00:00:00,KP3R/USDT,150.158,157.3,149.262,156.842,117.1437,17918.5857702
1660176000,2022-08-11 00:00:00,KP3R/USDT,157.379,158.684,149.65,151.35,198.1189,30878.7462694
1660089600,2022-08-10 00:00:00,KP3R/USDT,148.808,161.55,145.347,157.379,197.9366,30825.3569723
1660003200,2022-08-09 00:00:00,KP3R/USDT,160.614,162.4,147.465,150.048,134.0863,20439.7749452
1659916800,2022-08-08 00:00:00,KP3R/USDT,164.1,172.001,158.187,160.663,263.1488,43594.0616674
1659830400,2022-08-07 00:00:00,KP3R/USDT,151.117,176.484,149.75,163.617,331.4422,54490.1380642
1659744000,2022-08-06 00:00:00,KP3R/USDT,153.105,154.966,150.24,150.882,95.1804,14491.0003772
1659657600,2022-08-05 00:00:00,KP3R/USDT,146.25,154.555,146.25,153.705,277.606,42531.9139777
1659571200,2022-08-04 00:00:00,KP3R/USDT,148.82,154.5,143.595,146.013,165.5123,24366.9189672
1659484800,2022-08-03 00:00:00,KP3R/USDT,145.88,155.5,142.037,148.82,161.1841,24402.9182009
1659398400,2022-08-02 00:00:00,KP3R/USDT,148.5,150,140.332,146.25,160.7542,23304.2173089
1659312000,2022-08-01 00:00:00,KP3R/USDT,151.421,156.598,143.355,148.5,225.9051,33565.3443015
1659225600,2022-07-31 00:00:00,KP3R/USDT,153.4,166,150,151.62,322.7654,50333.1442764
1659139200,2022-07-30 00:00:00,KP3R/USDT,153.504,166.614,148.436,153.314,320.7737,50947.6701893
1659052800,2022-07-29 00:00:00,KP3R/USDT,151.425,166.15,144.75,153.457,708.3579,107673.2824121
1658966400,2022-07-28 00:00:00,KP3R/USDT,129,181.371,127.047,152.554,1263.1859,197578.8618175
1658880000,2022-07-27 00:00:00,KP3R/USDT,121.196,130.056,118.654,130.056,235.4808,29509.546614
1658793600,2022-07-26 00:00:00,KP3R/USDT,121.072,123,115.983,121.196,78.4598,9422.9879013
1658707200,2022-07-25 00:00:00,KP3R/USDT,128.672,128.672,121.036,121.036,289.781,36634.0868649
1658620800,2022-07-24 00:00:00,KP3R/USDT,129.535,136.023,127.307,129.194,347.8893,46044.9906961
1658534400,2022-07-23 00:00:00,KP3R/USDT,127.5,131.033,124.363,128.468,304.1881,38924.3321875
1658448000,2022-07-22 00:00:00,KP3R/USDT,132.57,134.841,124.717,127.631,404.0783,52226.5679159
1658361600,2022-07-21 00:00:00,KP3R/USDT,129.038,136.6,122.181,132.63,675.6622,87411.4796111
1658275200,2022-07-20 00:00:00,KP3R/USDT,139.616,144.422,129.219,129.219,398.30584324,55039.14358222528
1658188800,2022-07-19 00:00:00,KP3R/USDT,139.948,142.006,133.818,139.5,679.36263787,94118.60888633896
1658102400,2022-07-18 00:00:00,KP3R/USDT,130.751,141.806,130.751,140.514,284.27357753,39320.38444752569
1658016000,2022-07-17 00:00:00,KP3R/USDT,133.488,137.696,130.21,130.38,269.23252007,36097.56028532252
1657929600,2022-07-16 00:00:00,KP3R/USDT,129.581,136.975,125.5,133.461,207.23646378,27077.61987750774
1657843200,2022-07-15 00:00:00,KP3R/USDT,126.359,141.411,124.778,129.691,456.52698748,61317.23501853743
1657756800,2022-07-14 00:00:00,KP3R/USDT,122.088,128.807,118.182,126.779,358.23567605,44216.84985929189
1657670400,2022-07-13 00:00:00,KP3R/USDT,117.329,122.916,113.25,122.026,206.38685292,24465.5798571625
1657584000,2022-07-12 00:00:00,KP3R/USDT,119.315,125.552,116.907,117.493,230.64876713,27731.9699777256
1657497600,2022-07-11 00:00:00,KP3R/USDT,128.452,136.6,118.918,119.482,340.56998992,43447.10182066768
1657411200,2022-07-10 00:00:00,KP3R/USDT,134.381,137,125.478,128.318,394.27646666,51326.65991455704
1657324800,2022-07-09 00:00:00,KP3R/USDT,133.228,136.356,132.7,134.573,148.00228723,19956.06962586768
1657238400,2022-07-08 00:00:00,KP3R/USDT,140.864,145,129.754,133.224,514.91970988,69743.91228815739
1657152000,2022-07-07 00:00:00,KP3R/USDT,133.94,143.403,133.907,140.735,412.48465559,57152.71761005228
1657065600,2022-07-06 00:00:00,KP3R/USDT,132.5,135.679,128.653,133.806,372.27532456,48894.88226916872
1656979200,2022-07-05 00:00:00,KP3R/USDT,135.894,139.638,128.538,132.5,393.04711536,52610.31947644439
1656892800,2022-07-04 00:00:00,KP3R/USDT,131.04,139,128.936,136.331,385.26854133,52130.12779745372
1656806400,2022-07-03 00:00:00,KP3R/USDT,125.478,139.71,122.358,131.223,771.43379949,101598.80525902437
1656720000,2022-07-02 00:00:00,KP3R/USDT,128.754,134.951,120.372,125.999,1141.43812446,145052.12419002032
1656633600,2022-07-01 00:00:00,KP3R/USDT,116.511,154.972,114.732,128.25,4084.66878479,562117.11988726519
