https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CV,Volume BTC
1663372800,2022-09-17 00:00:00,CV/BTC,0.0000000071,0.0000000071,0.0000000071,0.0000000071,36469.59,0.000258934089
1663286400,2022-09-16 00:00:00,CV/BTC,0.0000000071,0.0000000073,0.0000000071,0.0000000071,563210.62,0.004046483702
1663200000,2022-09-15 00:00:00,CV/BTC,0.0000000072,0.0000000073,0.000000007,0.0000000072,1067134.55,0.007677321566
1663113600,2022-09-14 00:00:00,CV/BTC,0.0000000072,0.0000000073,0.0000000071,0.0000000072,656417.63,0.00472573988
1663027200,2022-09-13 00:00:00,CV/BTC,0.0000000071,0.0000000074,0.000000007,0.0000000072,1145548.87,0.008247459661
1662940800,2022-09-12 00:00:00,CV/BTC,0.0000000071,0.0000000073,0.0000000069,0.0000000073,2767744.59,0.019589157165
1662854400,2022-09-11 00:00:00,CV/BTC,0.0000000074,0.0000000075,0.000000007,0.0000000071,4381049.01,0.032115586477
1662768000,2022-09-10 00:00:00,CV/BTC,0.0000000068,0.0000000075,0.0000000068,0.0000000073,6054216.18,0.044024454036
1662681600,2022-09-09 00:00:00,CV/BTC,0.0000000068,0.0000000072,0.0000000065,0.0000000067,13189603.85,0.09138243286
1662595200,2022-09-08 00:00:00,CV/BTC,0.0000000067,0.0000000069,0.0000000066,0.0000000068,1100869.62,0.007520666012
1662508800,2022-09-07 00:00:00,CV/BTC,0.0000000066,0.0000000069,0.0000000065,0.0000000067,3597833.58,0.024348274296
1662422400,2022-09-06 00:00:00,CV/BTC,0.0000000065,0.0000000069,0.0000000064,0.0000000067,2323999.74,0.015558421543
1662336000,2022-09-05 00:00:00,CV/BTC,0.0000000064,0.0000000067,0.0000000063,0.0000000065,1054596.24,0.006850944021
1662249600,2022-09-04 00:00:00,CV/BTC,0.0000000065,0.0000000065,0.0000000063,0.0000000064,2273032.17,0.01440402975
1662163200,2022-09-03 00:00:00,CV/BTC,0.0000000068,0.000000007,0.0000000063,0.0000000065,6551888.16,0.042608505284
1662076800,2022-09-02 00:00:00,CV/BTC,0.0000000066,0.000000007,0.0000000066,0.0000000068,1904242.85,0.01291789767
1661990400,2022-09-01 00:00:00,CV/BTC,0.0000000067,0.0000000068,0.0000000065,0.0000000067,2419698.98,0.015890278072
1661904000,2022-08-31 00:00:00,CV/BTC,0.0000000066,0.0000000069,0.0000000065,0.0000000068,1331445.43,0.008846104613
1661817600,2022-08-30 00:00:00,CV/BTC,0.0000000068,0.0000000069,0.0000000066,0.0000000067,1902519.19,0.012892056749
1661731200,2022-08-29 00:00:00,CV/BTC,0.0000000066,0.000000007,0.0000000066,0.0000000068,14278887.1,0.096077822575
1661644800,2022-08-28 00:00:00,CV/BTC,0.0000000068,0.0000000068,0.0000000066,0.0000000066,8067813.05,0.054173729749
1661558400,2022-08-27 00:00:00,CV/BTC,0.000000007,0.0000000072,0.0000000067,0.0000000068,11226184.16,0.078249769913
1661472000,2022-08-26 00:00:00,CV/BTC,0.0000000073,0.0000000073,0.0000000069,0.000000007,59174057.6,0.420802666518
1661385600,2022-08-25 00:00:00,CV/BTC,0.0000000074,0.0000000075,0.0000000072,0.0000000073,83112781.86,0.608528588135
1661299200,2022-08-24 00:00:00,CV/BTC,0.0000000072,0.0000000073,0.000000007,0.0000000073,7404611.55,0.052788676924
1661212800,2022-08-23 00:00:00,CV/BTC,0.0000000071,0.0000000073,0.000000007,0.0000000072,25405642,0.18135027764
1661126400,2022-08-22 00:00:00,CV/BTC,0.0000000071,0.0000000073,0.000000007,0.0000000072,56460010.46,0.404326754429
