https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TRX,Volume USDT
1663545600000.0,2022-09-19 00:00:00,TRX/USDT,0.06077,0.0609775,0.060735,0.0609775,433187.43179861427,26414.6866225
1663542000000.0,2022-09-18 23:00:00,TRX/USDT,0.0608475,0.061,0.06077,0.06077,194851.0691130492,11841.09947
1663538400000.0,2022-09-18 22:00:00,TRX/USDT,0.0610975,0.061105,0.0607825,0.0608475,714538.8755495296,43477.90423
1663534800000.0,2022-09-18 21:00:00,TRX/USDT,0.0618175,0.06184,0.061015,0.0610975,1131646.0185359467,69140.7426175
1663531200000.0,2022-09-18 20:00:00,TRX/USDT,0.0619375,0.06195,0.0617875,0.0618175,57789.602539733896,3572.408755
1663527600000.0,2022-09-18 19:00:00,TRX/USDT,0.0618175,0.061995,0.0617575,0.0619375,3342.309626639758,207.0143025
1663524000000.0,2022-09-18 18:00:00,TRX/USDT,0.0616225,0.06192,0.0615525,0.0618175,349080.14154567884,21579.26165
1663520400000.0,2022-09-18 17:00:00,TRX/USDT,0.0620375,0.0620425,0.06158,0.0616225,744894.367682259,45902.2531725
1663516800000.0,2022-09-18 16:00:00,TRX/USDT,0.06256,0.0626625,0.0617725,0.0620375,959653.2690711262,59534.48968
1663513200000.0,2022-09-18 15:00:00,TRX/USDT,0.062215,0.062625,0.0621725,0.06256,867709.9124840152,54283.932125
1663509600000.0,2022-09-18 14:00:00,TRX/USDT,0.0623625,0.0623725,0.0619575,0.062215,457239.0914972274,28447.1300775
1663506000000.0,2022-09-18 13:00:00,TRX/USDT,0.0623,0.06244,0.062245,0.0623625,147115.00769693323,9174.4596675
1663502400000.0,2022-09-18 12:00:00,TRX/USDT,0.0621925,0.06231,0.061875,0.0623,412929.7377608346,25725.5226625
1663498800000.0,2022-09-18 11:00:00,TRX/USDT,0.0618425,0.0622325,0.0618225,0.0621925,233862.32680789486,14544.48276
1663495200000.0,2022-09-18 10:00:00,TRX/USDT,0.0616675,0.062145,0.06157,0.0618425,648904.6052067752,40129.8830475
1663491600000.0,2022-09-18 09:00:00,TRX/USDT,0.0622925,0.0623725,0.0616025,0.0616675,1010605.2249564196,62321.49771
1663488000000.0,2022-09-18 08:00:00,TRX/USDT,0.06231,0.06237,0.0622475,0.0622925,639155.9111851347,39814.6195975
1663484400000.0,2022-09-18 07:00:00,TRX/USDT,0.06232,0.06241,0.0622825,0.06231,392785.54449526564,24474.4672775
1663480800000.0,2022-09-18 06:00:00,TRX/USDT,0.0622425,0.062325,0.0622425,0.06232,49288.78205231066,3071.6768975
1663477200000.0,2022-09-18 05:00:00,TRX/USDT,0.06216,0.0622575,0.06212,0.0622425,227314.66401574487,14148.632975
