https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VEGA,Volume USDT
1663459200,2022-09-18 00:00:00,VEGA/USDT,1.2811,1.2811,1.2651,1.2707,1649.8487,2098.00165673
1663372800,2022-09-17 00:00:00,VEGA/USDT,1.2579,1.3151,1.2471,1.2907,25612.2466,32941.79281031
1663286400,2022-09-16 00:00:00,VEGA/USDT,1.2469,1.2775,1.2395,1.2553,19198.4058,24149.4132837
1663200000,2022-09-15 00:00:00,VEGA/USDT,1.3161,1.3499,1.2322,1.2571,78165.0182,100499.69966335
1663113600,2022-09-14 00:00:00,VEGA/USDT,1.1978,1.4654,1.19,1.3042,422308.395,545959.08116233
1663027200,2022-09-13 00:00:00,VEGA/USDT,1.2181,1.265,1.1656,1.1946,98711.4412,120357.46151795
1662940800,2022-09-12 00:00:00,VEGA/USDT,1.3121,1.364,1.2045,1.2186,77626.4493,98614.02727315
1662854400,2022-09-11 00:00:00,VEGA/USDT,1.3007,1.39,1.2318,1.2968,117119.7662,152658.27095965
1662768000,2022-09-10 00:00:00,VEGA/USDT,1.3022,1.3447,1.25,1.287,71172.4588,92207.41469306
1662681600,2022-09-09 00:00:00,VEGA/USDT,1.3598,1.3623,1.2501,1.2966,60862.2111,79915.03816496
1662595200,2022-09-08 00:00:00,VEGA/USDT,1.3168,1.3928,1.28,1.3487,242254.891,324294.44512861
1662508800,2022-09-07 00:00:00,VEGA/USDT,1.2619,1.3449,1.25,1.3144,135179.6079,175153.11972977
1662422400,2022-09-06 00:00:00,VEGA/USDT,1.3141,1.3791,1.2554,1.2756,35895.566,46765.98898211
1662336000,2022-09-05 00:00:00,VEGA/USDT,1.3151,1.326,1.2848,1.306,13882.2109,18181.71214276
1662249600,2022-09-04 00:00:00,VEGA/USDT,1.3068,1.33,1.2867,1.3088,10311.5861,13485.34052469
1662163200,2022-09-03 00:00:00,VEGA/USDT,1.3254,1.3304,1.3027,1.31,4512.6187,5951.18784697
1662076800,2022-09-02 00:00:00,VEGA/USDT,1.3369,1.3545,1.27,1.3267,17506.89,23162.33740233
1661990400,2022-09-01 00:00:00,VEGA/USDT,1.3775,1.379,1.3159,1.3352,11272.4735,15141.41421081
1661904000,2022-08-31 00:00:00,VEGA/USDT,1.3564,1.3982,1.3302,1.3972,11617.6044,15765.02488372
1661817600,2022-08-30 00:00:00,VEGA/USDT,1.3493,1.4174,1.2967,1.3579,96028.6471,129485.51088141
1661731200,2022-08-29 00:00:00,VEGA/USDT,1.3496,1.4019,1.2845,1.3463,53124.2276,70911.46858807
1661644800,2022-08-28 00:00:00,VEGA/USDT,1.3517,1.4397,1.28,1.3496,176102.0203,240062.48263581
1661558400,2022-08-27 00:00:00,VEGA/USDT,1.3104,1.3743,1.2857,1.3474,21551.5038,28587.43801042
1661472000,2022-08-26 00:00:00,VEGA/USDT,1.4651,1.4798,1.3101,1.3172,118996.0555,166312.76658485
1661385600,2022-08-25 00:00:00,VEGA/USDT,1.5014,1.6133,1.4319,1.4594,296614.7179,448675.6357381
1661299200,2022-08-24 00:00:00,VEGA/USDT,1.4848,1.6575,1.4266,1.4856,95947.5605,146255.32442792
1661212800,2022-08-23 00:00:00,VEGA/USDT,1.4531,1.598,1.4041,1.4916,36292.8264,53442.2098505
1661126400,2022-08-22 00:00:00,VEGA/USDT,1.4472,1.5245,1.4042,1.4477,23606.8791,33811.78511873
1661040000,2022-08-21 00:00:00,VEGA/USDT,1.4773,1.54,1.4213,1.4465,47229.1668,68761.77499029
1660953600,2022-08-20 00:00:00,VEGA/USDT,1.4416,1.5769,1.4107,1.4777,44914.0889,66844.11532073
1660867200,2022-08-19 00:00:00,VEGA/USDT,1.552,1.6366,1.4,1.447,101663.7523,148928.1506803
1660780800,2022-08-18 00:00:00,VEGA/USDT,1.6318,1.6412,1.533,1.5532,43012.2841,67746.51976598
1660694400,2022-08-17 00:00:00,VEGA/USDT,1.6067,1.69,1.5538,1.6383,60613.9567,97692.94727648
1660608000,2022-08-16 00:00:00,VEGA/USDT,1.7144,1.7175,1.5499,1.6201,219246.8718,360404.40700936
1660521600,2022-08-15 00:00:00,VEGA/USDT,1.7188,1.7445,1.6207,1.7174,121314.8182,204204.47210222
1660435200,2022-08-14 00:00:00,VEGA/USDT,1.7866,1.8354,1.6843,1.7214,212377.7793,371706.4691311
1660348800,2022-08-13 00:00:00,VEGA/USDT,1.7635,1.8496,1.7495,1.7854,46815.9626,83758.71770816
1660262400,2022-08-12 00:00:00,VEGA/USDT,1.7491,1.8071,1.678,1.7641,52020.335,90522.9662702
1660176000,2022-08-11 00:00:00,VEGA/USDT,1.7783,1.7896,1.7345,1.751,31936.9685,56372.30238467
1660089600,2022-08-10 00:00:00,VEGA/USDT,1.7936,1.8521,1.7395,1.7919,42723.1284,76822.05521754
1660003200,2022-08-09 00:00:00,VEGA/USDT,1.945,2.0466,1.745,1.7965,130594.8809,240877.56877424
1659916800,2022-08-08 00:00:00,VEGA/USDT,1.8331,1.945,1.804,1.925,49472.8154,91631.95523396
1659830400,2022-08-07 00:00:00,VEGA/USDT,1.8339,1.96,1.7597,1.8395,32318.466,59653.05631578
1659744000,2022-08-06 00:00:00,VEGA/USDT,1.9397,2.013,1.8002,1.8368,137471.037,260144.65457291
1659657600,2022-08-05 00:00:00,VEGA/USDT,1.8523,2.0502,1.8442,1.9439,40614.2746,79256.56350277
1659571200,2022-08-04 00:00:00,VEGA/USDT,1.9908,2.1537,1.8018,1.8547,96402.9186,189959.75146692
1659484800,2022-08-03 00:00:00,VEGA/USDT,1.6835,2,1.6739,1.9872,50369.7193,92617.25443019
1659398400,2022-08-02 00:00:00,VEGA/USDT,1.779,1.779,1.6622,1.6783,63531.5753,108459.45455361
1659312000,2022-08-01 00:00:00,VEGA/USDT,1.9155,2.0402,1.7779,1.779,106941.45520385,204501.407876861305
1659225600,2022-07-31 00:00:00,VEGA/USDT,2.0855,2.1146,1.916,1.9177,41410.0065,83669.36052915
1659139200,2022-07-30 00:00:00,VEGA/USDT,2.2946,2.4396,2.0854,2.0855,98748.9736,225134.08605931
1659052800,2022-07-29 00:00:00,VEGA/USDT,2.3621,2.8934,2.2287,2.2998,678099.9036,1632155.28489255
1658966400,2022-07-28 00:00:00,VEGA/USDT,2.2669,2.9647,2.1868,2.39,131179.8159,321694.98263238
1658880000,2022-07-27 00:00:00,VEGA/USDT,1.9738,2.4298,1.9641,2.2669,69526.31819014,150295.608048502978
1658793600,2022-07-26 00:00:00,VEGA/USDT,2.1367,2.1367,1.9399,1.9693,7360.0473,14741.82476172
1658707200,2022-07-25 00:00:00,VEGA/USDT,2.1719,2.2962,2.0301,2.1395,15297.4036,32469.95776187
1658620800,2022-07-24 00:00:00,VEGA/USDT,2.051,2.2963,2,2.1746,11264.4805,24364.95724709
1658534400,2022-07-23 00:00:00,VEGA/USDT,2.0935,2.1201,2.02,2.0471,6311.3977,13135.38134103
1658448000,2022-07-22 00:00:00,VEGA/USDT,2.157,2.1718,2,2.0962,25060.7782,52172.19753521
1658361600,2022-07-21 00:00:00,VEGA/USDT,2.0394,2.3279,2.0144,2.1597,42337.93801277,93083.2172608609
1658275200,2022-07-20 00:00:00,VEGA/USDT,2.0057,2.1695,1.9661,2.0209,6888.3906,14482.86859613
1658188800,2022-07-19 00:00:00,VEGA/USDT,2.0661,2.1005,1.9815,2.0114,10422.52733412,21222.314970752114
1658102400,2022-07-18 00:00:00,VEGA/USDT,2.0812,2.4999,2.0216,2.0601,27456.82562993,60848.029541833687
1658016000,2022-07-17 00:00:00,VEGA/USDT,2.0057,2.3,1.9695,2.0812,16881.78822197,35472.866241804935
1657929600,2022-07-16 00:00:00,VEGA/USDT,1.9428,2.1129,1.8644,1.9832,32478.12355996,65041.064186724827
1657843200,2022-07-15 00:00:00,VEGA/USDT,1.895,2.19,1.8833,1.9453,27007.79535797,55619.762511505861
1657756800,2022-07-14 00:00:00,VEGA/USDT,2.048,2.1017,1.86,1.896,20592.19309437,40310.273741283459
1657670400,2022-07-13 00:00:00,VEGA/USDT,1.9252,3.28,1.9199,2.0479,41572.12812623,95692.32558685633
1657584000,2022-07-12 00:00:00,VEGA/USDT,2.0116,2.0587,1.7795,1.9219,11457.05085945,22146.022723492502
1657497600,2022-07-11 00:00:00,VEGA/USDT,2.0502,2.1699,1.9619,2.0112,10950.42824973,22410.405156072689
1657411200,2022-07-10 00:00:00,VEGA/USDT,1.9862,2.0902,1.8926,2.0505,27112.48452793,54290.270926155243
1657324800,2022-07-09 00:00:00,VEGA/USDT,2.0963,2.2518,1.9505,1.9863,14997.8148258,30503.75835216423
