https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume REP,Volume USDT
1663459200,2022-09-18 00:00:00,REP/USDT,7.486,7.51,7.486,7.51,0.347,2.599082
1663372800,2022-09-17 00:00:00,REP/USDT,7.399,7.55,7.377,7.518,261.8648,1967.5491035
1663286400,2022-09-16 00:00:00,REP/USDT,7.302,7.588,7.286,7.378,1210.0783,9099.7071283
1663200000,2022-09-15 00:00:00,REP/USDT,7.611,7.815,7.262,7.302,1232.6499,9384.242761
1663113600,2022-09-14 00:00:00,REP/USDT,7.626,7.679,7.39,7.565,433.0367,3262.1548311
1663027200,2022-09-13 00:00:00,REP/USDT,8.302,8.366,7.524,7.649,2141.1509,17207.3810827
1662940800,2022-09-12 00:00:00,REP/USDT,8.321,8.422,8.087,8.257,410.8066,3416.9640408
1662854400,2022-09-11 00:00:00,REP/USDT,8.135,8.533,7.986,8.364,914.4409,7589.34621
1662768000,2022-09-10 00:00:00,REP/USDT,8.161,8.206,8,8.18,301.4513,2440.4858229
1662681600,2022-09-09 00:00:00,REP/USDT,8.018,8.206,7.862,8.198,832.9144,6689.9340376
1662595200,2022-09-08 00:00:00,REP/USDT,7.561,8.87,7.475,7.974,3424.1451,27591.7374144
1662508800,2022-09-07 00:00:00,REP/USDT,7.31,7.584,7.155,7.561,557.6372,4154.4640534
1662422400,2022-09-06 00:00:00,REP/USDT,7.783,7.862,7.31,7.31,263.8887,2015.965432
1662336000,2022-09-05 00:00:00,REP/USDT,7.812,7.818,7.638,7.806,205.7454,1585.0799121
1662249600,2022-09-04 00:00:00,REP/USDT,7.713,7.812,7.648,7.812,364.8132,2807.4132487
1662163200,2022-09-03 00:00:00,REP/USDT,7.694,7.834,7.611,7.722,231.8693,1793.8255087
1662076800,2022-09-02 00:00:00,REP/USDT,7.762,7.792,7.638,7.693,297.9322,2289.5840495
1661990400,2022-09-01 00:00:00,REP/USDT,7.862,8.153,7.537,7.781,1021.3504,8106.436327
1661904000,2022-08-31 00:00:00,REP/USDT,7.686,7.872,7.683,7.802,86.3175,668.4372899
1661817600,2022-08-30 00:00:00,REP/USDT,7.75,8.048,7.547,7.688,959.2551,7518.78652
1661731200,2022-08-29 00:00:00,REP/USDT,7.583,7.909,7.371,7.822,1329.403,10128.9676786
1661644800,2022-08-28 00:00:00,REP/USDT,7.56,7.682,7.517,7.583,336.1985,2542.885841
1661558400,2022-08-27 00:00:00,REP/USDT,7.582,7.633,7.419,7.633,292.8323,2199.512264
1661472000,2022-08-26 00:00:00,REP/USDT,8.142,8.79,7.526,7.572,3683.6035,30309.8343291
1661385600,2022-08-25 00:00:00,REP/USDT,7.883,8.121,7.847,8.121,362.8752,2891.4458447
1661299200,2022-08-24 00:00:00,REP/USDT,7.859,8.027,7.694,7.887,574.3744,4516.494592
1661212800,2022-08-23 00:00:00,REP/USDT,7.698,7.913,7.502,7.913,469.1355,3641.6059871
1661126400,2022-08-22 00:00:00,REP/USDT,7.901,7.901,7.407,7.727,688.1672,5195.5777099
1661040000,2022-08-21 00:00:00,REP/USDT,7.664,7.902,7.637,7.901,84.8535,659.4190517
1660953600,2022-08-20 00:00:00,REP/USDT,7.693,7.901,7.591,7.656,138.2837,1067.9308475
1660867200,2022-08-19 00:00:00,REP/USDT,8.8,8.8,7.588,7.724,993.08,7981.1926805
1660780800,2022-08-18 00:00:00,REP/USDT,8.904,8.993,8.786,8.8,402.3554,3591.2464057
1660694400,2022-08-17 00:00:00,REP/USDT,9.067,9.36,8.776,8.85,604.4136,5499.8149625
1660608000,2022-08-16 00:00:00,REP/USDT,9.206,9.446,8.935,9.092,446.7449,4109.0492619
1660521600,2022-08-15 00:00:00,REP/USDT,9.404,9.521,9.018,9.155,479.1257,4369.6195274
1660435200,2022-08-14 00:00:00,REP/USDT,9.775,9.775,9.374,9.414,602.1315,5766.6434485
1660348800,2022-08-13 00:00:00,REP/USDT,9.459,9.942,9.422,9.766,2647.201,25479.777497
1660262400,2022-08-12 00:00:00,REP/USDT,9.383,9.714,9.052,9.459,1594.2582,15048.2038284
1660176000,2022-08-11 00:00:00,REP/USDT,8.986,9.384,8.966,9.384,383.086,3509.0476958
1660089600,2022-08-10 00:00:00,REP/USDT,8.626,8.994,8.41,8.987,1353.4147,11722.2236964
1660003200,2022-08-09 00:00:00,REP/USDT,8.966,9.255,8.463,8.6,1578.7838,13747.8489133
1659916800,2022-08-08 00:00:00,REP/USDT,8.903,9.103,8.81,8.991,354.2066,3186.4060281
1659830400,2022-08-07 00:00:00,REP/USDT,8.836,8.978,8.725,8.903,375.2879,3320.2944543
1659744000,2022-08-06 00:00:00,REP/USDT,8.884,8.964,8.803,8.88,402.9454,3572.8815777
1659657600,2022-08-05 00:00:00,REP/USDT,8.593,8.931,8.546,8.885,395.5542,3476.6890135
1659571200,2022-08-04 00:00:00,REP/USDT,8.512,8.75,8.474,8.582,531.65,4574.5362612
1659484800,2022-08-03 00:00:00,REP/USDT,8.566,8.673,8.336,8.466,253.3122,2169.5683925
1659398400,2022-08-02 00:00:00,REP/USDT,9.095,9.286,8.11,8.596,4095.5128,35035.2873164
1659312000,2022-08-01 00:00:00,REP/USDT,8.705,10.077,8.705,9.07,7261.3284,67880.7910327
1659225600,2022-07-31 00:00:00,REP/USDT,8.541,9.14,8.477,8.716,6829.1923,60347.2952124
