https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT
1663545600,2022-09-19 00:00:00,ETH/USDT,1338.5,1338.5,1334.6,1334.6,0.06578490,87.79652753999999
1663542000,2022-09-18 23:00:00,ETH/USDT,1345.4,1345.9,1332.7,1332.7,0.30957610,412.57206847000003
1663538400,2022-09-18 22:00:00,ETH/USDT,1337.6,1341.3,1331.0,1340.4,0.28031336,375.73202774400005
1663534800,2022-09-18 21:00:00,ETH/USDT,1365.7,1365.8,1327.1,1334.0,8.87650358,11841.25577572
1663531200,2022-09-18 20:00:00,ETH/USDT,1381.2,1381.2,1367.7,1370.7,2.62739469,3601.3699015830002
1663527600,2022-09-18 19:00:00,ETH/USDT,1371.9,1386.3,1371.9,1382.9,7.98733706,11045.688420274
1663524000,2022-09-18 18:00:00,ETH/USDT,1379.9,1383.2,1368.8,1380.0,11.23784918,15508.2318684
1663520400,2022-09-18 17:00:00,ETH/USDT,1385.0,1394.4,1374.3,1377.5,8.33992709,11488.249566475
1663516800,2022-09-18 16:00:00,ETH/USDT,1401.0,1413.8,1391.9,1396.7,13.67493802,19099.785932534003
1663513200,2022-09-18 15:00:00,ETH/USDT,1419.5,1424.8,1419.5,1420.8,2.59880428,3692.3811210239996
1663509600,2022-09-18 14:00:00,ETH/USDT,1427.9,1427.9,1418.4,1418.9,5.84152223,8288.535892147
1663506000,2022-09-18 13:00:00,ETH/USDT,1435.4,1436.8,1435.4,1435.7,0.14226417,204.248668869
1663502400,2022-09-18 12:00:00,ETH/USDT,1434.3,1438.7,1427.9,1438.7,0.33077608,475.887546296
1663498800,2022-09-18 11:00:00,ETH/USDT,1431.8,1433.1,1431.8,1433.1,0.33963862,486.73610632199996
1663495200,2022-09-18 10:00:00,ETH/USDT,1423.3,1439.8,1423.3,1431.4,0.80172531,1147.5896087340002
1663491600,2022-09-18 09:00:00,ETH/USDT,1455.6,1457.9,1426.4,1426.4,19.52346308,27848.267737312002
1663488000,2022-09-18 08:00:00,ETH/USDT,1455.6,1455.6,1455.6,1455.6,0.08940853,130.14305626799998
1663484400,2022-09-18 07:00:00,ETH/USDT,1454.0,1454.0,1454.0,1454.0,0.03464351,50.37166354
1663480800,2022-09-18 06:00:00,ETH/USDT,1456.1,1456.1,1456.1,1456.1,0.00000000,0.0
1663477200,2022-09-18 05:00:00,ETH/USDT,1456.1,1456.1,1456.1,1456.1,0.00000000,0.0
1663473600,2022-09-18 04:00:00,ETH/USDT,1456.1,1456.1,1456.1,1456.1,0.00000000,0.0
