https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume AMP
1663545600000,2022-09-19 00:00:00,AMP/BTC,4.905e-05,4.934e-05,4.903e-05,4.934e-05,0.0036347278991592,73.66696188
1663459200000,2022-09-18 00:00:00,AMP/BTC,4.939e-05,5.061e-05,4.831e-05,4.927e-05,0.2580698578596489,5237.87006007
1663372800000,2022-09-17 00:00:00,AMP/BTC,4.846e-05,4.993e-05,4.803e-05,4.953e-05,0.2494938462901131,5037.22685827
1663286400000,2022-09-16 00:00:00,AMP/BTC,5.062e-05,5.147e-05,4.774e-05,4.83e-05,0.7866497508574111,16286.74432417
1663200000000,2022-09-15 00:00:00,AMP/BTC,5.323e-05,5.447e-05,4.819e-05,5.046e-05,0.9451879324776582,18731.42949817
1663113600000,2022-09-14 00:00:00,AMP/BTC,5.26e-05,5.561e-05,5.106e-05,5.358e-05,0.28906433805594,5395.004443
1663027200000,2022-09-13 00:00:00,AMP/BTC,5.641e-05,5.755e-05,5.09e-05,5.218e-05,0.3805959117933426,7293.90402057
1662940800000,2022-09-12 00:00:00,AMP/BTC,5.868e-05,5.941e-05,5.41e-05,5.697e-05,0.9309982002497333,16341.90276022
1662854400000,2022-09-11 00:00:00,AMP/BTC,5.273e-05,6.314e-05,5.269e-05,5.867e-05,1.3840603965688365,23590.59820298
1662768000000,2022-09-10 00:00:00,AMP/BTC,4.987e-05,5.338e-05,4.886e-05,5.265e-05,0.6444242941175325,12239.77766605
1662681600000,2022-09-09 00:00:00,AMP/BTC,4.993e-05,5.1e-05,4.641e-05,4.981e-05,0.2924892817444502,5872.09961342
1662595200000,2022-09-08 00:00:00,AMP/BTC,4.943e-05,5.054e-05,4.91e-05,4.987e-05,0.186391830926252,3737.5542596
1662508800000,2022-09-07 00:00:00,AMP/BTC,4.991e-05,5.042e-05,4.866e-05,4.951e-05,0.42029213164792695,8489.0351777
1662422400000,2022-09-06 00:00:00,AMP/BTC,4.975e-05,5.05e-05,4.831e-05,5.028e-05,0.246931038428886,4911.11850495
1662336000000,2022-09-05 00:00:00,AMP/BTC,4.79e-05,5.119e-05,4.76e-05,5e-05,0.562982123858,11259.64247716
1662249600000,2022-09-04 00:00:00,AMP/BTC,4.555e-05,4.984e-05,4.513e-05,4.791e-05,0.1461290613783516,3050.07433476
1662163200000,2022-09-03 00:00:00,AMP/BTC,4.403e-05,4.588e-05,4.364e-05,4.586e-05,0.0914736938769902,1994.62917307
1662076800000,2022-09-02 00:00:00,AMP/BTC,4.564e-05,4.729e-05,4.344e-05,4.363e-05,0.1768427798291774,4053.23813498
1661990400000,2022-09-01 00:00:00,AMP/BTC,4.526e-05,4.679e-05,4.394e-05,4.564e-05,0.1498101453508772,3282.43087973
1661904000000,2022-08-31 00:00:00,AMP/BTC,4.477e-05,4.651e-05,4.406e-05,4.533e-05,0.2935252216793625,6475.29719125
1661817600000,2022-08-30 00:00:00,AMP/BTC,4.63e-05,4.66e-05,4.308e-05,4.478e-05,0.2950624332550762,6589.15661579
1661731200000,2022-08-29 00:00:00,AMP/BTC,4.419e-05,4.659e-05,4.286e-05,4.639e-05,0.3147746113337826,6785.39795934
1661644800000,2022-08-28 00:00:00,AMP/BTC,4.394e-05,4.515e-05,4.354e-05,4.433e-05,0.0460541972185867,1038.89459099
