https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SPELL,Volume USDT
1663459200,2022-09-18 00:00:00,SPELL/USDT,0.001203,0.001206,0.001203,0.001206,90260.8306,108.5841545193
1663372800,2022-09-17 00:00:00,SPELL/USDT,0.001203,0.001224,0.00119,0.001207,22152023.6144,26680.4932810347
1663286400,2022-09-16 00:00:00,SPELL/USDT,0.001162,0.001222,0.001158,0.00121,35887413.2853,42942.361028005
1663200000,2022-09-15 00:00:00,SPELL/USDT,0.001224,0.001309,0.001154,0.001162,40059941.0464,48717.1623716343
1663113600,2022-09-14 00:00:00,SPELL/USDT,0.001235,0.001246,0.001186,0.001222,19993567.0953,24216.7502138248
1663027200,2022-09-13 00:00:00,SPELL/USDT,0.001319,0.001344,0.001222,0.001239,28306153.9744,36363.005144559
1662940800,2022-09-12 00:00:00,SPELL/USDT,0.001369,0.001478,0.001256,0.001325,70886810.7086,95623.9272013292
1662854400,2022-09-11 00:00:00,SPELL/USDT,0.001385,0.001415,0.001351,0.001367,40201405.809,55819.0544959076
1662768000,2022-09-10 00:00:00,SPELL/USDT,0.001383,0.001418,0.001359,0.001376,29082793.1711,40297.1231291122
1662681600,2022-09-09 00:00:00,SPELL/USDT,0.001339,0.0015,0.001336,0.001383,94380473.6056,132591.0925221138
1662595200,2022-09-08 00:00:00,SPELL/USDT,0.001313,0.001449,0.001295,0.001335,106778035.8343,145649.5601553331
1662508800,2022-09-07 00:00:00,SPELL/USDT,0.001268,0.001335,0.001185,0.001317,57125073.0919,72911.1333239658
1662422400,2022-09-06 00:00:00,SPELL/USDT,0.001334,0.001504,0.001255,0.001269,124659077.5542,175111.0899674742
1662336000,2022-09-05 00:00:00,SPELL/USDT,0.001343,0.001354,0.001306,0.001334,14934229.1769,19764.0401918621
1662249600,2022-09-04 00:00:00,SPELL/USDT,0.001323,0.001419,0.001295,0.001341,22679198.7653,30499.4987097158
1662163200,2022-09-03 00:00:00,SPELL/USDT,0.001355,0.001356,0.00131,0.001321,33896859.2731,44755.8660154019
1662076800,2022-09-02 00:00:00,SPELL/USDT,0.001348,0.001427,0.001336,0.001355,42459816.3022,58329.2321171373
1661990400,2022-09-01 00:00:00,SPELL/USDT,0.001338,0.001504,0.001268,0.001344,44758320.096,61738.5116090667
1661904000,2022-08-31 00:00:00,SPELL/USDT,0.001352,0.001389,0.001331,0.001331,21563964.0451,29259.6249794008
1661817600,2022-08-30 00:00:00,SPELL/USDT,0.001398,0.00141,0.00132,0.001352,36323875.7849,48976.1367568678
1661731200,2022-08-29 00:00:00,SPELL/USDT,0.001357,0.001412,0.001345,0.001395,7377934.4698,10202.2516910601
1661644800,2022-08-28 00:00:00,SPELL/USDT,0.001376,0.001499,0.001348,0.001348,31960250.3801,45765.0095176678
1661558400,2022-08-27 00:00:00,SPELL/USDT,0.001372,0.001416,0.001311,0.001382,13996179.4382,19056.9254103334
1661472000,2022-08-26 00:00:00,SPELL/USDT,0.001528,0.001529,0.001369,0.001372,11560459.3907,17004.6482505012
1661385600,2022-08-25 00:00:00,SPELL/USDT,0.001533,0.001564,0.00151,0.001528,12064929.4679,18500.2854143736
1661299200,2022-08-24 00:00:00,SPELL/USDT,0.001593,0.001609,0.001514,0.001537,37414185.5182,58210.5906197934
1661212800,2022-08-23 00:00:00,SPELL/USDT,0.001484,0.001669,0.001473,0.001589,199450605.0012,310265.6061016225
1661126400,2022-08-22 00:00:00,SPELL/USDT,0.001521,0.001534,0.001447,0.001483,16954265.7551,25157.3804830735
1661040000,2022-08-21 00:00:00,SPELL/USDT,0.001507,0.001562,0.001482,0.001521,24357961.0628,37186.9236215449
1660953600,2022-08-20 00:00:00,SPELL/USDT,0.001443,0.00163,0.001429,0.001509,121883581.1798,187357.9569803494
1660867200,2022-08-19 00:00:00,SPELL/USDT,0.001537,0.001807,0.00134,0.00144,259356882.1196,413944.8023998145
1660780800,2022-08-18 00:00:00,SPELL/USDT,0.001543,0.001744,0.001472,0.001541,92807347.6579,150545.3851951626
1660694400,2022-08-17 00:00:00,SPELL/USDT,0.001591,0.001684,0.001528,0.001543,49245368.4467,78332.3546951058
1660608000,2022-08-16 00:00:00,SPELL/USDT,0.001637,0.001797,0.001586,0.001588,226701787.756,382600.274192099
1660521600,2022-08-15 00:00:00,SPELL/USDT,0.001428,0.001908,0.0014,0.001637,166750782.3616,281746.5051371594
1660435200,2022-08-14 00:00:00,SPELL/USDT,0.001471,0.001491,0.001396,0.001432,27421837.8631,39688.893944185
1660348800,2022-08-13 00:00:00,SPELL/USDT,0.001504,0.001531,0.001464,0.00147,18014365.4848,27011.1554174368
1660262400,2022-08-12 00:00:00,SPELL/USDT,0.001517,0.001564,0.001458,0.001509,36692060.3841,55268.7176684393
1660176000,2022-08-11 00:00:00,SPELL/USDT,0.001513,0.00158,0.001427,0.001518,68039352.4839,102471.6112271074
1660089600,2022-08-10 00:00:00,SPELL/USDT,0.001476,0.001648,0.001371,0.001512,316283820.4744,480346.8293466031
1660003200,2022-08-09 00:00:00,SPELL/USDT,0.001192,0.001694,0.001186,0.001475,497137189.67014308,732857.71238001233364
1659916800,2022-08-08 00:00:00,SPELL/USDT,0.001191,0.001223,0.001166,0.001194,104342431.4941,126789.6866977121
1659830400,2022-08-07 00:00:00,SPELL/USDT,0.00112,0.001238,0.00112,0.001191,39143001.9611,46259.4046662535
1659744000,2022-08-06 00:00:00,SPELL/USDT,0.001125,0.001166,0.001113,0.001121,17087923.9738,19230.1345936639
1659657600,2022-08-05 00:00:00,SPELL/USDT,0.001091,0.001131,0.001091,0.001125,17956650.3909,20103.5720378809
1659571200,2022-08-04 00:00:00,SPELL/USDT,0.001088,0.001175,0.001074,0.001088,16787416.6938,18585.709782288
1659484800,2022-08-03 00:00:00,SPELL/USDT,0.001085,0.001116,0.001077,0.001084,16186396.4526,17884.8926659157
1659398400,2022-08-02 00:00:00,SPELL/USDT,0.001094,0.001119,0.001071,0.001086,17735801.3869,19392.2700902275
1659312000,2022-08-01 00:00:00,SPELL/USDT,0.001091,0.00112,0.001065,0.001097,10488836.4395,11440.7888871493
