https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CEL,Volume BTC
1663545600000.0,2022-09-19 00:00:00,CEL/BTC,7.042e-05,7.145e-05,7.04e-05,7.14e-05,151.57904761904763,0.010822744
1663459200000.0,2022-09-18 00:00:00,CEL/BTC,7.907e-05,8.518e-05,6.847e-05,7.042e-05,22187.171968190858,1.56242065
1663372800000.0,2022-09-17 00:00:00,CEL/BTC,8.245e-05,8.245e-05,7.462e-05,7.907e-05,6812.125268749209,0.538634745
1663286400000.0,2022-09-16 00:00:00,CEL/BTC,9.236e-05,9.613e-05,7.48e-05,8.245e-05,19996.080291085505,1.64867682
1663200000000.0,2022-09-15 00:00:00,CEL/BTC,9.293e-05,0.00014266,8.44e-05,9.236e-05,98443.90245777392,9.092278831
1663113600000.0,2022-09-14 00:00:00,CEL/BTC,7.273e-05,0.00010408,6.989e-05,9.293e-05,32064.244947810177,2.979730283
1663027200000.0,2022-09-13 00:00:00,CEL/BTC,6.389e-05,7.5e-05,6.255e-05,7.273e-05,20429.239048535677,1.485818556
1662940800000.0,2022-09-12 00:00:00,CEL/BTC,7.319e-05,7.518e-05,6.386e-05,6.387e-05,7652.9864881791145,0.488796247
1662854400000.0,2022-09-11 00:00:00,CEL/BTC,6.459e-05,8.33e-05,6.253e-05,7.319e-05,27043.88998497063,1.979342308
1662768000000.0,2022-09-10 00:00:00,CEL/BTC,6.261e-05,6.459e-05,6.233e-05,6.459e-05,4766.639232079269,0.307877228
1662681600000.0,2022-09-09 00:00:00,CEL/BTC,6.606e-05,6.795e-05,6.149e-05,6.261e-05,6462.685816962146,0.404628759
1662595200000.0,2022-09-08 00:00:00,CEL/BTC,7.011e-05,7.07e-05,6.402e-05,6.606e-05,6612.779685134726,0.436840226
1662508800000.0,2022-09-07 00:00:00,CEL/BTC,7.261e-05,7.281e-05,6.752e-05,7.011e-05,6167.63163600057,0.432412654
1662422400000.0,2022-09-06 00:00:00,CEL/BTC,7.599e-05,7.78e-05,7.006e-05,7.261e-05,9650.980347059634,0.700757683
1662336000000.0,2022-09-05 00:00:00,CEL/BTC,7.215e-05,7.899e-05,7.187e-05,7.599e-05,8854.555454665087,0.672857669
1662249600000.0,2022-09-04 00:00:00,CEL/BTC,7.67e-05,7.67e-05,7.164e-05,7.215e-05,6385.541981981982,0.460716854
1662163200000.0,2022-09-03 00:00:00,CEL/BTC,6.968e-05,7.716e-05,6.962e-05,7.67e-05,4286.276362451109,0.328757397
1662076800000.0,2022-09-02 00:00:00,CEL/BTC,6.962e-05,8.327e-05,6.909e-05,6.968e-05,28854.02834385764,2.010548695
1661990400000.0,2022-09-01 00:00:00,CEL/BTC,5.689e-05,7.522e-05,5.639e-05,6.962e-05,27868.756118931342,1.940222801
1661904000000.0,2022-08-31 00:00:00,CEL/BTC,5.689e-05,6.134e-05,5.232e-05,5.689e-05,19796.43976094217,1.126219458
1661817600000.0,2022-08-30 00:00:00,CEL/BTC,6.462e-05,6.494e-05,5.344e-05,5.689e-05,35157.84965723326,2.000130067
1661731200000.0,2022-08-29 00:00:00,CEL/BTC,5.777e-05,6.9e-05,5.777e-05,6.462e-05,8543.829000309503,0.55210223
1661644800000.0,2022-08-28 00:00:00,CEL/BTC,4.427e-05,6.816e-05,4.408e-05,5.777e-05,33118.73247360221,1.913269175
1661558400000.0,2022-08-27 00:00:00,CEL/BTC,4.675e-05,4.793e-05,4.215e-05,4.427e-05,14264.187327761463,0.631475573
1661472000000.0,2022-08-26 00:00:00,CEL/BTC,5.558e-05,5.853e-05,4.247e-05,4.675e-05,23975.302481283423,1.120845391
1661385600000.0,2022-08-25 00:00:00,CEL/BTC,6.365e-05,6.651e-05,5.202e-05,5.558e-05,29670.573533645198,1.649090477
