https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ANT,Volume BTC
1663459200,2022-09-18 00:00:00,ANT/BTC,0.00008683,0.00008683,0.00008676,0.00008679,1.0835,0.000094034354
1663372800,2022-09-17 00:00:00,ANT/BTC,0.00008715,0.00008731,0.0000858,0.00008714,211.0039,0.018295918529
1663286400,2022-09-16 00:00:00,ANT/BTC,0.00008387,0.00008828,0.00008338,0.00008714,366.4892,0.031407360419
1663200000,2022-09-15 00:00:00,ANT/BTC,0.00008693,0.00008693,0.00008294,0.00008421,372.9647,0.031783380921
1663113600,2022-09-14 00:00:00,ANT/BTC,0.00008618,0.00008837,0.00008486,0.0000873,1386.4476,0.120507894552
1663027200,2022-09-13 00:00:00,ANT/BTC,0.000086,0.00008753,0.00008374,0.00008596,814.4113,0.069429734096
1662940800,2022-09-12 00:00:00,ANT/BTC,0.00009031,0.00009569,0.00008512,0.00008643,836.7304,0.074990411129
1662854400,2022-09-11 00:00:00,ANT/BTC,0.00009107,0.00009367,0.00008918,0.00008999,3179.1021,0.289040601742
1662768000,2022-09-10 00:00:00,ANT/BTC,0.00009558,0.00009641,0.00009047,0.00009048,1627.5138,0.151164909345
1662681600,2022-09-09 00:00:00,ANT/BTC,0.00009454,0.00010025,0.00008828,0.00009556,2734.1303,0.256325065222
1662595200,2022-09-08 00:00:00,ANT/BTC,0.00009579,0.00009579,0.00009212,0.00009416,481.2668,0.04535655905
1662508800,2022-09-07 00:00:00,ANT/BTC,0.00010181,0.00010487,0.00009539,0.00009556,1171.3615,0.118037263931
1662422400,2022-09-06 00:00:00,ANT/BTC,0.00009759,0.000102,0.00009208,0.00010164,1046.2144,0.100462493744
1662336000,2022-09-05 00:00:00,ANT/BTC,0.00009377,0.00009809,0.00009067,0.00009803,2428.7719,0.227164196293
1662249600,2022-09-04 00:00:00,ANT/BTC,0.00009269,0.00009367,0.00008975,0.00009318,652.1631,0.059322268461
1662163200,2022-09-03 00:00:00,ANT/BTC,0.00008906,0.0000944,0.00008799,0.00009279,2582.5156,0.237813202563
1662076800,2022-09-02 00:00:00,ANT/BTC,0.00008621,0.00008957,0.00008433,0.00008868,2313.8219,0.199393749339
1661990400,2022-09-01 00:00:00,ANT/BTC,0.00008268,0.0000873,0.00008189,0.00008621,3309.4892,0.285000912742
1661904000,2022-08-31 00:00:00,ANT/BTC,0.00008071,0.00008351,0.00007984,0.00008263,1171.2006,0.095117135753
1661817600,2022-08-30 00:00:00,ANT/BTC,0.00008159,0.00008195,0.00007835,0.00008045,743.2827,0.059035343715
1661731200,2022-08-29 00:00:00,ANT/BTC,0.00007729,0.00008192,0.00007631,0.00008192,523.6398,0.041159955243
1661644800,2022-08-28 00:00:00,ANT/BTC,0.00007921,0.00008018,0.00007733,0.00007752,880.376,0.068907100364
1661558400,2022-08-27 00:00:00,ANT/BTC,0.00007603,0.00007972,0.0000759,0.00007972,1201.8309,0.093495821105
1661472000,2022-08-26 00:00:00,ANT/BTC,0.00008164,0.00008247,0.00007554,0.00007587,984.9431,0.076954066021
1661385600,2022-08-25 00:00:00,ANT/BTC,0.00007857,0.00008247,0.00007835,0.00008146,635.6637,0.051050204459
1661299200,2022-08-24 00:00:00,ANT/BTC,0.00008062,0.00008192,0.00007848,0.00007861,2076.3152,0.165586778614
1661212800,2022-08-23 00:00:00,ANT/BTC,0.0000775,0.00013881,0.0000775,0.00008071,42827.2747,4.226215421634
1661126400,2022-08-22 00:00:00,ANT/BTC,0.00007652,0.00007733,0.00007325,0.00007733,388.6265,0.029016573751
1661040000,2022-08-21 00:00:00,ANT/BTC,0.00007552,0.00007772,0.00007552,0.00007677,185.724,0.014282438445
1660953600,2022-08-20 00:00:00,ANT/BTC,0.00007848,0.00007897,0.00007374,0.0000754,523.5598,0.039935286725
1660867200,2022-08-19 00:00:00,ANT/BTC,0.00007631,0.00007962,0.00007163,0.00007897,4602.7958,0.345162964946
1660780800,2022-08-18 00:00:00,ANT/BTC,0.00008027,0.00008222,0.00007577,0.00007579,888.0131,0.070085536389
1660694400,2022-08-17 00:00:00,ANT/BTC,0.00008387,0.00008485,0.00007973,0.00007981,635.0716,0.052358178051
1660608000,2022-08-16 00:00:00,ANT/BTC,0.0000832,0.00008437,0.00008152,0.00008361,735.7182,0.061024640238
1660521600,2022-08-15 00:00:00,ANT/BTC,0.00008285,0.00008387,0.00008135,0.00008337,891.4856,0.073690582573
