https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GAFI,Volume USDT
1663462800,2022-09-18 01:00:00,GAFI/USDT,9.114,9.182,9.114,9.181,75,686.145
1663459200,2022-09-18 00:00:00,GAFI/USDT,9.168,9.184,9.104,9.168,341.0375,3119.4394
1663455600,2022-09-17 23:00:00,GAFI/USDT,9.29,9.34,9.102,9.153,379.2289,3477.8614067
1663452000,2022-09-17 22:00:00,GAFI/USDT,9.301,9.343,9.207,9.287,347.8181,3222.4535083
1663448400,2022-09-17 21:00:00,GAFI/USDT,9.216,9.343,9.105,9.219,464.0327,4307.5021881
1663444800,2022-09-17 20:00:00,GAFI/USDT,9.238,9.343,9.17,9.209,350.645,3233.1046903
1663441200,2022-09-17 19:00:00,GAFI/USDT,9.343,9.343,9.177,9.216,291.5603,2703.4551247
1663437600,2022-09-17 18:00:00,GAFI/USDT,9.344,9.436,9.193,9.343,342.0378,3195.7596107
1663434000,2022-09-17 17:00:00,GAFI/USDT,9.192,9.433,9.176,9.344,486.5994,4546.6769459
1663430400,2022-09-17 16:00:00,GAFI/USDT,9.092,9.265,9.092,9.192,463.5317,4221.3919654
1663426800,2022-09-17 15:00:00,GAFI/USDT,9.263,9.388,9.03,9.092,409.0153,3747.2125149
1663423200,2022-09-17 14:00:00,GAFI/USDT,9.302,9.302,9.106,9.263,255.2647,2367.5960266
1663419600,2022-09-17 13:00:00,GAFI/USDT,9.326,9.365,9.133,9.302,403.1762,3737.0100881
1663416000,2022-09-17 12:00:00,GAFI/USDT,9.086,9.43,9.055,9.326,1006.8333,9267.7635118
1663412400,2022-09-17 11:00:00,GAFI/USDT,9.088,9.182,9.056,9.12,371.4117,3371.763521
1663408800,2022-09-17 10:00:00,GAFI/USDT,9.274,9.342,9.03,9.088,436.0646,4000.899562
1663405200,2022-09-17 09:00:00,GAFI/USDT,9.343,9.343,9.274,9.274,295.309,2758.774666
1663401600,2022-09-17 08:00:00,GAFI/USDT,9.333,9.363,9.005,9.343,650.8605,6055.3270229
1663398000,2022-09-17 07:00:00,GAFI/USDT,9.338,9.363,9.177,9.333,307.4441,2869.523328
1663394400,2022-09-17 06:00:00,GAFI/USDT,9.088,9.438,9.015,9.339,925.0574,8523.5314096
1663390800,2022-09-17 05:00:00,GAFI/USDT,9.002,9.132,8.95,9.088,353.8277,3193.7853145
1663387200,2022-09-17 04:00:00,GAFI/USDT,9.109,9.109,8.95,9.002,353.134,3180.0690256
1663383600,2022-09-17 03:00:00,GAFI/USDT,9.298,9.298,9.03,9.109,340.8051,3161.883321
