https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SRM,Volume BTC
1663459200,2022-09-18 00:00:00,SRM/BTC,0.00004,0.00004009,0.00003991,0.00003998,320.6025,0.012849830705
1663372800,2022-09-17 00:00:00,SRM/BTC,0.00003934,0.00004009,0.00003917,0.00004004,21022.6384,0.829785676063
1663286400,2022-09-16 00:00:00,SRM/BTC,0.00004019,0.00004034,0.00003885,0.00003926,50670.8448,2.005210353757
1663200000,2022-09-15 00:00:00,SRM/BTC,0.00004113,0.00004113,0.00003916,0.00004023,52561.9837,2.098568355138
1663113600,2022-09-14 00:00:00,SRM/BTC,0.00003994,0.00004125,0.00003977,0.0000411,60869.1625,2.467498936618
1663027200,2022-09-13 00:00:00,SRM/BTC,0.00003883,0.00004003,0.00003803,0.00003996,58648.4085,2.287810244825
1662940800,2022-09-12 00:00:00,SRM/BTC,0.00003935,0.00004106,0.00003829,0.00003891,62317.6763,2.456486125555
1662854400,2022-09-11 00:00:00,SRM/BTC,0.0000401,0.00004044,0.00003918,0.00003941,25348.349,1.008686147169
1662768000,2022-09-10 00:00:00,SRM/BTC,0.0000404,0.00004118,0.00003983,0.00004005,24964.0819,1.010044973444
1662681600,2022-09-09 00:00:00,SRM/BTC,0.00004285,0.00004335,0.00004006,0.00004032,30458.8441,1.256299220329
1662595200,2022-09-08 00:00:00,SRM/BTC,0.00004104,0.00004358,0.00004069,0.00004282,17139.9183,0.724783766592
1662508800,2022-09-07 00:00:00,SRM/BTC,0.00003972,0.00004123,0.00003924,0.00004106,1885.8082,0.074880316397
1662422400,2022-09-06 00:00:00,SRM/BTC,0.00004084,0.00004136,0.00003962,0.00003982,6162.4718,0.251555452008
1662336000,2022-09-05 00:00:00,SRM/BTC,0.0000411,0.00004113,0.00003957,0.00004067,3796.7968,0.153519850528
1662249600,2022-09-04 00:00:00,SRM/BTC,0.0000393,0.0000416,0.00003929,0.00004098,17946.5807,0.726725414006
1662163200,2022-09-03 00:00:00,SRM/BTC,0.00003897,0.00003951,0.00003887,0.00003936,17661.2012,0.692459300413
1662076800,2022-09-02 00:00:00,SRM/BTC,0.00003988,0.0000399,0.00003879,0.00003902,47569.7839,1.875047635465
1661990400,2022-09-01 00:00:00,SRM/BTC,0.00003885,0.00003989,0.00003862,0.0000398,61612.7382,2.407975657604
1661904000,2022-08-31 00:00:00,SRM/BTC,0.0000393,0.00003971,0.00003884,0.00003884,38572.743,1.513855701081
1661817600,2022-08-30 00:00:00,SRM/BTC,0.00003942,0.00003958,0.00003881,0.00003927,30856.0797,1.211356753104
1661731200,2022-08-29 00:00:00,SRM/BTC,0.00003849,0.00003949,0.00003822,0.00003949,20565.8021,0.799921736031
1661644800,2022-08-28 00:00:00,SRM/BTC,0.0000387,0.00003916,0.00003842,0.00003842,23223.7323,0.899398844736
1661558400,2022-08-27 00:00:00,SRM/BTC,0.0000381,0.00003871,0.00003771,0.00003867,26607.8474,1.016602554282
