https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOT,Volume BTC
1663545600000.0,2022-09-19 00:00:00,DOT/BTC,0.00033174,0.0003324,0.00033131,0.00033155,161.3160669582265,0.053484342
1663459200000.0,2022-09-18 00:00:00,DOT/BTC,0.00035086,0.00035116,0.00032206,0.00033174,9954.590272502563,3.302335777
1663372800000.0,2022-09-17 00:00:00,DOT/BTC,0.00034881,0.00035734,0.00034861,0.00035086,8392.666140340878,2.944650842
1663286400000.0,2022-09-16 00:00:00,DOT/BTC,0.00035152,0.00035199,0.00034555,0.00034881,11591.726667813422,4.043310179
1663200000000.0,2022-09-15 00:00:00,DOT/BTC,0.00035624,0.00035708,0.00034759,0.00035152,18382.689821347292,6.461883126
1663113600000.0,2022-09-14 00:00:00,DOT/BTC,0.00035042,0.00035947,0.00034851,0.00035624,9533.420738827755,3.396185804
1663027200000.0,2022-09-13 00:00:00,DOT/BTC,0.00034208,0.00035702,0.00033825,0.00035042,25548.571365789623,8.952730378
1662940800000.0,2022-09-12 00:00:00,DOT/BTC,0.00035256,0.00036144,0.00034194,0.00034208,19215.410594013098,6.573207656
1662854400000.0,2022-09-11 00:00:00,DOT/BTC,0.000359,0.00036473,0.00035,0.00035256,9675.991028477421,3.411367397
1662768000000.0,2022-09-10 00:00:00,DOT/BTC,0.00036327,0.00036739,0.00035632,0.000359,14402.702501392758,5.170570198
1662681600000.0,2022-09-09 00:00:00,DOT/BTC,0.00038206,0.00038678,0.00036085,0.00036327,18770.7809755829,6.818861605
1662595200000.0,2022-09-08 00:00:00,DOT/BTC,0.0003731,0.0003849,0.00036747,0.00038206,8482.995856671727,3.241013397
1662508800000.0,2022-09-07 00:00:00,DOT/BTC,0.00036549,0.00038004,0.00036342,0.0003731,21269.54080675422,7.935665675
1662422400000.0,2022-09-06 00:00:00,DOT/BTC,0.00037209,0.00038448,0.00036285,0.00036549,60845.97534269064,22.238595528
1662336000000.0,2022-09-05 00:00:00,DOT/BTC,0.00036877,0.00038338,0.0003677,0.00037209,51791.075685989956,19.270941352
1662249600000.0,2022-09-04 00:00:00,DOT/BTC,0.0003673,0.00037399,0.00036365,0.00036877,17632.265281883017,6.502250468
1662163200000.0,2022-09-03 00:00:00,DOT/BTC,0.00036581,0.00036855,0.00036035,0.0003673,5353.9178927307385,1.966494042
1662076800000.0,2022-09-02 00:00:00,DOT/BTC,0.00035722,0.00037216,0.00035651,0.00036581,8750.423159563708,3.200992296
1661990400000.0,2022-09-01 00:00:00,DOT/BTC,0.00035052,0.00035776,0.00034752,0.00035722,10250.494143664968,3.661681518
1661904000000.0,2022-08-31 00:00:00,DOT/BTC,0.00035384,0.00035683,0.00034963,0.00035052,10357.782757046674,3.630610012
1661817600000.0,2022-08-30 00:00:00,DOT/BTC,0.00035867,0.0003599,0.00035127,0.00035384,9979.826116323762,3.531261673
1661731200000.0,2022-08-29 00:00:00,DOT/BTC,0.00035065,0.00035926,0.00034726,0.00035867,25613.77990910865,9.18689444
1661644800000.0,2022-08-28 00:00:00,DOT/BTC,0.0003517,0.0003552,0.00034762,0.00035065,21045.210209610723,7.37950296
1661558400000.0,2022-08-27 00:00:00,DOT/BTC,0.0003419,0.00035352,0.00034087,0.0003517,49819.81006539665,17.5216272
1661472000000.0,2022-08-26 00:00:00,DOT/BTC,0.00035179,0.00035179,0.00033907,0.0003419,24968.007765428487,8.536561855
1661385600000.0,2022-08-25 00:00:00,DOT/BTC,0.00035414,0.00035675,0.000347,0.00035179,28484.73891810455,10.020646304
1661299200000.0,2022-08-24 00:00:00,DOT/BTC,0.00035467,0.00035721,0.00034916,0.00035414,9151.320020330942,3.240848472
1661212800000.0,2022-08-23 00:00:00,DOT/BTC,0.0003461,0.00035872,0.00034327,0.00035467,9157.321978176897,3.247827386
1661126400000.0,2022-08-22 00:00:00,DOT/BTC,0.00034613,0.0003468,0.00033493,0.0003461,8275.583004911874,2.864179278
1661040000000.0,2022-08-21 00:00:00,DOT/BTC,0.00034194,0.00034917,0.00034011,0.00034613,15199.346222517552,5.260949708
1660953600000.0,2022-08-20 00:00:00,DOT/BTC,0.00035088,0.00035319,0.00033755,0.00034194,12086.640436918758,4.132905831
1660867200000.0,2022-08-19 00:00:00,DOT/BTC,0.00034907,0.00035552,0.000337,0.00035088,48708.702470930235,17.090909523
1660780800000.0,2022-08-18 00:00:00,DOT/BTC,0.00035832,0.00036457,0.00034512,0.00034907,14536.745483713868,5.074341746
1660694400000.0,2022-08-17 00:00:00,DOT/BTC,0.0003702,0.00037705,0.00035697,0.00035832,22312.189721478007,7.994903821
1660608000000.0,2022-08-16 00:00:00,DOT/BTC,0.0003644,0.00037428,0.00036139,0.0003702,11329.618760129659,4.194224865
1660521600000.0,2022-08-15 00:00:00,DOT/BTC,0.0003682,0.00037527,0.00036135,0.0003644,10009.94417672887,3.647623658
1660435200000.0,2022-08-14 00:00:00,DOT/BTC,0.00038036,0.0003853,0.00036375,0.0003682,55344.94153720804,20.378007474
1660348800000.0,2022-08-13 00:00:00,DOT/BTC,0.00038854,0.00038956,0.00037958,0.00038036,11774.68303186455,4.478618438
1660262400000.0,2022-08-12 00:00:00,DOT/BTC,0.00038449,0.00039434,0.00038035,0.00038854,11649.845776496628,4.526431078
1660176000000.0,2022-08-11 00:00:00,DOT/BTC,0.00039756,0.00039812,0.00037827,0.00038449,16021.761772737911,6.160207184
1660089600000.0,2022-08-10 00:00:00,DOT/BTC,0.0003846,0.00040463,0.00037526,0.00039756,19887.346581648053,7.906413507
1660003200000.0,2022-08-09 00:00:00,DOT/BTC,0.00039,0.00039708,0.000376,0.0003846,15220.884443577743,5.853952157
1659916800000.0,2022-08-08 00:00:00,DOT/BTC,0.00037313,0.00039162,0.00037309,0.00039,13439.489174358974,5.241400778
1659830400000.0,2022-08-07 00:00:00,DOT/BTC,0.00037129,0.00038609,0.00036539,0.00037313,26761.650698148096,9.985574725
1659744000000.0,2022-08-06 00:00:00,DOT/BTC,0.00037845,0.00038213,0.00036884,0.00037129,13297.734447466939,4.937315823
1659657600000.0,2022-08-05 00:00:00,DOT/BTC,0.00035738,0.00037959,0.00035738,0.00037845,39706.55760602457,15.026946726
1659571200000.0,2022-08-04 00:00:00,DOT/BTC,0.00035029,0.00035776,0.00034897,0.00035738,29611.61169903184,10.582597789
1659484800000.0,2022-08-03 00:00:00,DOT/BTC,0.00034504,0.00036202,0.00033786,0.00035029,86880.7662822233,30.433463621
1659398400000.0,2022-08-02 00:00:00,DOT/BTC,0.00035159,0.00035359,0.00033655,0.00034504,15962.83758694644,5.507817481
1659312000000.0,2022-08-01 00:00:00,DOT/BTC,0.00037015,0.00038302,0.00034899,0.00035159,25227.32192895134,8.869674117
1659225600000.0,2022-07-31 00:00:00,DOT/BTC,0.0003474,0.00038637,0.00034271,0.00037015,13829.40783736323,5.118955311
1659139200000.0,2022-07-30 00:00:00,DOT/BTC,0.00034469,0.00036959,0.00034404,0.0003474,9278.28158031088,3.223275021
1659052800000.0,2022-07-29 00:00:00,DOT/BTC,0.00032961,0.00034924,0.00032756,0.00034469,9246.252244045374,3.187090686
1658966400000.0,2022-07-28 00:00:00,DOT/BTC,0.00033377,0.00034404,0.00032836,0.00032961,10868.220509086497,3.582274162
1658880000000.0,2022-07-27 00:00:00,DOT/BTC,0.00031866,0.00033538,0.00031331,0.00033377,5643.935907960572,1.883776488
1658793600000.0,2022-07-26 00:00:00,DOT/BTC,0.00031706,0.00031968,0.00031357,0.00031866,4971.111774304902,1.584094478
1658707200000.0,2022-07-25 00:00:00,DOT/BTC,0.00032766,0.00032834,0.00031636,0.00031706,24488.749504825588,7.764402918
1658620800000.0,2022-07-24 00:00:00,DOT/BTC,0.00032649,0.00033564,0.00032469,0.00032766,4714.551290972349,1.544769876
1658534400000.0,2022-07-23 00:00:00,DOT/BTC,0.00032146,0.00032745,0.0003197,0.00032649,6086.838656620416,1.987291953
1658448000000.0,2022-07-22 00:00:00,DOT/BTC,0.00032506,0.00033436,0.00032083,0.00032146,7188.795682199963,2.31091026
