https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UPO,Volume USDT
1663459200,2022-09-18 00:00:00,UPO/USDT,0.01127,0.01129,0.01092,0.01101,408181.432,4498.252440992
1663372800,2022-09-17 00:00:00,UPO/USDT,0.01081,0.0128,0.01068,0.01125,18174463.2226,203336.654967408
1663286400,2022-09-16 00:00:00,UPO/USDT,0.01026,0.0111,0.0102,0.01081,14974001.7521,158504.634138581
1663200000,2022-09-15 00:00:00,UPO/USDT,0.01039,0.01164,0.0101,0.01023,16086253.472,173458.297837017
1663113600,2022-09-14 00:00:00,UPO/USDT,0.01161,0.01161,0.01,0.01033,16359322.4884,172432.167887294
1663027200,2022-09-13 00:00:00,UPO/USDT,0.0142,0.0142,0.01124,0.01156,16888972.8412,206305.378973092
1662940800,2022-09-12 00:00:00,UPO/USDT,0.01166,0.0163,0.0116,0.01424,24161153.6498,319305.059360191
1662854400,2022-09-11 00:00:00,UPO/USDT,0.0121,0.01257,0.01145,0.01166,13849819.1898,166030.43500386
1662768000,2022-09-10 00:00:00,UPO/USDT,0.01302,0.0162,0.01171,0.01212,24549953.2476,335016.990863878
1662681600,2022-09-09 00:00:00,UPO/USDT,0.01226,0.01326,0.01211,0.01304,13963655.496,176874.999310866
1662595200,2022-09-08 00:00:00,UPO/USDT,0.01215,0.0125,0.01162,0.01232,11840400.2458,142815.994735585
1662508800,2022-09-07 00:00:00,UPO/USDT,0.01312,0.01364,0.01008,0.01213,16223843.4034,200657.452076925
1662422400,2022-09-06 00:00:00,UPO/USDT,0.01311,0.0145,0.013,0.01305,11482836.0313,154844.711547377
1662336000,2022-09-05 00:00:00,UPO/USDT,0.01408,0.0142,0.01261,0.01318,12201744.637,161825.17660638
1662249600,2022-09-04 00:00:00,UPO/USDT,0.0135,0.01465,0.0135,0.01415,12880695.0224,181493.18519843
1662163200,2022-09-03 00:00:00,UPO/USDT,0.01289,0.0144,0.01276,0.0135,10971695.9912,146118.167323302
1662076800,2022-09-02 00:00:00,UPO/USDT,0.0134,0.01357,0.0123,0.01291,13720566.5324,180217.808006295
1661990400,2022-09-01 00:00:00,UPO/USDT,0.01349,0.01414,0.0131,0.01337,11122090.3185,151294.034822929
1661904000,2022-08-31 00:00:00,UPO/USDT,0.01293,0.01396,0.01262,0.01349,11264427.8645,148852.730794281
1661817600,2022-08-30 00:00:00,UPO/USDT,0.01416,0.0151,0.0129,0.01293,11458198.0209,156868.077652175
1661731200,2022-08-29 00:00:00,UPO/USDT,0.0127,0.01518,0.01209,0.01411,12010174.9244,160590.164101841
1661644800,2022-08-28 00:00:00,UPO/USDT,0.01399,0.01682,0.01271,0.01271,9636214.6696,142822.237835448
1661558400,2022-08-27 00:00:00,UPO/USDT,0.01424,0.01496,0.01271,0.01401,9922331.0348,131201.980792987
1661472000,2022-08-26 00:00:00,UPO/USDT,0.01573,0.01576,0.01279,0.0142,11084280.3679,159717.233526738
1661385600,2022-08-25 00:00:00,UPO/USDT,0.01642,0.01642,0.01476,0.01572,10886745.6576,169453.96198507
1661299200,2022-08-24 00:00:00,UPO/USDT,0.01672,0.0178,0.01607,0.01641,9668346.0247,163736.958339194
1661212800,2022-08-23 00:00:00,UPO/USDT,0.01715,0.01727,0.01656,0.01673,9767095.023,165342.890944236
1661126400,2022-08-22 00:00:00,UPO/USDT,0.01747,0.018,0.01653,0.01713,9398350.9769,161618.844329553
1661040000,2022-08-21 00:00:00,UPO/USDT,0.01764,0.01812,0.01654,0.01748,9263342.6425,161046.530997991
1660953600,2022-08-20 00:00:00,UPO/USDT,0.01707,0.01817,0.01641,0.01757,10594887.7839,179462.273990065
1660867200,2022-08-19 00:00:00,UPO/USDT,0.0201,0.02012,0.01679,0.01704,13489353.886,241193.369157311
1660780800,2022-08-18 00:00:00,UPO/USDT,0.02054,0.0243,0.01995,0.02009,14453205.8527,309136.915693489
1660694400,2022-08-17 00:00:00,UPO/USDT,0.01936,0.02499,0.0184,0.02052,19259012.9418,405790.912930636
1660608000,2022-08-16 00:00:00,UPO/USDT,0.01973,0.02059,0.01898,0.01936,7551105.996,150412.967627863
1660521600,2022-08-15 00:00:00,UPO/USDT,0.02131,0.022,0.0189,0.01955,8675870.1211,175687.934911795
1660435200,2022-08-14 00:00:00,UPO/USDT,0.02489,0.02549,0.01982,0.02149,13418435.8284,285126.550431672
1660348800,2022-08-13 00:00:00,UPO/USDT,0.01935,0.027,0.019,0.02508,14490912.7504,317451.842828701
1660262400,2022-08-12 00:00:00,UPO/USDT,0.01943,0.0212,0.01885,0.01934,8819261.8491,174513.444402369
1660176000,2022-08-11 00:00:00,UPO/USDT,0.02117,0.02221,0.0188,0.01942,9958954.92929191,200295.207793269099
1660089600,2022-08-10 00:00:00,UPO/USDT,0.0211,0.02305,0.02053,0.02114,8660440.6461,184527.875007864
1660003200,2022-08-09 00:00:00,UPO/USDT,0.02276,0.02386,0.02053,0.02113,8890750.6621,196447.935704277
1659916800,2022-08-08 00:00:00,UPO/USDT,0.02288,0.02414,0.02238,0.02275,7290631.8833553,168944.989015711232
1659830400,2022-08-07 00:00:00,UPO/USDT,0.02204,0.02371,0.02189,0.02304,8352726.9634,188581.148099647
1659744000,2022-08-06 00:00:00,UPO/USDT,0.02314,0.02565,0.0215,0.02201,7723774.207,177810.082925461
1659657600,2022-08-05 00:00:00,UPO/USDT,0.02427,0.028,0.0218,0.02314,9271611.5665,218302.457160712
1659571200,2022-08-04 00:00:00,UPO/USDT,0.02302,0.025,0.02241,0.02426,8424396.4115,196015.220864768
1659484800,2022-08-03 00:00:00,UPO/USDT,0.02198,0.0263,0.02171,0.02305,9979005.5959,237068.192469118
1659398400,2022-08-02 00:00:00,UPO/USDT,0.02208,0.02337,0.02007,0.02201,9263069.9754,203433.451595667
1659312000,2022-08-01 00:00:00,UPO/USDT,0.02232,0.0291,0.02057,0.02211,11982091.7048,279172.193034312
1659225600,2022-07-31 00:00:00,UPO/USDT,0.02265,0.02353,0.022,0.02236,6899232.1835,156559.974568026
1659139200,2022-07-30 00:00:00,UPO/USDT,0.02337,0.02452,0.0215,0.02247,7309091.7298,167308.372413985
1659052800,2022-07-29 00:00:00,UPO/USDT,0.02443,0.02531,0.02262,0.02328,6510659.9277,155109.859985677
1658966400,2022-07-28 00:00:00,UPO/USDT,0.0248,0.02547,0.02331,0.02445,6788110.0999,166086.380153937
1658880000,2022-07-27 00:00:00,UPO/USDT,0.0247,0.02951,0.02374,0.02477,9455318.1918,241969.549893033
1658793600,2022-07-26 00:00:00,UPO/USDT,0.02526,0.02535,0.02087,0.02472,7553611.9561,181920.846148452
1658707200,2022-07-25 00:00:00,UPO/USDT,0.02824,0.02833,0.02448,0.02527,6823952.2722,180007.871039259
1658620800,2022-07-24 00:00:00,UPO/USDT,0.02807,0.02938,0.0275,0.02812,6598359.19,188494.554409646
