https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume STG,Volume USDT
1663459200,2022-09-18 00:00:00,STG/USDT,0.5807,0.5924,0.58,0.5876,21657.2689,12692.22728534
1663372800,2022-09-17 00:00:00,STG/USDT,0.5728,0.6172,0.5634,0.5805,218421.5542,125493.29842043
1663286400,2022-09-16 00:00:00,STG/USDT,0.5492,0.5915,0.5437,0.5723,482682.0834,271821.31248287
1663200000,2022-09-15 00:00:00,STG/USDT,0.5969,0.5983,0.5436,0.5488,566290.0185,321711.76483393
1663113600,2022-09-14 00:00:00,STG/USDT,0.6496,0.6646,0.58,0.5974,670539.7718,407226.77150443
1663027200,2022-09-13 00:00:00,STG/USDT,0.6405,0.6713,0.6092,0.6496,861861.3549,553315.30830084
1662940800,2022-09-12 00:00:00,STG/USDT,0.7277,0.7362,0.6312,0.6386,687517.8489,467692.73381415
1662854400,2022-09-11 00:00:00,STG/USDT,0.7666,0.7977,0.7132,0.728,421290.2373,315521.68101359
1662768000,2022-09-10 00:00:00,STG/USDT,0.7915,0.8189,0.7302,0.7652,624632.0266,477024.39945369
1662681600,2022-09-09 00:00:00,STG/USDT,0.8134,0.8826,0.7709,0.7913,734142.3191,603600.88266567
1662595200,2022-09-08 00:00:00,STG/USDT,0.7764,0.8444,0.7525,0.8147,894894.044,715750.528756
1662508800,2022-09-07 00:00:00,STG/USDT,0.625,0.7844,0.625,0.7777,1500001.5509,1068585.64102057
1662422400,2022-09-06 00:00:00,STG/USDT,0.6054,0.6873,0.5924,0.6203,667697.275,421760.94336242
1662336000,2022-09-05 00:00:00,STG/USDT,0.6328,0.6341,0.5775,0.6055,269469.9518,161263.29877862
1662249600,2022-09-04 00:00:00,STG/USDT,0.6221,0.6626,0.5985,0.63,456164.0413,282783.94422343
1662163200,2022-09-03 00:00:00,STG/USDT,0.6549,0.663,0.6096,0.622,500704.2719,321258.63338604
