https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QUICK,Volume BTC
1663459200,2022-09-18 00:00:00,QUICK/BTC,0.003029,0.003029,0.002988,0.002988,0.0029,0.000008739
1663372800,2022-09-17 00:00:00,QUICK/BTC,0.002889,0.003037,0.002781,0.002972,5.5676,0.0164245266
1663286400,2022-09-16 00:00:00,QUICK/BTC,0.002883,0.00302,0.002796,0.002884,7.0071,0.0201919784
1663200000,2022-09-15 00:00:00,QUICK/BTC,0.002907,0.003028,0.00285,0.002853,18.2313,0.0541002011
1663113600,2022-09-14 00:00:00,QUICK/BTC,0.002953,0.002967,0.00287,0.002915,11.4756,0.0335001899
1663027200,2022-09-13 00:00:00,QUICK/BTC,0.002845,0.002967,0.002831,0.002944,2.5256,0.0072604723
1662940800,2022-09-12 00:00:00,QUICK/BTC,0.003007,0.003007,0.002841,0.002893,3.3242,0.0097404834
1662854400,2022-09-11 00:00:00,QUICK/BTC,0.003018,0.003193,0.00298,0.00298,3.5705,0.0110248594
1662768000,2022-09-10 00:00:00,QUICK/BTC,0.003024,0.003124,0.002981,0.00302,0.6045,0.001836199
1662681600,2022-09-09 00:00:00,QUICK/BTC,0.003181,0.003193,0.002982,0.002993,14.5406,0.0456644251
1662595200,2022-09-08 00:00:00,QUICK/BTC,0.003152,0.003319,0.003022,0.003197,60.9667,0.1924381991
1662508800,2022-09-07 00:00:00,QUICK/BTC,0.003119,0.00326,0.003047,0.003149,20.5938,0.0654719465
1662422400,2022-09-06 00:00:00,QUICK/BTC,0.003197,0.003323,0.003145,0.00319,5.0129,0.0160432771
1662336000,2022-09-05 00:00:00,QUICK/BTC,0.003304,0.003421,0.003176,0.003197,12.4247,0.0415094775
1662249600,2022-09-04 00:00:00,QUICK/BTC,0.003277,0.003367,0.003246,0.003282,1.2687,0.0041967083
1662163200,2022-09-03 00:00:00,QUICK/BTC,0.003261,0.003365,0.003242,0.003244,5.3101,0.0174025487
1662076800,2022-09-02 00:00:00,QUICK/BTC,0.003245,0.003261,0.003082,0.003261,33.1781,0.1052903252
1661990400,2022-09-01 00:00:00,QUICK/BTC,0.003176,0.00326,0.003019,0.003238,8.8711,0.027591423
1661904000,2022-08-31 00:00:00,QUICK/BTC,0.00319,0.003303,0.003165,0.003208,3.1156,0.0099501562
1661817600,2022-08-30 00:00:00,QUICK/BTC,0.003242,0.003254,0.003145,0.003145,3.7995,0.0119807715
1661731200,2022-08-29 00:00:00,QUICK/BTC,0.00318,0.003411,0.003111,0.003261,12.8796,0.0422460527
1661644800,2022-08-28 00:00:00,QUICK/BTC,0.003197,0.003281,0.003083,0.003197,61.0793,0.196252606
1661558400,2022-08-27 00:00:00,QUICK/BTC,0.003181,0.00328,0.002802,0.003155,20.8711,0.0657723979
1661472000,2022-08-26 00:00:00,QUICK/BTC,0.003332,0.003346,0.003197,0.003197,25.3881,0.0827123085
1661385600,2022-08-25 00:00:00,QUICK/BTC,0.003369,0.003496,0.003114,0.003315,17.138,0.0556484314
1661299200,2022-08-24 00:00:00,QUICK/BTC,0.003333,0.003469,0.003302,0.003389,2.1358,0.0072228888
1661212800,2022-08-23 00:00:00,QUICK/BTC,0.003303,0.003492,0.003303,0.003366,7.6188,0.0257644692
1661126400,2022-08-22 00:00:00,QUICK/BTC,0.003304,0.003396,0.003095,0.003298,13.8913,0.0446020315
1661040000,2022-08-21 00:00:00,QUICK/BTC,0.003262,0.003405,0.003221,0.003405,14.9163,0.0491308166
1660953600,2022-08-20 00:00:00,QUICK/BTC,0.003291,0.003497,0.00318,0.003256,13.7179,0.0459235028
1660867200,2022-08-19 00:00:00,QUICK/BTC,0.003439,0.003439,0.001827,0.003307,20.565,0.0649677746
1660780800,2022-08-18 00:00:00,QUICK/BTC,0.003473,0.003647,0.003298,0.003298,11.5142,0.0402567423
1660694400,2022-08-17 00:00:00,QUICK/BTC,0.003514,0.003586,0.003411,0.003492,24.331,0.085952601
1660608000,2022-08-16 00:00:00,QUICK/BTC,0.003527,0.00356,0.003394,0.003509,16.5372,0.0577946657
1660521600,2022-08-15 00:00:00,QUICK/BTC,0.003574,0.003683,0.003509,0.003542,9.8454,0.0350616098
1660435200,2022-08-14 00:00:00,QUICK/BTC,0.003863,0.003863,0.003497,0.003584,13.5925,0.0497066905
1660348800,2022-08-13 00:00:00,QUICK/BTC,0.003631,0.004073,0.003538,0.003932,19.4584,0.0735405447
1660262400,2022-08-12 00:00:00,QUICK/BTC,0.003599,0.00378,0.003521,0.003618,28.3482,0.1032849407
1660176000,2022-08-11 00:00:00,QUICK/BTC,0.003789,0.003789,0.003525,0.003584,2.7319,0.009837563
1660089600,2022-08-10 00:00:00,QUICK/BTC,0.003723,0.003857,0.003597,0.003696,3.9211,0.0146291692
1660003200,2022-08-09 00:00:00,QUICK/BTC,0.003771,0.003789,0.003688,0.003778,1.3198,0.0049405007
