https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QTUM,Volume USDT,tradecount
1663545600000,2022-09-19 00:00:00,QTUM/USDT,2.85700000,2.86200000,2.84600000,2.85000000,6365.60000000,18171.14610000,86
1663459200000,2022-09-18 00:00:00,QTUM/USDT,3.08200000,3.08300000,2.78700000,2.85400000,453498.50000000,1335813.73780000,6866
1663372800000,2022-09-17 00:00:00,QTUM/USDT,3.00700000,3.08600000,3.00200000,3.08200000,245032.90000000,745851.67230000,3262
1663286400000,2022-09-16 00:00:00,QTUM/USDT,2.98900000,3.01100000,2.92100000,3.00700000,495224.70000000,1468228.53500000,6334
1663200000000,2022-09-15 00:00:00,QTUM/USDT,3.08600000,3.11200000,2.94600000,2.99300000,642373.70000000,1939476.49630000,9793
1663113600000,2022-09-14 00:00:00,QTUM/USDT,3.02300000,3.10600000,3.00200000,3.08700000,491102.40000000,1502129.45430000,7418
1663027200000,2022-09-13 00:00:00,QTUM/USDT,3.29400000,3.30800000,3.00500000,3.02000000,980911.00000000,3115521.84120000,15227
1662940800000,2022-09-12 00:00:00,QTUM/USDT,3.30200000,3.40600000,3.23400000,3.29400000,689526.60000000,2295669.51550000,12011
1662854400000,2022-09-11 00:00:00,QTUM/USDT,3.35000000,3.38600000,3.23300000,3.30400000,417945.60000000,1382382.97520000,6988
1662768000000,2022-09-10 00:00:00,QTUM/USDT,3.34700000,3.44700000,3.31300000,3.34700000,696524.10000000,2348384.06830000,11365
1662681600000,2022-09-09 00:00:00,QTUM/USDT,3.17200000,3.38100000,3.15600000,3.34400000,617846.80000000,2039161.54670000,10704
1662595200000,2022-09-08 00:00:00,QTUM/USDT,3.09000000,3.19900000,3.03500000,3.16800000,938987.20000000,2927439.60380000,12159
1662508800000,2022-09-07 00:00:00,QTUM/USDT,2.98800000,3.14200000,2.91800000,3.08900000,480590.20000000,1451978.73010000,7840
1662422400000,2022-09-06 00:00:00,QTUM/USDT,3.35200000,3.38500000,2.97500000,2.99200000,856762.80000000,2725060.65880000,15018
1662336000000,2022-09-05 00:00:00,QTUM/USDT,3.23400000,3.37200000,3.09300000,3.35200000,608251.20000000,1946012.15200000,9735
1662249600000,2022-09-04 00:00:00,QTUM/USDT,3.14600000,3.24000000,3.11000000,3.23400000,280993.10000000,894821.45560000,3806
1662163200000,2022-09-03 00:00:00,QTUM/USDT,3.13400000,3.18000000,3.10300000,3.14700000,143529.70000000,451955.78610000,2460
1662076800000,2022-09-02 00:00:00,QTUM/USDT,3.19400000,3.24500000,3.08800000,3.13500000,307485.70000000,977403.73430000,5413
1661990400000,2022-09-01 00:00:00,QTUM/USDT,3.11600000,3.19800000,3.03400000,3.19500000,360333.70000000,1118555.49060000,7552
1661904000000,2022-08-31 00:00:00,QTUM/USDT,3.11600000,3.23400000,3.10500000,3.11700000,356016.90000000,1132422.82770000,7052
1661817600000,2022-08-30 00:00:00,QTUM/USDT,3.20100000,3.25300000,3.00900000,3.10600000,409415.70000000,1285919.37950000,6743
1661731200000,2022-08-29 00:00:00,QTUM/USDT,2.98400000,3.21300000,2.94100000,3.20200000,380595.30000000,1170952.06670000,6753
1661644800000,2022-08-28 00:00:00,QTUM/USDT,3.11200000,3.17100000,2.97000000,2.98400000,299843.50000000,927487.45850000,6316
1661558400000,2022-08-27 00:00:00,QTUM/USDT,3.11900000,3.13000000,3.03200000,3.11000000,406460.80000000,1257563.73320000,7583
1661472000000,2022-08-26 00:00:00,QTUM/USDT,3.47100000,3.48300000,3.07600000,3.12100000,662657.70000000,2185828.48990000,12721
1661385600000,2022-08-25 00:00:00,QTUM/USDT,3.45700000,3.54600000,3.42500000,3.47100000,431350.50000000,1503972.55640000,7085
1661299200000,2022-08-24 00:00:00,QTUM/USDT,3.50400000,3.58100000,3.40000000,3.45800000,790116.60000000,2772377.71620000,15083
1661212800000,2022-08-23 00:00:00,QTUM/USDT,3.47100000,3.53500000,3.33400000,3.49900000,763920.00000000,2650332.81040000,14258
1661126400000,2022-08-22 00:00:00,QTUM/USDT,3.47300000,3.48500000,3.24500000,3.47000000,525581.70000000,1762666.32730000,9183
1661040000000,2022-08-21 00:00:00,QTUM/USDT,3.34900000,3.51500000,3.33600000,3.47300000,352345.00000000,1207564.86200000,7255
1660953600000,2022-08-20 00:00:00,QTUM/USDT,3.34900000,3.43600000,3.24200000,3.34900000,439111.90000000,1468970.07020000,9122
1660867200000,2022-08-19 00:00:00,QTUM/USDT,3.76500000,3.77300000,3.29400000,3.34700000,928726.40000000,3256167.48240000,20098
1660780800000,2022-08-18 00:00:00,QTUM/USDT,4.02300000,4.08300000,3.67000000,3.76800000,460296.20000000,1814267.15680000,12060
1660694400000,2022-08-17 00:00:00,QTUM/USDT,4.01500000,4.25200000,3.91000000,4.02100000,568576.90000000,2324876.49560000,14208
1660608000000,2022-08-16 00:00:00,QTUM/USDT,4.09700000,4.16300000,3.96300000,4.01300000,366627.30000000,1484372.36960000,8156
1660521600000,2022-08-15 00:00:00,QTUM/USDT,4.16700000,4.27200000,4.02700000,4.09700000,319583.00000000,1320932.63970000,7941
1660435200000,2022-08-14 00:00:00,QTUM/USDT,4.28600000,4.37300000,4.13900000,4.16600000,372766.50000000,1592373.66970000,9501
1660348800000,2022-08-13 00:00:00,QTUM/USDT,4.29100000,4.35600000,4.24100000,4.28700000,279625.60000000,1202686.29280000,6872
1660262400000,2022-08-12 00:00:00,QTUM/USDT,4.20700000,4.29600000,4.12000000,4.28900000,354464.30000000,1493759.34440000,8005
1660176000000,2022-08-11 00:00:00,QTUM/USDT,4.19200000,4.36000000,4.18900000,4.20700000,654290.40000000,2791193.96230000,16036
1660089600000,2022-08-10 00:00:00,QTUM/USDT,4.01200000,4.21200000,3.90500000,4.19400000,647245.50000000,2656001.35640000,15009
1660003200000,2022-08-09 00:00:00,QTUM/USDT,4.17000000,4.22500000,3.89900000,4.01900000,389289.40000000,1582495.22550000,9188
1659916800000,2022-08-08 00:00:00,QTUM/USDT,4.08600000,4.34000000,4.08000000,4.15800000,659414.80000000,2788051.47840000,15801
1659830400000,2022-08-07 00:00:00,QTUM/USDT,4.12400000,4.19000000,4.03600000,4.08400000,298811.70000000,1232662.45030000,6864
1659744000000,2022-08-06 00:00:00,QTUM/USDT,4.10800000,4.25100000,4.07500000,4.12500000,707251.40000000,2945416.41870000,12127
1659657600000,2022-08-05 00:00:00,QTUM/USDT,3.95400000,4.19500000,3.94800000,4.10600000,781221.90000000,3160803.49930000,16608
1659571200000,2022-08-04 00:00:00,QTUM/USDT,3.92700000,4.03600000,3.84900000,3.95400000,479347.70000000,1887428.94140000,11243
1659484800000,2022-08-03 00:00:00,QTUM/USDT,3.96200000,4.14300000,3.83500000,3.92600000,685691.30000000,2761614.32660000,14414
1659398400000,2022-08-02 00:00:00,QTUM/USDT,4.13900000,4.18900000,3.83000000,3.96100000,1284066.40000000,5127114.62310000,29053
1659312000000,2022-08-01 00:00:00,QTUM/USDT,4.05900000,4.19800000,3.96000000,4.14000000,1599710.30000000,6528070.33380000,35900
