https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SAND,Volume EUR
1663545600,2022-09-19 00:00:00,SAND/EUR,0.82500,0.82500,0.82500,0.82500,0.00000000,0.0
1663542000,2022-09-18 23:00:00,SAND/EUR,0.82500,0.82500,0.82500,0.82500,12.50000000,10.3125
1663538400,2022-09-18 22:00:00,SAND/EUR,0.82809,0.82809,0.82809,0.82809,42.18157445,34.930139986300496
1663534800,2022-09-18 21:00:00,SAND/EUR,0.85000,0.85000,0.81722,0.83864,18896.39279763,15847.270855804425
1663531200,2022-09-18 20:00:00,SAND/EUR,0.86500,0.86688,0.86500,0.86569,2236.76316030,1936.343500240107
1663527600,2022-09-18 19:00:00,SAND/EUR,0.87150,0.87160,0.87129,0.87129,453.69308726,395.2982499987654
1663524000,2022-09-18 18:00:00,SAND/EUR,0.86942,0.87741,0.86942,0.87254,1664.73472289,1452.5476351104405
1663520400,2022-09-18 17:00:00,SAND/EUR,0.88133,0.88133,0.88000,0.88000,211.32384010,185.96497928800002
1663516800,2022-09-18 16:00:00,SAND/EUR,0.89000,0.89000,0.88378,0.88851,1296.17666451,1151.6659281837801
1663513200,2022-09-18 15:00:00,SAND/EUR,0.89746,0.89746,0.89480,0.89480,2689.69231415,2406.7366827014202
1663509600,2022-09-18 14:00:00,SAND/EUR,0.90034,0.90049,0.89754,0.89755,3179.90787347,2854.1263118329985
1663506000,2022-09-18 13:00:00,SAND/EUR,0.90185,0.90185,0.90185,0.90185,0.00000000,0.0
1663502400,2022-09-18 12:00:00,SAND/EUR,0.90185,0.90185,0.90185,0.90185,0.00000000,0.0
1663498800,2022-09-18 11:00:00,SAND/EUR,0.90500,0.90500,0.90185,0.90185,2792.00000000,2517.9652
1663495200,2022-09-18 10:00:00,SAND/EUR,0.89441,0.90000,0.89441,0.90000,9074.68520754,8167.2166867860005
1663491600,2022-09-18 09:00:00,SAND/EUR,0.91405,0.91406,0.90224,0.90224,1406.65129015,1269.137060024936
1663488000,2022-09-18 08:00:00,SAND/EUR,0.91224,0.91224,0.91224,0.91224,21.55814213,19.6661995766712
1663484400,2022-09-18 07:00:00,SAND/EUR,0.91346,0.91346,0.91346,0.91346,1000.00000000,913.46
1663480800,2022-09-18 06:00:00,SAND/EUR,0.90906,0.91083,0.90903,0.91083,2720.51186951,2477.9238261057935
