https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SHILL,Volume USDT
1663459200,2022-09-18 00:00:00,SHILL/USDT,0.02934,0.0294,0.02922,0.02932,66076.1048,1938.918279922
1663372800,2022-09-17 00:00:00,SHILL/USDT,0.02657,0.03028,0.02602,0.02939,9049430.9221,252095.972526064
1663286400,2022-09-16 00:00:00,SHILL/USDT,0.02648,0.02788,0.0261,0.02663,6248516.4354,167496.909494198
1663200000,2022-09-15 00:00:00,SHILL/USDT,0.02639,0.03,0.02528,0.02649,8928584.007,244149.822601529
1663113600,2022-09-14 00:00:00,SHILL/USDT,0.02519,0.0275,0.02511,0.02631,8757052.1783,227036.608912826
1663027200,2022-09-13 00:00:00,SHILL/USDT,0.02526,0.0258,0.0248,0.02524,7792115.8073,196050.54307578
1662940800,2022-09-12 00:00:00,SHILL/USDT,0.02424,0.02793,0.02323,0.02531,10007978.9798,247320.236744703
1662854400,2022-09-11 00:00:00,SHILL/USDT,0.0232,0.0262,0.023,0.0243,7171001.8556,171710.695785319
1662768000,2022-09-10 00:00:00,SHILL/USDT,0.02335,0.0243,0.02288,0.02324,5868007.4585,137684.386103809
1662681600,2022-09-09 00:00:00,SHILL/USDT,0.02228,0.02788,0.022,0.02338,11364430.2909,271672.66383775
1662595200,2022-09-08 00:00:00,SHILL/USDT,0.02342,0.02351,0.02165,0.02228,7313103.3219,165068.837198839
1662508800,2022-09-07 00:00:00,SHILL/USDT,0.02241,0.02353,0.02224,0.02346,7023407.4928,160420.090492741
1662422400,2022-09-06 00:00:00,SHILL/USDT,0.02325,0.0239,0.02151,0.02245,7651190.3332,176153.191232626
1662336000,2022-09-05 00:00:00,SHILL/USDT,0.02347,0.02387,0.02284,0.02321,6497508.464,151379.548602202
1662249600,2022-09-04 00:00:00,SHILL/USDT,0.02377,0.02439,0.0234,0.02351,6278863.3386,148401.507975276
1662163200,2022-09-03 00:00:00,SHILL/USDT,0.0239,0.02439,0.02316,0.02385,6800178.8451,162075.302209669
1662076800,2022-09-02 00:00:00,SHILL/USDT,0.02461,0.02511,0.02331,0.02383,6973946.0179,169781.152034275
1661990400,2022-09-01 00:00:00,SHILL/USDT,0.02458,0.02599,0.0236,0.02469,8874849.7104,216530.737326223
1661904000,2022-08-31 00:00:00,SHILL/USDT,0.02309,0.02628,0.02297,0.02462,7779253.88382261,190057.3317560389613
1661817600,2022-08-30 00:00:00,SHILL/USDT,0.02425,0.0243,0.0224,0.023,8238492.78491653,192004.9130130949496
1661731200,2022-08-29 00:00:00,SHILL/USDT,0.02384,0.0243,0.02299,0.02425,6606159.58535116,156145.0753898472317
1661644800,2022-08-28 00:00:00,SHILL/USDT,0.02265,0.0246,0.02242,0.0239,9054979.77161272,213173.4682433372377
1661558400,2022-08-27 00:00:00,SHILL/USDT,0.02373,0.02403,0.02251,0.02261,8027671.99619799,186449.8605386308405
1661472000,2022-08-26 00:00:00,SHILL/USDT,0.0254,0.02558,0.0234,0.02378,8549591.84468139,208529.8465114134758
1661385600,2022-08-25 00:00:00,SHILL/USDT,0.02555,0.02707,0.02453,0.0254,8391792.32610993,214743.4843871879383
1661299200,2022-08-24 00:00:00,SHILL/USDT,0.02388,0.02687,0.02345,0.02557,11085680.62720952,276721.4244332541467
1661212800,2022-08-23 00:00:00,SHILL/USDT,0.02409,0.02451,0.02341,0.02397,8328588.00618419,200004.941968930952
1661126400,2022-08-22 00:00:00,SHILL/USDT,0.02402,0.02513,0.02337,0.02398,8736678.46867153,210909.7921463716647
1661040000,2022-08-21 00:00:00,SHILL/USDT,0.02326,0.02436,0.0228,0.02401,6806141.86484243,161550.5099003772995
1660953600,2022-08-20 00:00:00,SHILL/USDT,0.02313,0.0241,0.02301,0.02321,6319459.51900262,148682.0454545118745
1660867200,2022-08-19 00:00:00,SHILL/USDT,0.02508,0.02512,0.02283,0.02316,9428625.88384858,223981.1525301493813
1660780800,2022-08-18 00:00:00,SHILL/USDT,0.02462,0.0265,0.02434,0.02512,8458368.35168804,213716.4201907569219
1660694400,2022-08-17 00:00:00,SHILL/USDT,0.02513,0.02636,0.02448,0.02465,8485075.78479734,213673.0532225400075
1660608000,2022-08-16 00:00:00,SHILL/USDT,0.02639,0.02726,0.02447,0.02517,8493370.29530274,219074.653752121583
1660521600,2022-08-15 00:00:00,SHILL/USDT,0.02825,0.0288,0.026,0.0263,9059909.53884945,251097.7078794070208
1660435200,2022-08-14 00:00:00,SHILL/USDT,0.02875,0.0295,0.0277,0.02818,8568206.63636406,244873.0634254811616
