https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ALG
1663545600000,2022-09-19 00:00:00,ALG/BTC,1.512e-05,1.541e-05,1.509e-05,1.541e-05,0.0189876236825789,1232.16247129
1663459200000,2022-09-18 00:00:00,ALG/BTC,1.546e-05,1.594e-05,1.493e-05,1.509e-05,0.3184269856117473,21101.85457997
1663372800000,2022-09-17 00:00:00,ALG/BTC,1.505e-05,1.548e-05,1.503e-05,1.546e-05,0.24989005792921581,16163.65187123
1663286400000,2022-09-16 00:00:00,ALG/BTC,1.495e-05,1.519e-05,1.487e-05,1.502e-05,0.917469783382715,61083.20794825
1663200000000,2022-09-15 00:00:00,ALG/BTC,1.497e-05,1.5e-05,1.456e-05,1.495e-05,0.369725104577803,24730.77622594
1663113600000,2022-09-14 00:00:00,ALG/BTC,1.469e-05,1.522e-05,1.462e-05,1.498e-05,0.6876105706773534,45901.90725483
1663027200000,2022-09-13 00:00:00,ALG/BTC,1.444e-05,1.494e-05,1.407e-05,1.471e-05,0.6939059024608416,47172.393097269996
1662940800000,2022-09-12 00:00:00,ALG/BTC,1.496e-05,1.506e-05,1.43e-05,1.445e-05,0.16740441334435702,11585.08050826
1662854400000,2022-09-11 00:00:00,ALG/BTC,1.492e-05,1.523e-05,1.48e-05,1.499e-05,0.2931061166306069,19553.44340431
1662768000000,2022-09-10 00:00:00,ALG/BTC,1.517e-05,1.539e-05,1.485e-05,1.486e-05,0.3174134185045066,21360.25696531
1662681600000,2022-09-09 00:00:00,ALG/BTC,1.592e-05,1.625e-05,1.489e-05,1.522e-05,0.6315609785072503,41495.46507932
1662595200000,2022-09-08 00:00:00,ALG/BTC,1.551e-05,1.596e-05,1.531e-05,1.592e-05,0.271401409519908,17047.82723115
1662508800000,2022-09-07 00:00:00,ALG/BTC,1.519e-05,1.588e-05,1.333e-05,1.552e-05,3.866168999143333,249108.82726439
1662422400000,2022-09-06 00:00:00,ALG/BTC,1.539e-05,1.612e-05,1.496e-05,1.517e-05,1.2717024769135452,83830.09076556
1662336000000,2022-09-05 00:00:00,ALG/BTC,1.565e-05,1.567e-05,1.514e-05,1.541e-05,0.1473063132126068,9559.13778148
1662249600000,2022-09-04 00:00:00,ALG/BTC,1.53e-05,1.612e-05,1.53e-05,1.563e-05,0.8536639400679733,54617.01471964
1662163200000,2022-09-03 00:00:00,ALG/BTC,1.51e-05,1.535e-05,1.492e-05,1.528e-05,0.2741984656597096,17944.92576307
1662076800000,2022-09-02 00:00:00,ALG/BTC,1.459e-05,1.524e-05,1.45e-05,1.513e-05,0.5091611382716416,33652.42156455
1661990400000,2022-09-01 00:00:00,ALG/BTC,1.44e-05,1.465e-05,1.428e-05,1.458e-05,0.19452235985656918,13341.72564174
1661904000000,2022-08-31 00:00:00,ALG/BTC,1.475e-05,1.484e-05,1.438e-05,1.439e-05,0.09610996132787719,6678.94102348
1661817600000,2022-08-30 00:00:00,ALG/BTC,1.469e-05,1.479e-05,1.448e-05,1.47e-05,0.21333898657071,14512.8562293
1661731200000,2022-08-29 00:00:00,ALG/BTC,1.447e-05,1.472e-05,1.431e-05,1.47e-05,0.211458845813838,14384.95549754
1661644800000,2022-08-28 00:00:00,ALG/BTC,1.44e-05,1.469e-05,1.434e-05,1.44e-05,0.173948413534992,12079.75093993
1661558400000,2022-08-27 00:00:00,ALG/BTC,1.398e-05,1.452e-05,1.388e-05,1.44e-05,0.22508994542472,15631.24621005
1661472000000,2022-08-26 00:00:00,ALG/BTC,1.426e-05,1.428e-05,1.382e-05,1.397e-05,0.11635597204302611,8328.98869313
1661385600000,2022-08-25 00:00:00,ALG/BTC,1.413e-05,1.427e-05,1.394e-05,1.424e-05,0.2322192046698992,16307.52841783
1661299200000,2022-08-24 00:00:00,ALG/BTC,1.43e-05,1.437e-05,1.409e-05,1.412e-05,0.1392268693656708,9860.25987009
1661212800000,2022-08-23 00:00:00,ALG/BTC,1.417e-05,1.434e-05,1.395e-05,1.429e-05,0.1698854368978227,11888.41405863
1661126400000,2022-08-22 00:00:00,ALG/BTC,1.425e-05,1.425e-05,1.376e-05,1.417e-05,0.1070782019448271,7556.68327063
1661040000000,2022-08-21 00:00:00,ALG/BTC,1.418e-05,1.43e-05,1.406e-05,1.423e-05,0.14397545598548128,10117.74110931
1660953600000,2022-08-20 00:00:00,ALG/BTC,1.453e-05,1.468e-05,1.41e-05,1.42e-05,0.294064969141818,20708.80064379
1660867200000,2022-08-19 00:00:00,ALG/BTC,1.431e-05,1.461e-05,1.39e-05,1.46e-05,0.46108581540194604,31581.22023301
1660780800000,2022-08-18 00:00:00,ALG/BTC,1.459e-05,1.478e-05,1.403e-05,1.44e-05,0.29581037621712003,20542.3872373
1660694400000,2022-08-17 00:00:00,ALG/BTC,1.477e-05,1.509e-05,1.449e-05,1.456e-05,0.2729445420295776,18746.19107346
1660608000000,2022-08-16 00:00:00,ALG/BTC,1.483e-05,1.491e-05,1.46e-05,1.478e-05,0.14681684250904703,9933.48054865
1660521600000,2022-08-15 00:00:00,ALG/BTC,1.497e-05,1.514e-05,1.463e-05,1.484e-05,0.460623782803534,31039.33846385
1660435200000,2022-08-14 00:00:00,ALG/BTC,1.509e-05,1.55e-05,1.486e-05,1.498e-05,0.42469359622358904,28350.70735805
1660348800000,2022-08-13 00:00:00,ALG/BTC,1.501e-05,1.528e-05,1.488e-05,1.509e-05,0.3390207477909564,22466.58368396
1660262400000,2022-08-12 00:00:00,ALG/BTC,1.509e-05,1.525e-05,1.492e-05,1.498e-05,0.2897253758148554,19340.81280473
1660176000000,2022-08-11 00:00:00,ALG/BTC,1.519e-05,1.526e-05,1.478e-05,1.507e-05,0.1345848940029462,8930.64990066
1660089600000,2022-08-10 00:00:00,ALG/BTC,1.489e-05,1.533e-05,1.464e-05,1.52e-05,0.396605447078264,26092.46362357
1660003200000,2022-08-09 00:00:00,ALG/BTC,1.522e-05,1.58e-05,1.483e-05,1.49e-05,0.541928190055916,36371.01946684
1659916800000,2022-08-08 00:00:00,ALG/BTC,1.534e-05,1.546e-05,1.506e-05,1.525e-05,0.22780238007325251,14937.86098841
1659830400000,2022-08-07 00:00:00,ALG/BTC,1.517e-05,1.587e-05,1.499e-05,1.537e-05,0.6284241975257432,40886.41493336
