https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TLOS,Volume USDT
1663462800,2022-09-18 01:00:00,TLOS/USDT,0.17896,0.17922,0.17896,0.17903,68445.1666,12256.839872563
1663459200,2022-09-18 00:00:00,TLOS/USDT,0.17884,0.17941,0.17858,0.17896,508616.2427,90946.365987284
1663455600,2022-09-17 23:00:00,TLOS/USDT,0.17882,0.17892,0.1788,0.17884,404998.928,72436.032508097
1663452000,2022-09-17 22:00:00,TLOS/USDT,0.17864,0.17896,0.17863,0.17881,389201.1701,69565.557889566
1663448400,2022-09-17 21:00:00,TLOS/USDT,0.17867,0.17868,0.17859,0.17861,473868.4573,84647.373497419
1663444800,2022-09-17 20:00:00,TLOS/USDT,0.17863,0.17867,0.17858,0.17866,393950.3256,70369.004401054
1663441200,2022-09-17 19:00:00,TLOS/USDT,0.17869,0.17869,0.17856,0.1786,460331.4538,82211.791013445
1663437600,2022-09-17 18:00:00,TLOS/USDT,0.17858,0.17871,0.17857,0.17869,422715.3266,75515.017577718
1663434000,2022-09-17 17:00:00,TLOS/USDT,0.1787,0.17885,0.17856,0.17857,428524.2595,76556.803696191
1663430400,2022-09-17 16:00:00,TLOS/USDT,0.17846,0.17887,0.17843,0.17873,433064.9359,77364.704451431
1663426800,2022-09-17 15:00:00,TLOS/USDT,0.17844,0.17858,0.1784,0.17846,464082.2587,82818.139490665
1663423200,2022-09-17 14:00:00,TLOS/USDT,0.17838,0.17849,0.17836,0.17844,456794.789,81496.151698348
1663419600,2022-09-17 13:00:00,TLOS/USDT,0.17828,0.17841,0.17828,0.17838,390611.8279,69656.121305374
1663416000,2022-09-17 12:00:00,TLOS/USDT,0.17824,0.17837,0.17807,0.17829,456672.0233,81395.249454877
1663412400,2022-09-17 11:00:00,TLOS/USDT,0.17827,0.17828,0.17817,0.17823,565590.4484,100824.767470757
1663408800,2022-09-17 10:00:00,TLOS/USDT,0.1783,0.1783,0.17817,0.17828,378447.5905,67466.551096121
1663405200,2022-09-17 09:00:00,TLOS/USDT,0.1784,0.17841,0.17818,0.17819,429405.0202,76583.129750318
1663401600,2022-09-17 08:00:00,TLOS/USDT,0.17841,0.17841,0.1784,0.1784,334039.7071,59592.71692933
1663398000,2022-09-17 07:00:00,TLOS/USDT,0.17841,0.17843,0.17839,0.1784,458444.1156,81787.430463062
1663394400,2022-09-17 06:00:00,TLOS/USDT,0.17843,0.17844,0.17836,0.1784,297842.8392,53140.219888298
1663390800,2022-09-17 05:00:00,TLOS/USDT,0.17869,0.17869,0.17835,0.17842,405007.987,72312.172533526
1663387200,2022-09-17 04:00:00,TLOS/USDT,0.17865,0.17879,0.17865,0.17869,396761.7216,70910.394289528
1663383600,2022-09-17 03:00:00,TLOS/USDT,0.17868,0.17869,0.17865,0.17865,329386.1563,58851.645041824
1663380000,2022-09-17 02:00:00,TLOS/USDT,0.17885,0.17887,0.17866,0.17868,439128.8248,78483.183177162
1663376400,2022-09-17 01:00:00,TLOS/USDT,0.17878,0.17888,0.17853,0.17884,416882.7084,74515.406700186
1663372800,2022-09-17 00:00:00,TLOS/USDT,0.17836,0.17903,0.17834,0.17879,401966.5849,71828.817902228
