https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume IOST,Volume USDT
1663459200,2022-09-18 00:00:00,IOST/USDT,0.01277,0.01278,0.01264,0.01272,52849.27796347,670.5647134660279
1663372800,2022-09-17 00:00:00,IOST/USDT,0.01244,0.0128,0.01241,0.01276,2508402.52924261,31500.0976287936335
1663286400,2022-09-16 00:00:00,IOST/USDT,0.01225,0.01245,0.01209,0.01243,2097909.08664396,25769.0505347138092
1663200000,2022-09-15 00:00:00,IOST/USDT,0.01273,0.01274,0.01214,0.01229,1299718.72096332,16075.1468511615828
1663113600,2022-09-14 00:00:00,IOST/USDT,0.01269,0.01287,0.01238,0.0127,2650290.90985448,33672.8359928286402
1663027200,2022-09-13 00:00:00,IOST/USDT,0.0134,0.01443,0.01258,0.01268,11065535.77127377,152475.2072168915031
1662940800,2022-09-12 00:00:00,IOST/USDT,0.01342,0.01371,0.01312,0.01347,1729748.58387807,23347.5495683317736
1662854400,2022-09-11 00:00:00,IOST/USDT,0.01339,0.01362,0.01299,0.01343,1745353.04448613,23198.6075780873931
1662768000,2022-09-10 00:00:00,IOST/USDT,0.01335,0.01354,0.01307,0.01331,1111932.14219708,14810.0910326060387
1662681600,2022-09-09 00:00:00,IOST/USDT,0.0128,0.01343,0.0128,0.01334,991560.61623018,13024.1796328532488
1662595200,2022-09-08 00:00:00,IOST/USDT,0.01266,0.01283,0.01234,0.0128,2127673.01833152,26712.9684453090949
1662508800,2022-09-07 00:00:00,IOST/USDT,0.01217,0.01284,0.01188,0.01262,1596631.51140942,19746.5524951682227
1662422400,2022-09-06 00:00:00,IOST/USDT,0.01297,0.01329,0.01214,0.01216,3656498.46236388,46863.8772616980775
1662336000,2022-09-05 00:00:00,IOST/USDT,0.01309,0.01316,0.0127,0.01293,2636507.93855106,33896.5112429154221
1662249600,2022-09-04 00:00:00,IOST/USDT,0.01286,0.01309,0.0128,0.01307,1791844.30931818,23198.9762803642485
1662163200,2022-09-03 00:00:00,IOST/USDT,0.01291,0.01296,0.01266,0.01286,518715.31678168,6657.1025417212225
1662076800,2022-09-02 00:00:00,IOST/USDT,0.01304,0.01323,0.01275,0.01288,1008861.44128138,13099.4576479664369
1661990400,2022-09-01 00:00:00,IOST/USDT,0.01301,0.01325,0.01263,0.01304,2466820.69373756,31661.5003831514162
1661904000,2022-08-31 00:00:00,IOST/USDT,0.01313,0.01382,0.01296,0.01301,5326450.2398623,71337.562537872727
1661817600,2022-08-30 00:00:00,IOST/USDT,0.01343,0.01374,0.0128,0.01306,4868823.51046557,64749.2533256871433
1661731200,2022-08-29 00:00:00,IOST/USDT,0.01274,0.01679,0.01258,0.01344,60750736.33028444,845066.6722620273212
1661644800,2022-08-28 00:00:00,IOST/USDT,0.01303,0.01327,0.01265,0.01272,1954193.47902087,25494.4226759563433
1661558400,2022-08-27 00:00:00,IOST/USDT,0.01283,0.01313,0.01273,0.01299,1357732.16085383,17608.3319487749945
1661472000,2022-08-26 00:00:00,IOST/USDT,0.01392,0.01407,0.01275,0.01284,2365526.55436558,32253.750917911993
1661385600,2022-08-25 00:00:00,IOST/USDT,0.01342,0.01418,0.01339,0.01397,2042076.5852449,28335.6365728033681
1661299200,2022-08-24 00:00:00,IOST/USDT,0.01346,0.01371,0.01312,0.01338,1730925.75450459,23254.8366894688712
1661212800,2022-08-23 00:00:00,IOST/USDT,0.01338,0.01355,0.01298,0.01346,787906.11270211,10552.2735538430032
1661126400,2022-08-22 00:00:00,IOST/USDT,0.01357,0.0136,0.01283,0.01335,1702665.33625026,22346.7017496004414
1661040000,2022-08-21 00:00:00,IOST/USDT,0.01331,0.01379,0.01311,0.01358,1713047.75116232,23072.7083462453663
1660953600,2022-08-20 00:00:00,IOST/USDT,0.01323,0.01365,0.01297,0.01331,2451863.87337149,32733.5886260355976
1660867200,2022-08-19 00:00:00,IOST/USDT,0.01424,0.01424,0.01303,0.01323,5389031.84585342,73243.4923857681911
1660780800,2022-08-18 00:00:00,IOST/USDT,0.01468,0.01499,0.01413,0.01429,2209039.26226958,32344.3100770821619
1660694400,2022-08-17 00:00:00,IOST/USDT,0.01555,0.01611,0.01456,0.0147,6191737.03111228,93246.1518173192534
1660608000,2022-08-16 00:00:00,IOST/USDT,0.01579,0.01598,0.01545,0.01559,2364506.25631181,37078.283913874909
1660521600,2022-08-15 00:00:00,IOST/USDT,0.01576,0.01631,0.01545,0.0158,9173309.34429299,144726.5818549135378
1660435200,2022-08-14 00:00:00,IOST/USDT,0.01614,0.01654,0.01552,0.01578,5641569.70912878,90500.8391446076259
1660348800,2022-08-13 00:00:00,IOST/USDT,0.01632,0.0164,0.01593,0.01613,3167671.91016104,51196.8099577362084
1660262400,2022-08-12 00:00:00,IOST/USDT,0.01613,0.01712,0.01572,0.01634,14506773.63403051,237571.6284724942473
1660176000,2022-08-11 00:00:00,IOST/USDT,0.01591,0.01678,0.01567,0.01612,17267619.6046407,279493.4473994738044
1660089600,2022-08-10 00:00:00,IOST/USDT,0.01451,0.01598,0.01407,0.0159,7446935.04525714,112947.551232121889
1660003200,2022-08-09 00:00:00,IOST/USDT,0.01542,0.01565,0.01425,0.01449,3943707.81651931,58514.9524629646867
1659916800,2022-08-08 00:00:00,IOST/USDT,0.01521,0.01581,0.01515,0.01542,5549675.77031958,85704.5800655867083
1659830400,2022-08-07 00:00:00,IOST/USDT,0.01533,0.0155,0.01501,0.0152,2353595.61261832,35918.348120171981
1659744000,2022-08-06 00:00:00,IOST/USDT,0.01522,0.01574,0.01504,0.01535,5511586.23121337,84583.0405337781875
1659657600,2022-08-05 00:00:00,IOST/USDT,0.01464,0.01524,0.01456,0.01524,3639906.273265,54320.7851364685305
1659571200,2022-08-04 00:00:00,IOST/USDT,0.01468,0.01501,0.01429,0.01459,5420153.43121987,79040.9350717264448
1659484800,2022-08-03 00:00:00,IOST/USDT,0.01477,0.01599,0.01432,0.01468,4840654.79895053,72291.2289659684561
1659398400,2022-08-02 00:00:00,IOST/USDT,0.01534,0.01593,0.01444,0.01477,7500248.30911143,112582.7725635547311
1659312000,2022-08-01 00:00:00,IOST/USDT,0.01472,0.01549,0.01465,0.01534,8426125.22363383,126640.1738211840586
1659225600,2022-07-31 00:00:00,IOST/USDT,0.01442,0.01643,0.01436,0.01475,21237816.90605817,323383.3548377229144
1659139200,2022-07-30 00:00:00,IOST/USDT,0.0146,0.01533,0.01435,0.0145,14725650.8572591,217957.689450624196
1659052800,2022-07-29 00:00:00,IOST/USDT,0.01488,0.01576,0.01433,0.01454,12207271.51550418,183380.0124165079054
1658966400,2022-07-28 00:00:00,IOST/USDT,0.01394,0.0152,0.01364,0.01486,16971909.24421145,242446.8525855808296
1658880000,2022-07-27 00:00:00,IOST/USDT,0.01336,0.01393,0.01292,0.01393,7078544.04345579,95095.1445632945547
1658793600,2022-07-26 00:00:00,IOST/USDT,0.01276,0.01335,0.01263,0.01334,6824368.94541382,88252.2727762133792
1658707200,2022-07-25 00:00:00,IOST/USDT,0.01361,0.01372,0.01272,0.01274,4886930.83726697,64195.5758580457758
1658620800,2022-07-24 00:00:00,IOST/USDT,0.0136,0.01395,0.01346,0.0136,4061313.3702843,55674.035374404431
1658534400,2022-07-23 00:00:00,IOST/USDT,0.01353,0.01395,0.01327,0.01361,4163099.56330296,56525.4995524060834
1658448000,2022-07-22 00:00:00,IOST/USDT,0.01384,0.01423,0.01342,0.0135,1701097.70666613,23490.8735558790247
1658361600,2022-07-21 00:00:00,IOST/USDT,0.01382,0.01398,0.0133,0.01384,2395729.58721515,32574.6215654447968
1658275200,2022-07-20 00:00:00,IOST/USDT,0.01476,0.01512,0.01362,0.01382,5734228.03499082,83668.2893981475021
1658188800,2022-07-19 00:00:00,IOST/USDT,0.01424,0.01489,0.01374,0.01474,5831644.06546048,83682.6377172102083
1658102400,2022-07-18 00:00:00,IOST/USDT,0.01342,0.0144,0.01342,0.0143,4643996.14117156,65266.0040057502687
1658016000,2022-07-17 00:00:00,IOST/USDT,0.01363,0.01386,0.0133,0.01338,3278002.30812505,44284.2982940533329
1657929600,2022-07-16 00:00:00,IOST/USDT,0.01336,0.01378,0.01313,0.01365,5417943.04765418,72998.9287654552725
1657843200,2022-07-15 00:00:00,IOST/USDT,0.01337,0.01366,0.01318,0.01333,5593263.52048804,75131.205927331665
1657756800,2022-07-14 00:00:00,IOST/USDT,0.01315,0.01346,0.01262,0.0133,5213962.3096756,68272.6082692383117
1657670400,2022-07-13 00:00:00,IOST/USDT,0.01261,0.01315,0.01218,0.01315,6625569.825716,84148.0419753347159
1657584000,2022-07-12 00:00:00,IOST/USDT,0.01278,0.01299,0.0126,0.01262,4819790.4214228,61766.758444215475
1657497600,2022-07-11 00:00:00,IOST/USDT,0.0138,0.0138,0.01275,0.01279,7096607.05701352,94098.3921672790406
1657411200,2022-07-10 00:00:00,IOST/USDT,0.01443,0.01456,0.01367,0.01382,8748211.57591244,123293.6899937784785
1657324800,2022-07-09 00:00:00,IOST/USDT,0.01387,0.01469,0.01385,0.01447,8388503.21501071,120469.5509822078174
1657238400,2022-07-08 00:00:00,IOST/USDT,0.014,0.0144,0.01355,0.01383,7981566.76731842,111491.042648685885
