https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CUSDTHEDGE,Volume USD
1655769600000.0,2022-06-21 00:00:00,CUSDTHEDGE/USD,5844.0,5874.5,5839.5,5839.5,0.0,0.0
1655766000000.0,2022-06-20 23:00:00,CUSDTHEDGE/USD,5848.0,5905.0,5843.5,5844.0,0.0,0.0
1655762400000.0,2022-06-20 22:00:00,CUSDTHEDGE/USD,5848.0,5848.0,5847.5,5848.0,0.0,0.0
1655758800000.0,2022-06-20 21:00:00,CUSDTHEDGE/USD,5849.5,5897.5,5845.0,5848.0,0.0,0.0
1655755200000.0,2022-06-20 20:00:00,CUSDTHEDGE/USD,5849.5,5849.5,5849.5,5849.5,0.0,0.0
1655751600000.0,2022-06-20 19:00:00,CUSDTHEDGE/USD,5849.5,5849.5,5849.5,5849.5,0.0,0.0
1655748000000.0,2022-06-20 18:00:00,CUSDTHEDGE/USD,5849.5,5849.5,5849.5,5849.5,0.0,0.0
1655744400000.0,2022-06-20 17:00:00,CUSDTHEDGE/USD,5844.0,5898.0,5844.0,5849.5,0.0,0.0
1655740800000.0,2022-06-20 16:00:00,CUSDTHEDGE/USD,5844.0,5844.0,5844.0,5844.0,0.0,0.0
1655737200000.0,2022-06-20 15:00:00,CUSDTHEDGE/USD,5844.0,5844.0,5844.0,5844.0,0.0,0.0
1655733600000.0,2022-06-20 14:00:00,CUSDTHEDGE/USD,5844.0,5844.0,5844.0,5844.0,0.0,0.0
1655730000000.0,2022-06-20 13:00:00,CUSDTHEDGE/USD,5844.0,5844.0,5843.5,5844.0,0.0,0.0
1655726400000.0,2022-06-20 12:00:00,CUSDTHEDGE/USD,5844.0,5844.0,5844.0,5844.0,0.0,0.0
1655722800000.0,2022-06-20 11:00:00,CUSDTHEDGE/USD,5844.0,5844.0,5844.0,5844.0,0.0,0.0
1655719200000.0,2022-06-20 10:00:00,CUSDTHEDGE/USD,5844.0,5844.0,5844.0,5844.0,0.0,0.0
1655715600000.0,2022-06-20 09:00:00,CUSDTHEDGE/USD,5844.0,5844.0,5844.0,5844.0,0.0,0.0
1655712000000.0,2022-06-20 08:00:00,CUSDTHEDGE/USD,5844.0,5844.0,5843.5,5844.0,0.0,0.0
1655708400000.0,2022-06-20 07:00:00,CUSDTHEDGE/USD,5844.0,5844.0,5843.5,5844.0,0.0,0.0
1655704800000.0,2022-06-20 06:00:00,CUSDTHEDGE/USD,5844.0,5844.0,5843.5,5844.0,0.0,0.0
1655701200000.0,2022-06-20 05:00:00,CUSDTHEDGE/USD,5844.0,5844.0,5843.5,5844.0,0.0,0.0
1655697600000.0,2022-06-20 04:00:00,CUSDTHEDGE/USD,5844.0,5844.0,5843.5,5844.0,0.0,0.0
1655694000000.0,2022-06-20 03:00:00,CUSDTHEDGE/USD,5849.5,5931.0,5843.5,5844.0,0.0,0.0
1655690400000.0,2022-06-20 02:00:00,CUSDTHEDGE/USD,5849.5,5849.5,5849.5,5849.5,0.0,0.0
1655686800000.0,2022-06-20 01:00:00,CUSDTHEDGE/USD,5846.5,5902.0,5846.5,5849.5,0.0,0.0
1655683200000.0,2022-06-20 00:00:00,CUSDTHEDGE/USD,5846.5,5846.5,5846.5,5846.5,0.0,0.0
1655679600000.0,2022-06-19 23:00:00,CUSDTHEDGE/USD,5846.5,5846.5,5846.5,5846.5,0.0,0.0
1655676000000.0,2022-06-19 22:00:00,CUSDTHEDGE/USD,5846.5,5846.5,5846.5,5846.5,0.0,0.0
1655672400000.0,2022-06-19 21:00:00,CUSDTHEDGE/USD,5846.5,5846.5,5846.5,5846.5,0.0,0.0
1655668800000.0,2022-06-19 20:00:00,CUSDTHEDGE/USD,5846.5,5846.5,5846.5,5846.5,0.0,0.0
1655665200000.0,2022-06-19 19:00:00,CUSDTHEDGE/USD,5846.5,5846.5,5846.5,5846.5,0.0,0.0
1655661600000.0,2022-06-19 18:00:00,CUSDTHEDGE/USD,5846.5,5846.5,5846.5,5846.5,0.0,0.0
1655658000000.0,2022-06-19 17:00:00,CUSDTHEDGE/USD,5846.5,5846.5,5846.5,5846.5,0.0,0.0
1655654400000.0,2022-06-19 16:00:00,CUSDTHEDGE/USD,5846.5,5846.5,5846.5,5846.5,0.0,0.0
1655650800000.0,2022-06-19 15:00:00,CUSDTHEDGE/USD,5846.5,5846.5,5846.5,5846.5,0.0,0.0
1655647200000.0,2022-06-19 14:00:00,CUSDTHEDGE/USD,5846.5,5846.5,5846.5,5846.5,0.0,0.0
1655643600000.0,2022-06-19 13:00:00,CUSDTHEDGE/USD,5846.5,5846.5,5846.5,5846.5,0.0,0.0
1655640000000.0,2022-06-19 12:00:00,CUSDTHEDGE/USD,5846.5,5846.5,5846.5,5846.5,0.0,0.0
1655636400000.0,2022-06-19 11:00:00,CUSDTHEDGE/USD,5846.5,5846.5,5846.5,5846.5,0.0,0.0
1655632800000.0,2022-06-19 10:00:00,CUSDTHEDGE/USD,5842.0,5910.0,5842.0,5846.5,0.0,0.0
1655629200000.0,2022-06-19 09:00:00,CUSDTHEDGE/USD,5842.0,5842.0,5842.0,5842.0,0.0,0.0
1655625600000.0,2022-06-19 08:00:00,CUSDTHEDGE/USD,5842.0,5842.0,5842.0,5842.0,0.0,0.0
1655622000000.0,2022-06-19 07:00:00,CUSDTHEDGE/USD,5842.0,5842.0,5842.0,5842.0,0.0,0.0
1655618400000.0,2022-06-19 06:00:00,CUSDTHEDGE/USD,5842.0,5842.0,5842.0,5842.0,0.0,0.0
1655614800000.0,2022-06-19 05:00:00,CUSDTHEDGE/USD,5842.0,5842.0,5842.0,5842.0,0.0,0.0
