https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume YOP,Volume USDT
1663459200,2022-09-18 00:00:00,YOP/USDT,0.0591,0.0596,0.0582,0.0584,20798.4802,1238.59826011
1663455600,2022-09-17 23:00:00,YOP/USDT,0.0582,0.0593,0.058,0.0581,76416.7893,4503.21801977
1663452000,2022-09-17 22:00:00,YOP/USDT,0.058,0.0582,0.0574,0.0579,39096.4833,2257.03063426
1663448400,2022-09-17 21:00:00,YOP/USDT,0.0592,0.0592,0.058,0.058,75136.5705,4403.26203148
1663444800,2022-09-17 20:00:00,YOP/USDT,0.0586,0.0592,0.0586,0.0587,21310.1565,1254.17414601
1663441200,2022-09-17 19:00:00,YOP/USDT,0.0606,0.062,0.0569,0.0586,740825.5335,43215.33967139
1663437600,2022-09-17 18:00:00,YOP/USDT,0.0616,0.0674,0.058,0.0621,1020780.1036,62098.04425611
1663434000,2022-09-17 17:00:00,YOP/USDT,0.0623,0.0624,0.0617,0.0617,39178.1332,2435.15320138
1663430400,2022-09-17 16:00:00,YOP/USDT,0.0618,0.0632,0.0618,0.0623,45620.3794,2844.59632552
1663426800,2022-09-17 15:00:00,YOP/USDT,0.0618,0.0618,0.0618,0.0618,0,0
1663423200,2022-09-17 14:00:00,YOP/USDT,0.0618,0.0618,0.0618,0.0618,0,0
1663419600,2022-09-17 13:00:00,YOP/USDT,0.0618,0.0618,0.0618,0.0618,23.0728,1.42589904
1663416000,2022-09-17 12:00:00,YOP/USDT,0.0619,0.0619,0.0616,0.0616,4234.483,261.38794351
1663412400,2022-09-17 11:00:00,YOP/USDT,0.062,0.062,0.062,0.062,0,0
1663408800,2022-09-17 10:00:00,YOP/USDT,0.062,0.062,0.062,0.062,0,0
1663405200,2022-09-17 09:00:00,YOP/USDT,0.062,0.062,0.062,0.062,3.2258,0.1999996
1663401600,2022-09-17 08:00:00,YOP/USDT,0.062,0.062,0.0614,0.0614,2466.1704,152.87785266
1663398000,2022-09-17 07:00:00,YOP/USDT,0.0614,0.0615,0.0613,0.0613,5621.6637,344.73639736
1663394400,2022-09-17 06:00:00,YOP/USDT,0.0614,0.0628,0.0613,0.0614,8893.8903,551.04850601
1663390800,2022-09-17 05:00:00,YOP/USDT,0.0615,0.0615,0.0613,0.0614,773.6955,47.43255472
1663387200,2022-09-17 04:00:00,YOP/USDT,0.0615,0.0627,0.0615,0.0627,4324.945,269.55778096
1663383600,2022-09-17 03:00:00,YOP/USDT,0.0614,0.0615,0.0614,0.0615,323.5785,19.88400058
1663380000,2022-09-17 02:00:00,YOP/USDT,0.0631,0.0631,0.0613,0.0614,16814.2229,1043.88143467
1663376400,2022-09-17 01:00:00,YOP/USDT,0.062,0.0631,0.062,0.0631,12195.8734,762.65558961
1663372800,2022-09-17 00:00:00,YOP/USDT,0.062,0.0621,0.062,0.0621,920.5087,57.13754532
1663369200,2022-09-16 23:00:00,YOP/USDT,0.0622,0.0622,0.062,0.062,1158.5998,71.95624031
1663365600,2022-09-16 22:00:00,YOP/USDT,0.0621,0.0625,0.0621,0.0621,3563.5706,221.68819314
1663362000,2022-09-16 21:00:00,YOP/USDT,0.0621,0.0627,0.062,0.0624,16927.0667,1057.38833493
1663358400,2022-09-16 20:00:00,YOP/USDT,0.0584,0.0659,0.0583,0.0621,1026647.3663,64390.71065186
1663354800,2022-09-16 19:00:00,YOP/USDT,0.0576,0.0658,0.0571,0.0586,842389.9604,50701.89481473
1663351200,2022-09-16 18:00:00,YOP/USDT,0.0575,0.0576,0.057,0.0576,2352.7862,135.33362276
1663347600,2022-09-16 17:00:00,YOP/USDT,0.0572,0.0572,0.057,0.057,7492.1408,428.102702
1663344000,2022-09-16 16:00:00,YOP/USDT,0.0573,0.0573,0.0572,0.0572,225.4528,12.89800644
1663340400,2022-09-16 15:00:00,YOP/USDT,0.0582,0.0582,0.0572,0.0572,4950.8145,283.2725114
1663336800,2022-09-16 14:00:00,YOP/USDT,0.0581,0.0588,0.0572,0.0583,34801.9554,1996.32450496
1663333200,2022-09-16 13:00:00,YOP/USDT,0.0581,0.0581,0.0579,0.0579,92.0335,5.33686801
1663329600,2022-09-16 12:00:00,YOP/USDT,0.0581,0.0588,0.0579,0.0581,487.049,28.24213499
1663326000,2022-09-16 11:00:00,YOP/USDT,0.0577,0.059,0.0574,0.059,7837.1911,452.74330238
1663322400,2022-09-16 10:00:00,YOP/USDT,0.0583,0.0591,0.0574,0.0574,5059.3697,296.29819307
