https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AXS,Volume EUR
1663545600,2022-09-19 00:00:00,AXS/EUR,11.95947,11.95947,11.95947,11.95947,0.00000000,0.0
1663542000,2022-09-18 23:00:00,AXS/EUR,11.95947,11.95947,11.95947,11.95947,0.00000000,0.0
1663538400,2022-09-18 22:00:00,AXS/EUR,12.05331,12.05331,11.95947,11.95947,28.99172906,346.7257139411982
1663534800,2022-09-18 21:00:00,AXS/EUR,12.60000,12.60000,12.12596,12.22376,135.53844797,1656.789458757767
1663531200,2022-09-18 20:00:00,AXS/EUR,12.69058,12.69058,12.69058,12.69058,39.39930247,499.9999999397327
1663527600,2022-09-18 19:00:00,AXS/EUR,12.68692,12.68692,12.68692,12.68692,0.00000000,0.0
1663524000,2022-09-18 18:00:00,AXS/EUR,12.65829,12.72772,12.64203,12.68692,28.87349424,366.3157115433408
1663520400,2022-09-18 17:00:00,AXS/EUR,12.76866,12.76866,12.76866,12.76866,1.56320866,19.9600798885956
1663516800,2022-09-18 16:00:00,AXS/EUR,12.78432,12.78432,12.73033,12.73033,53.29492421,678.4619725182893
1663513200,2022-09-18 15:00:00,AXS/EUR,13.18212,13.18212,13.18212,13.18212,0.00000000,0.0
1663509600,2022-09-18 14:00:00,AXS/EUR,13.18212,13.18212,13.18212,13.18212,0.00000000,0.0
1663506000,2022-09-18 13:00:00,AXS/EUR,13.18212,13.18212,13.18212,13.18212,0.00000000,0.0
1663502400,2022-09-18 12:00:00,AXS/EUR,13.18212,13.18212,13.18212,13.18212,0.00000000,0.0
1663498800,2022-09-18 11:00:00,AXS/EUR,13.18212,13.18212,13.18212,13.18212,0.00000000,0.0
1663495200,2022-09-18 10:00:00,AXS/EUR,13.18212,13.18212,13.18212,13.18212,0.00000000,0.0
1663491600,2022-09-18 09:00:00,AXS/EUR,13.18212,13.18212,13.18212,13.18212,0.77000000,10.1502324
1663488000,2022-09-18 08:00:00,AXS/EUR,13.23504,13.23504,13.21751,13.21751,13.09144126,173.0362557684626
1663484400,2022-09-18 07:00:00,AXS/EUR,13.16614,13.16614,13.16614,13.16614,8.00000000,105.32912
