https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRPBULL,Volume USDT
1663545600000.0,2022-09-19 00:00:00,XRPBULL/USDT,1.831e-05,1.875e-05,1.823e-05,1.855e-05,59223.71967654987,1.0986
1663459200000.0,2022-09-18 00:00:00,XRPBULL/USDT,2.167e-05,2.508e-05,1.82e-05,1.831e-05,1279233997.8154016,23422.7745
1663372800000.0,2022-09-17 00:00:00,XRPBULL/USDT,1.845e-05,2.2e-05,1.705e-05,2.167e-05,360956377.48038757,7821.9247
1663286400000.0,2022-09-16 00:00:00,XRPBULL/USDT,1.446e-05,1.856e-05,1.379e-05,1.845e-05,141630742.54742545,2613.0872
1663200000000.0,2022-09-15 00:00:00,XRPBULL/USDT,1.665e-05,1.678e-05,1.429e-05,1.446e-05,121526258.64453666,1757.2697
1663113600000.0,2022-09-14 00:00:00,XRPBULL/USDT,1.55e-05,1.694e-05,1.533e-05,1.665e-05,213159333.3333333,3549.1029
1663027200000.0,2022-09-13 00:00:00,XRPBULL/USDT,1.991e-05,1.996e-05,1.528e-05,1.55e-05,75260806.4516129,1166.5425
1662940800000.0,2022-09-12 00:00:00,XRPBULL/USDT,1.922e-05,1.996e-05,1.819e-05,1.991e-05,172740000.0,3439.2534
1662854400000.0,2022-09-11 00:00:00,XRPBULL/USDT,1.967e-05,1.998e-05,1.842e-05,1.922e-05,280843210.1977107,5397.8065
1662768000000.0,2022-09-10 00:00:00,XRPBULL/USDT,1.956e-05,2.025e-05,1.76e-05,1.967e-05,522155821.04728013,10270.805
1662681600000.0,2022-09-09 00:00:00,XRPBULL/USDT,1.703e-05,1.973e-05,1.691e-05,1.956e-05,246606349.69325155,4823.6202
1662595200000.0,2022-09-08 00:00:00,XRPBULL/USDT,1.663e-05,1.738e-05,1.536e-05,1.703e-05,159133775.6899589,2710.0482
1662508800000.0,2022-09-07 00:00:00,XRPBULL/USDT,1.449e-05,1.667e-05,1.346e-05,1.663e-05,761680529.1641612,12666.7472
1662422400000.0,2022-09-06 00:00:00,XRPBULL/USDT,1.606e-05,1.76e-05,1.425e-05,1.449e-05,464194630.77984816,6726.1802
1662336000000.0,2022-09-05 00:00:00,XRPBULL/USDT,1.593e-05,1.617e-05,1.467e-05,1.606e-05,252491170.61021173,4055.0082
1662249600000.0,2022-09-04 00:00:00,XRPBULL/USDT,1.557e-05,1.599e-05,1.549e-05,1.593e-05,177199240.4268675,2822.7839
1662163200000.0,2022-09-03 00:00:00,XRPBULL/USDT,1.581e-05,1.612e-05,1.528e-05,1.557e-05,299583346.1785485,4664.5127
1662076800000.0,2022-09-02 00:00:00,XRPBULL/USDT,1.607e-05,1.645e-05,1.509e-05,1.581e-05,474165926.628716,7496.5633
1661990400000.0,2022-09-01 00:00:00,XRPBULL/USDT,1.537e-05,1.614e-05,1.453e-05,1.607e-05,141846589.91910392,2279.4747
1661904000000.0,2022-08-31 00:00:00,XRPBULL/USDT,1.526e-05,1.614e-05,1.48e-05,1.537e-05,141285100.84580353,2171.552
1661817600000.0,2022-08-30 00:00:00,XRPBULL/USDT,1.609e-05,1.638e-05,1.434e-05,1.526e-05,266315792.92267364,4063.979
1661731200000.0,2022-08-29 00:00:00,XRPBULL/USDT,1.47e-05,1.614e-05,1.42e-05,1.609e-05,241896364.20136732,3892.1125
1661644800000.0,2022-08-28 00:00:00,XRPBULL/USDT,1.636e-05,1.675e-05,1.463e-05,1.47e-05,487301687.07482994,7163.3348
1661558400000.0,2022-08-27 00:00:00,XRPBULL/USDT,1.697e-05,1.75e-05,1.569e-05,1.636e-05,226644229.82885087,3707.8996
1661472000000.0,2022-08-26 00:00:00,XRPBULL/USDT,1.879e-05,2.203e-05,1.623e-05,1.697e-05,433525061.8738951,7356.9203
1661385600000.0,2022-08-25 00:00:00,XRPBULL/USDT,1.884e-05,1.909e-05,1.799e-05,1.879e-05,213974486.42895153,4020.5806
