https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GENS,Volume USDT
1663372800,2022-09-17 00:00:00,GENS/USDT,0.002678,0.002678,0.002678,0.002678,7943.8667,21.2736750226
1663286400,2022-09-16 00:00:00,GENS/USDT,0.002846,0.002891,0.0025,0.002678,15969431.4748,42374.1311684578
1663200000,2022-09-15 00:00:00,GENS/USDT,0.003279,0.003911,0.002743,0.002847,46211225.4445,145652.204795717
1663113600,2022-09-14 00:00:00,GENS/USDT,0.0029,0.00443,0.0028,0.003279,86460247.5896,305589.602110997
1663027200,2022-09-13 00:00:00,GENS/USDT,0.003145,0.0057,0.002803,0.0029,222796735.4828,867456.0941899778
1662940800,2022-09-12 00:00:00,GENS/USDT,0.002722,0.0034,0.002578,0.003117,34934937.9748,104820.2732819069
1662854400,2022-09-11 00:00:00,GENS/USDT,0.00264,0.002889,0.002578,0.002722,13073036.5467,35409.0035459869
1662768000,2022-09-10 00:00:00,GENS/USDT,0.00252,0.00317,0.002448,0.002639,31016962.8342,84951.9394413357
1662681600,2022-09-09 00:00:00,GENS/USDT,0.002812,0.002894,0.00248,0.002549,20501038.462,54784.4909244222
1662595200,2022-09-08 00:00:00,GENS/USDT,0.00302,0.003474,0.0027,0.002812,37999677.2053,111971.8178173712
1662508800,2022-09-07 00:00:00,GENS/USDT,0.002965,0.00595,0.002574,0.00302,348040250.79953764,1305643.24823905529922
1662422400,2022-09-06 00:00:00,GENS/USDT,0.002249,0.003415,0.002226,0.003,45576424.0471,123969.3579523867
1662336000,2022-09-05 00:00:00,GENS/USDT,0.002309,0.002408,0.002193,0.002279,4266752.6632,9678.0374747076
1662249600,2022-09-04 00:00:00,GENS/USDT,0.002224,0.002438,0.002168,0.002308,2995517.1526,6861.5262569861
1662163200,2022-09-03 00:00:00,GENS/USDT,0.00225,0.002466,0.00219,0.002224,2328480.9122,5483.1595646963
1662076800,2022-09-02 00:00:00,GENS/USDT,0.002389,0.002521,0.002096,0.002238,8102949.9601,18681.4789756134
1661990400,2022-09-01 00:00:00,GENS/USDT,0.002475,0.002517,0.002325,0.002418,1896801.952,4599.4636566773
1661904000,2022-08-31 00:00:00,GENS/USDT,0.00255,0.002631,0.0024,0.002475,6079979.0044,15050.273634012
1661817600,2022-08-30 00:00:00,GENS/USDT,0.00254,0.002616,0.002476,0.002574,3024183.7813,7765.2132286747
1661731200,2022-08-29 00:00:00,GENS/USDT,0.002659,0.002712,0.002467,0.00254,3775320.5909,9618.8005806067
1661644800,2022-08-28 00:00:00,GENS/USDT,0.002507,0.002659,0.00241,0.002659,4340930.9468,10813.5458978965
1661558400,2022-08-27 00:00:00,GENS/USDT,0.002581,0.002678,0.0024,0.002507,7689846.4542,19456.8179491422
1661472000,2022-08-26 00:00:00,GENS/USDT,0.003025,0.003025,0.002583,0.002583,6268969.88960379,17293.52101684753126
1661385600,2022-08-25 00:00:00,GENS/USDT,0.002965,0.003115,0.002866,0.003025,12349289.8903,37054.2770594041
1661299200,2022-08-24 00:00:00,GENS/USDT,0.002875,0.003188,0.002764,0.00296,27672890.3956,84002.4575040916
1661212800,2022-08-23 00:00:00,GENS/USDT,0.002898,0.002991,0.002801,0.002875,4130048.3122,11917.951955544
1661126400,2022-08-22 00:00:00,GENS/USDT,0.0029,0.003289,0.002787,0.002886,14119241.349,42668.3030147058
1661040000,2022-08-21 00:00:00,GENS/USDT,0.002803,0.002938,0.002727,0.0029,1916444.7274,5406.4877816329
1660953600,2022-08-20 00:00:00,GENS/USDT,0.002847,0.003,0.002726,0.002804,3786049.4427,10994.004126327
1660867200,2022-08-19 00:00:00,GENS/USDT,0.00335,0.003496,0.0028,0.002814,10043674.2019,31285.2597234952
1660780800,2022-08-18 00:00:00,GENS/USDT,0.003312,0.00354,0.003312,0.00335,5900982.1516,20180.9080236944
1660694400,2022-08-17 00:00:00,GENS/USDT,0.003429,0.00344,0.003282,0.003312,2229355.3731,7443.049442759
1660608000,2022-08-16 00:00:00,GENS/USDT,0.003312,0.003579,0.003231,0.003465,4739406.3708,16150.3436595814
1660521600,2022-08-15 00:00:00,GENS/USDT,0.003342,0.003639,0.003281,0.003281,7386451.652,25373.9223393662
1660435200,2022-08-14 00:00:00,GENS/USDT,0.00328,0.003404,0.0032,0.003342,5647471.6768,18556.494995855
1660348800,2022-08-13 00:00:00,GENS/USDT,0.003264,0.00348,0.003214,0.003311,5052449.2409,16783.8968110258
1660262400,2022-08-12 00:00:00,GENS/USDT,0.003312,0.00345,0.003166,0.003298,3821516.4623,12646.222990046
1660176000,2022-08-11 00:00:00,GENS/USDT,0.003198,0.003379,0.003135,0.00334,3083827.3293,9997.0070875884
1660089600,2022-08-10 00:00:00,GENS/USDT,0.003198,0.003472,0.00308,0.003161,3812638.3131,12374.9019009662
1660003200,2022-08-09 00:00:00,GENS/USDT,0.0035,0.00357,0.003116,0.003198,9508300.2075,31740.9175647803
1659916800,2022-08-08 00:00:00,GENS/USDT,0.003326,0.0036,0.003286,0.003505,6772486.3895,23173.37111038
1659830400,2022-08-07 00:00:00,GENS/USDT,0.00325,0.0036,0.003164,0.003326,6421065.9815,21651.1264047852
1659744000,2022-08-06 00:00:00,GENS/USDT,0.003088,0.0033,0.003082,0.00325,3675497.3855,11845.6079140133
1659657600,2022-08-05 00:00:00,GENS/USDT,0.003183,0.00327,0.003,0.003088,5717250.4041,17856.5936006691
1659571200,2022-08-04 00:00:00,GENS/USDT,0.003161,0.00335,0.003099,0.00318,3514992.5014,11276.4990941156
1659484800,2022-08-03 00:00:00,GENS/USDT,0.003096,0.00335,0.003014,0.003188,6136401.7371,19602.5248903733
1659398400,2022-08-02 00:00:00,GENS/USDT,0.003037,0.00325,0.002985,0.0031,2741501.3745,8464.4303941999
1659312000,2022-08-01 00:00:00,GENS/USDT,0.003095,0.003099,0.00295,0.003064,2675807.0116,8126.7201623581
1659225600,2022-07-31 00:00:00,GENS/USDT,0.003043,0.003396,0.00294,0.003098,9541379.7652,30326.9416464911
1659139200,2022-07-30 00:00:00,GENS/USDT,0.003032,0.003196,0.003,0.003043,1736496.4894,5383.517564837
1659052800,2022-07-29 00:00:00,GENS/USDT,0.003044,0.003151,0.003,0.003033,2428733.0731,7508.4013480185
1658966400,2022-07-28 00:00:00,GENS/USDT,0.003095,0.0032,0.002908,0.003022,3946457.0953,12028.0385603556
1658880000,2022-07-27 00:00:00,GENS/USDT,0.002892,0.003725,0.002892,0.003096,16692813.95154176,54653.6851742726008
1658793600,2022-07-26 00:00:00,GENS/USDT,0.00305,0.003105,0.002792,0.002891,4503920.3224,13187.5852443925
