https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume EUR
1655769600,2022-06-21 00:00:00,UST/EUR,0.009,0.009,0.009,0.009,0.00,0.0
1655766000,2022-06-20 23:00:00,UST/EUR,0.009,0.009,0.009,0.009,0.00,0.0
1655762400,2022-06-20 22:00:00,UST/EUR,0.009,0.009,0.009,0.009,0.00,0.0
1655758800,2022-06-20 21:00:00,UST/EUR,0.009,0.009,0.009,0.009,0.00,0.0
1655755200,2022-06-20 20:00:00,UST/EUR,0.009,0.009,0.009,0.009,0.00,0.0
1655751600,2022-06-20 19:00:00,UST/EUR,0.009,0.009,0.009,0.009,0.00,0.0
1655748000,2022-06-20 18:00:00,UST/EUR,0.009,0.009,0.009,0.009,0.00,0.0
1655744400,2022-06-20 17:00:00,UST/EUR,0.008,0.009,0.008,0.009,66104.80,594.9431999999999
1655740800,2022-06-20 16:00:00,UST/EUR,0.008,0.008,0.008,0.008,2638.13,21.105040000000002
1655737200,2022-06-20 15:00:00,UST/EUR,0.009,0.009,0.009,0.009,2857.77,25.719929999999998
1655733600,2022-06-20 14:00:00,UST/EUR,0.009,0.009,0.009,0.009,0.00,0.0
1655730000,2022-06-20 13:00:00,UST/EUR,0.009,0.009,0.009,0.009,0.00,0.0
1655726400,2022-06-20 12:00:00,UST/EUR,0.009,0.009,0.009,0.009,0.00,0.0
1655722800,2022-06-20 11:00:00,UST/EUR,0.008,0.009,0.008,0.009,237306.24,2135.75616
1655719200,2022-06-20 10:00:00,UST/EUR,0.007,0.007,0.007,0.007,0.00,0.0
1655715600,2022-06-20 09:00:00,UST/EUR,0.008,0.008,0.007,0.007,62944.91,440.61437
1655712000,2022-06-20 08:00:00,UST/EUR,0.009,0.009,0.009,0.009,0.00,0.0
1655708400,2022-06-20 07:00:00,UST/EUR,0.009,0.009,0.009,0.009,76395.54,687.5598599999998
1655704800,2022-06-20 06:00:00,UST/EUR,0.009,0.009,0.009,0.009,0.00,0.0
