https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume QTUM
1663549200000,2022-09-19 01:00:00,QTUM/ETH,0.00214156,0.00214482,0.00213645,0.00213759,0.169297128,79.2
1663545600000,2022-09-19 00:00:00,QTUM/ETH,0.00213598,0.00214807,0.00208681,0.00213935,0.688228895,321.7
1663542000000,2022-09-18 23:00:00,QTUM/ETH,0.00213104,0.00213925,0.00212207,0.00213902,0.710582444,332.2
1663538400000,2022-09-18 22:00:00,QTUM/ETH,0.00214118,0.00214569,0.00212954,0.00214541,0.6158018009886234,287.03222274
1663534800000,2022-09-18 21:00:00,QTUM/ETH,0.00215319,0.00216189,0.00211243,0.00214681,0.7752651890981007,361.12426768
1663531200000,2022-09-18 20:00:00,QTUM/ETH,0.00215112,0.00215738,0.0021364,0.00215157,0.666126072,309.6
1663527600000,2022-09-18 19:00:00,QTUM/ETH,0.00215535,0.00215922,0.00214713,0.0021533,0.65503386,304.2
1663524000000,2022-09-18 18:00:00,QTUM/ETH,0.00214247,0.0021601,0.00213567,0.0021601,0.6841057290505219,316.70095322
1663520400000,2022-09-18 17:00:00,QTUM/ETH,0.00213485,0.00214494,0.00212539,0.00214494,0.687395136120168,320.4728972
1663516800000,2022-09-18 16:00:00,QTUM/ETH,0.00212242,0.00213559,0.00211268,0.00213134,0.664125544,311.6
1663513200000,2022-09-18 15:00:00,QTUM/ETH,0.00211322,0.00212164,0.00210976,0.0021159,0.66460419,314.1
1663509600000,2022-09-18 14:00:00,QTUM/ETH,0.00210911,0.00212056,0.00210406,0.00211656,0.655710288,309.8
1663506000000,2022-09-18 13:00:00,QTUM/ETH,0.00210691,0.00211636,0.00210278,0.00211485,0.5540907,262.0
1663502400000,2022-09-18 12:00:00,QTUM/ETH,0.0021084,0.00211218,0.00209991,0.00210467,0.654131436,310.8
1663498800000,2022-09-18 11:00:00,QTUM/ETH,0.00210566,0.00211243,0.00210214,0.00210697,0.648103972,307.6
1663495200000,2022-09-18 10:00:00,QTUM/ETH,0.00210771,0.00211722,0.00210386,0.00211011,0.651601968,308.8
1663491600000,2022-09-18 09:00:00,QTUM/ETH,0.00210441,0.00211267,0.00209979,0.00210955,0.7216886688110925,342.10550535
1663488000000,2022-09-18 08:00:00,QTUM/ETH,0.00210429,0.00210903,0.002099,0.00210398,0.6928406140000001,329.3
1663484400000,2022-09-18 07:00:00,QTUM/ETH,0.00210201,0.00210885,0.00209828,0.00210514,0.673223772,319.8
1663480800000,2022-09-18 06:00:00,QTUM/ETH,0.002098,0.00211318,0.00209543,0.00210279,0.6613274550000001,314.5
1663477200000,2022-09-18 05:00:00,QTUM/ETH,0.00210153,0.00210339,0.00209375,0.00210191,0.7224264669999999,343.7
1663473600000,2022-09-18 04:00:00,QTUM/ETH,0.00209213,0.00210293,0.0020893,0.00209944,0.652296008,310.7
